Frec	Izquierda	Derecha
6330.761	-47.69997406	-52.636764526
6373.828	-41.715953827	-46.783321381
6416.894	-43.450634003	-48.426837921
6459.96	-48.094295502	-53.25378418
6503.027	-45.243583679	-50.606361389
6546.093	-45.927947998	-51.251964569
6589.16	-46.305828094	-51.609226227
6632.226	-45.869777679	-51.287578583
6675.292	-44.141899109	-49.574642181
6718.359	-48.644985199	-53.963851929
6761.425	-57.425186157	-62.440925598
6804.492	-49.426418304	-54.85282135
6847.558	-44.106681824	-49.628765106
6890.625	-42.230159759	-47.825111389
6933.691	-42.256710052	-47.947731018
6976.757	-48.105556488	-53.758125305
7019.824	-64.871925354	-69.851959228
7062.89	-51.080924988	-56.957489014
7105.957	-43.903106689	-49.610897064
7149.023	-42.128093719	-47.809207916
7192.089	-43.917419434	-49.642974853
7235.156	-47.119411468	-52.982414246
7278.222	-45.697525024	-51.596370697
7321.289	-44.637908936	-50.478057861
7364.355	-48.191108704	-54.060920715
7407.421	-54.961761475	-61.197929382
7450.488	-58.363243103	-64.628631592
7493.554	-53.02545929	-59.822502136
7536.621	-47.796989441	-54.397888184
7579.687	-44.248390198	-50.734500885
7622.753	-43.84916687	-50.386066437
7665.82	-44.465072632	-51.014865875
7708.886	-44.049041748	-50.486904144
7751.953	-43.172870636	-49.604415894
7795.019	-46.88199234	-53.537185669
7838.085	-47.787097931	-54.584609985
7881.152	-41.928089142	-48.474559784
7924.218	-44.041534424	-50.613845825
7967.285	-56.260757446	-63.084129333
8010.351	-53.394424438	-59.896743774
8053.417	-49.51865387	-56.109069824
8096.484	-53.363517761	-59.93863678
8139.55	-59.657684326	-66.913009644
8182.617	-50.508029938	-57.394569397
8225.683	-46.015060425	-52.653968811
8268.75	-45.458847046	-52.112342834
8311.816	-46.841335297	-53.466934204
8354.882	-48.42539978	-54.838150024
8397.949	-48.34172821	-54.749336243
8441.015	-46.847572327	-53.470161438
8484.082	-47.923553467	-54.653465271
8527.148	-51.29032135	-57.976890564
8570.214	-52.229324341	-59.097961426
8613.281	-51.01374054	-58.12361145
8656.347	-49.338481903	-56.414123535
8699.414	-50.614006042	-57.589988708
8742.48	-51.925998688	-58.779640198
8785.546	-58.999359131	-66.138824463
8828.613	-54.574050903	-61.29132843
8871.679	-47.825756073	-54.844512939
8914.746	-47.062671661	-54.31879425
8957.812	-49.877666473	-57.522254944
9000.878	-56.27784729	-65.197364807
9043.945	-58.419136047	-65.683303833
9087.011	-63.077636719	-70.55039978
9130.078	-67.341613769	-71.54209137
9173.144	-56.582504272	-62.255386353
9216.21	-54.863220215	-61.122955322
9259.277	-58.464447021	-65.016136169
9302.343	-55.287513733	-62.697029114
9345.41	-51.012809753	-58.364585876
9388.476	-51.519897461	-58.45135498
9431.542	-50.687820435	-57.451309204
9474.609	-49.876968384	-57.031524658
9517.675	-53.086616516	-60.830718994
9560.742	-60.865760803	-68.564849853
9603.808	-64.97013855	-74.405929565
9646.875	-53.421127319	-60.788902283
9689.941	-48.335769653	-55.283111572
9733.007	-47.962028503	-54.763557434
9776.074	-50.305423737	-57.129974365
9819.14	-54.135307312	-61.381538391
9862.207	-58.809356689	-66.704673767
9905.273	-53.887260437	-60.684700012
9948.339	-51.89188385	-58.67729187
9991.406	-55.693626404	-62.529304504
10034.472	-72.775505066	-89.106521606
10077.539	-56.976799011	-64.541320801
10120.605	-55.06628418	-62.12424469
10163.671	-53.919067383	-60.472183228
10206.738	-53.339126587	-59.718544006
10249.804	-56.989646912	-63.909324646
10292.871	-57.060836792	-64.370773315
10335.937	-56.232299805	-62.694671631
10379.003	-56.918266296	-62.772926331
10422.07	-54.887611389	-60.809432983
10465.136	-55.754302978	-62.162864685
10508.203	-55.738746643	-62.944534302
10551.269	-54.772483826	-61.926292419
10594.335	-55.984832764	-62.68674469
10637.402	-57.988998413	-64.527801514
10680.468	-55.898124695	-63.302322388
10723.535	-55.81262207	-63.817817688
10766.601	-55.483718872	-62.756515503
10809.667	-57.528755188	-64.030349731
10852.734	-70.240341186	-73.781913757
10895.8	-75.692550659	-79.69732666
10938.867	-68.992965698	-71.912818909
10981.933	-62.789268494	-68.606086731
11025	-60.413749695	-66.585739136
11068.066	-57.76360321	-63.753631592
11111.132	-59.576530457	-65.393844604
11154.199	-63.221153259	-68.820953369
11197.265	-62.286346436	-68.126121521
11240.332	-60.223426819	-66.363082886
11283.398	-60.643241882	-66.954360962
11326.464	-66.623771667	-73.622299194
11369.531	-76.277160644	-75.962036133
11412.597	-65.673835754	-69.518783569
11455.664	-62.78352356	-67.422088623
11498.73	-60.677429199	-65.815757751
11541.796	-61.672111511	-67.096031189
11584.863	-63.477005005	-68.900588989
11627.929	-68.047096252	-72.805496216
11670.996	-79.32699585	-87.789291382
11714.062	-68.652748108	-74.196899414
11757.128	-68.453178406	-72.072616577
11800.195	-68.520042419	-71.691421509
11843.261	-74.666053772	-75.672966003
11886.328	-82.971313477	-83.559753418
11929.394	-71.140220642	-78.354057312
11972.46	-66.949203491	-74.005691528
12015.527	-67.406219482	-74.838859558
12058.593	-68.69858551	-76.165603638
12101.66	-68.733886719	-74.786964416
12144.726	-66.788139343	-72.441162109
12187.792	-63.927001953	-69.546394348
12230.859	-62.45980072	-68.496994019
12273.925	-68.640365601	-76.232933044
12316.992	-71.262367249	-75.618675232
12360.058	-68.016860962	-74.272026062
12403.125	-70.782295227	-79.299507141
12446.191	-71.559371948	-77.771476746
12489.257	-68.152297974	-72.396568298
12532.324	-67.563522339	-70.938865662
12575.39	-69.122032165	-72.705818176
12618.457	-71.76411438	-79.068748474
12661.523	-71.082214355	-79.777435303
12704.589	-67.039466858	-74.114562988
12747.656	-67.629226685	-73.44808197
12790.722	-71.808036804	-76.303688049
12833.789	-73.967643738	-82.257339478
12876.855	-74.195556641	-81.334838867
12919.921	-73.317726135	-76.784713745
12962.988	-75.598472595	-77.78465271
13006.054	-81.270851135	-83.878768921
13049.121	-81.029052734	-91.24016571
13092.187	-76.000274658	-79.650749207
13135.253	-72.353424072	-75.173858643
13178.32	-71.013214111	-74.514839172
13221.386	-75.235664368	-78.373580933
13264.453	-77.484138489	-89.655593872
13307.519	-67.456604004	-73.845726013
13350.585	-65.363517761	-70.987571716
13393.652	-67.536392212	-73.39326477
13436.718	-73.211784363	-80.510017395
13479.785	-77.644355774	-87.267524719
13522.851	-77.691131592	-83.69316864
13565.917	-79.080406189	-79.926879883
13608.984	-77.968017578	-81.910079956
13652.05	-75.610984802	-80.993972778
13695.117	-73.6043396	-78.173118591
13738.183	-72.940063477	-77.387023926
13781.25	-73.387290955	-76.562683105
13824.316	-72.479736328	-75.879646301
13867.382	-74.311271667	-78.567199707
13910.449	-82.195037842	-85.434356689
13953.515	-81.560760498	-85.186683655
13996.582	-75.612083435	-81.44228363
14039.648	-76.565475464	-85.954971313
14082.714	-89.876983643	-84.02998352
14125.781	-84.841064453	-85.357017517
14168.847	-81.326713562	-84.571289062
14211.914	-80.625137329	-80.855705261
14254.98	-82.979499817	-83.260025024
14298.046	-94.708877563	-92.451461792
14341.113	-83.926071167	-86.188735962
14384.179	-81.030349731	-83.460205078
14427.246	-82.536384582	-91.187675476
14470.312	-86.713996887	-90.335609436
14513.378	-91.968299866	-88.026626587
14556.445	-83.533340454	-85.193382263
14599.511	-78.873901367	-82.788825989
14642.578	-78.335441589	-83.420089722
14685.644	-82.31186676	-88.216056824
14728.71	-87.341278076	-92.313514709
14771.777	-81.065383911	-88.147773743
14814.843	-79.046386719	-86.406181335
14857.91	-80.185592651	-91.878974915
14900.976	-84.647865295	-90.934883118
14944.042	-84.635017395	-88.797454834
14987.109	-79.609298706	-85.321800232
15030.175	-78.495178223	-83.670013428
15073.242	-81.033416748	-84.244415283
15116.308	-85.342796326	-88.863998413
15159.375	-86.993728638	-93.132354736
15202.441	-88.137413025	-91.024650574
15245.507	-94.32334137	-92.942710876
15288.574	-87.231338501	-89.191017151
15331.64	-87.82321167	-86.893379211
15374.707	-94.137527466	-86.136825561
15417.773	-87.550125122	-85.247360229
15460.839	-86.436546326	-89.217559814
15503.906	-92.428848267	-114.841873169
15546.972	-90.0184021	-92.985160828
15590.039	-81.463012695	-88.018768311
15633.105	-77.362808228	-87.616615295
15676.171	-72.255157471	-78.193214416
15719.238	-66.405052185	-72.659591675
15762.304	-68.557617187	-75.296340942
15805.371	-79.247268677	-85.630630493
15848.437	-89.744544983	-86.508743286
15891.503	-84.074317932	-90.555282593
15934.57	-88.955383301	-89.127670288
15977.636	-87.15888977	-88.770805359
16020.703	-83.304710388	-94.959686279
16063.769	-84.511962891	-100.395797729
16106.835	-85.230667114	-92.011955261
16149.902	-84.392723083	-93.052116394
16192.968	-83.175712585	-96.382743835
16236.035	-85.213722229	-86.740615845
16279.101	-100.304039001	-86.743103027
16322.167	-87.942893982	-87.184753418
16365.234	-89.126014709	-86.293922424
16408.3	-94.226150513	-86.777153015
16451.367	-92.690948486	-89.879318237
16494.433	-85.618118286	-90.958786011
16537.5	-82.705024719	-89.90096283
16580.566	-83.541923523	-96.698883057
16623.632	-81.745010376	-95.423973083
16666.699	-81.380897522	-91.803474426
16709.765	-85.973350525	-97.43926239
16752.832	-92.920890808	-94.149261475
16795.898	-86.395347595	-91.725700378
16838.964	-83.314147949	-93.75239563
16882.031	-83.199607849	-104.265220642
16925.097	-83.233818054	-97.27028656
16968.164	-82.521789551	-90.829292297
17011.23	-81.79473114	-89.858978271
17054.296	-80.725799561	-93.005821228
17097.363	-81.375061035	-99.839256287
17140.429	-90.240966797	-90.849349976
17183.496	-92.657730103	-91.332878113
17226.562	-92.969451904	-99.037628174
17269.628	-87.540733337	-93.114593506
17312.695	-82.731231689	-91.206642151
17355.761	-84.138626099	-96.079154968
17398.828	-93.799232483	-99.815376282
17441.894	-90.092895508	-93.463890076
17484.96	-88.813079834	-94.193977356
17528.027	-96.672607422	-93.15007019
17571.093	-95.865684509	-88.977676392
17614.16	-86.159072876	-87.363487244
17657.226	-83.054328918	-87.779335022
17700.292	-84.316421509	-87.9896698
17743.359	-87.806488037	-87.555961609
17786.425	-90.172721863	-86.668884277
17829.492	-87.224761963	-89.490478516
17872.558	-83.077362061	-99.518356323
17915.625	-81.127571106	-89.907440186
17958.691	-81.544708252	-91.328689575
18001.757	-86.69644928	-100.268287659
18044.824	-98.178993225	-93.409591675
18087.89	-91.817588806	-91.777908325
18130.957	-86.290664673	-93.317771912
18174.023	-91.160736084	-104.080451965
18217.089	-91.01940918	-90.441146851
18260.156	-84.711021423	-85.816040039
18303.222	-85.419555664	-86.318565369
18346.289	-91.293487549	-89.343528748
18389.355	-103.568473816	-93.092964172
18432.421	-92.840187073	-95.102058411
18475.488	-88.141899109	-95.517204285
18518.554	-86.736747742	-93.308059692
18561.621	-89.153961182	-92.406959534
18604.687	-94.207595825	-92.526298523
18647.753	-108.818374634	-92.714225769
18690.82	-101.275993347	-92.13634491
18733.886	-97.413955688	-96.321968079
18776.953	-88.422767639	-110.593605041
18820.019	-86.019767761	-98.828910828
18863.085	-87.27696228	-110.865577698
18906.152	-87.745933533	-92.182861328
18949.218	-89.356460571	-89.89855957
18992.285	-87.580680847	-92.71697998
19035.351	-83.567047119	-87.506698608
19078.417	-85.671989441	-86.492645264
19121.484	-86.686889648	-88.87550354
19164.55	-87.195358276	-95.116905212
19207.617	-89.936988831	-101.267936707
19250.683	-86.555557251	-94.667243957
19293.75	-82.61542511	-94.342674255
19336.816	-82.994636536	-93.403556824
19379.882	-85.601119995	-91.344825745
19422.949	-85.562301636	-89.519760132
19466.015	-83.049942017	-87.104286194
19509.082	-81.891090393	-85.044723511
19552.148	-84.229736328	-87.003486633
19595.214	-97.472503662	-104.135803223
19638.281	-90.858810425	-89.542045593
19681.347	-88.860397339	-87.463592529
19724.414	-93.266654968	-91.218605041
19767.48	-93.712547302	-96.595703125
19810.546	-84.494491577	-88.557197571
19853.613	-82.605545044	-87.45059967
19896.679	-83.73400116	-90.295944214
19939.746	-86.575553894	-95.32359314
19982.812	-95.562484741	-117.425949097
20025.878	-92.468765259	-94.715667725
20068.945	-87.08896637	-91.083961487
20112.011	-90.987213135	-94.894271851
20155.078	-106.886543274	-103.462287903
20198.144	-95.811355591	-95.556404114
20241.21	-97.26927948	-95.337524414
20284.277	-115.105796814	-97.870597839
20327.343	-97.359817505	-105.720756531
20370.41	-93.518966675	-114.051330566
20413.476	-91.824478149	-101.583618164
20456.542	-89.902191162	-96.483375549
20499.609	-91.53604126	-95.972106934
20542.675	-96.002052307	-99.494743347
20585.742	-97.091567993	-103.703170776
20628.808	-95.158798218	-107.406967163
20671.875	-94.277824402	-105.08266449
20714.941	-99.042549133	-104.12979126
20758.007	-100.042358398	-104.549499512
20801.074	-102.035934448	-106.185951233
20844.14	-113.467636108	-110.838531494
20887.207	-101.214073181	-103.798683166
20930.273	-99.85144043	-103.757102966
20973.339	-103.256858826	-105.856719971
21016.406	-101.473693848	-108.352806091
21059.472	-105.036384582	-113.382392883
21102.539	-101.454925537	-110.9115448
21145.605	-97.881141663	-109.047515869
21188.671	-100.518714905	-115.934898376
21231.738	-101.664825439	-116.65045166
21274.804	-107.577789307	-111.299568176
21317.871	-111.363571167	-114.734405518
21360.937	-106.703651428	-121.11769104
21404.003	-108.743675232	-111.555870056
21447.07	-123.960205078	-112.509941101
21490.136	-117.038040161	-121.775192261
21533.203	-122.330947876	-120.944763184
21576.269	-115.799842834	-116.576065063
