Teenage Fanclub
King Tuts Wah Wah Hut, Glasgow 22nd May 1991

FM -> cassette (2nd gen) -> CDR -> CDParanoia -> FLAC

01-God Knows It's True       (5:13)
02-Starsign                  (5:23)
03-So Far Gone               (5:07)
04-Metal Baby                (3:43)
05-Pet Rock                  (2:15)
06-What You Do To Me         (2:17)
07-Everything Flows          (5:55)
08-Catholic Education        (2:26)
09-Long Hair                 (2:30)
10-Free Again (Alex Chilton) (2:36)
