    length     expanded size    cdr  WAVE problems  fmt   ratio  filename
     4:31.24       47860892 B   ---   --   ---xx   flac  0.5006  C:\Users\Kris\Desktop\wilco2017-10-03.wav24\wilco2017-10-03.wav24\wilco2017-10-03.flac16\wilco2017-10-03d2t12.flac
     3:51.30       40819004 B   ---   --   ---xx   flac  0.5281  C:\Users\Kris\Desktop\wilco2017-10-03.wav24\wilco2017-10-03.wav24\wilco2017-10-03.flac16\wilco2017-10-03d2t13.flac
     2:33.29       27057452 B   ---   --   ---xx   flac  0.5300  C:\Users\Kris\Desktop\wilco2017-10-03.wav24\wilco2017-10-03.wav24\wilco2017-10-03.flac16\wilco2017-10-03d2t14.flac
     2:20.21       24745436 B   ---   --   ---xx   flac  0.4377  C:\Users\Kris\Desktop\wilco2017-10-03.wav24\wilco2017-10-03.wav24\wilco2017-10-03.flac16\wilco2017-10-03d2t15.flac
     4:05.07       43234508 B   ---   --   ---xx   flac  0.4991  C:\Users\Kris\Desktop\wilco2017-10-03.wav24\wilco2017-10-03.wav24\wilco2017-10-03.flac16\wilco2017-10-03d2t16.flac
     2:08.61       22722716 B   ---   --   ---xx   flac  0.3868  C:\Users\Kris\Desktop\wilco2017-10-03.wav24\wilco2017-10-03.wav24\wilco2017-10-03.flac16\wilco2017-10-03d2t17.flac
     4:29.73       47623340 B   ---   --   ---xx   flac  0.4197  C:\Users\Kris\Desktop\wilco2017-10-03.wav24\wilco2017-10-03.wav24\wilco2017-10-03.flac16\wilco2017-10-03d2t18.flac
     3:46.01       39868796 B   ---   --   ---xx   flac  0.4907  C:\Users\Kris\Desktop\wilco2017-10-03.wav24\wilco2017-10-03.wav24\wilco2017-10-03.flac16\wilco2017-10-03d2t19.flac
    10:49.69      114645932 B   ---   --   ---xx   flac  0.4768  C:\Users\Kris\Desktop\wilco2017-10-03.wav24\wilco2017-10-03.wav24\wilco2017-10-03.flac16\wilco2017-10-03d2t20.flac
     0:35.08        6192860 B   ---   --   ---xx   flac  0.4602  C:\Users\Kris\Desktop\wilco2017-10-03.wav24\wilco2017-10-03.wav24\wilco2017-10-03.flac16\wilco2017-10-03d2t21.flac
     3:33.68       37733180 B   ---   --   ---xx   flac  0.4255  C:\Users\Kris\Desktop\wilco2017-10-03.wav24\wilco2017-10-03.wav24\wilco2017-10-03.flac16\filler_mglasby2017-10-03\mglasby2017-10-03t01.flac
   151:30.53     1603602460 B                            0.4522  (41 files)
