
flac 1.1.0, Copyright (C) 2000,2001,2002,2003 Josh Coalson
flac comes with ABSOLUTELY NO WARRANTY.  This is free software, and you are
welcome to redistribute it under certain conditions.  Type `flac' for details.

sp-11-11-07_d204.wav: 84% complete, ratio=0.655
sp-11-11-07_d204.wav: 85% complete, ratio=0.655
sp-11-11-07_d204.wav: 86% complete, ratio=0.655
sp-11-11-07_d204.wav: 87% complete, ratio=0.655
sp-11-11-07_d204.wav: 88% complete, ratio=0.655
sp-11-11-07_d204.wav: 88% complete, ratio=0.655
sp-11-11-07_d204.wav: 89% complete, ratio=0.655
sp-11-11-07_d204.wav: 90% complete, ratio=0.656
sp-11-11-07_d204.wav: 91% complete, ratio=0.656
sp-11-11-07_d204.wav: 91% complete, ratio=0.656
sp-11-11-07_d204.wav: 92% complete, ratio=0.656
sp-11-11-07_d204.wav: 93% complete, ratio=0.656
sp-11-11-07_d204.wav: 94% complete, ratio=0.657
sp-11-11-07_d204.wav: 95% complete, ratio=0.657
sp-11-11-07_d204.wav: 95% complete, ratio=0.657
sp-11-11-07_d204.wav: 96% complete, ratio=0.657
sp-11-11-07_d204.wav: 97% complete, ratio=0.657
sp-11-11-07_d204.wav: 98% complete, ratio=0.657
sp-11-11-07_d204.wav: 98% complete, ratio=0.657
sp-11-11-07_d204.wav: 99% complete, ratio=0.656
sp-11-11-07_d204.wav: 100% complete, ratio=0.656
sp-11-11-07_d204.wav: wrote 24983544 bytes, ratio=0.656
