Date		Location					Format		
2001.10.24	Madison Square Garden, New York City		CD					
2001.11.05	Grosse Freiheit 36, Hamburg, Germany		CD					
2001.11.08	Elysee Monmartre. Paris, France			CD		
2001.11.09	Halles De Schaerbeek, Brussels, Belgium		CD					
2001.11.14	The Astoria, London, England			CD					
2001.11.16	Later with Jules Holland, BBC Studios, London	CD					
2001.11.20	BBC Radio 1  Session				CD
2001.11.28	Saavis Center, St Louis, MO			CD					
2001.12.01	Ice Palace, Tampa, FL				CD					
2001.12.05	KNDD-FM Radio - 1 Track only			CD
2001.12.13	Shrine Auditorium, Los Angeles, CA		CD					
2002.01.05	CDUK TV Spot - Cherry Lips			CD					
2002.01.20	Big Day Out Festival, Gold Coast, Australia	CD					
2002.01.22	Big Day Out Festival, Horden, Sydney, Australia	CD					
2002.01.28	Big Day Out Festival, Melbourne, Australia	CD					
2002.01.29	Metro Nightclub, Melbourne, Australia		CD					
2002.02.01 	Big Day Out Festival, Adelaide, Australia	CD					
2002.02.01 	CDUK TV Spot - Cherry Lips			CD					
2002.02.03	Big Day Out Festival, Perth, Australia		CD					
2002.02.08	Zepp, Tokyo, Japan				CD					
2002.02.09 	Zepp, Tokyo, Japan				CD					
2002.02.09 	Fuji TV Spot - Androgyny			CD	
2002.03.15	CDUK TV Spot - Breaking Up The Girl		CD					
2002.04.01	Guildhall, Portsmouth, England			CD					
2002.04.07	Brixton Academy, London, England		CD					
2002.04.08	Hackney Ocean, Hackney, London, England		CD					
2002.04.10	Palladium, Koln, Germany			CD					
2002.04.11	Heineken Music Hall, Amsterdam, The Netherlands	CD					
2002.04.20	Agora Theater, Cleveland, OH 			CD
2002.04.21	State Theatre, Detroit, MI			CD					
2002.04.24	Roseland Ballroom, New York, NY			CD					
2002.04.26	Electric Factory, Philadelphia, PA		CD					
2002.04.29	9:30 Club, Washington, D.C.			CD					
2002.05.02	House of Blues, Myrtle Beach, SC		CD					
2002.05.05	Music Midtown, Atlanta, GA			CD					
2002.05.08	Promo West Pavillion, Colombus, OH		CD					
2002.05.09	Riviera Theatre, Chicago, IL			CD					
2002.05.11 	Eagles Ballroom, Milwaukee, WI			CD					
2002.05.18	Austin Music Hall, TX, USA			CD
2002.05.24 	Moore Theatre, Seattle WA			CD					
2002.05.25	Roseland, Portland, OR				CD					
2002.05.27	Warfield Theatre, San Francisco, CA		CD					
2002.05.28	The Joint, Las Vegas, NV			CD					
2002.05.29	Mesa Amphitheatre, Mesa, AZ			CD					
2002.05.31	SDSU Open Air Amphitheatre, San Diego, CA	CD					
2002.06.01	Wiltern Theatre, Los Angeles, CA		CD					
2002.06.02	Wiltern Theatre, Los Angeles, CA		CD					
2002.06.25	Zenith Arena, Lille, France			CD					
2002.06.26	Zenith, Paris, France				CD					
2002.07.03	DS Luzhniki, Moscow, Russian Federation		CD					
2002.07.06	Seat Beach Rock, Ostend, Belgium 		CD	
2002.08.28	Camden Electric Ballroom, London, UK		CD					
2002.08.29	Camden Electric Ballroom, London, UK		CD					
2002.10.24	Baltimore Arena, Baltimore, MD			CD					
2002.10.27	UNF Arena, Jacksonville, FL, USA 		CD
2002.11.02	Voodoo Music Festival, New Orleans		CD
2002.11.04	Smirnoff Music Centre, Dallas, TX		CD
2002.11.06	Denver Coliseum, Denver, CO, USA 		CD
2002.11.25	Centennial Garden, Bakersfield, CA 		CD
2002.11.26	Cox Arena, San Diego, CA, USA 			CD					
2005.03.29	Olympia Theatre, Paris, France 			CD
2005.03.30	The Scala, London, England			CD
2005.04.10	The Warfield, San Francisco, CA, USA 		CD
2005.04.11	The Wiltern, Los Angeles, CA, USA 		CD
2005.04.14	Tabernacle, Atlanta, GA, USA 			CD
2005.04.17	Avalon, Boston, MA, USA 			CD
2005.04.21	DC101 Radio, Washington, DC, Acoustic Set	CD
2005.05.01	Orpheum Theatre, Madison, WI, USA 		CD
2005.05.09	Newport Music Hall, Columbus, OH		CD
2005.06.09	Brixton Academy, London, England 		CD
2005.06.29	Olympiskiy Hall, Moscow, Russia 		CD
2005.07.03	Montreux Jazz Festival, Montreux, Switzerland 	CD
2005.09.03	Arlene Schnitzer Concert Hall, Portland, OR	CD
2005.09.07	The Catalyst, Santa Cruz, CA, USA 		CD		
							
