John Mayer
Pageant
St. Louis, MO
April 12, 2001

Taper: Unknown
SOurce: DAUD

Conversion: unknown

Disk 1:
d1t01  Intro                                                  0:44.26
d1t02  No Such Thing                                          4:36.26
d1t03  Love Soon                                              5:29.05
d1t04  Not Myself                                             3:42.56
d1t05  Love Song for No One                                   3:39.37
d1t06  Man on the Side > Wind Cries Mary > Man on the Side    9:08.74
d1t07  Your Body is a Wonderland                              5:25.13
d1t08  My Stupid Mouth                                        4:27.16
d1t09  Neon                                                   7:11.40
Totals:                                                      44:24.68
