"11-10-2002 / Chicago, IL / Riviera Theatre",AUD,,,FLAC,
"11-12-2002 / Minneapolis, MN / Historic Theatre",AUD,,,FLAC,
"11-14-2002 / St. Louis, MO / The Pageant",AUD,SBD,,FLAC,
"11-21-2002 / San Diego, CA / Spreckels Theatre",AUD,,,FLAC,
"11-23-2002 / San Francisco, CA / Warfield Theatre (Core Sound mics) (mike)",AUD,,,FLAC,
"11-23-2002 / San Francisco, CA / Warfield Theater (SP-CMC-2) (chris bellew) ",AUD,,,FLAC,
"11-26-2002 / Seattle, WA / Moore Theatre",AUD,,,FLAC,
"12-13-2002 / Reykjavik, Iceland / Haskolabio",SBD,,,FLAC,
,,,,,
[2003],,,,,
"1-15-2003 / Reykjavik, Iceland / Karahnjukar",SBD,,,FLAC,
"2-12-2003 / London, England / Hammersmith Apollo",AUD,,,FLAC,
"2-13-2003 / Paris, France / Le Grand Rex",SBD,,,FLAC,
"2-20-2003 / Berlin, Germany / Arena",AUD,,,FLAC,
"2-23-2003 / Mainz, Germany / Phoenixhalle (w/ Album Leaf opener set)",AUD,,,FLAC,
"2-24-2003 / Lyon, France / Auditorium Maurice-Ravel",AUD,2 sources,,FLAC,
"3-15-2003 / Boston, MA / Berklee Performance Center - Berklee School of Music",AUD,,,FLAC,
"3-18-2003 / Washington, D.C. / 9:30 Club",AUD,,,FLAC,
"3-21-2003 / New York, NY / Radio City Music Hall",AUD,2 sources,,FLAC,
"3-26-2003 / Louisville, KY / Brown Theatre",AUD,2 sources,,FLAC,
"3-31-2003 / Houston, TX / Verizon Wireless Theatre",AUD,,,FLAC,
"4-2-2003 / Dallas, TX / Granada Theater",AUD,,,FLAC,
"4-8-2003 / Oakland, CA / Paramount",AUD,,,FLAC,
"4-14-2003 / Tokyo, Japan / International Forum Hall",AUD,,,FLAC,
"4-14-2003 / Tokyo, Japan / International Forum Hall (PRO TV Special) (t.h.)",PRO,,,DVD,
"6-23-2003 / Ferrara, Italy / Piazza Castello",AUD,,,FLAC,
"6-24-2003 / Prato, Italy / Anfiteatro Museo Pecci",AUD,2 sources,,FLAC,
"6-25-2003 / Bollate, Italy / Villa Arconati",AUD,,,FLAC,
"6-27-2003 / Roskilde, Denmark / Roskilde Festival",FM,,,FLAC,
"6-29-2003 / Pilton, England / Glastonbury Festival",FM,,,FLAC,*Possibly inc
,,,,,
[2005],,,,,
"7-9-2005 / Salford, UK / Lowry",AUD,,,FLAC,
"7-10-2005 / London, UK / Somerset House",AUD,,,FLAC,
"7-12-2005 / Paris, France / L'Olympia",AUD,,,FLAC,
"7-13-2005 / Amsterdam, The Netherlands / Paradiso",AUD,,,FLAC,
"7-16-2005 / Copenhagen, Denmark / Vega",AUD,,,FLAC,
"7-23-2005 / Nyon, Switzerland / Paleo Festival",AUD,,,FLAC,
"7-25-2005 / Rome, Italy / Cavea Auditorium",AUD,,,FLAC,
"7-31-2005 / Niigata, Japan / Naeba Ski Resort - Fuji Rock Festival",DVD Audio,,,FLAC,
"8-3-2005 / Melbourne, Australia / The Arts Centre - Hamer Hall",AUD,,,FLAC,
"8-4-2005 / Sydney, Australia / Enmore Theatre",AUD,,,FLAC,
"8-9-2005 / Honolulu, HI / Hawaii Theatre Center",AUD,,,FLAC,
"8-11-2005 / Hollywood, CA / The Avalon",AUD,,,FLAC,
"9-9-2005 / Upper Darby, PA / Tower Theater",AUD,,,FLAC,
"9-11-2005 / North Bethesda, MD / The Music Center at Strathmore",AUD,,,FLAC,
"9-13-2005 / New York, NY / Beacon Theater",AUD,,,FLAC,
"9-15-2005 / Boston, MA / Opera House",AUD,,,FLAC,
"9-16-2005 / Montreal, Quebec / Theatre Maisonneuve",AUD,,,FLAC,
"9-18-2005 / Ottawa, Ontario / Bronson Centre",AUD,2 sources,,FLAC,
"9-19-2005 / Toronto, Ontario / Massey Hall",AUD,,,FLAC,
"9-20-2005 / Ann Arbor, MI / Michigan Theater",AUD,,,FLAC,
"9-21-2005 / Chicago, IL / Chicago Theatre",AUD,2 sources,,FLAC,
"9-23-2005 / Madison, WI / Orpheum Theatre",AUD,,,FLAC,
9-26-2005 / KCRW Morning Become Eclectic - Broadcast from 8-12-2005,FM,,,FLAC,
"9-29-2005 / Portland, OR / Roseland Theater",AUD,,,FLAC,
"10-5-2005 / Hollywood, CA / Hollywood Bowl",AUD,,,FLAC,
"10-29-2005 / Helsinki, Finlnad / Kulttuuritalo (House of Culture)",AUD,,,FLAC,
