"6-3-2010 / Amsterdam, The Netherlands / Paradiso",AUD,,,FLAC,
"7-24-2010 / Vienna, Austria / Arena",AUD,,,FLAC,
"8-7-2010 / Osaka, Japan / Maishima - Summer Sonic 2010",AUD,,,FLAC,
"8-17-2010 / Copenhagen, Denmark / Vega",AUD,,,FLAC,
"9-18-2010 / Krakow, Poland / Hala Ocynowi Arcelor Mittal - Sacrum Profanum Festival",AUD,,,FLAC,
"10-19-2010 / Oakland, CA / Fox Theater",AUD,,,FLAC,
"11-8-2010 / Washington, D.C. / 9:30 Club",AUD,,,FLAC,
"11-10-2010 / New York, NY / Hammerstein Ballroom",AUD,,,FLAC,
"11-21-2010 / Brussels, Belgium / Cirque Royal",AUD,,,FLAC,
"11-23-2010 / Groningen, The Netherlands / Oosterpoort",AUD,,,FLAC,
"11-24-2010 / Eindhoven, The Netherlands / Muziekgebouw Frits Philips",AUD,,,FLAC,
"12-29-2010 / Keykjavik, Iceland / Laugeardalshall",FM,,,FLAC,
,,,,,
[2019],,,,,
"10-28-2019 / Washington, D.C. / The Lincoln Theatre",AUD,,,FLAC,
,,,,,
[MISC],,,,,
Compilations from May 2010,,,,FLAC,
