"10-8-1992 / Oakland, CA / Oakland Coliseum - VHS(1)",AUD,DVD,
"10-15-1992 / Hollywood, CA / Hollywood Palladium - 8MM(M) (Sony TRV-740) (unk)",AUD,DVD,
"10-15-1992 / Hollywood, CA / Hollywood Palladium (Aiwa CM30a) (stephane)",AUD,FLAC,
"10-22-1992 / Seattle, WA / Moore Theatre",PRO,MPG,
"11-4-1992 / Toronto, Ontario / *Desert",SBD,FLAC,
"11-13-1992 / Ft. Lauderdale, FL / The Edge - ANA(1) (unk) (andy a.)",AUD,FLAC,
"11-20-1992 / Charlotte, NC / 13.13 Club (unk)",AUD,FLAC,
"11-20-1992 / Charlotte, NC / 13.13 Club (Sony WMD3) (doodee music)",AUD,FLAC,
"11-22-1992 / Toronto, Ontario / The Phoenix *Live In Chains",Silver CD,FLAC,
"11-24-1992 / New York, NY / Roseland Ballroom - ANA(1) (Aiwa CM-30) (andy a.)",AUD,FLAC,
"11-27-1992 / Boston, MA / The Channel - DAT(M) (unk)",AUD,FLAC,
"11-28-1992 / Montreal, Quebec / La Brique *The Dirtiest",AUD,FLAC,
"11-29-1992 / Toronto, Ontario / The Phoenix *I Am Firegod",Silver CD,FLAC,
"11-29-1992 / Toronto, Ontario / The Phoenix *Life In Chains",Silver CD,FLAC,
"12-6-1992 / Chicago, IL / Riviera Theatre (ECM S220) (unk)",AUD,FLAC,
"12-13-1992 / Seattle, WA / *In Blunderland (GR027)",Silver CD,FLAC,
"12-15-1992 / Hollywood, CA / The Palladium (iron_gland)",SBD,FLAC,
"12-15-1992 / Hollywood, CA / The Palladium",AUD,DVD,
"12-20-1992 / Seattle, WA / Seatlle Center",SBD,SHN,
"12-20-1992 / Seattle, WA / Seatlle Center (pitch corrected)",SBD,FLAC,
,,,
[1993],,,
"1-1-1993 / New York, NY / Roseland Ballroom - MTV Studios",PRO,DVD,
"1-8-1993 / Honolulu, HI / Aloha Tower",SBD,SHN,
"1-22-1993 / Rio de Janeiro, Brazil / Prada da Apoteose (Hollywood Rock Festival)",PRO,DVD,
"1-22-1993 / Rio de Janeiro, Brazil / Prada da Apoteose (Hollywood Rock Festival)",SBD,FLAC,
"1-23-1993 / Rio de Janeiro, Brazil / Praca da Apoteose",PRO,DVD,
"1-30-1993 / London, England / Camden Underworld (unk)",AUD,,
"2-1-1993 / Bonn, Germany - Biskuithalle - VHS(x) (unk)",AUD,DVD,
"2-2-1993 / Frankfurt, Germany / Musikhalle *Them Bones",Silver CD,SHN,
"2-2-1993 / Frankfurt, Germany - Music Hall - DAT(1) (r kohler)",AUD,FLAC,
"2-2-1993 / Frankfurt, Germany / Musikhalle",AUD,DVD,
"2-2-1993 / Frankfurt, Germany / Music Halle (unk) (koondog)",AUD,FLAC,
"2-4-1993 / Nuremburg, Germany / Resi (unk)",AUD,FLAC,
"2-7-1993 / Lund, Sweden / Mejeriet",AUD,FLAC,
"2-7-1993 / Lund, Sweden / Mejeriet (Marantz EM-8) (crazy tapes)",AUD,FLAC 24,
"2-8-1993 / Stockholm, Sweden / Cirkus - VHS(1)",AUD,DVD,
"2-17-1993 / Milan, Italy / Rolling Stone (unk) (andy a.)",AUD,SHN,
"2-17-1993 / Milan, Italy / Rolling Stone",AUD,DVD,
"2-19-1993 / Paris, France / Elysee Montmarte *Come and Save Me",Silver CD,FLAC,
"2-20-1993 / Tilburg, Holland / Noorderligt *Little Red Rooster",AUD,SHN,
"2-20-1993 / Tilburg, The Netherlands / Noorderligt - VHS(1)",AUD,DVD,
"2-21-1993 / Amsterdam, The Netherlands / Paradiso (Sony WM-D6) *Live Dirt ",AUD,FLAC,
"2-23-1993 / Nottingham, UK / Rock City *Dirty Toy Town",AUD,FLAC,
"2-24-1993 / Stuttgart, Germany / Longhorn",AUD,FLAC,
"2-26-1993 / London, England / Town and Country Club",AUD,FLAC,
"3-1-1993 / Manchester, England / Manchester Academy 1 - ANA(1) (unk)",AUD #1,FLAC,
"3-2-1993 / Glasgow, Scotland / Barrowlands *Bad Dream",preFM,SHN,
"3-3-1993 / Nottingham, UK / Rock City *Dirty Toy Town",SBD,FLAC,
"3-8-1993 / Paris, France / Elysee Montmartre ",AUD,FLAC,
"3-8-1993 / Paris, France / Elysee Montmartre (Aiwa CM-30) (stephane)",AUD,FLAC,
"4-9-1993 / Salem, OR / Salem Armory - DAT(M) (DSM-6)",AUD,FLAC,
"4-11-1993 / San Jose, CA / San Jose Event Center (ECM 909) (unk) ",AUD,FLAC,
"4-11-1993 / San Jose, CA / Event Center Arena",AUD,DVD,
"4-12-1993 / Irvine, CA / Bren Events Center - University of CA (PC-62) (steve hagar)",AUD,FLAC,
"4-12-1993 / Irvine, CA / Bren Events Center @ UCI (DSM-6 Matrix) (andy a.)",AUD,SHN,
"6-18-1993 / Vancouver, BC / UBC Thunderbird Stadium (Lollapalooza III) (ECM-907)",AUD,FLAC,
"6-19-1993 / George, WA / The Gorge Amphitheatre (PC-62) (steve hagar)",AUD,FLAC,
"6-20-1993 / Portland, OR / Lollapalooa *Tie Me Up",AUD,FLAC,
"6-22-1993 / Mountain View, CA / Shoreline Amphitheatre (Sony ECM 909)",AUD,SHN,
"6-22-1993 / Mountain View, CA / Shoreline Amphitheatre - ANA(M) (unk)",AUD,FLAC,
"6-23-1993 / Mountain View, CA / Shoreline Amphitheatre (PC-62) (steve hagar)",AUD,FLAC,
"6-26-1993 / Englewood, CO / Fiddler's Green Amphitheatre (Lollapalooza III)",SBD,FLAC,
"6-29-1993 / St. Paul, MN / Civic Center (DSM-6)",AUD,FLAC,
"7-9-1993 / Milan, MI / Milan Dragway (Lollapalooza III) - ANA(M) (Realistic SCP-29) (unk)",AUD,FLAC,
"7-10-1993 / Barrie, Ontario / Molson Music Park (Lollapalooza III)",AUD,FLAC,
"7-12-1993 / Stanhope, NJ / Waterloo Village (Lollapalooza III) (Sony D3 w/ stock mic) (koondog)",AUD #1,FLAC,
"7-12-1993 / Stanhope, NJ / Waterloo Village (Lollapalooza III) - DAT(M) (Schoeps CMC4/MK41) (billydee)",AUD,FLAC,
"7-13-1993 / Stanhope, NJ / Waterloo Village (Lollapalooza III) (Sony D3) (koondog)",AUD,FLAC,
"7-13-1993 / Stanhope, NJ / Waterloo Village (Lollapalooza III) ",AUD,FLAC,
"7-17-1993 / Providence, RI / Quonset State Park (Lollapalooza III)",AUD,FLAC,
"8-6-1993 / Irwindale, CA / Santa Fe Dam - ANA(M) (unk)",AUD,FLAC,
"8-7-1993 / Irwindale, CA / Santa Fe Dam (Sony WM-D6)",AUD,FLAC,
"9-18-1993 / Spokane, WA / Spokane Colliseum - VHS(x) ",AUD,DVD,
"10-4-1993 / London, England / Brixton Academy  - ANA(3) (unk)",AUD,FLAC,
"10-5-1993 / London, England / Brixton Academy (ECM-909)",AUD,FLAC,
"10-13-1993 / New-Isenburg, Germany / Hugottenhalle",AUD,FLAC,
"10-13-1993 / New-Isenburg, Germany / Hugottenhalle (unk) (steve hagar)",AUD,FLAC,
"10-15-1993 / Paris, France / Elysee Montmartre *Come And Save Me",Silver CD,FLAC,
"10-15-1993 / Paris, France / Elysee Montmartre (Aiwa CM-30) (stephane)",AUD,FLAC,
"10-17-1993 / Rotterdam, NL / Ahoy Club (CM30a) (stephane)",AUD,FLAC,
"10-23-1993 / Osaka, Japan / IMP Hall *Swarm",AUD,SHN,
"10-23-1993 / Osaka, Japan / IMP Hall (unk) (steve hagar)",AUD,SHN,
"10-23-1993 / Osaka, Japan / IMP Hall *Swarm (steve hagar remaster)",AUD,FLAC,
"10-29-1993 / Melbourne, Australia / Festival Hall (unk)",AUD,DVD,
"11-2-1993 / Melbourne, Australia / The Palace (drainman transfer)",AUD,FLAC,
"11-2-1993 / Melbourne, Australia / The Palace (speed corrected)",AUD,FLAC,
,,,
[1994],,,
"1-7-1994 / Hollywood, CA / Hollywood Palladium (Semi-acoustic set) - ANA(M) (Sony WM-D6) ",AUD,FLAC,
"2-23-1994 / Osaka, Japan / Castle Hall *Swarm",SBD,FLAC,
"2-24-1994 / Osaka, Japan / Castle Hall *Swarm (unk)",AUD,SHN,
,,,
[1996],,,
"6-28-1996 / Detroit, MI / Tiger Stadium (Sony D7) govner)",AUD,FLAC,
"6-28-1996 / Detroit, MI / Tiger Stadium (unk)",AUD,FLAC,
"6-30-1996 / Louisville, KY / Freedom Hall - University of KY (CSB) (sim)",AUD #1,SHN,
"6-30-1996 / Louisville, KY / Freedom Hall - University of KY  (unk)",AUD #2,,
"7-2-1996 / St. Louis, MO / Kiel Center (unk)",AUD,FLAC,
"7-3-1996 / Kansas CIty, MO / Kemper Arena (unk)",AUD,FLAC,
"7-3-1996 / Kansas CIty, MO / Kemper Arena - Hi8(M) (supersonic video)",AUD,DVD,*Last show with Layne
,,,
[2005],,,
"2-18-2005 / Seattle, WA / The Premiere Nightclub / Tsunami Relief Benefit (unk)",AUD,FLAC,
,,,
[2006],,,
"3-10-2006 / Atlantic City, NJ / Trump Taj Mahal (SP-CMC 4) (unk)",AUD,FLAC,
"5-18-2006 / West Hollywood, CA / Roxy Theater (DPA 4061) (distortion)",AUD,FLAC,
"6-2-2006 / Nürburg, DE / Nürburgring - Rock am Ring (PRO) (freezed)",PRO,DVD,
"6-15-2006 / Nickelsdorf, Austria / Novarock Festival (Sony DCR-HC24) (unk)",AUD,DVD,
"7-23-2006 / Shizuoka, Japan / UDO Music Festival ",PRO,DVD,
"8-4-2006 / Sayreville, NJ / Starland Ballroom *Good To See You Too! (SP-CMC-4) (unk)",AUD,FLAC,
"8-5-2006 / Bethlehem, PA / River Place Venue - Musikfest (AT833) (bigt)",AUD,FLAC,
"8-13-2006 / Mansfield, MA / Tweeter Center - Mission Inez (ECM-719) (farve4)",AUD,SHN,
"10-10-2006 / Atlanta, GA / The Tabernacle",AUD,DVD,
"10-11-2006 / Orlando, FL / Hard Rock Live - DAT(M) (WM-61A) (kris sproul)",AUD,FLAC,
"10-22-2006 / Norfolk, VA / The Norva (SP-CMC4s) (noexcuses17)",AUD,FLAC,
"11-2-2006 / New York, NY / Nokia Theater (unk)",AUD,DVD,
"11-2-2006 / New York, NY - Nokia Theater (Sony HC21) (team dz) ",AUD,DVD,
"11-4-2006 / Niagara Falls, NY / Dome Theater (CSB) (sanpablobay)",AUD,FLAC,
"11-8-2006 / Chicago, IL / The Riviera (Giant Squid Omnis) (darktrain)",AUD,FLAC,
"11-26-2006 / San Francisco, CA / The Warfield (Oade Binaurals) (unk)",AUD,FLAC,
"11-26-2006 / San Francisco, CA / The Warfield (SP-CMC-20) (bh)",AUD,FLAC,
,,,
[2007],,,
"8-20-2007 / Camden, NJ / Tweeter Center (SP-CMC-4s) (noexcusses17)",AUD,FLAC,
"8-27-2007 / Clarkston, MI / DTE Energy Music Theatre (SPSM-1) (zach t)",AUD,FLAC,
"9-29-2007 / Austin, TX / Antones (M-Audio) (unk)",AUD,FLAC,
"10-17-2007 / Nashville, TN / Ryman Auditorium (SP-BMC-3) (garret)",AUD,FLAC,
,,,
[2009],,,
"8-22-2009 / Pamona, CA / Pamona Fairgrounds (SP-BMC-3) (garret)",AUD,FLAC,
"9-16-2009 / Cleveland, OH / House of Blues (Zoom H2) (warciple)",AUD,FLAC,
"9-19-2009a / Chicago, IL / Hard Rock Cafe (DPA 4061s) (tapeworm48)",AUD,FLAC,
"9-20-2009 / Milwaukee, WI / Eagles Ballroom (MM-HLSC-1s) (darktrain)",AUD,FLAC,
"9-21-2009 / Minneapolis, MN / First Avenue *Hit that Shit (Modded WM-61s) (kingjman)",AUD,FLAC,
"9-29-30-2009 / Hollywood, CA / Jimmy Kimmel Live",TV,M2TS,
"10-30-2009 / Los Angeles, CA / Tonight Show with Conan O' Brien",PRO,TS,
"11-14-2009 / Manchester, UK / Academy (SP-CMC-8) (unk)",AUD,FLAC,
"11-29-2009 / Vienna, Austria / Gasometer (SP-CMC-4U) (fothermucker)",AUD,FLAC,
,,,
[2010],,,
"2-5-2010 / Seattle, WA / Paramount Theatre - WAV(M) (Edirol R-09) (mike ziegler)",AUD,FLAC,
"2-17-2010 / Phoenix, AZ / Dodge Theatre (CA-11) (liquid_steel_az)",AUD,FLAC,
"2-25-2010 / Atlanta, GA / The Tabernacle (SS-DSM6-P) (ballsdeep)																			",AUD,FLAC,
"2-26-2010 / Atlanta, GA / The Tabernacle (SS-DSM6-P) (ballsdeep)",AUD,FLAC,
"3-3-2010 / Washington, D.C. / Constitution Hall (Zoom H4) (unk)",AUD,FLAC,
"3-5-2010 / Richmond, VA / National (CA-11s) (jagraham84)",AUD,FLAC,
"3-6-2010 / Mashantucket, CT / MGM Grand at Foxwoods (Sennheiser MKE-2) (ringfedder)",AUD,FLAC,
"3-8-2010 / New York, NY / Terminal 5 (CA-14s) (weedwacker)",AUD,FLAC,
"3-12-2010 / Atlantic City, NJ / The Borgata (Schoeps CCM4s) (jon)",AUD,FLAC,
"3-13-2010 / Upper Darby, PA / Tower Theater (Schoeps CCM4s) (jon)",AUD,FLAC,
"3-13-2010 / Upper Darby, PA / Tower Theater (CSB) (pineaway)",AUD,FLAC,
