A Perfect Circle,Versions,File Type,
Drive - B,,,
,,,
"5-9-2004 / Glen Falls, NY / Glen Falls Civic Center (DPA 4060s) (crimson)",AUD,FLAC,
"5-10-2004 / Augusta, ME / Augusta Civic Center (Radioshack mic) (shawn q)",AUD,FLAC,
"5-13-2004 / Raleigh, NC / RBC Center  - MD(M) (CSB) (neognosis)",AUD,FLAC,
"5-14-2004 / Charlotte, NC / Verizon Wireless (CSB) (geordy)",AUD,FLAC,
"5-14-2004 / Charlotte, NC / Verizon Wireless (CSB) (kingreptile)",AUD,FLAC,
"5-14-2004 / Charlotte, NC / Verizon Wireless - MD(M) (CSB) (neognosis)",AUD,FLAC,
"5-15-2004 / Atlanta, GA / Gwinnett Arena (CSB) (geordy)",AUD,FLAC,
"5-15-2004 / Atlanta, GA / Gwinnett Arena (CSB) (neognosis)",AUD,FLAC,
"5-21-2004 / Boca Raton, FL / Mizner Park Amphitheatre (Sony PC100) (unk)",AUD,DVD,
"5-24-2004 / Jackson, MS / Mississippi Coliseum (CSB) (adam)",AUD,FLAC,
"5-27-2004 / New Orleans, LA / UNO Lakefront Arena (CSB) (adam)",AUD,FLAC,
"5-29-2004 / Houston, TX / Woodlands Pavilion (SP-SPSB-1) (roio420)",AUD,FLAC,
"5-31-2004 / Austin, TX / Frank Erwin Center (SP-SPSB-1) (roio420)",AUD,FLAC,
"6-3-2004 / Las Vegas, NV / The Joint at Hard Rock Hotel and Casino (CSB) (distortion)",AUD,FLAC,
"6-4-2004 / Las Vegas, NV / The Joint at Hard Rock Hotel and Casino (CSB) (distortion)",AUD,FLAC,
"6-5-2004 / Universal City, CA / Universal Amphitheatre (CSB) (distortion)",AUD,FLAC,
"6-5-2004 / Universal City, CA / Universal Amphitheatre (DAB) (chris avis)",AUD,FLAC,
"6-6-2004 / San Jose, CA / State Events Center (DAB) (badur)",AUD,FLAC,
"6-13-2004 / Morrison, CO / Red Rocks Amphitheatre (CSC) (tractor)",AUD,FLAC,
,,,
[2010],,,
"10-27-2010 / Los Angeles, CA / Jimmy Kimmel Live (unk) (skwerl)",AUD,FLAC,
"11-4-2010 / Tempe, AZ / Marquee Theatre (AT831) (anonymous)",AUD,FLAC,
"11-4-2010 / Tempe, AZ / Marquee Theatre (CA STC-11) (to0l)",AUD,FLAC,
"11-5-2010 / Tempe, AZ / Marquee Theatre (AT831) (anonymous)",AUD,FLAC,
"11-5-2010 / Tempe, AZ / Marquee Theatre (Edirol R09) (brohammer)",AUD,FLAC,
"11-5-2010 / Tempe, AZ / Marquee Theatre (R09HR) (pipedreamer79)",AUD,FLAC,
"11-6-2010 / Tempe, AZ / Marquee Theatre (AT831) (anonymous)",AUD,FLAC,
"11-8-2010 / Los Angeles, CA / Avalon (ECM-719) (scrit)",AUD,FLAC,
"11-8-2010 / Los Angeles, CA / Avalon (unk)",IEM,FLAC 24,
"11-9-2010 / Los Angeles, CA / Avalon (DPA 4061s) (geordy)",AUD,FLAC,
"11-9-2010 / Los Angeles, CA / Avalon (Panasonic DMC-ZS3) (unk)",AUD,DVD,
"11-10-2010 / Los Angeles, CA / Avalon (Soundcheck)",IEM,FLAC 24,
"11-10-2010 / Los Angeles, CA / Avalon (DPA 4061s) (geordy)",AUD,FLAC,
"11-17-2010 / San Francisco, CA / The Fillmore - DAT(M) (CCM4s) (blg transfer) (unk)",AUD,FLAC,
"11-18-2010 / San Francisco, CA / The Fillmore - DAT(M) (CCM4s) (blg transfer) (unk)",AUD,FLAC,
"11-20-2010 / Las Vegas, NV / Palms Casino Resort (AT831s) (tapeworm)",AUD,FLAC,
"11-20-2010 / Las Vegas, NV / Palms Casino Resort (Sony PCM-M10) (cabbage)",AUD,FLAC 24,
"11-21-2010 / Las Vegas, NV / Palms Casino Resort (AT831s) (tapeworm)",AUD,FLAC,
"11-21-2010 / Las Vegas, NV / Palms Casino Resort (MMHLSC) (cabbage)",AUD,FLAC 24,
,,,
[2011],,,
"6-29-2011 / Portland, OR / Arlene Schnitzer Concert Hall (Tascam DR-100) (shamil11)",AUD,FLAC 24,
"6-30-2011 / Kent, WA / ShoWare Center (Tascam DR-100) (shamil11)",AUD,FLAC 24,
"7-4-2011 / Winnipeg, MB / Centennial Concert Hall (CA-14) (gorgon)",AUD,FLAC,
"7-8-2011 / Detroit, MI / Fox Theatre (Edirol R09) (relayer67.0)",AUD,FLAC,
"7-13-2011 / New York, NY / Hammerstein Ballroom (ATu853s) (dassarri)",AUD,FLAC 24,
"7-13-2011 / New York, NY / Hammerstein Ballroom (SP-TFB-2) (unk)",AUD,FLAC 24,
"7-17-2011 / Washington, D.C. / DAR Constitution Hall (Sennheiser Micro MMHLSC) (cabbage)",AUD,FLAC 24,
"7-19-2011 / Charlotte, NC / Time Warner Cable Uptown Amphitheatre (CA-11s) (nsl)",AUD,FLAC,
"7-19-2011 / Charlotte, NC / Time Warner Cable Uptown Amphitheatre (AKG CK91) (rjrumfh)",AUD,FLAC,
"7-19-2011 / Charlotte, NC / Time Warner Cable Uptown Amphitheatre (DPA 4061) (univonc)",AUD,FLAC 24,
"7-22-2011 / San Antonio, TX / Freeman Coliseum (AT831) (adam)",AUD,FLAC,
"7-25-2011 / Phoenix, AZ / Comerica Theatre (DPA 4061s) (geordy)",AUD,FLAC,
"7-26-2011 / San Diego, CA / SDSU Open Air Theatre (DPA 4061s) (geordy)",AUD,FLAC 24,
"7-26-2011 / San Diego, CA / SDSU Open Air Theatre (ECM-719) (scrit)",AUD,FLAC,
"7-26-2011 / San Diego, CA / SDSU Open Air Theatre - DAT(M) (Sony PCM-M1)",IEM,FLAC,
"7-28-2011 / Los Angeles, CA / Gibson Amphitheater (DPA4061s) (geordy)",AUD,FLAC,
"7-30-2011 / Berkeley, CA / Greek Theater (Schoeps CMC34) (unk)",AUD,FLAC,
"8-5-2011 / Chicago, IL / Grant Park (Lollapalooza) (AT831s) (tapeworm48)",AUD,FLAC 24,
"8-5-2011 / Chicago, IL / Grant Park (Lollapalooza) (CA-14) (discopij)",AUD,FLAC,
,,,
[2013],,,
"3-1-2013 / Melbourne, Australia / Soundwave Festival (ECM-717) (monkeyguy)",AUD,FLAC,
"3-30-2013 / Sao Paulo, Brazil / Lollapalooza",PRO,TS,
,,,
[2014],,,
"5-10-2014 / Los Angeles, CA / Greek Theatre (Cinquanta - Puscifer, APC, Failure) (DPA 4061s) (ed davis)",AUD,FLAC,
,,,
[2017],,,
"4-10-2017 / Phoenix, AZ / Comerica Theatre (Schoeps MK4s) (tapeworm48)",AUD,FLAC,
"4-11-2017 / San Diego, CA / Open Air Theatre (Schoeps MK41s) (ed davis)",AUD,FLAC,
"4-19-2017 / Kansas City, MO / Starlight Theater (Internal mics) (unk)",AUD,FLAC,
"4-19-2017 / Kansas City, MO / Starlight Theater (Internal mics) (anonymous)",AUD,FLAC,
"4-25-2017 / Austin, TX / Cedar Park Center (Olympus LS-12) (exene/bluejane99)",AUD,FLAC,
"4-30-2017 / Fort Myers, FL / Fort Rock Festival (iPhone 7) (anton.g)",AUD,MP4,
"5-2-2017 / Alpharetta, GA / Verizon Wireless Amphitheater (DPA 4061s) (geordy)",AUD,FLAC 24,
"5-3-2017 / Nashville, TN / Bridgestone Arena (Zoom H1) (hollowmoons)",AUD,FLAC,
"10-23-2017 / Colorado Springs, CO / Broadmoor World Arena (ATu853s) (dassarri)",AUD,FLAC,
"10-30-2017 / Knoxville, TN / Thompson-Boling Arena (DPA 4061s) (geordy)",AUD,FLAC 24,
"11-5-2017 / Uncasville, CT / Mohegan Sun Casino (Sennheiser ME-104s) (ringfedder)",AUD,FLAC,
"11-8-2017 / Boston, MA / Agganis Arena (Rode iXY) (jrw)",AUD,FLAC,
"11-10-2017 / Portland, ME / Cross Insurance Arena (Edirol R9) (ec666)",AUD,FLAC,
"11-15-2017 / Toronto, Ontario / Air Canada Centre (AT853s) (bobcat)",AUD,FLAC,
"11-19-2017 / Detroit, MI / Fox Theatre (Roland R-05) (unk)",AUD,FLAC,
"11-24-2017 / Chicago, IL / UIC Pavilion (AT831s) (tapeworm)",AUD,FLAC,
"12-4-2017 / Eugene, OR / Matthew Knight Arena (Tascam DR-100) (shamil11)",AUD,FLAC 24,
,,,
[2018],,,
"4-18-2018 / San Jose, CA / Events Center (Schoeps CCM4) (anonymous)",AUD,FLAC,
"5-16-2018 / Columbia, MD / Mizzou Arena (DPA 4061s) (geordy)",AUD,FLAC,
"5-26-2018 / Dallas, TX / Dos Equis Pavilion (Sony PCM-M10) (texasknight)",AUD,FLAC,
"6-1-2018 / Nurburg, Germany / Nurburgring - Rock am Ring",Webcast,TS,
"6-18-2018 / Landgraaf, The Netherlands / Pinkpop Festival",PRO,TS,
"6-20-2018 / Zurich, Switzerland / Halle 622 (Schoeps MK41V) (sebi2704)",AUD,FLAC,
"6-24-2018 / Dessel, Belgium / Boeretang - Graspop Metal Meeting (SP-CMC-8) (unk)",AUD,FLAC,
"6-26-2018 / Paris, France / Olympia - Hi-MD(M) (Sony ECM-717) (sonicdeath)",AUD #1,FLAC,
"11-3-2018 / Lexington, KY / Rupp Arena (DPA 4061s) (geordy)",AUD,FLAC,
"12-5-2018 / London, UK / Wembley Arena (DPA 4061) (duncan)",AUD,FLAC 24,
,,,
[2024],,,
"4-27-2024 / Las Vegas, NV / Las Vegas Fairgrounds - Sick New World (iPhone) (anonymous) ",AUD,FLAC 24,
,,,
,,,
[MISC],,,
A Perfect Circle - Inside 13 Steps,FM,FLAC,
A Perfect Circle - Inside Emotive,FM,FLAC,
A Perfect Circle - Three Sixty (Deluxe Edition) (Album),,FLAC,
A Perfect Circle - Three Sixty (Album),,FLAC,
A Perfect Circle - Thirteenth Step - Live (Album),,FLAC,
A Perfect Circle - Stone and Echo Live at Red Rocks (Album),,FLAC,
A Perfect Circle - Mer De Noms - Live (Album),,FLAC,
A Perfect Circle - eMOTIVe (Album),,FLAC,
A Perfect Circle - aMOTION (Album),,FLAC,
A Perfect Circle - 3 Libras (Single),,FLAC,
