A Perfect Circle,Versions,File Type,
Drive - B,,,
,,,
"6-10-2000 / Portland, OR / Rose Garden Arena (CSC) (unk)",AUD,FLAC,
"6-10-2000 / Portland, OR / Rose Garden Arena (SPHC) (unk)",AUD,FLAC,
"6-12-2000 / Spokane, WA / Spokane Arena (CSB) (unk)",AUD,FLAC,
"6-13-2000 / Vancouver, BC / General Motors Palace (CSB) (unk)",AUD,FLAC,
"6-15-2000 / Sacramento, CA / Valley Amphitheatre (CSB) (electrik)",AUD,FLAC,
"6-15-2000 / Sacramento, CA / Valley Amphitheatre (CSB) (unk)",AUD,FLAC,
"6-15-2000 / Sacramento, CA / Valley Amphitheatre (MK4) (coluzzi)",AUD,FLAC,
"6-18-2000 / Denver, CO / Pepsi Arena (CSB) (unk)",AUD,FLAC,
"6-23-2000 / Glastonbury, UK / Glastonbury Festival - ANA(1) (christophe d transfer)",FM,FLAC,
"6-23-2000 / Glastonbury, UK / Glastonbury Festival (Vivanco EM216) (unk)",AUD,FLAC,
"6-27-2000 / Paris, France / La Maroquinerie (AKG C1000) (unk)",AUD,FLAC,
"6-27-2000 / Paris, France / La Maroquinerie (EM8) (unk)",AUD,FLAC,
"7-1-2000 / London, UK / Docklands Arena - DAT(M) (CSB) (catalystx)",AUD,FLAC,
"7-1-2000 / London, UK / Docklands Arena (MZ-R70) (unk)",AUD,FLAC,
"7-1-2000 / London, UK / Docklands Arena (unk)",AUD,FLAC,
"7-2-2000 / Werchter, Belgium / Werchter Festival - Main Stage - ANA(1) (unk)",FM,FLAC,
"7-10-2000 / Amsterdam, The Netherlands / Melkweg (Marantz EM8) (job storm)",AUD,FLAC,
"7-10-2000 / Amsterdam, The Netherlands / Melkweg (Sony TCD) (unk)",AUD,FLAC,
"7-13-2000 / London, UK / The Forum - MD(M) (ECM-717) (unk)",AUD,FLAC,
"7-15-2000 / Nottingham, England / Rock City Basement (Soundcheck) (unk)",AUD,FLAC,
"7-22-2000 / Sydney, Australia / The Metro (ECM-909) (unk)",AUD,FLAC,
"7-24-2000 / St. Kilda, Australia / The Palace Complex - MD(x) (unk)",AUD,FLAC,
"7-30-2000 / Niigata, Japan / Japan Fuji Rock Festival - VHS(M) (unk)",PRO,DVD,
"8-6-2000 / Edmonton, AB / Commonwealth Stadium - MiniDV(x) > VHS(3) (unk)",AUD,DVD,
"8-6-2000 / Edmonton, AB / Commonwealth Stadium (DV Cam) (unk)",AUD,FLAC,
"8-7-2000 / Saskatoon, Saskatchewan / Summersault Tour (CSB) (spfreak77)",AUD,FLAC,
"8-9-2000 / Winnipeg, Manitoba / Winnipeg Stadium (CSB) (unk)",AUD,FLAC,
"8-11-2000 / Barrie, Ontario / Molson Park - DAT(M) (MKE2002) (ms)",AUD,FLAC,
"8-11-2000 / Barrie, Ontario / Molson Park (DSM6) (unk)",AUD,FLAC,
"8-11-2000 / Barrie, Ontario / Molson Park (unk)",AUD,FLAC,
"8-12-2000 / Montreal, Quebec / Parc des Iles (DSM6) (unk)",AUD,FLAC,
"8-13-2000 / Ottawa, Canada / Rideau Carlton Raceway (DSM6) (unk)",AUD,FLAC,
"8-13-2000 / Ottawa, Canada / Rideau Carlton Raceway (unk)",AUD,FLAC,
"8-18-2000 / Boston, MA / Avalon (CSBmod) (asselin)",AUD,FLAC,
"8-18-2000 / Boston, MA / Avalon (CSBmod) (asselin) (coolusername edit)",AUD,FLAC,
"8-19-2000 / New York, NY / Roseland Ballroom (HEB) (unk)",AUD,FLAC,
"8-20-2000 / Philadelphia, PA / Electric Factory (SP-SPSM-2) (skwerl)",AUD,FLAC,
"8-22-2000 / Atlanta, GA / The Tabernacle - DAT(M) (DSM6) (unk)",AUD,FLAC,
"8-23-2000 / Atlanta, GA / The Tabernacle (DSM6) (unk)",AUD,FLAC,
"8-26-2000 / Cleveland, OH / Agora Theatre (DSM6) (unk)",AUD,FLAC,
"8-27-2000 / Chicago, IL / Riviera Theatre (CSC) (unk)",AUD,FLAC,
"8-27-2000 / Chicago, IL / Riviera Theatre (unk)",AUD,FLAC,
"9-1-2000 / Denver, CO / Fillmore Auditorium (CSB) (sxpxdxcx)",AUD,FLAC,
"9-1-2000 / Denver, CO / Fillmore Auditorium (CSB/120) (unk)",AUD,FLAC,
"9-4-2000 / Seattle, WA / Paramount Theatre - DAT(M) (CSB) (catalystx)",AUD,FLAC,
"9-6-2000 / San Francisco, CA / Warfield Theatre - DAT(1) (CSB/120) (unk)",AUD,FLAC,
"9-6-2000 / San Francisco, CA / Warfield Theatre - MD(M) (unk)",AUD,FLAC,
"9-8-2000 / Hollywood, CA / Palladium - DAT(M) (DPA 4061s) (ed davis)",AUD,FLAC,
"9-8-2000 / Hollywood, CA / Palladium (HEB) (unk)",AUD,FLAC,
"9-11-2000 / San Diego, CA / Rimac Arena (DCR-TRV900) (arizona bay)",AUD,DVD,
"9-11-2000 / San Diego, CA / Rimac Arena (SPSC) (mason)",AUD,FLAC,
"9-12-2000 / Tempe, AZ / Club Rio (CSB) (unk)",AUD,FLAC,
"9-15-2000 / Austin, TX / Music Hall (DSM6) (unk)",AUD,FLAC,
"9-16-2000 / Houston, TX / Aerial Theatre (Sony MDR-Q33LP) (adam lancaster)",AUD,FLAC,
,,,
[2001],,,
"1-31-2001 / Portland, OR / Keller Auditorium (unk)",AUD,FLAC,
"2-3-2001 / Seattle, WA / Mercer Arena - DAT(M) (CSB/120) (catalystx)",AUD,FLAC,
"2-3-2001 / Seattle, WA / Mercer Arena (SPHC) (unk)",AUD,FLAC,
"2-5-2001 / Sacramento, CA / Memorial Auditorium (CSB) (unk)",AUD,FLAC,
"2-5-2001 / Sacramento, CA / Memorial Auditorium - DAT(M) (ECM-TS120) (brad ziegler)",AUD,FLAC,
"2-6-2001 / Irvine, CA / Bren Events Center (CSB) (grey zone)",AUD,FLAC,
"2-8-2001 / San Jose, CA / San Jose Event Centre (CSB) (elec)",AUD,FLAC,
"2-8-2001 / San Jose, CA / San Jose Event Centre (DSM6) (unk)",AUD,FLAC,
"2-10-2001 / Las Vegas, NV / The Joint (Schoeps MK4) (unk)",AUD,FLAC,
"2-17-2001 / New Orleans, LA / UNO Lakefront Arena (Sony MDR-Q33LP) (adam lancaster)",AUD,FLAC,
"2-21-2001 / Ft. Lauderdale, FL / Sunrise Theater (ALD) (unk)",AUD,FLAC,
"2-21-2001 / Ft. Lauderdale, FL / Sunrise Theater (CSC) (unk)",AUD,FLAC,
"2-23-2001 / Atlanta, GA / International Ballroom (HEB) (unk)",AUD,FLAC,
"3-3-2001 / Washington, D.C. / Bender Arena (Sharp MD-MT831) (unk)",AUD,FLAC,
"3-4-2001 / Philadelphia, PA / Ozone Recording Studios (ECM-717) (spacey)",AUD,FLAC,
"3-4-2001 / Philadelphia, PA / Ozone Recording Studios (unk)",SBD,FLAC,
"3-4-2001 / Philadelphia, PA / Ozone Recording Studios (SP-SPSM-2) (skwerl)",AUD,FLAC,
"3-8-2001 / Waltham, MA / Gosman Center at Brandeis University (CSB) (unk)",AUD,FLAC,
"3-10-2001 / Asbury Park, NJ / The Boardwalk (CS) (oysterhead)",AUD,FLAC,
"3-10-2001 / Asbury Park, NJ / The Boardwalk (SP PSB) (unk)",AUD,FLAC,
"3-12-2001 / Buffalo, NY / Burt Flickinger Arena (AT853s) (toaster)",AUD,FLAC,
"3-12-2001 / Buffalo, NY / Burt Flickinger Arena (unk)",AUD,FLAC,
"3-18-2001 / Dayton, OH / Hara Arena (unk)",AUD,FLAC,
"3-27-2001 / Kent, OH / Kent State University (Mac Centre) - DAT(M) (CSB) (unk)",AUD,FLAC,
"3-27-2001 / Kent, OH / Kent State University (Mac Centre) (ECM-907) (unk)",AUD,FLAC,
"3-29-2001 / Ypsilanti, MI / EMU Convocation Centre (AT853) (unk)",AUD,FLAC,
"3-29-2001 / Ypsilanti, MI / EMU Convocation Centre (Radioshack Omnis) (galen master) - Includes opener",AUD,FLAC,
"3-29-2001 / Ypsilanti, MI / EMU Convocation Centre (Radioshack Lavs) (gsp)",AUD,FLAC,
,,,
[2003],,,
"7-24-2003 / Burbank, CA / CenterStaging Studios (Olympus Pearlcorder J300) (skwerl) (inc)",AUD,FLAC,
"7-26-2003 / Denver, CO / Ogden Theater (Schoeps MK4) (bill)",AUD,FLAC,
"7-28-2003 / Dallas, TX / Granada Theater (AT350s) (stephan)",AUD,FLAC,
