Ryan Adams,Versions,File Type,
"11-14-2001 / San Francisco, CA / The Fillmore ",SBD,FLAC,
"11-15-2001 / Los Angeles, CA / House of Blues",AUD,FLAC,
"12-3-2001 / Columbia, MO / Blue Note",SBD,FLAC,
"12-5-2001 / Minneapolis, MN / First Avenue - DAT(1) (SP-CMC-8) (mike katola)",AUD,FLAC,
"12-6-2001 / Iowa City, IA / IMU Main Lounge - University of Iowa",SBD,FLAC,
"12-7-2001 / Madison, WI / Barrymore Theatre",SBD,FLAC,
,,,
[2002],,,
"1-22-2002 / Sydney, Australia / Metro Theatre *The Musical Magpie",AUD,FLAC,
"2-5-2002 / Utrecht, The Netherlands / Hilversum Radio Show",TV,FLAC,
"2-6-2002 / Amsterdam, The Netherlands / Paradiso Grote Zaal",SBD,FLAC,
"2-8-2002 / Oslo, Norway / Rockefeller Music Hall (CSB)",AUD,FLAC,
"2-9-2002 / Stockholm, Sweden / The Annexet",SBD,FLAC,
"2-13-2002 / Hamburg, Germany / Grosse Freiheit 36",SBD,FLAC,
"2-14-2002 / Frankfurt, Germany / Batschkapp",AUD,FLAC,
"2-15-2002 / Paris, France / Le Trabendo (CSB)",AUD,FLAC,
"2-17-2002 / Munich, Germany / Georg-Elser-Hallen",SBD,FLAC,
"2-18-2002 / Milan, Italy / Alcatraz",SBD,FLAC,
"2-25-2002 / Los Angeles, CA / El Rey Theatre (MarcSounds) (markp)",AUD,FLAC,
"3-1-2002 / San Diego, CA / 4th and B (Schoeps CCM4) (markp)",AUD,FLAC,
"3-1-2002 / San Diego, CA / 4th and B",SBD,FLAC,
"3-3-2002 / San Francisco, CA / The Warfield (SP BMC-4) (scott uyeda)",AUD,FLAC,
"3-4-2002 / San Francisco, CA / Great American Music Hall (K-fog private concert)",SBD,FLAC,
"3-6-2002 / Portland, OR / Roseland Theatre",SBD,FLAC,
"3-7-2002 / Seattle, WA / The Moore Theatre (Sony MZ-R30) (jeffrey wagner)",AUD,FLAC,
"3-7-2002 / Seattle, WA / The Moore Theatre (jeffrey wagner)",SBD,FLAC,
"3-8-2002 / Seattle, WA / Century Ballroom",AUD,FLAC,
"3-13-2002 / Chicago, IL / Riviera Theatre",SBD,FLAC,
"3-14-2002 / Cleveland, OH / Agora Theatre",SBD,FLAC,
"3-15-2002 / Detroit, MI / Majestic Theatre - DAT(M) (daniel ross)",SBD,FLAC,
"3-21-2002 / New York, NY / Roseland Ballroom",SBD,FLAC,
"3-22-2002 / Philadelphia, PA / Electric Factory",AUD,SHN,*Couldn't get SHN files to convert
"3-24-2002 / Hollywood, CA / Moomba Restaurant - Elton John Oscar Party",SBD,FLAC,
"4-2-2002 / Nashville, TN / Grand Ole Opry House - CMT Crossroads with Elton John",SBD,FLAC,
"4-2-2002 / Nashville, TN / Grand Ole Opry House - CMT Crossroads with Elton John (dan jones)",TV,FLAC,
"4-9-2002 / London, England / Brixton Academy (chris migliaccio)",SBD,FLAC,
"4-10-2002 / London, England / Brixton Academy - DAT(M) (willie thompson) ",SBD,FLAC,
