The Flaming Lips,Versions,File Type
"4-30-1996 / Chicago, IL / Double Door (Realistic 33-1065)",AUD,FLAC
"5-4-1996 / Minneapolis, MN / First Avenue",AUD,FLAC
"5-10-1996 / Seattle, WA / Cellophane Square",AUD,FLAC
"5-11-1996 / Seattle, WA / Moe's",AUD,FLAC
"5-15a-1996 / Santa Monica, CA / KCRW Radio Session *Brave New World (jumpsuit james)",FM,FLAC
"5-15-1996 / San Francisco, CA / Slim's",SBD,FLAC
"5-22-1996 / Houston, TX / The Abyss (Sony ECM 959A)",AUD,FLAC
"5-24-1996 / Dallas, TX / Trees",SBD,FLAC
"6-27-1996 / Roskilde, Denmark / Roskilde Festival",preFM,FLAC
"6-29-1996 / Roskilde, Denmark / Roskilde Festival / Danish Radio's Studio",SBD,FLAC
"7-19-1996 / Stratford-Upon-Avon, UK / Phoenix Fest",AUD,FLAC
"8-25-1996 / Reading, UK / Reading Festival",SBD,FLAC
,,
[1998],,
"2-28-1998 / San Francisco, CA / Bimbos 365 Club *Boom-Box Experiment",AUD,FLAC
"4-20-1998 / Minneapolis, MN / Polish Alliance Hall *Boom-Box Experiment",AUD,FLAC
"5-16-1998 / London, England / The Forum *Boom-Box Experiment #13",AUD,FLAC
"9-27-1998 / New York, NY / Wetlands Preserve *Boom-Box Experiment #19 (jumpsuit james)",AUD,FLAC
"9-28-1998 / Boston, MA / Middle East *Boom-Box Experiment #20",AUD,FLAC
,,
[1999],,
"3-19-1999 / Dallas, TX / Trees - DAT(M) ",SBD,FLAC
"4-22-1999 / London, England / Electric Ballroom",AUD,FLAC
"7-15-1999 / Columbus, OH / Big Room (WWCD 101)",FM,FLAC
"8-2-1999 / Santa Monica, CA / Morning Becomes Eclectic",FM,FLAC
"10-23-1999 / London, UK / Astoria Theatre",FM,FLAC
"11-6-1999 / London, UK / Jools Holland Show ",TV,FLAC
,,
[2000],,
"3-8-2000 / Iowa City, IA / Union Bar (cps)",AUD,FLAC
"3-19-2000 / Columbia, MO / The Blue Note (alien rendel)",FM,FLAC
"3-23-2000 / Portland, OR / Crystal Ballroom",AUD,FLAC
"3-30-2000 / Los Angeles, CA / El Rey Theatre (el rey master)",AUD,FLAC
"4-23-2000 / Bloomington, IN / Buskirk-Chumley Theatre (CSC)",AUD,FLAC
"4-26-2000 / Chicago, IL / Cabaret Metro (alien rendel)",FM,FLAC
"7-1-2000 / Roskilde, Denmark / Roskilde Festival",FM,FLAC
"8-13-2000 / Paredes de Coura, Portugal / Festival Paredes de Coura (Sony MD-MS702)",AUD,FLAC
"10-4-2000 / Milwauke, WI / The Rave (mason butler & soniclovenoize)",FM,FLAC
"10-21-2000 / Reykavik, Iceland / Iceland Airwawes",FM,FLAC
"12-14-2000 / Barceleona, Spain / Razzmatazz",FM,FLAC
,,
[2001],,
"8-4-2001 / Benicassim, Spain / Recinto de Festivales",FM,FLAC
,,
[2002],,
"7-4-2002 / Birmingham, UK / Alexandra Theatre - Station Street (pm)",AUD,FLAC
"7-6-2002 / London, UK / BBC 6 - Maida Vale Studio (FM 89.9)",FM,FLAC
"7-17-2002 / Los Angeles, CA / Knitting Factory",AUD,FLAC
"7-18-2002 / Santa Monica, CA / KCRW Studios ",FM,SHN
"8-1-2002 / Kansas City, MO / City Market (ryan patrick)",AUD,SHN
"8-5-2002 / Seattle, WA / KEXP - The Stevie Zoom Show (jumpsuit james)",FM,FLAC
"8-8-2002 / Santa Monica, CA / Morning Becomes Eclectic ",FM,FLAC
"8-14-2002 / London, UK / Evening Session",FM,FLAC
"8-16-2002 / London, England / BBC Television Centre - BBC Session",TV,FLAC
"8-29-2002 / Columbus, OH / WWCD FM - CD101 Radio Broadcast (keith hanlon)",FM,FLAC
9-6-2002 / BBC Recovered,FM,
"10-18-2002 / Chicago, IL / Chicago Theater (with Beck) (Sony ECM-MS907)",AUD,SHN
"10-20-2002 / Toronto, Ontario / Massey Hall (lauren yakiwchuk)",AUD,FLAC
"10-30-2002 / New York, NY / Beacon Theatre (scott brown)",AUD,FLAC
"11-12-2002 / Austin, TX / Bass Concert Hall (andrew fogelsong)",AUD,FLAC
"11-13-2002 / Houston, TX / Jones Hall (AT-853s)",AUD,FLAC
"11-18-2002 / Denver, CO / Paramount Theater (w/ Beck) (sxpxdxcx)",AUD,FLAC
"11-25-2002 / Universal City, CA / Universal Amphitheatre (w/ Beck) (ed davis)",AUD,FLAC
"11-27-2002 / Oakland, CA / Paramount Theater (w/ Beck) (Shoeps)",AUD,FLAC
12-24-2002 / KCRW - Morning Becomes Eclectic (purse-youremybitch),FM,FLAC
"12-31-2002 / Chicago, IL / The Metro",AUD,FLAC
,,
[2003],,
"1-15-2003 / Glasgow, Scotland / Barrowland (gary barrett)",AUD,FLAC
"1-16-2003 / Manchester, UK / Manchester Academy (yousef)",AUD,FLAC
"1-22-2003 / London, England / The Forum - Lamacq Live Radio 1",FM,FLAC
"3-1-2003 / Vienna, Austria / Flex",FM,FLAC
"3-5-2003 / Stockholm, Sweden / Munchenbryggeriet (bruno schmidt)",FM,FLAC
"3-10-2003 / Amsterdam, Holland / De Melkweg *Yoshimi is the New Jelly Now (MD)",AUD,FLAC
"3-12-2003 / Paris, France / Elysee Montmartre (MD)",AUD,FLAC
"4-20-2003 / Washington, D.C. / 9:30 Club (SS DSM6S)",AUD,FLAC
"4-30-2003 / Pontiac, MI / Clutch Cargo's",AUD,FLAC
"5-3-2003 / Stockholm, Sweden / Munchenbryggeriet",FM,SHN
"5-28-2003 / San Francisco, CA / The Warfield (AT 822)",AUD,FLAC
"6-11-2003 / Edinburgh, Scotland (The Chemical Bros w/ TFL) (ryan mulberger)",TV,FLAC 24
"6-14-2003 / Manchester, TN / Bonnaroo - That Tent (mike train)",AUD,FLAC
"6-15-2003 / Manchester, TN / Bonnaroo (mike train)",AUD,FLAC
"7-6-2003 / Wiesen, Austria / Forestglade 2003",FM,FLAC
"7-30-2003 / Toronto, Ontario / Downsview Park",FM,FLAC
"8-6-2003 / Nashville, TN / Uptown Mix (nashphil)",AUD,FLAC
"8-9-2003 / Stanhope, NJ / Waterloo Concert Field (rob clarke)",AUD,FLAC
"8-13-2003 / Montreal, Quebec / Metropolis (ECM-DS70P)",AUD,FLAC
"10-2-2003 / Norfolk, VA / Norva Theatre (justin trinkes)",AUD,FLAC
"10-3-2003 / Fairfax, VA / Patriot Center (justin trinkes)",AUD,FLAC
"11-8-2003 / Glasgow, Scotland / Carling Academy (gary barrett)",AUD,FLAC
"11-9-2003 / Edinburgh, Scotland / Usher Hall (sappororamen)",AUD,FLAC
