Jimi Hendrix,Versions,File Type,
Jimi Hendrix & Love - Blue Thumb Acetate,,FLAC,
Jimi Hendrix - Hush Now,Vinyl,FLAC,
Jimi Hendrix - Band of Gypsys,Vinyl,FLAC,
Jimi Hendrix - Reputations The Man They Made God,,DVD,
Machine Gun (5CD),,SHN,
1-7 Apartment Jam w/ Taj Mahal,,FLAC,
The Jimi Hendrix Experience - 1969 Sessions,,FLAC,
Jimi Hendrix - The Woodstock Rehearsals (July-Sept 1969),SBD,FLAC,
Jimi Hendrix - The Ross Tapes,,FLAC,
Jimi Hendrix - Out In The Sun,,FLAC,
Jimi Hendrix - Sothebys Auction Tapes,,FLAC,
Jimi Hendrix - Lifelines [4CD] (1990),,FLAC,
Jimi Hendrix - Stages [4CD] (1991),,FLAC,
Jimi Hendrix - Smash Alternates,,FLAC,
Jimi Hendrix - Voodoo Blues,,FLAC,
Jimi Hendrix - Band of Gypsies - Live at the Fillmore East (1999) (VHS Transfer),,MKV,
The Electric Church,,FLAC,
Jimi Hendrix - Electric Church (DVD),,MKV,
Jimi Plays Berkeley (DVD),,MKV,
Jimi Hendrix - Isle of Wight,,MKV,
Jimi Hendrix - Electric Ladyland,,MKV,
The Live Withdrawn,,FLAC,
Jimi Hendric - Hear My Train A Comin (DVD),,MKV,
Jimi Hendrix - Live at Monterey Pop Festival,,MKV,
Jimi Hendrix - Winterland 3,,FLAC,
Jimi Hendrix - Kick Ass Live - Vol. 1 ,Compilation,FLAC,
Jimi Hendrix - The Collector's 1968 (22CD),,FLAC,
The Complete Winterland Reels (10-10/11/12-1968),,FLAC,
Various Artists - If 6 Was 9: A Tribute to Jimi Hendrix ,,FLAC,
Jimi Hendrix Experience - The Complete BBC Radio Sessions 1967 (Prof. Stoned 2020),,FLAC,
Jimi Hendrix - Zomby Blues - Bob Terry Tape #19,SBD,FLAC,
,,,
[DAGGER RECORDS],,,
01 Live at the Oakland Coliseum,Silver CD,FLAC,
02 Live at Clark University,Silver CD,FLAC,
03 Morning Symphony Ideas,Silver CD,FLAC,
04 Live in Ottawa,Silver CD,FLAC,
05 The Baggy's Rehearsal Sessions,Silver CD,FLAC,
06 Paris 1967 & San Francisco 1968,Silver CD,FLAC,
07 Hear my Music,Silver CD,FLAC,
08 Isle Of Fehmarn,Silver CD,FLAC,
09 Burning Desire,Silver CD,FLAC,
10 Live In Paris & Ottawa 1968,Silver CD,FLAC,
11 Live At Woburn,Silver CD,FLAC,
,,,
[SILVERS],,,
Jimi Hendrix & the Band of Gypsies - 2 Nights at the Fillmore East (6CD),Silver CD,FLAC,
Jimi Hendrix - Woodstock Project (2014),Silver CD,FLAC,
Jimi Hendrix - Valleys of Neptune (4CD),Silver CD,FLAC,
Jimi Hendrix - Truth And Emotion,Silver CD,FLAC,
Jimi Hendrix & Traffic - A Session {OH BOY 1-9027} (1990),Silver CD,FLAC,
Jimi Hendrix - Silver Blue to Bloody Red Vol. 1&2,Silver CD,FLAC,
Multi-Coloured Blues (The Unreleased Sessions),Silver CD,FLAC,
Mixdown Masters (Various Studio Jams & Outtakes) Vol 1-4,Silver CD,FLAC,
Jewel Box,Silver CD,SHN,
The Jimi Hendrix Experience - Naked Ladyland - Studio Sessions 1967-1968 (6CD),Silver CD,FLAC,
Jimi Hendrix - Get The Experience (IU-9421-1),Silver CD,FLAC,
Jimi Hendrix - 1969 - The L.A. Forum Concert (Radioactive) ,Silver CD,FLAC,
Moonbeam Fairytales: Jimi Saga 2 (1966-1967) 22CD Box set,Silver CD,FLAC,
Diamonds in the Dust (2CD),Silver CD,FLAC,
Earth Tones,Silver CD,FLAC,
Electric Ladyland Revisisted,Silver CD,FLAC,
Everyway to Paradise (4CD),Silver CD,FLAC,
Jimi Hendrix - Fire (TSP-CD-018),Silver CD,FLAC,
Infinity Beach - Deep Blue (DBCD127),Silver CD,FLAC,
Hendrix in Scandinavia (Voodoo Chile Records) 12CD set,Silver CD,FLAC,
Cherokee Mist,Silver CD,FLAC,
Jimi Hendrix - Berkeley Rehearsals ,Silver CD,FLAC,
Black Gold (5CD) Compilation,Silver CD,FLAC,
Jimi Hendrix - Are You Experienced (2009) (Deluxe Edition) (needledrop),Silver CD,FLAC,
Jimi Hendrix - Axis: Bold as Love (2009) (Deluxe Edition) (needledrop),Silver CD,FLAC,
"500,000 Halos",Silver CD,FLAC,
Astro Man Box Set (6CD),Silver CD,FLAC,
Am I Blue,Silver CD,FLAC,
Jimi Hendrix - Jimi Hendrix {LTD-24} (1993),Silver CD,FLAC,
Jimi Hendrix - On The Killing Floor {TSP-CD-012-2} (1989),Silver CD,FLAC,
Jimi Hendrix - Jimi A Musical Legacy {KTS BZ 010} (1995),Silver CD,FLAC,
,,,
[ORIGINAL VINYL TRANSFERS],,,
OVT001 - Last British Concert,,FLAC,
OVT002 - Last American Concert,,FLAC,
OVT003 - Sky High!,,FLAC,
OVT004 - Smashing Amps,,FLAC,
OVT005 - Incident At Rainbow Bridge,,FLAC,
OVT006 - Live At Philharmonic Hall,,FLAC,
OVT007 - Unknown Wellknown,,FLAC,
OVT008 - Guitar Hero,,FLAC,
OVT009 - Can You Please Crawl Out Your Window,,FLAC,
OVT010 - You Can't Use My Name,,FLAC,
"OVT011 - Davenport, Iowa '68",,FLAC,
OVT012 - Paris '67,,FLAC,
OVT013 - Electric Birthday Jimi,,FLAC,
OVT014 - First Rays Of The Rising Sun,,FLAC,
OVT015 - Hell's Session,,FLAC,
OVT016 - Fuckin' His Guitar For Denmark,,FLAC,
OVT017 - Two Sides Of The Same Genius,,FLAC,
"OVT018 - Live At The Olympia Theatre, Paris",,FLAC,
OVT019 - Loaded Guitar,,FLAC,
OVT020 - Unforgettable Experience,,FLAC,
,,,
,,,
[ARCHIVED TRADERS MATERIALS),,,
(ATM 000) General Info,,FLAC,
(ATM 001) The Band of Gypsys Rehearsals,,FLAC,
(ATM 002) The Electric Lady Mixing Sessions,,FLAC,
(ATM 003) The Woodstock Rehearsals,,FLAC,
(ATM 004) Live in Milwaukee,,FLAC,
(ATM 005) To the Highest Bidder - Sotheby's Plus,,FLAC,
(ATM 006) LA Without the Words,,FLAC,
(ATM 007-008) Villanova Junction,,FLAC,
(ATM 009) Band of Gypsys Lonely Avenue,,FLAC,
(ATM 010) New York Pop '70,,FLAC,
(ATM 011-016) Three Nights of Winter(with alt version),,FLAC,
(ATM 017) Soundboard Series Vol.2,,FLAC,
(ATM 018-019) Bridge To Haleakala aka The Maui Concerts,,FLAC,
(ATM 020-022) Watchout for the Fuzz,,FLAC,
(ATM 023-024) Music of the Spheres ... Voices of the World,,FLAC,
(ATM 025-026) Down Here on the Farm,,FLAC,
(ATM 027) In the Land of the Midnight Sun,,FLAC,
(ATM 028-029) Stockholm 31.08.70 aka Guitar In The Garden,,FLAC,
(ATM 030) Praying at the Temple,,FLAC,
(ATM 031) Soundboard Series 1 aka Hamburg-Stockholm-Miami,,FLAC,
(ATM 032-033-034) Earth Vs. Space - The Newport Legacy,,FLAC,
(ATM 035) Apartment Jams,,FLAC,
(ATM 036) Short Stories,,FLAC,
(ATM 037) Hollywood Bowl aka Hollywood Nights,,FLAC,
"(ATM 038 Rev A) 1968-04-02  Paul Sauve Arena, Montreal",,FLAC,
(ATM 039) Hunter - Hilton,,FLAC,
(ATM 040) Auf Wiedersehen,,FLAC,
(ATM 041) San Diego '69 aka Six Strings In San Diego,,FLAC,
(ATM 042-043) - For the Goddess of Asgård,,FLAC,
"(ATM 044) Drinking Wine, Sipping Time",,FLAC,
(ATM 045) Sessions Vol. 1,,FLAC,
"(ATM 046-047) 1969-04-26 Los Angeles 1969, The Forum",,FLAC,
(ATM 048-049) LA Forum '70,,FLAC,
(ATM 050-051) The Rubber Dubber Bootleg,,FLAC,
(ATM 052) Cherokee Nation,,FLAC,
(ATM 053) Beat Monster Concert,,FLAC,
(ATM 054) Blue Window - March-May 1969,,FLAC,
(ATM 055) Message from Nine To The Universe Vol.1,,FLAC,
(ATM 056) Message From Nine To The Universe Vol.2,,FLAC,
(ATM 057-058) The KPFA Tapes,,FLAC,
(ATM 059) Storming the Capitol,,FLAC,
"(ATM 059) Superconcert - Ottawa, ON Canada",,FLAC,
(ATM 060) All the way from Memphis,,FLAC,
(ATM 061) Indianapolis '69,,FLAC,
(ATM 062) Boston Garden 1970,,FLAC,
(ATM 063-064) On the Road (To Electric Ladyland) - aka Driving South,,FLAC,
(ATM 065) Boo in Key,,FLAC,
(ATM 066-071) Box Of Gypsys,,FLAC,
(ATM 072-073) Healing Power,,FLAC,
(ATM 074) 68-03-26 Cleveland Rocks,,FLAC,
(ATM 075-083) Band Of Gypsys - 30th Anniversary,,FLAC,
"(ATM 084-085) 1970-09-03 KB Hallen, Copenhagen",,FLAC,
(ATM 086-090) - Unsurpassed Masters,,FLAC,
(ATM 091) - In Glorious Mono,,FLAC,
(ATM 092) - Fall 1969 Record Plant Jams [aka. Woodstock],,FLAC,
(ATM 093) - Bill Graham Presents,,FLAC,
(ATM 094) Summertime Blues,,FLAC,
(ATM 095) Fuck Off These Are My Friends,,FLAC,
(ATM 096) From the Beginning to the Start,,FLAC,
(ATM 097) - 2 Giants Over Paris,,FLAC,
(ATM 098-099) - For the Queen,,FLAC,
(ATM 100) - Winterland 10 October 1968,,FLAC,
(ATM 101-102) - Curtis Knight & The Squires - The Complete Recordings I,,FLAC,
(ATM 103-104) - Curtis Knight & The Squires - The Complete Recordings 2,,FLAC,
(ATM 105) Live In Philadelphia Disc 1,,FLAC,
(ATM 106) Live In Philadelphia Disc 2,,FLAC,
(ATM 107) - 1968.2.16. Dallas. Way down in texas land,,FLAC,
(ATM 108) - 1968.2.17. Fort Worth. Way down in texas land,,FLAC,
(ATM 109-112) - Jimi Hendrix - Maximum Experience - flac,,FLAC,
(ATM 113) Newport Revisited,,FLAC,
(ATM 114) - 1970.07.04 - Atlanta - The Atlanta Reel - flac,,FLAC,
(ATM 115-116) - 1969.02.18 - London - Royal Albert Hall - First Night,,FLAC,
(ATM 117) - Baltimore 1970,,FLAC,
(ATM 118) Denver Pop,,FLAC,
(ATM 119-120) - Soulful Sessions,,FLAC,
"(ATM 121) Chicago 2-25-68, 8-10-1968",,FLAC,
(ATM 122) Chicago 12-1-68,,FLAC,
(ATM 123-124) - Jimi Hendrix - The Berkeley Concerts - 1970.05.30,,FLAC,
"(ATM 125) - Civic Center, Baltimore MD",,FLAC,
(ATM 126-127) - Way Down in Texas Land II (Slight Return),,FLAC,
(ATM 128-129) Germany '70,,FLAC,
(ATM 130-131) The Forum 1970 - Stereo,,FLAC,
(ATM 132-135) - Unpublished,,FLAC,
(ATM 136) Je Vous Aime Beaucoup,,FLAC,
(ATM 137-138) - 1968.02.03 - San Francisco - Winterland - All Sources,,FLAC,
(ATM 139-140) New England Patriot,,FLAC,
(ATM 141-142) Madison Blues,,FLAC,
(ATM 143) Tomorrow We'll Do Our Last Gig In The States,,FLAC,
(ATM 144) - Lookin' For Trouble,,FLAC,
(ATM 145) By Divine Providence,,FLAC,
(ATM 146) - Do You Know The Way,,FLAC,
(ATM 147-151) - Jimi In Germany,,FLAC,
(ATM 152-157) - (1967-1970) Kick Out The Jams,,FLAC,
(ATM 158-160) Axis Bold as Love - The Sessions,,FLAC,
(ATM 161) - 1970.06.13 - Baltimore - Civic Center - Source 3,,FLAC,
(ATM 162-163) - 1970.09.01 - Gothenburg - Stora Scenen - Liseberg,,FLAC,
(ATM 164-165) - Palasport di Bologna 1968-05-26,,FLAC,
(ATM 166) - Can't Believe Everything You See And Hear,,FLAC,
(ATM 167) - Portland '68,,FLAC,
(ATM 168-169) - Way Down in Texas Land Vol.3,,FLAC,
(ATM 170-171) - Madison Square Garden '69,,FLAC,
(ATM 172) - Jimi Hendrix & The Isley Brothers - In the Beginning,,FLAC,
(ATM 173-174) - Atlanta + Space aka Atlanta International Pop Festival,,FLAC,
(ATM 175-176) - In the Eye of the Storm,,FLAC,
(ATM 177-178 REV A) - In The West (Raw + speed corrected),,FLAC,
(ATM 179) - Cologne 13.01.69 - 2nd Source,,FLAC,
(ATM 180-183) TTG Studios October 1968 - aka At TTG Studios,,FLAC,
(ATM 184 REV A) - Winterland 03.02.68 - Composite,,FLAC,
(ATM 185-186 Rev A) - Jimmy James - (1964-1969) Singles Collection,,FLAC,
(ATM 187-191) - Hendrix For Everyone,,FLAC,
"(ATM 192) - Norman, Is That You Norman",,FLAC,
(ATM 193-194) - At His Best,,FLAC,
(ATM 195) Tulsa,,FLAC,
(ATM 196-198) Philharmonic Hall - All Sources,,FLAC,
(ATM 199) - Winterland-11-10-68 2nd Source,,FLAC,
(ATM 200) - Winterland-11-10-68 2nd Source,,FLAC,
"(ATM 201)- Berkeley, CA 30.05.70_ 2nd Show - 2nd Audience Source",,FLAC,
(ATM 202) - Winterland 11.10.68 [aka. Winterland Old Source],,FLAC,
(ATM 203) - Winterland 11.10.68 [aka. Winterland Old Source],,FLAC,
(ATM 204) - Winterland 11.10.68 - 1st Show Composite,,FLAC,
(ATM 205-206) Band of Gypsys Rehearsals,,FLAC,
(ATM 207) - Denver Pop Festival 29.06.69 - 1st Generation Transfer,,FLAC,
(ATM 208-213) The Winterland Reels,,FLAC,
(ATM 214-215) Old Time,,FLAC,
(ATM 216) - Band of Gypsys Unleashed in the East,,FLAC,
(ATM 217) - Band of Gypsys Unleashed in the East,,FLAC,
(ATM 218) - Band of Gypsys Goodbye to '69,,FLAC,
(ATM 219) - Band of Gypsys Goodbye to '69,,FLAC,
(ATM 220) - Royal Albert Hall Rehearsals,,FLAC,
(ATM 221-223) - Jammin Back At the House-Shokan - alternate,,FLAC,
(ATM 224-225) Electric Ladyland - Sessions June-August 1968,,FLAC,
(ATM 226) - Seattle 1970,,FLAC,
(ATM 227) - Experience,,FLAC,
(ATM 228) - Experience,,FLAC,
(ATM 229) - Swedish Castle Magic,,FLAC,
(ATM 230) - Honolulu '69,,FLAC,
(ATM 231-232) Detroit Rock City,,FLAC,
(ATM 233) - Singer Bowl 1968,,FLAC,
(ATM 234-235) Electric Ladyland - Sessions,,FLAC,
(ATM 236-237) Electric Ladyland - The Apartment Recordings,,FLAC,
(ATM 238) - Electric Ladyland - Sessions March-April 1968,,FLAC,
(ATM 239-240) Gypsy Sun & Rainbows - Woodstock - Nothing But Primary Rhythm Things,,FLAC,
"(ATM 241) Los Angeles Forum, Los Angeles, CA 25.04.70 - 4th Source and bonus disc",,FLAC,
(ATM 242-245) - Electric Ladyland Sessions5 - May 68,,FLAC,
(ATM 246-248) Gypsy Sun & Rainbows - NYC,,FLAC,
(ATM 249-250) - Eric Burdon and War at Ronnie Scotts - master,,FLAC,
(ATM 251-252) - San Antonio - May 1970 (master tape),,FLAC,
(ATM 253-254) Jimi Hendrix 1970-05-02 Madison WI (3rd source),,FLAC,
"(ATM 255 + Bonus Disc) - Hollywood Bowl, Hollywood, California",,FLAC,
(ATM 256-257) Jimi Hendrix - 1970-05-30 Berkeley 1st Show Complete Soundboard,,FLAC,
,,,
(ATM DVD 001) Live At The Royal Albert Hall - Rev A,,DVD,
(ATM DVD 002) Hendrix Stockholm 69 Upgrade,,DVD,
(ATM DVD 003) Band Of Gypsys - Rev A,,DVD,
(ATM DVD 004) Video Experience,,DVD,
(ATM DVD 005) The Atlanta Reel,,DVD,
(ATM DVD 006) 1970-07-30 - Maui - Haleakala Crater,,DVD,
,,,
,,,
[FOR TRADE ONLY GROUP),,,
FTO 001 - 002 The Complete Clark University '68,,FLAC,
"FTO 003 - The Capricorn Tape (For Trade Only) (flac) [2009 Fileset, with original + repaired track]",,FLAC,
FTO 004 - Royal Albert Hall Rehearsals - Composite (For Trade Only),,FLAC,
FTO 005 - February 1969 Sessions,,FLAC,
FTO 005 REV A - February 1969 Sessions [Compiled by Paul Fitzpatrick],,FLAC,
FTO 005 REV A - February 1969 Sessions [Compiled by Pink Robert],,FLAC,
FTO 005 REV B - February 1969 Sessions [Compiled by Paul Fitzpatrick],,FLAC,
FTO 006-007 - Raw Blues,,FLAC,
FTO 008-009 - BBC Radio (For Trade Only),,FLAC,
FTO 010 - Ottawa 1968,,FLAC,
FTO 010 - Ottawa 1968 (For Trade Only) (alt),,FLAC,
FTO 011 - Thank You! And I Just Blew Another Amp! - Fillmore East May 1968 (For Trade Only) ,,FLAC,
FTO 012 - Hunter College March 1968 (For Trade Only) (flac),,FLAC,
FTO 013-014 - Gothenburg 1 September 1970 [aka. Gothenburg '70 - Raw Source],,FLAC,
"FTO 015 - Boston Garden, Boston, MA 1970-06-27 - 3rd Source",,FLAC,
"FTO 016 - Denver, CO - Fieldhouse Regis College 1968-02-14",,FLAC,
FTO 017 - Flamingo London - Low Gen Composite,,FLAC,
"FTO 018-019 - Ronnie Scotts Club, London 1970-09-16 - The Complete Recording",,FLAC,
FTO 020 - The Blue Thumb Acetate,,FLAC,
FTO 021 - Dallas 1969-04-20 - Composite Master,,FLAC,
,,,
,,,
[JIMI PASS IT ON GROUP II),,,
JPIO-II 012 - Crash Landing Revisited,,FLAC,
JPIO-II 015-018 - Prince Albert Does Not Bite The Tongue,,FLAC,
JPIO-II 023-026 - The Last Cry of Love,,FLAC,
JPIO-II 027-028 - Electric Frankenstein,,FLAC,
JPIO-II 033-036 - Rabalder i Teateret - The Complete Copenhagen 1969 Recordings,,FLAC,
JPIO-II 037 - The Capricorn Tape,,FLAC,
JPIO-II 038-039 - European Scrapbook,,FLAC,
JPIO-II 040-042 - Moonlight Is White,,FLAC,
JPIO-II 067-068 - Sorry For The Intermission,,FLAC,
JPIO-II 077-078 - Strate Ahead,,FLAC,
JPIO-II 095-102 - Sweeping Up the Pieces of Yesterday's Life - The Jimi Hendrix Interviews (3rd ed),,FLAC,
,,,
,,,
[VARIOUS),,,
VARIOUS - Astro Man (6 CDs) (Alchemy JHBX 1),,FLAC,
VARIOUS - Freezer Burn,,FLAC,
VARIOUS - Made In Sweden 1967,,FLAC,
VARIOUS - Original Vinyl Transfer Series 1st Batch (20 LPs) (JPIO-II 043-062),,FLAC,
VARIOUS - Studio 66 (ITL-WJ 201),,FLAC,
VARIOUS - Studio 67 (6 CDs) (ITL-WJ 202-207),,FLAC,
VARIOUS - 51st Anniversary - The Story of Life (JMH 001-8),,FLAC,
VARIOUS - In The Studio Collectors Limited Edition (Reclamation) (RECD 1011),,FLAC,
VARIOUS - Mixdown Master Tapes 1998 - Vol 1-4,,FLAC,
VARIOUS - Moonbeams Fairytales 1966-1967 (22 CDs),,FLAC,
VARIOUS - Studio 69 (15 CDs) (ITL-WJ 101-115),,FLAC,
VARIOUS - Studio 70 (11 CDs) (ITL-WJ 001-011),,FLAC,
VARIOUS - Studio Sessions Volume 1 (6 CDs) (Voodoo Chile) (VC 9005),,FLAC,
VARIOUS - Studio Sessions Volume 2 (6 CDs) (Voodoo Chile) (VC 9006),,FLAC,
VARIOUS - The Blues Project Outtakes (sbd),,FLAC,
VARIOUS - The Electric Church,,FLAC,
VARIOUS - The Ross Tapes 2-3-6-7,,FLAC,
VARIOUS - The Swedish Shows v1-7 (7 CDs) (STG 006-010),,FLAC,
VARIOUS - Unsurpassed Masters (5 CDs) (BTYB 0086-90),,FLAC,
VARIOUS - Unsurpassed Studio Takes (Yellow Dog) (YD 050),,FLAC,
VARIOUS - In The Studio (sbd) (10 CDs) (Reclamation Records),,FLAC,
,,,
,,,
[BOOKS),,,
Jimi Hendrix - Are You Experienced Tab Book,,PDF,
Jimi Hendrix - Axis - Bold As Love Tab Book,,PDF,
Jimi Hendrix - Blues Tab Book,,PDF,
Jimi Hendrix - Electric Ladyland Tab Book,,PDF,
Jimi Hendrix - First Rays Of The New Rising Sun Tab Book,,PDF,
