Primus,Versions,File Type,
"10-18-2003 / Los Angeles, CA / Wiltern Theatre (AKG481) (jeff martin)",AUD,SHN,
"10-19-2003 / Phoenix, AZ / Celebrity Theater (PrimusLive)",SBD,FLAC,Official Bootleg
"10-21-2003 / Denver, CO / The Fillmore (PrimusLive)",SBD,FLAC,Official Bootleg
"10-21-2003 / Denver, CO / The Fillmore (Schoeps MK4) (bill tatina)",AUD,FLAC,
"10-21-2003 / Denver, CO / The Fillmore (unk)",,FLAC,
"10-22-2003 / Salt Lake City, UT / Salt Air Pavilion (PrimusLive)",SBD,FLAC,Official Bootleg
"10-24-2003 / Vancouver, BC / Vogue Theatre (PrimusLive)",SBD,FLAC,Official Bootleg
"10-25-2003 / Eugene, OR / Hult Center (PrimusLive)",SBD,FLAC,Official Bootleg
"10-26-2003 / Seattle, WA / Paramount Theater (PrimusLive)",SBD,FLAC,Official Bootleg
"10-26-2003 / Seattle, WA / Paramount Theater (Shure Beta 57s) (trevor)",AUD,FLAC,
"10-28-2003 / Eureka, CA / Municipal Auditorium (PrimusLive)",SBD,FLAC,Official Bootleg
"10-29-2003 / Santa Cruz, CA / Civic Auditorium (PrimusLive)",SBD,FLAC,Official Bootleg
"10-29-2003 / Santa Cruz, CA / Civic Auditorium (AKG 480 + CK61) (steve mccracken)",AUD,FLAC,
"10-30-2003 / San Francisco, CA / The Warfield (PrimusLive)",SBD,FLAC,Official Bootleg
"10-31-2003 / San Francisco, CA / Warfield (Rode NT-5s) (john gromley)",AUD,FLAC,
"11-6-2003 / Minneapolis, MN / Historic State Theater (PrimusLive)",SBD,FLAC,Official Bootleg
"11-6-2003 / Minneapolis, MN / Historic State Theater (ADK A51)",AUD,FLAC,
"11-7-2003 / Chicago, IL / Aragon Ballroom (PrimusLive)",SBD,FLAC,Official Bootleg
"11-7-2003 / Chicago, IL / Aragon Ballroom (MBHO603a)",AUD,FLAC,
"11-8-2003 / Milwaukee, WI / Eagles Ballroom (PrimusLive)",SBD,FLAC,Official Bootleg
"11-8-2003 / Milwaukee, WI / Eagles Ballroom (Schoeps MK41) (jered haddad)",AUD,SHN,
"11-9-2003 / Detroit, MI / State Theater (PrimusLive)",SBD,FLAC,Official Bootleg
"11-9-2003 / Detroit, MI / State Theater - DAT(M) (MG210)",AUD (48k),FLAC,
"11-11-2003 / Columbus, OH / Promowest Pavilion (PrimusLive)",SBD,FLAC,Official Bootleg
"11-11-2003 / Columbus, OH / Promowest Pavilion (MBHO603a)",AUD,FLAC,
"11-12-2003 / Cleveland, OH / Agora Theater (PrimusLive)",SBD,FLAC,Official Bootleg
"11-14-2003 / New York, NY / Roseland Ballroom (PrimusLive)",SBD,FLAC,Official Bootleg
"11-14-2003 / New York, NY / Roseland Ballroom (Rode NT-5)",AUD,FLAC,
"11-15-2003 / Philadelphia, PA / Tower Theater (PrimusLive)",SBD,FLAC,Official Bootleg
"11-17-2003 / Boston, MA / Orpheum Theatre (PrimusLive)",SBD,FLAC,Official Bootleg
"11-18-2003 / Boston, MA / Orpheum Theatre (PrimusLive)",SBD,FLAC,Official Bootleg
"11-19-2003 / Lewiston, ME / Central Maine Civic Center (PrimusLive)",SBD,FLAC,Official Bootleg
"11-19-2003 / Lewiston, ME / Central Maine Civic Center (Neumann KM140) (mastered by nick)",AUD,FLAC,
"11-20-2003 / Burlington, VT / Memorial Auditorium (PrimusLive)",SBD,FLAC,Official Bootleg
"11-20-2003 / Burlington, VT / Memorial Auditorium (Sennheiser ME66) (jesse f.)",AUD,FLAC,
"11-22-2003 / Montreal, PQ / The Metropolis (PrimusLive)",SBD,FLAC,Official Bootleg
"11-22-2003 / Montreal, PQ / The Metropolis (MHBHO603a) (pat)",AUD,FLAC,
"11-23-2003 / Toronto, Ontario / Kool Haus (PrimusLive)",SBD,FLAC,Official Bootleg
"11-23-2003 / Toronto, Ontario / Kool Haus (MBHO603a/KA200N)",AUD,FLAC,
"11-24-2003 / Syracuse, NY / Landmark Theatre (PrimusLive)",SBD,FLAC,Official Bootleg
"11-24-2003 / Syracuse, NY / Landmark Theatre (MBHO603a/KA200N)",AUD,FLAC,
"11-25-2003 / New York, NY / Roseland Ballroom (PrimusLive)",SBD,FLAC,Official Bootleg
,,,
[2004],,,
"2-24-2004 / Kansas City, KS / Memorial Hall (PrimusLive)",SBD,FLAC,Official Bootleg
"2-25-2004 / St. Louis, MO / The Pageant (PrimusLive)",SBD,FLAC,Official Bootleg
"2-25-2004 / St. Louis, MO / The Pageant (Schoeps MK41) (jered haddad)",AUD,FLAC,
"2-27-2004 / Houston, TX / Verizon Theatre (PrimusLive)",SBD,FLAC,Official Bootleg
"2-28-2004 / Grand Prairie, TX / NextStage (PrimusLive)",SBD,FLAC,Official Bootleg
"2-29-2004 / Austin, TX / Austin Music Hall (PrimusLive)",SBD,FLAC,Official Bootleg
"3-2-2004 / New Orleans, LA / State Palace (PrimusLive) ",SBD,FLAC,Official Bootleg
"3-4-2004 / Tampa, FL / USF Sun Dome (PrimusLive)",SBD,FLAC,Official Bootleg
"3-5-2004 / Boca Raton, FL / Mizner Park Amphitheatre (Soundcheck) (CSBs) (double a)",AUD,FLAC,
"3-5-2004 / Boca Raton, FL / Mizner Park Amphitheatre (PrimusLive)",SBD,FLAC,Official Bootleg
"3-6-2004 / Orlando, FL / Hard Rock Live (PrimusLive)",SBD,FLAC,Official Bootleg
"3-6-2004 / Orlando, FL / Hard Rock Live - DAT(c) (josephson 603) (d-rider)",AUD,FLAC,
"3-8-2004 / Atlanta, GA / The Tabernacle (PrimusLive)",SBD,FLAC,Official Bootleg
"3-8-2004 / Atlanta, GA / The Tabernacle (AKG 483) (c. cage)",AUD,FLAC,
"3-9-2004 / Charlotte, NC / Grady Cole Center (PrimusLive)",SBD,FLAC,Official Bootleg
"3-10-2004 / Asheville, NC / Asheville Civic Center (PrimusLive)",SBD,FLAC,Official Bootleg
"3-12-2004 / Norfolk, VA / Chrysler Hall (PrimusLive)",SBD,FLAC,Official Bootleg
"3-12-2004 / Norfolk, VA / Chrysler Hall (MBHO 603a/KA200N)",AUD,FLAC,
"3-13-2004 / Washington, D.C. / DAR Constitution Hall (PrimusLive)",SBD,FLAC,Official Bootleg
"3-13-2004 / Washington, D.C. / DAR Constitution Hall (AK43) (unk)",AUD #1,FLAC,
"3-13-2004 / Washington, D.C. / DAR Constitution Hall (Sony SDT-9000) (unk)",AUD #2,FLAC,
"5-29-2004 / Irvine, CA / Verizon Wireless Amphitheatre (PrimusLive)",SBD,FLAC,Official Bootleg
"5-29-2004 / Irvine, CA / Verizon Wireless Amphitheatre (Schoeps MK4v)",AUD,FLAC,
"5-30-2004 / Berkeley, CA / Metropolis (PrimusLive)",SBD,FLAC,Official Bootleg
"5-30-2004 / Berkeley, CA / Metropolis (unk)",AUD,FLAC,
"6-1-2004 / Portland, OR / Metropolitan Expo Center (PrimusLive)",SBD,FLAC,Official Bootleg
"6-2-2004 / Seattle, WA / Seahawks Exhibition Hall (PrimusLive)",SBD,FLAC,Official Bootleg
"6-5-2004 / Morrison, CO / Red Rocks Amphitheatre (PrimusLive)",SBD,FLAC,Official Bootleg
"6-5-2004 / Morrison, CO / Red Rocks Amphitheatre ",AUD,FLAC,
"6-8-2004 / Minneapolis, MN / Orpheum Theatre (PrimusLive)",SBD,FLAC,Official Bootleg
"6-9-2004 / Milwaukee, WI / North Stage - Summerfest Grounds (PrimusLive)",SBD,FLAC,Official Bootleg
"6-9-2004 / Milwaukee, WI / North Stage - Summerfest Grounds (Microtech Gefell m210) (scott ratzmann)",AUD,FLAC,
"6-11-2004 / Columbus, OH / PromoWest Pavilion (PrimusLive)",SBD,FLAC,Official Bootleg
"6-12-2004 / Manchester, TN / Bonnaroo Festival (PrimusLive)",SBD,FLAC,Official Bootleg
"6-13-2004 / Manchester, TN / Which Stage - Bonnaroo Music Festival - DAT(M) (MK4v) (funkyoctopus)",AUD,FLAC,
"6-13-2004 / Manchester, TN / Which Stage - Bonnaroo Music Festival (Schoeps MK4v) (funkyoctopus)",AUD #1a,FLAC,
"6-13-2004 / Manchester, TN / Which Stage - Bonnaroo Music Festival (Schoeps MK4v) (funkyoctopus)",AUD #1b,FLAC,
"6-15-2004 / Pittsburgh, PA / Chevrolet Amphitheatre (PrimusLive)",SBD,FLAC,Official Bootleg
"6-15-2004 / Pittsburgh, PA / Chevrolet Theatre at Station Square (AKG 391s) (jeff fugh)",AUD,FLAC,
"6-16-2004 / Philadelphia, PA / Penn's Landing (PrimusLive)",SBD,FLAC,Official Bootleg
"6-18-2004 / Rochester Hills, MI / Meadow Brook (PrimusLive)",SBD,FLAC,Official Bootleg
"6-19-2004 / Toronto, Ontario / Hummingbird Cafe (PrimusLive)",SBD,FLAC,Official Bootleg
"6-19-2004 / Toronto, Ontario / Hummingbird Cafe (MBHO603a/KA200N)",AUD,FLAC,
"6-20-2004 / Montreal, Quebec / Cepsum (PrimusLive)",SBD,FLAC,Official Bootleg
"6-20-2004 / Monteral, QC / CEPSUM (MBHO603a/KA200N)",AUD,FLAC,
"6-22-2004 / New York, NY / Radio City Music Hall (PrimusLive)",SBD,FLAC,Official Bootleg
"6-22-2004 / New York, NY / Radio City Music Hall - DAT(M) (MK4s) (nicky c)",AUD,FLAC,
"6-23-2004 / Boston, MA / FleetBoston Pavilion (PrimusLive)",SBD,FLAC,Official Bootleg
"6-25-2004 / Cleveland, OH / Tower City Amphitheatre (PrimusLive)",SBD,FLAC,Official Bootleg
"6-25-2004 / Cleveland, OH / Tower City Amphitheatre (MK41) (brian skalinder)",AUD,FLAC,
"6-26-2004 / Chicago, IL / Aragon Ballroom (PrimusLive)",SBD,FLAC,Official Bootleg
"6-26-2004 / Chicago, IL / Aragon Ballroom (MBHO603a/KA200N)",AUD,FLAC,
"7-31-2004 / Niigata, Japan / Naeba Ski Resort - Fuji Rock Festival (PrimusLive)",SBD,FLAC,Official Bootleg
"7-31-2004 / Niigata, Japan / Naeba Ski Resort",TV,AVI,
,,,
[2005],,,
"7-23-2005 / Chicago, IL / Grant Park (Lollapalooza) (unk)",AUD,FLAC,
"10-29-2005 / Las Vegas, NV / Vegoose Festival (Microtech Gefel 200) (freddie g)",AUD,FLAC,
"10-29-2005 / Las Vegas, NV / Vegoose Festival (unk)",AUD,FLAC,
,,,
[2006],,,
"7-29-2006 / Twin Lakes, WI / Hedgpeth Festival (CSBs) (double a)",AUD,FLAC,
"11-1-2006 / Austin, TX / Austin Music Hall (AKG 483) (lee hart)",AUD,FLAC,
"11-4-2006 / Houston, TX / Verizon Theater (Neumann KM100) (brad wolf)",AUD,FLAC,
"11-6-2006 / Atlanta, GA / The Tabernacle (Neumann U89i) (baustin)",AUD,FLAC,
"11-6-2006 / Atlanta, GA / The Tabernacle (ADK TL) (unk)",AUD,FLAC,
"11-8-2006 / Washington, D.C. / Constitution Hall (SPCMC8)",AUD,FLAC,
"11-9-2006 / New York, NY / Roseland Ballroom (Nakamichi 100s) (steve t.)",AUD,FLAC,
"11-10-2006 / Upper Darby, PA / Tower Theater (AKG 481) (sparki)",AUD,FLAC,
"11-12-2006 / Boston, MA / Orpheum Theater (Microtech Gefell M200s) (myco)",AUD,FLAC,
"11-15-2006 / Toronto, Ontario / Kool Haus (AKG 481) (sparki)",AUD,FLAC,
"11-18-2006 / Milwaukee, WI / Eagles Ballroom (AKG 414 TL2s) (steve b.)",AUD,FLAC,
"11-21-2006 / Denver, CO / Fillmore Auditorium (MBHO 603a/KA500) (eric foelske)",AUD,FLAC,
"11-28-2006 / Eugene, OR / Hult Center (Neumann AK40/lc3/KM 100s) (gotfob)",AUD,FLAC,
"11-29-2006 / Vancouver, BC / Orpheum Theatre - HiMD(M) (Sony ECM-MS907) (kiloor toonz dood)",AUD,FLAC,
"11-30-2006 / Seattle, WA / Paramount Theater (AT 853s) (unk)",AUD,FLAC,
"12-5-2006 / San Jose, CA / San Jose Civic Auditorium (Neumann KM140s) (wilson66)",AUD,FLAC,
"12-08-2006 / La Jolla, CA / Rimac Arena (miniDV) (arizonabay) ",AUD,DVD,
"12-9-2006 / Mesa, AZ / Mesa Amphitheatre",AUD,FLAC,
,,,
[2008],,,
"7-4-2008 / Rothbury, MI / Rothbury Music Festival - Ranch Stage (Zoom H2) (drewmanchu)",AUD,FLAC,
"8-23-2008 / San Francisco, CA / Golden Gate Park - Outside Lands Music Festival (Sony MZ-R70) (frosty)",AUD,FLAC,
,,,
[2010],,,
"7-29-2010 / Essex Junction, VT / Champlain Valley Expo (CSB) (sanpablobay)",AUD,FLAC,
"7-30-2010 / Brooklyn, NY / Willamsburg Waterfront (CSB) (sanpablobay)",AUD,FLAC,
"7-31-2010 / Bridgeport, CT / Seaside Park - GOTV (AKG c460b) (ted gakidis)",AUD,FLAC,
"7-31-2010 / Bridgeport, CT / Seaside Park - GOTV (CSB) (sanpablobay)",AUD,FLAC,
"7-31-2010 / Bridgeport, CT / Seaside Park - GOTV (WPKN Simulcast) (rob berger)",FM,FLAC,
"7-31-2010 / Bridgeport, CT / Seaside Park - GOTV (3 source MTX) (sanpablobay)",MTX,FLAC,
"7-31-2010 / Bridgeport, CT / Seaside Park - GOTV - DAT(M) (teddy ballgame)",SBD (48k),FLAC,
"8-1-2010 / Charlottesville, VA / Charlottesville Pavilion (CA-14s) (travelinbeat)",AUD,FLAC 24,
"8-3-2010 / Cleveland, OH / Time Warner Cable Amphitheatre (SP-CMC-4U) (junkyardt)",AUD,FLAC,
"8-5-2010 / Columbus, OH / LC Pavilion (CSB) (unk)",AUD,FLAC,
"8-6-2010 / Nashville, TN / Ryman Auditorium (SP-BMC-3)  (unk)",AUD,FLAC,
"8-7-2010 / Milwaukee, WI / The Rave (Zoom H2) (unk)",AUD,FLAC,
"8-10-2010 / Kansas City, MO / Uptown Theater (CA-11)",AUD,FLAC,
"8-10-2010 / Kansas City, MO / Uptown Theater (unk)",AUD,FLAC,
"8-14-2010 / Las Vegas, NV / The Joint - Hard Rock Hotel & Casino (MM-HLSC-1) (sin213)",AUD (44.1k),FLAC,
"8-14-2010 / Las Vegas, NV / The Joint - Hard Rock Hotel & Casino (MM-HLSC-1) (sin213)",AUD (48k),FLAC,
"9-18-2010 / Tempe, AZ / Fall Frenzy - Tempe Beach Park (AT853) (unk)",AUD,FLAC,
"9-24-2010 / Los Angeles, CA / Jimmy Kimmel Live! (PG1Tapes Production)",TV,FLAC,
"9-25-2010 / Vancouver, BC / PNE Grounds - Pacific National Exhibition Forum (CSB) (leifh)",AUD,FLAC,
"9-25-2010 / Vancouver, BC / PNE Grounds - Pacific National Exhibition Forum (CA-11) (Binaural recording) (seth meister)",MTX,FLAC 24,
"9-27-2010 / Edmonton, Alberta / Edmonton Events Center (Zoom H2) (Binaural recordin) (ilovegigs)",AUD,FLAC 24,
"10-5-2010 / Atlanta, GA / The Tabernacle *Can I Leave My Bag Here? (Edirol R09) (slickdaddyo)",AUD,FLAC,
"10-8-2010 / Upper Darby, PA / Tower Theatre (Schoeps MK4) (tapeworm)",AUD,FLAC,
"10-8-2010 / Upper Darby, PA / Tower Theatre (CSB) (unk)",AUD,FLAC,
"10-8-2010 / Upper Darby, PA / Tower Theatre (AT 833) (joe d'amico)",AUD,FLAC,
"10-9-2010 / Montclair, NJ / Wellmon Theatre (unk)",AUD,FLAC,
"10-10-2010 / Boston, MA / Orpheum Theatre (KM140) (unk)",AUD,FLAC,
"10-10-2010 / Boston, MA / Orpheum Theatre (AKG943) (unk)",AUD,FLAC,
"12-5-2010 / Santiago, Chile / Estadio Bicentenario la Florida (CA-11) (realkuka)",AUD,FLAC,
"12-30-2010 / Oakland, CA / Fox Theater (Olympus PCM) (unk)",AUD,FLAC,
"12-30-2010 / Oakland, CA / Fox Theater (Zoom H4) (tsquare)",AUD,FLAC 24,
"12-31-2010 / Oakland, CA / Fox Theater (Zoom H4) (tsquare)",AUD,FLAC 24,
,,,
[2011],,,
"3-18-2011 / Santa Cruz, CA / M.I.R.V. A Benefit for Baby Matthew",AUD,MP4,
"5-19-2011 / Indianapolis, IN / Murat Theatre (Schoeps MK4v) (unk)",AUD,FLAC,
"5-19-2011 / Indianapolis, IN / Murat Theatre (SP-CMC-08s) (ironchef)",AUD,FLAC,
"5-21-2011 / Gulf Shores, AL / Hangout Festival (SP-CMC-8) (kooterb)",AUD,FLAC,
"5-21-2011 / Gulf Shores, AL / Hangout Festival (CA-11) (mstaper)",AUD,FLAC,
"5-21-2011 / Gulf Shores, AL / Hangout Festival (DPA4061) (daniel kopp)",AUD,FLAC,
"5-23-2011 / Houston, TX / Verizon Wireless Theater (CSB) (unk)",AUD,FLAC,
"5-24-2011 / Austin, TX / Stubb's BBQ Outdoor (CSB) (unk)",AUD,FLAC,
"5-25-2011 / Dallas, TX / Palladium Ballroom (CSB) (unk)",AUD,FLAC,
"6-4-2011 / Miami Beach, FL / Jackie Gleason Theater (AT U853r) (spyder9 studios)",AUD,FLAC,
"6-9-2011 / Charleston, SC / N. Charleston Performing Arts Center (Edirol R09) (slickdaddyo)",AUD,FLAC 24,
"6-10-2011 / Manchester, TN / Bonnaroo X - Great Stage Park - Which Stage (CSBs) (leifh)",AUD,FLAC,
"6-10-2011 / Manchester, TN / Bonnaroo X - Great Stage Park - Which Stage (upgrade) (CSBs) (leifh)",AUD,FLAC,
"6-22-2011 / Paris, France / La Cigale - DAT(1) (OKM-II-R) (unk)",AUD,FLAC,
"7-2-2011 / Lotnisko Babie Doly, Gdynia-Kosakowo, Poland / Heineken Open'er Festival ",PRO,DVD,
"7-5-2011 / Berlin, Germany / Huxley's Neue Welt (Soundman OKM-II-R) (elliot)",AUD,FLAC,
"7-12-2011 / Manchester, UK / Academy (SP-CMC-8) (unk)",AUD,FLAC,
"7-16-2011 / Masontown, WV / All Good Music Festival (Schoeps MK41) (tonedeaf)",AUD,FLAC,
"7-16-2011 / Masontown, WV / All Good Music Festival (AKG C460b) (timothy brown)",AUD,FLAC,
"7-16-2011 / Masontown, WV / All Good Music Festival (MBHO KA500HN) (bean)",AUD,FLAC,
"7-16-2011 / Masontown, WV / All Good Music Festival (Neumann KM184) (rob clarke)",AUD,FLAC,
"7-16-2011 / Masontown, WV / All Good Music Festival (Audio Pulsar 2) (ghostwheel production)",AUD,FLAC,
"7-16-2011 / Masontown, WV / All Good Music Festival (MBHO603a/KA200N) (unk)",AUD,FLAC,
"7-16-2011 / Masontown, WV / All Good Music Festival (Microtech Gefell UM900) (sonicsound)",AUD,FLAC 24,
"9-23-2011 / Boston, MA / The Orpheum (AT853) (myco)",AUD,FLAC,
"9-24-2011 / Silver Spring, MD / The Fillmore (CSB)",AUD,FLAC,
"9-27-2011 / Albany, NY / Palace Theater (MBHO603a/KA200N)",AUD,FLAC,
"9-30-2011 / New York, NY / Roseland Ballroom (CA-11) (modern day warrior)",AUD,FLAC,
"10-1-2011 / Philadelphia, PA / Tower Theater (AT 833s) (bigt)",AUD,FLAC,
"10-1-2011 / Philadelphia, PA / Tower Theater (DPA 4060) (grafix721)",AUD,FLAC,
"10-1-2011 / Philadelphia, PA / Tower Theater (MBHO603a/KA200N)",AUD,FLAC,
"10-2-2011 / Portland, ME / State Theater (AT943)",AUD,FLAC,
"10-7-2011 / Pittsburgh, PA / Stage AE (CSB)",AUD,FLAC,
"10-8-2011 / Rochester, NY / Main St. Armory (CSB)",AUD,FLAC,
"10-8-2011 / Rochester, NY / Main St. Armory (DPA4061s) (beatkilla)",AUD,FLAC,
"10-10-2011a / Louisville, KY / WFPK Studios",FM,FLAC,
"10-10-2011 / Louisville, KY / Louisville Palace (Schoeps MK4v) (porter moreland stober)",AUD,FLAC,
"10-15-2011 / Des Moines, IA / Val Air Ballroom (JM a27s) (jesse d. scott)",AUD,FLAC,
"10-20-2011 / Mesa, AZ / Mesa Amphitheatre (unk)",AUD,FLAC,
"10-20-2011 / Mesa, AZ / Mesa Amphitheatre (AT853) (unk)",AUD,FLAC 24,
"10-21-2011 / Santa Barbara, CA / Arlington Theatre (Tascam DR-08)",AUD,FLAC,
"11-13-2011 / Santiago, Chile / Maquinaria Festival (CA-11) (realkuka)",AUD,FLAC,
"12-31-2011 / San Francisco, CA / Great American Music Hall (CSBs) (leifh)",AUD,FLAC,
"12-31-2011 / San Francisco, CA / Great American Music Hall (Tascam DR-08) (unk)",AUD,FLAC,
,,,
[2012],,,
"1-1-2012 / San Francisco, CA / Great American Hall (CSBs) (leifh)",AUD,FLAC,
"2-8-2012 / Brooklyn, NY / Music Hall of Williamsburg (MBHO KA200N)",AUD,FLAC,
"2-9-2012 / New York, NY / Gramercy Theatre (Schoeps MK4) (eric mcroberts)",AUD,FLAC,
"2-9-2012 / New York, NY / Gramercy Theatre (Neumann KM140) (iamhammered)",AUD,FLAC,
"2-10-2012 / New York, NY / Late Night with Jimmy Fallon",TV,FLAC,
"3-2-2012 / Reno, NV / Knitting Factory Concert House (Neumann KM140) (unk)",AUD,FLAC,
"3-3-2012 / Reno, NV / Knitting Factory Concert House (Neumann KM140) (unk)",AUD,FLAC,
"3-26-2012 / Fribourg, Switzerland / Fri-Son (ECM-101SM) (unk)",AUD,FLAC,
"3-27-2012 / Paris, France / Le Zenith (CSB) (unk)",AUD,FLAC,
"3-29-2012 / Cologne, Germany / Live Music Hall (Soundman OKMIIR) (elliot)",AUD,FLAC 24,
"3-31-2012 / Lille, France / L'Aeronef (Soundman OKMIIR)",AUD,FLAC,
"4-4-2012 / London, UK / Royal Albert Hall (DPA 4061)",AUD,FLAC,
"4-5-2012 / London, UK / Royal Albert Hall (Soundman OKMIIR)",AUD,FLAC,
"4-5-2012 / London, UK / Royal Albert Hall (DPA 4061)",AUD,FLAC,
"5-19-2012 / Huntington, NY / The Paramount (CSB)",AUD,FLAC,
"5-19-2012 / Huntington, NY / The Paramount (AT-833s) (bigt)",AUD,FLAC,
"5-20-2012 / Syracuse, NY / Landmark Theater (DPA 4061s) (beatkilla)",AUD,FLAC,
"5-20-2012 / Syracuse, NY / Landmark Theater (CSB) (ghostwheel productions)",AUD,FLAC,
"5-20-2012 / Syracuse, NY / Landmark Theater (2 source mix) (CSB+DPA4061)",MIX,FLAC,
"5-23-2012 / Columbus, OH / LC Pavilion (Zoom H2) (jamminj)",AUD,FLAC,
"5-25-2012 / Chillicothe, IL / Summer Camp Music Festival (Fostec MC10) (duain altepeter)",AUD,FLAC,
"5-25-2012 / Chillicothe, IL / Summer Camp Music Festival (CSB) (unk)",AUD,FLAC,
"5-26-2012 / Clarks Grove, MN / Harmony Park Music Garden (Sennheiser 614) (mike mahoney)",AUD,FLAC,
"5-27-2012 / Milwaukee, WI / Eagles Ballroom (CSB) (ghostwheel productions)",AUD,FLAC,
"5-27-2012 / Milwaukee, WI / Eagles Ballroom (CA-11c)",AUD,FLAC,
"6-2-2012 / Mulberry Mountain, Ozark, AR / Wakarusa Music Festival (Gafell M300) (datpat)",AUD,FLAC,
"6-2-2012 / Mulberry Mountain, Ozark, AR / Wakarusa Music Festival (Gafell M300) (datpat) (remix)",AUD,FLAC,
"6-2-2012 / Mulberry Mountain, Ozark, AR / Wakarusa Music Festival (CA-14)",AUD,FLAC,
"6-6-2012 / Flagstaff, AZ / Pepsi Amphitheater (Sony ECM17)",AUD,FLAC,
"6-15-2012 / Vancouver, BC / Orpheum Theatre (CSBs) (leifh)",AUD,FLAC,
"6-15-2012 / Vancouver, BC / Orpheum Theatre (CA-11+CA-14) (3 source mix)",MTX,FLAC,
"6-23-2012 / Santa Cruz, CA / Civic Auditorium (Neumann KM140s) (unk)",AUD,FLAC,
"7-21-2012 / Bridgeport, CT / Seaside Park (AKG 480) (ctdave)",AUD,FLAC,
"7-21-2012 / Bridgeport, CT / Seaside Park  (Rode NTG1s) (bigt)",AUD,FLAC,
"7-21-2012 / Bridgeport, CT / Seaside Park  (AKG c460b) (ted gakidis & scott byrnes)",AUD,FLAC,
"10-12-2012 / Poughkeepsie, NY / Mid-Hudson Civic Center (MBHO KA200N (unk)",AUD,FLAC,
"10-19-2012 / New York, NY / Hammerstein Ballroom (CSB) (unk)",AUD,FLAC,
"10-20-2012 / Boston, MA / Orpheum Theatre (MBHO KA200N (unk)",AUD,FLAC,
"10-20-2012 / Boston, MA / Orpheum Theatre (Schoeps CCM4vs) (z-man)",AUD,FLAC,
"10-20-2012 / Boston, MA / Orpheum Theatre - WAV(M) (Zoom H1) (greg johnson)",AUD,FLAC,
"10-21-2012 / Providence, RI / Veterans Memorial Auditorium (MBHO KA200N (unk)",AUD,FLAC,
"10-21-2012 / Providence, RI / Veterans Memorial Auditorium (Zoom H4n) (bigt)",AUD,FLAC,
"10-23-2012 / Niagara Falls, NY / Rapids Theatre (MBHO KA200N (unk)",AUD,FLAC,
"10-24-2012 / Detroit, MI / The Fillmore *See This Is Special (Zoom H2) (jamminj)",AUD,FLAC,
"10-27-2012 / Indianapolis, IN / Murat Theatre (SP-CMC-08s) (ironchef)",AUD,FLAC,
"10-31-2012 / Atlanta, GA / The Tabernacle (Squid Audio Omnis) (unk)",AUD,FLAC,
"11-9-2012 / Orlando, FL / Hard Rock (Zoom H1)",AUD,FLAC,
"12-30-2012 / San Francisco, CA / The Warfield (leifh)",AUD,FLAC,
"12-30-2012 / San Francisco, CA / The Warfield (CSB & KM140)",MTX,FLAC,
"12-31-2012 / San Francisco, CA / The Warfield (CSBs) (leifh)",AUD #1,FLAC,
"12-31-2012 / San Francisco, CA / The Warfield (Zoom H4n) (bigt)",AUD #2,FLAC,
,,,
[2013],,,
"5-9-2013 / Napa, CA / County Fairgrounds - Bottle Rock Festival (Zoom H1)",AUD,FLAC,
"5-18-2013 / Tucson, AZ / Rialto Theatre (SS-DSM-6S)",AUD,FLAC,
"5-26-2013 / George, WA / The Gorge - Sasquactch Music Festival (AT853s)",AUD,FLAC 24,
"5-28-2013 / Edmonton, Alberta / Norhtern Alberta Jubilee Auditorium (CSBs) (leifh)",AUD,FLAC,
"5-29-2013 / Calgary, Alberta / MacEwan Hall (CSBs) (leifh)",AUD,FLAC,
"6-1-2013 / Maplewood, MN / The Myth (Tascam DR-01) (tommy the beard)",AUD,FLAC,
"6-5-2013 / Charlottesville, VA / nTelos Wireless Pavilion (DPA 4061)",AUD,FLAC,
"6-6-2013 / Hunter, NY / Mountain Jam (AKG ck63) (jibboer)",AUD #1,FLAC,
"6-6-2013 / Hunter, NY / Mountain Jam (AKG 481) (corey the groundhog)",AUD #2,FLAC,
"6-9-2013 / North Tonawanda, NY / Gratwick Park (MBHO KA200N) (unk)",AUD #1,FLAC,
"6-9-2013 / North Tonawanda, NY / Gratwick Park (AT835b + SS-DSM6) (adam hudson)",MIX,FLAC,
"6-21-2013 / Fairbanks, AK / The Blue Loon (Tascam DR-2D) (steve hagar) ",AUD,FLAC,
"6-21-2013 / Fairbanks, AK / Blue Loon (Sony HDR-XR150 + Sony DCR-TRV140) (redpill)",AUD,DVD,
"6-22-2013 / Anchorage, AK / Moose's Tooth Pub (Tascam DR-2D) (steve hagar)",AUD,FLAC,
"7-5-2013 / Quincy, CA / High Sierra Music Festival (SPS200) ",AUD,FLAC,
"7-19-2013 / Thornville, OH / All Good Festival (AKG C-1000s)",AUD #1,FLAC,
"7-19-2013 / Thornville, OH / All Good Festival (Neumann KM184) (rob clarke)",AUD #2,FLAC,
"7-19-2013 / Thornville, OH / All Good Festival (Schoeps MK241F) (tonedeaf)",AUD #3,FLAC 24,
"7-19-2013 / Thornville, OH / All Good Festival (Schoeps MK41) (bean)",AUD #4,FLAC 24,
"11-16-2013 / Dallas, TX / Majestic Theater (SP-CMC-08s)  (whotapes)",AUD,FLAC,
"11-23-2013 / Sebastopol, CA / Hopmonk Tavern (CSBs)",AUD,FLAC,
"12-31-2013 / Oakland, CA / Fox Theater (CA-11) (leifh)",AUD #1,FLAC,
