Primus,Versions,File Type,
"2-25-1992 / Pensacola, FL / Civic Center",AUD,FLAC,
"3-7-1992 / Chapel Hill, NC / Smith Center",AUD,FLAC,
"3-12-1992 / Binghampton, NY / Broome County Arena (Sony Tie Clip barrel mic) (j.p.)",AUD,FLAC,
"3-12-1992 / Binghampton, NY / Broome County Arena (unk)",AUD,FLAC,
"3-20-1992 / San Rafael, CA / Marin Center Exhibit Hall *Gone Fishing (GM-19)",Silver CD,FLAC,
"4-12-1992 / Birmingham, England / National Exhibition Center",AUD,FLAC,
"4-18-1992 / London, England / Wembley Arena",AUD,FLAC,
"4-23-1992 / Cologne, Germany / Sporthalle - Hi8(M)",AUD,DVD,
"4-24-1992 / Frankfurt, Germany / Festhalle (inc) (unk)",AUD,FLAC,
"4-27-1992 / Berlin, Germany / Eissporthalle",AUD,FLAC,
"5-1-1992 / Paris, France / Le Zenith",AUD,FLAC,
"6-6-1992 / Berkeley, CA / Greek Theater",AUD,FLAC,
"6-6-1992 / Berkeley, CA / William Randolph Hearst Greek Theatre - ANA(1) (unk) (koondog)",AUD,FLAC,
"8-29-1992 / New York, NY / Yankee Stadium",AUD,FLAC,
"9-2-1992 / Philadelphia, PA / Veteran's Stadium",AUD,FLAC,
"9-9-1992 / Pontiac, MI / Silverdome - ANA(1) (unk)",AUD,FLAC,
"9-21-1992 / Morrison, CO / Red Rocks Amphitheater",AUD,FLAC,
"12-31-1992 / San Francisco, CA / Bill Graham Civic Center",AUD,FLAC,
XX-XX-1992 / Europe / *Here Come the Bastards,Silver CD,FLAC,
,,,
[1993],,,
"6-18-1993 / Vancouver, BC / Thunderbird Stadium (Lollapalooza)(Sony ECM-909) (audioarchivist)",AUD,FLAC,
"6-19-1993 / George, WA / The Gorge",AUD,FLAC,
"6-20-1993 / Portland, OR / Portland Meadows",AUD,FLAC,
"6-22-1993 / Mountain View, CA / Shoreline Amphitheatre",AUD,FLAC,
"6-22-1993 / Mountain View, CA - Shoreline Amphitheatre (Patched show) (neekrive freakout tht)",MIX,FLAC,
"6-23-1993 / Mountain View, CA / Shoreline Amphitheatre (Sony D3)",AUD,FLAC,
"6-26-1993 / Denver, CO / Fiddler's Green *You Can't Party Without Me! (HR 5915-8)",Silver CD,FLAC,
"6-26-1993 / Greenwood Village, CO / Fiddler's Green Amphitheatre *You Can't Party Without Me (jonasson + vibriodxire)",Silver CD,FLAC,
"7-9-1993 / Milan, MI / Milan Dragway (Lollapalooza)",AUD,FLAC,
"7-12-1993 / Stanhope, NJ / Waterloo Village (Lollapalooza) (Schoeps CMC4/MK41) (billydee)",AUD,FLAC,
"7-12-1993 / Stanhope, NJ / Waterloo Village - ANA(M) (Sony WM-D3) (koondog) ",AUD,FLAC,
"7-13-1993 / Stanhope, NJ / Waterloo Village - ANA(M) (Sony WM-D3) (koondog)",AUD,FLAC,
"7-13-1993 / Stanhope, NJ / Waterloo Village *Acid Trip (BZCD 049)",Silver CD,FLAC,
"7-14-1993 / Stanhope, NJ / Waterloo Village *First In Line (EXX 52522)",Silver CD,FLAC,
"7-17-1993 / Providence, RI / Quonset State Park",AUD,FLAC,
"7-18-1993 / Philadelphia, PA / JFK Stadium Pit (Lollapalooza) (Schoeps CMC4/MK41) (billydee)",AUD (48k),FLAC,
"7-20-1993 / Charlestown, WV / Charlestown Racetrack (Lollapalooza) - DAT(M) (SS) (billydee)",AUD ,FLAC,
"8-7-1993 / Irwindale, CA / Santa Fe Dam (Lollapalooza)",SBD,FLAC,
"8-15-1993 / Honolulu, HI / Big Mele Festival, Kualoa Ranch - ANA(1) (inc)",SBD,FLAC,
"8-27-1993 / Dronten, The Netherlands / Lowlands (Memorec)",AUD,FLAC,
"8-27-1993 / Dronten, The Netherlands / Lowlands",SBD,FLAC,
"8-29-1993 / Reading, England / Reading Festival",AUD,FLAC,
"9-1-1993 / Bologna, Italy / Arena Parco Nord *Back in the Madhouse (KTS 276)",Silver CD,FLAC,
"9-1-1993 / Bologna, Italy / Arena Parco Nord - FM>ANA(x)",FM,FLAC,
"10-1-1993 / Berkeley, CA / Greek Theater",AUD,FLAC,
"10-1-1993 / Berkeley, CA / William Randolph Hearst Greek Theatre - ANA(1) (unk) (koondog)",AUD,FLAC,
"10-1-1993 / Berkeley, CA / Greek Theater - ANA(M)",AUD,FLAC,
"10-2-1993 / Fresno, CA / Wilson Theatre",AUD,FLAC,
"10-17-1993 / Grand Rapids, MI / Club Eastbrook",AUD,FLAC,
"10-18-1993 / Detroit, MI / State Theater - ANA(M)",AUD,FLAC,
"10-2X-1993 / New York, NY / MTV Haunted House Party - VHS(1)",TV,MPG,
"10-29-1993 / Boston, MA / Orpheum Theater (Schoeps MK4)",AUD,FLAC,
"11-17-1993 / Dallas, TX / The Bomb Factory",SBD,FLAC,
"11-17-1993 / Dallas, TX / The Bomb Factory (michael wilker) (remaster)",SBD,FLAC,
"11-23-1993 / Hollywood, CA / Palladium - ANA(M)",AUD,FLAC,
"11-24-1993 / Hollywood, CA / Palladium - ANA(M)",AUD,FLAC,
"11-29-1993 / Salem, OR / Salem Armory",AUD,FLAC,
"12-11-1993 / Burbank, CA / KROQ Acoustic Christmas (Bob Cock and the Yellow Sock) (unk)",FM,FLAC,
"12-11-1993 / Burbank, CA / KROQ Acoustic Christmas (Bob Cock and the Yellow Sock)",SBD,FLAC,
,,,
[1994],,,
"1-7-1994 / Hollywood, CA / Palladium",AUD,FLAC,
"3-29-1994 / Chicago, IL / Rosemont *We're Damn Glad to Be Here - ANA(M) (Radio Shack SCR-59) (digitalman) ",AUD,SHN,
"3-30-1994 / Rosemont, IL / Rosemont Horizon",AUD,FLAC,
"8-13-1994 / Saugerties, NY / Woodstock '94",AUD,FLAC,
"8-13-1994 / Saugerties, NY / Woodstock '94 - VHS(M)",TV,DVD,
"12-31-1994 / Oakland, CA / Henry J. Kaiser Arena",AUD,FLAC,
,,,
[1995],,,
"6-3-1995 / Washington, D.C. / RFK Stadium - WHFSTival (w/ interviews) - DAT(M) (billydee)",FM (48k),FLAC,
"6-3-1995 / Washington, D.C. / RFK Stadium - WHFSTival ",FM  ,FLAC,
"7-13-1995 / New York, NY / Ed Sullivan Theater - David Letterman Show - VHS(M)",TV,DVD,
"7-19-1995 / Morrison, CO / Red Rocks Amphitheatre *Red Rocks (inc)",AUD,FLAC,
"7-22-1995 / Minneapolis, MN / Roy Wilkens Auditorium",AUD,FLAC,
"7-22-1995 / Minneapolis, MN / Roy Wilkens Auditorium (unk)",AUD,FLAC,
