Counting Crows,Versions,File Type,
"8-3-2000 / Clarkston, MI / Pine Knob Amphitheater (CSB) (unk)",AUD,FLAC,
"8-5-2000 / Tinley Park, IL / World Music Theater",AUD,FLAC,
"8-6-2000 / Cincinnati, OH / Riverbend Amphitheatre (CSB) (unk)",AUD,FLAC,
"8-9-2000 / Cuyahoga Falls, OH / Blossom Music Center (unk)",AUD,FLAC,
"8-12-2000 / Scranton, PA / Coors Light Amphitheater (unk)",AUD,FLAC,
"8-16-2000 / Mansfield, MA / Tweeter Center (Sound Pro Binaurals) (brett lowman)",AUD,FLAC,
"8-18-2000 / Wantagh, NY / Jones Beach Amphitheatre",AUD,FLAC,
"8-19-2000 / Wantagh, NY / Jones Beach Amphitheatre",AUD,FLAC,
"8-22-2000 / Holmdel, NJ / PNC Band Arts Center (DVD Rip)",AUD,FLAC,
"8-22-2000 / Holmdel, NJ / PNC Band Arts Center (SFX Radio Network)",FM,FLAC,
"8-22-2000 / Holmdel, NJ / PNC Band Arts Center (PRO)",WEB,WMV,
"8-23-2000 / Hartford, CT / Meadows Music Theater (unk)",AUD,FLAC,
"8-25-2000 / Virginia Beach, VA / Verizon Wireless Amphitheater (unk)",AUD,FLAC,
"8-26-2000 / Hershey, PA / Hershey Park Stadium (unk)",AUD,FLAC,
"8-28-2000 / Toronto, Ontario / Molson Amphitheatre",AUD,M4A,
"9-2-2000 / Burgettstown, PA / Post-Gazette Pavilion (CSB) (unk)",AUD,FLAC,
"9-3-2000 / Columbia, MD / Merriweather Post Pavilion (unk)",AUD,FLAC,
"9-12-2000 / Milwaukee, WI / Marcus Amphitheater",AUD,FLAC,
"9-13-2000 / Minneapolis, MN / Target Centre (unk)",AUD,FLAC,
"9-19-2000 / Reno, NV / Reno Amphitheater (unk)",AUD,FLAC,
"9-19-2000 / Reno, NV / Reno Hilton Outdoor Amphitheater (ECM MS-907) (kingsrue transfer)",AUD,FLAC,
"9-22-2000 / Berkeley, CA / Greek Theater",AUD,FLAC,
"9-23-2000 / Berkeley, CA / Greek Theater (Schoeps MK4) (aaron)",AUD,FLAC,
"9-25-2000 / Los Angeles, CA / Greek Theater - DAT(x) (unk)",AUD,FLAC,
"9-30-2000 / Irvine, CA / Verizon Wireless Amphitheatre (unk)",AUD,FLAC,
"10-2-2000 / Las Vegas, NV / Aladdin Theater",AUD,FLAC,
"10-5-2000 / Denver, CO / Fiddlers Green (unk)",AUD,FLAC,
"10-6-2000 / Alberquerque, NM / Mesa Del Sol Amphitheater (unk)",AUD,FLAC,
"10-10-2000 / Dallas, TX / Starplex (unk)",AUD,FLAC,
"10-10-2000 / Dallas, TX / Starplex",AUD,DVD,
"10-11-2000 / Woodlands, TX / Cynthia Woods Mitchell Pavilion (unk)",AUD,FLAC,
"10-14-2000 / Atlanta, GA / Lakewood Amphitheater (CSB) (lance stack)",AUD,FLAC,
"10-17-2000 / Raleigh, NC / Alltel Pavilion at Walnut Creek (HEBs + ATR55) (jp & david niehoff)",MTX,FLAC,
"10-19-2000 / Tampa, FL / Tampa Bay Ice Palace Arena (unk)",AUD,FLAC,
"10-21-2000 / Ft. Lauderdale, FL / Mars Music Amphitheater (unk)",AUD,FLAC,
"10-21-2000 / West Palm Beach, FL / Mars Music Amphitheatre - DAT(M) (SS-DSM-6SL) (chris gratz) ",AUD,FLAC,
"10-22-2000 / Orlando, FL / TD Waterhouse Center (SS-DSM-6S)",AUD,FLAC,
"10-24-2000 / Knoxville, TN / Worlds Fair Park Amphitheatre (unk)",AUD,DVD,
"10-25-2000 / Starkville, MS / Humphrey Coliseum",AUD,FLAC,
"10-28-2000 / New Orleans, LA / Voodoo Festival (FTU-004) (unk)",AUD,FLAC,
,,,
[2001],,,
"4-29-2001 / New Orleans, LA / Shim Sham Club",SBD,MP3,
"5-6-2001 / Irvine, CA / Verizon Wireless Amphitheatre (Schoeps) (unk)",AUD,FLAC,
"7-6-2001 / San Diego, CA / Humphrey's Concerts by the Bay (SPSC) (unk)",AUD,FLAC,
"7-7-2001 / Las Vegas, NV / Hard Rock Hotel",AUD,FLAC,
"7-9-2001 / Saratoga, CA / Saratoga Winery",SBD,FLAC,
"7-10-2001 / Saratoga, CA / Saratoga Winery",AUD,FLAC,
"7-12-2001 / Saratoga, CA / Mountain Winery (Schoeps MK2) (unk)",AUD,FLAC,
"7-15-2001 / Kelseyville, CA / Konochti Harbor Resord Outdoor Venue *High On Cobb Mountain (Sony MS907) (mike_markov)",AUD,FLAC,
"7-17-2001 / Portland, OR / Schnitzer Concert Hall (Neumann AK40s) (joe polastre)",AUD,FLAC,
"7-18-2001 / Woodinville, WA / St. Michelle Winery (Neumann AK40s) (joe polastre)",AUD,FLAC,
"7-20-2001 / Reno, NV / The Hilton Hotel (unk)",AUD,FLAC,
"7-21-2001 / Lake Tahoe, NV / Ceasar's Hotel & Casino - DAT(M) (Schoeps MK4) (taz)",AUD,FLAC,
"7-22-2001 / Lake Tahoe, NV / Ceasar's Palace - DAT(M) (Schoeps MK4) (taz)",AUD,FLAC,
"8-22-2001 / Austin, TX / The Backyard",AUD,FLAC,
"8-22-2001 / Austin, TX / The Backyard",AUD,DVD,
"8-24-2001 / San Marcus, TX / S.W Texas University, Straham Coliseum",AUD,FLAC,
"8-24-2001 / San Marcus, TX / S.W Texas University, Straham Coliseum",AUD,DVD,
"8-25-2001 / Huntsville, TX / Bernard G Johnson Auditorium",AUD,FLAC,
"8-27-2001 / New Orleans, LA / House of Blues (unk)",AUD,FLAC,
"8-28-2001 / New Orleans, LA / House of Blues",AUD,MP3,
"8-30-2001 / Lake Buena Vista, FL / House of Blues (DSM-6SM) (unk)",AUD,FLAC,
"8-30-2001 / Lake Buena Vista, FL / House of Blues - DAT(M) (SS-DSM-6SL) (chrisgratz) ",AUD,FLAC,
"8-31-2001 / Myrtle Beach, SC / House of Blues (ATR55) (unk)",AUD,FLAC,
"9-2-2001 / Virginia Beach, VA / R&R Half Marathon (DPA-4021) (unk)",AUD,FLAC,
"9-3-2001 / Davidson, NC / Belk Arena (unk)",AUD,FLAC,
"9-3-2001 / Davidson, NC / Belk Arena (DPA 4061s) (dan troy)",AUD,FLAC,
"9-7-2001 / San Diego, CA / San Diego Street Scene (unk)",AUD,FLAC,
"9-9-2001 / Anaheim, CA / House of Blues (unk)",AUD,FLAC,
"10-6-2001 / Hanover, NH / Leede Arena, Dartmouth College (DPA 4061s) (scott brown)",AUD,FLAC,
"10-7-2001 / New Haven, CT / Yale University (unk)",AUD,FLAC,
"10-13-2001 / Chestertown, MD / Washington College",AUD,FLAC,
"10-14-2001 / Allentown, PA / Muhlenberg College (Sony TCM-20DV) (unk)",AUD,FLAC,
"10-16-2001 / Northampton, MA / Smith College (Core Sound HEB) (chris)",AUD,FLAC,
"10-19-2001 / Wayne, NJ / William Paterson University Recreational Center (Nugs.net)",SBD,FLAC,Official Bootleg
"10-20-2001 / Geneseo, NY / SUNY, Kuhl Gymnasium (Sony MZ-R37) (kristin)",AUD,FLAC,
,,,
[2002],,,
"2-25-2002 / Los Angeles, CA / El Ray Theatre (unk)",AUD,FLAC,
"2-25-2002 / Los Angeles, CA / El Rey Theatre (Marcsounds) (markp) ",AUD,FLAC,
"4-26-2002 / New Orleans, LA / Jazzfest - Fairgrounds Race Track (Sony ECM-MS907) (jeff peters)",AUD,FLAC,
"4-26-2002 / New Orleans, LA / Jazzfest - Fairgrounds Race Track (inc)",SBD,FLAC,
"4-27-2002 / New Orleans, LA / Shim Sham Club (unk) (lewis fowler)",AUD,FLAC,
"4-30-2002 / Mobile, AL / Saenger Theater",AUD,FLAC,
"5-1-2002 / Birmingham, AL / Sloss Furnace (Sony TRV36) (starzgiirl)",AUD,FLAC,
"5-3-2002 / Nashville, TN / River Stages (unk)",AUD,FLAC,
"5-4-2002 / Atlanta, GA / Midtown Music Festival *The Live Experience",AUD,FLAC,
"5-5-2002 / Memphis, TN / Beale St. Music Festival (unk)",AUD,FLAC 24,
"5-10-2002 / New York City, NY / Battery Park (Sony MDR MZ-R700) (ehud)",AUD,FLAC 24,
"5-17-2002 / Nuerburgring-Eifel, Germany / Rock Am Ring (unk)",TV,FLAC,
"5-17-2002 / Nuerburgring-Eifel, Germany / Rock Am Ring (WDR Rockpalast Broadcast)",PRO,DVD,
"5-18-2002 / Nuremberg, Germany / Rock IM Park",FM,FLAC,
"5-20-2002 / Arnhem, Holland / Gelredome",AUD,FLAC,
"5-21-2002 / Amsterdam, Holland / Denk Aan Henk (bart)",FM,FLAC,
5-XX-2002 / Holland / Toasted.nl ,WEB,MP3,
"6-11-2002 / London, England / Radio 2 - Johnnie Walker Show (jim)",FM,FLAC,
"6-12-2002 / London, UK / Astoria (SS-DSM-6SM) (willie thompson)",AUD,FLAC,
"6-16-2002 / London, England / Brixton Academy (Sharp MT877) (martin gonzalez)",AUD,FLAC,
"6-17-2002 / Briston, England / Bristol Academy (unk)",AUD,FLAC,
"6-21-2002 / New York City, NY / WPLJ Interview (ehud)",FM,FLAC,
"7-1-2002 / Hollywood, CA / Hollywood Bowl (Sony D7) (unk)",AUD,FLAC,
"7-2-2002 / San Francisco, CA / KFOG Play Space",FM,FLAC,
"7-6-2002 / George, WA / The Gorge",AUD,FLAC,
"7-9-2002 / Philadelphia, PA / Tower Records",FM,FLAC,
"7-11-2002 / New York, NY / Ed Sullivan Theatre - Late Night with David Letterman",TV,M4A,
"7-11-2002 / New York City, NY / Virgin Megastore (DSM-6SM) (ehud lazin)",AUD,FLAC,
"7-12-2002 / New York, NY / Bryant Park (SP-CMC-20)  (ehud lazin)",AUD,FLAC,
"7-13-2002 / New York, NY / Irving Plaza",Silver CD,FLAC,
"7-13-2002 / New York, NY / Irving Plaza",AUD,FLAC,
"7-13-2002 / New York, NY / Irving Plaza (unk)",AUD,DVD,
"7-14-2002 / New York, NY / Bowery Ballroom",AUD,FLAC,
"7-19-2002 / Philadelphia, PA / World Cafe (WXPN Philadelphia)",FM,FLAC,
"7-XX-2002 / Seattle, WA / 103.7 KMTT Mountain Lodge",FM,MP3,
"8-9-2002 / Cologne, Germany / WDR2 Soundfiles (andreas haeusler)",FM,FLAC,
"8-10-2002 / Zofingen, Switzerland / Zofingen Festival",AUD,FLAC,
"8-15-2002 / Lewven, Belgium / Marktrock Festival (CSB) (steven bladt)",AUD,FLAC,
"8-15-2002 / Lewven, Belgium / Marktrock Festival (wzbw88)",AUD,FLAC,
"8-17-2002 / Stafford, England / Weston Park / V2002 Festival (DVD Rip)",SBD,FLAC,
"8-17-2002 / Stafford, England / Weston Park / V2002 Festival Vfest",PRO,DVD,
"8-18-2002 / Chelmsford, England / Hylands Park / V2002 Festival (unk)",AUD,FLAC,
"8-19-2002 / Amsterdam, Holland / Heineken Music Hall",preFM,FLAC,
"8-21-2002 / Edinburgh, Scotland / Corn Exchange (Sony MZR55) (colin whaley)",AUD,FLAC,
"8-22-2002 / Glasgow, Scotland / Barrowlands",AUD,FLAC,
"9-19-2002 / Boulder, CO / KBCO Studios",FM,FLAC,
"9-24-2002 / Minneapolis, MN / Cities 97 Studio C Session (benjamin ortega)",FM,FLAC,
"9-25-2002 / DeKalb, IL / NIU Convocation Center (CSB) (brett lowman)",FM,FLAC,
"9-28-2002 / Toronto, Canada / Air Canada Center (CSC) (martman)",AUD,FLAC,
"10-1-2002 / Providence, RI / URI Convocation Center (unk)",AUD,FLAC,
"10-2-2002 / Willamantic, CT / ECSU Sports Center (Oktava MC012) (hayden berard)",AUD,FLAC,
"10-3-2002 / New York, NY / Battery Park (DPA 4060s + SS-DSM-6S) (ehud lazin)",MTX,FLAC,
"10-4-2002 / Troy, NY / R.P.I. Fieldhouse (AKG 480/CK61) (eric naylor)",AUD,FLAC,
"10-5-2002 / Amherst, NY / Mullins Center",AUD,FLAC,
"10-7-2002 / New York, NY / Hammerstein Ballroom",AUD,FLAC,
"10-7-2002 / New York, NY / Hammerstein Ballroom - DAT(M) (Neumann TLM170s)",AUD (48k),FLAC,
"10-8-2002 / New York, NY / Hammerstein Ballroom (scott brown)",AUD,FLAC,
"10-9-2002 / New York, NY / WPLJ Radio Station (ehud lazin & raindv2000)",FM,FLAC,
"10-10-2002 / New York, NY / Hammerstein Ballroom",AUD,FLAC,
"10-13-2002 / Pittsburgh, PA / Peterson Events Center (HB MD) (mark morrison)",AUD,FLAC,
"10-16-2002 / West Lafayette, IN / Elliot Hall of Music (Oktava MC012) (dan glaser)",AUD,FLAC,
"10-18-2002 / Detroit, MI / Fox Theatre",AUD,FLAC,
"10-19-2002 / Kent, OH / Kent State University (Sony MZ-N707) (john d. randall)",AUD,FLAC,
"10-21-2002 / Chicago, IL / UIC Auditorium",AUD,FLAC,
"10-22-2002 / Madison, WI / Kohl Center - University of Wisconsin (Sony MDS-JB940) (wade rewey)",AUD,FLAC,
"10-24-2002 / Bloomington, IN / IU Auditorium (AKG CK63) (jon ice)",AUD,FLAC,
"10-25-2002 / Nashville, TN / Vanderbilt University (unk)",AUD,FLAC,
10-27-2002 / Washington D.C. / GWU - Smith Center,AUD,FLAC,
"10-30-2002 / Myrtle Beach, SC / House of Blues",AUD,FLAC,
"10-31-2002 / Atlanta, GA / Tabernacle",AUD,FLAC,
"11-2-2002 / New Orleans, LA / Voodoo Fest (unk)",AUD,FLAC,
"11-12-2002 / Asbury Park, NJ / Convention Hall",AUD,FLAC,
"11-15-2002 / Lowell, MA / Tsongas Arena (unk)",AUD,FLAC,
"11-17-2002 / Ithaca, NY / Barton Hall - Cornell University (AKG480/CK61) (tom horton)",AUD,FLAC,
"11-17-2002 / Ithaca, NY / Barton Hall - Cornell University",SBD,FLAC,
"11-19-2002 / Toledo, OH / Seagate Center",AUD,FLAC,
"11-20-2002 / Oxford, OH / Millet Hall - University of Miami - DAT(x) (unk) (jason severance)",AUD,FLAC,
"11-22-2002 / Columbus, OH / Mershon Auditorium (Neumann KM184s) (mike sarnovsky)",AUD,FLAC,
"11-23-2002 / East Lansing, MI / MSU Auditorium",AUD,FLAC,
"11-25-2002 / Minneapolis, MN / Northrup Auditorium",AUD,MP3,
"11-26-2002 / Chicago, IL / Park West (Private show for WXRT's 30th Birthday)",FM,FLAC,
"11-29-2002 / Milwaukee, WI / Riverside Theatre",AUD,FLAC,
"11-30-2002 / St. Louis, MO / Fox Theatre (SP-CMC-8s) (adam meyer)",AUD,FLAC,
"12-3-2002 / Orem, UT / McKay Events Center",AUD,FLAC,
"12-4-2002 / Denver, CO / Magness Arena (Microtech Gefell M300s) (lance stack)",AUD,FLAC,
"12-6-2002 / Las Vegas, NV / The Joint (Nugs.net)",SBD,FLAC,Official Bootleg
"12-7-2002 / Phoenix, AZ / Bash on Ash",AUD,FLAC,
"12-9-2002 / Burbank, CA / NBC Studios - Tonight Show with Jay Leno",TV,FLAC,
"12-10-2002 / Universal City, CA / Universal Amphitheatre",AUD,FLAC,
"12-11-2002 / Los Angeles, CA / Wiltern Theatre (AKG CK61) (jeff lester)",AUD,FLAC,
"12-13-2002 / San Diego, CA / Cox Theatre (AT-88s) (keith mautner)",AUD,FLAC,
"12-14-2002 / Los Angeles, CA / Shrine Auditorium (DVD Audio)",FM,FLAC,
"12-14-2002 / Los Angeles, CA / Shrine Auditorium ",PRO,VCD,
"12-16-2002 / San Francisco, CA / Warfield Theatre (Neumann KM184s) (joe palastre)",AUD,FLAC,
"12-17-2002 / San Francisco, CA / Warfield Theatre (Neumann KM184s) (joe palastre)",AUD,FLAC,
"12-20-2002 / San Francisco, CA / Warfield Theatre (Neumann KM184s) (joe palastre)",AUD,FLAC,
"12-21-2002 / San Francisco, CA / Warfield Theatre (Neumann KM184s) (joe palastre)",AUD,FLAC,
"12-22-2002 / San Francisco, CA / Warfield Theatre (Neumann KM184s) (joe palastre)",AUD,FLAC,
,,,
[2003],,,
"1-14-2003 / London, England / Today with Dez & Mel (DVD Rip)",PRO,FLAC,
"1-15-2003 / Glasgow, Scotland / SECC (Sony SCM-MS907) (richard kuppursamy)",AUD,FLAC,
"1-17-2003 / Belfast, N. Ireland / Waterfront Hall (unk)",AUD,FLAC,
"1-18-2003 / Dublin, Ireland / The Point (unk)",AUD,FLAC,
"1-21-2003 / Birmingham, England / N.E.C.",AUD,FLAC,
"1-22-2003 / Sheffield, UK / Hallam FM Arena",AUD,FLAC,
"1-26-2003 / London, England / Wembley Arena",AUD,FLAC,
"1-27-2003 / Bournemouth, England / B.I.C.",AUD,FLAC,
"1-29-2003 / Cardiff, Wales / Internaitional Arena (Sony ECM-717) (emma hussey-yeo)",AUD,FLAC,
"1-30-2003 / Manchester, England / Manchester Arena (unk)",AUD,FLAC,
"1-31-2003 / Newcastle, UK / Telewest Arena (unk) (simon twining)",AUD,FLAC,
"2-XX-2003 / Amsterdam, NL / Heineken Music Hall (The HDNet Broadcast)",TV,DVD,
"2-4-2003 / Amsterdam, The Netherlands / Heineken Music Hall (Shure SM98s) (mike d)",AUD,FLAC,
"2-5-2003 / Amsterdam, The Netherlands / Heineken Music Hall (Shure SM98s) (mike d)",AUD,FLAC,
"2-6-2003 / Amsterdam, The Netherlands / Heineken Music Hall (Shure SM98s) (mike d)",AUD,FLAC,
"2-14-2003 / London, England / Top of the Pops",TV,FLAC,
"2-19-2003 / London, UK / Top of the Pops (phil bell)",TV,FLAC,
"2-21-2003 / Manchester, UK / Apollo (Sony powered mic) (martin gonzalez)",AUD,FLAC,
"2-24-2003 / Adelaide, Australia / The Barton Theater",AUD,FLAC,
"2-25-2003 / Melbourne, Australia / Palais Theatre",AUD,FLAC,
"2-27-2003 / Sydney, Australia / Enmore Theatre",AUD,FLAC,
"2-28-2003 / Sydney, Australia / Enmore Theatre (unk)",AUD,FLAC,
"3-1-2003 / Brisbane, Australia / Festival Hall",AUD,FLAC,
"3-4-2003 / Melbourne, AUS / Palais Theatre (Nugs.net)",SBD,FLAC,Official Bootleg
"3-4-2003 / Melbourne, Australia / Rove Live Global Studios (DVD Rip Audio)",PRO,FLAC,
"3-6-2003 / Sydney, Australia / Hordern Pavilion (unk)",AUD,FLAC,
"3-8-2003 / Auckland, New Zealand / Civic Theatre (unk)",AUD,FLAC,
"4-3-2003 / Council Bluffs, IA / Mid-America Centre (Binaural mics) (dan shoop)",AUD,MP3,
"4-3-2003 / Council Bluffs, IA / Mid-America Centre (Earthworks SR71s) (adam meyer)",AUD,FLAC,
"4-6-2003 / Winona, MN / McClown Fieldhouse (unk)",AUD,FLAC,
"4-7-2003 / St Cloud, MN / Halenback Hall",AUD,FLAC,
"4-9-2003 / Mankato, MN / Myers Fieldhouse (Earthworks SR71s) (adam meyer)",AUD,FLAC,
"4-11-2003 / Athens, OH / Memorial Auditorium (unk)",AUD,FLAC,
"4-15-2003 / Stevens Point, WI / Quandt Fieldhouse (Sony MZ-R700) (unk)",AUD,FLAC,
"4-21-2003 / Dayton, OH / Hara Arena ",AUD,FLAC,
"4-23-2003 / Erie, PA / Warner Theatre (unk)",AUD,FLAC,
"4-24-2003 / Olean, NY / Reilly Center, St. Bonaventure University (AKG 480/CK63) (eric naylor)",AUD,FLAC,
"4-26-2003 / Morgantown, WV / West Virginia University",AUD,MP3,
"4-29-2003 / Lewiston, NY / Gallagher Center, Niagara University",AUD,FLAC,
"4-30-2003 / Easton, PA / Kirby Field House",AUD,FLAC,
"5-3-2003 / New Orleans, LA / Shim Sham Club",AUD,FLAC,
"6-3-2003 / London, England / BBC3 Liquid News",TV,DVD,
"6-5-2003 / London, UK / BBC Maida Vale",FM,FLAC,
"6-6-2003 / London, UK / Royal Albert Hall",AUD,FLAC,
"6-8-2003 / Landgraaf, NL / Pinkpop Festival",AUD,FLAC,
"6-8-2003 / Landgraaf, NL / Pinkpop Festival *Live at Pinkpop",Silver CD,FLAC,
"6-8-2003 / Landgraaf, NL / Pinkpop Festival",PRO,M4V,
"6-10-2003 / Rotterdam, The Netherlands / Ahoy (unk)",AUD,FLAC,
"6-12-2003 / Oslo, Norway / Norwegian Wood Festival (NRK Norwegian Broadcasting) (merete stava)",TV,FLAC,
"6-13-2003 / Hultsfred, Sweden / Hultsfred Festival",AUD,FLAC,
"6-13-2003 / Hultsfred, Sweden / Hultsfred Festival",SBD,FLAC,
"6-27-2003 / Killarney, Ireland / Fitzgerald Park (Skytronic condenser mic) (netheredgeman)",AUD,FLAC,
"6-29-2003 / Werchter, Belgium / Werchter Festival",WEB ,FLAC,
7-XX-2003 / Who Are CC (Interviews),,DVD,
"7-8-2003 / Salt Lake City, UT / West Valley Amphitheatre",AUD,FLAC,
"7-10-2003 / Portland, OR / Amphitheater at Clark County (unk)",AUD,FLAC,
"7-11-2003 / Seattle, WA / Gorge Amphitheatre (unk)",AUD,FLAC,
"7-13-2003 / Mountain View, CA / Shoreline Amphitheatre (Schoeps MK4) (unk)",AUD,FLAC,
"7-14-2003 / Concord, CA / Chronicle Pavillion (unk)",AUD,FLAC,
"7-15-2003 / Sacramento, CA / Sleeptrain Amphitheater",AUD,FLAC,
"7-17-2003 / Los Angeles, CA / Staples Center",AUD,FLAC,
"7-17-2003 / Los Angeles, CA / Staples Center - DV(M) (unk)",AUD,DVD,
"7-18-2003 / Irvine, CA / Verizon Wireless Amphitheatre (unk)",AUD,FLAC,
"7-19-2003 / San Diego, CA / Coors Amphitheater (unk)",AUD,FLAC,
"7-22-2003 / Albuquerque, NM / Journal Pavilion",AUD,FLAC,
"7-25-2003 / Houston, TX / Woodlands (unk)",AUD,FLAC,
"7-28-2003 / Bonner Springs, KS / Verizon Wireless Amphitheater (AT853) (chris lesiak)",AUD,FLAC,
"7-29-2003 / St. Louis, MO / UMB Bank Pavilion (unk)",AUD,FLAC,
"8-1-2003 / Milwaukee, WI / Marcus Amphitheatre",AUD,FLAC,
"8-2-2003 / Detroit, MI / DTE Energy Center",AUD,FLAC,
"8-6-2003 / Cincinnati, OH / Riverbend Amphitheatre",AUD,FLAC,
"8-12-2003 / Buffalo, NY / Darien Lake Performing Arts Center",AUD,FLAC,
"8-15-2003 / Washington, D.C. / Nissan Pavilion",AUD,FLAC,
"8-18-2003 / Saratoga Springs, NY / Saratoga Performing Arts Center (MasterSony D7) (dssman) ",AUD,FLAC,
"8-20-2003 / Hartford, CT / Meadows Music Center",AUD,FLAC,
"8-20-2003 / Hartford, CT / CTNow.com Meadows Music Centre (AKG 480) (hayden berard)",AUD,FLAC,
"8-22-2003 / Mansfield, MA / Tweeter Center (unk)",AUD,FLAC,
"8-23-2003 / Hartford, CT / Meadows Music Center (unk)",AUD,FLAC,
"8-26-2003 / Wantagh, NY / Jones Beach Amphitheater",AUD,MP3,
"9-2-2003 / Charlotte, NC / Verizon Wireless Amphitheater",AUD,FLAC,
"9-5-2003 / Boca Rotan, FL / Mizner Park Amphitheatre",AUD,FLAC,
"9-6-2003 / Tampa, FL / USF Sun Dome (unk) (scott murdock)",AUD,FLAC,
"9-18-2003 / New York, NY / Rollingstone.com Studios",WEB,MP3,
"9-18-2003 / New York, NY / Rollingstone.com Studios",WEB,MP4,
"10-8-2003 / Boise, ID / Big Easy Concert Hall (unk)",AUD,FLAC,
"10-25-2003 / Mountain View, CA / Shoreline Amphitheatre (Schoeps CCM4) (unk)",AUD,FLAC,
"10-25-2003 / Mountain View, CA / Shoreline Amphitheatre (DVD Rip)",AUD,FLAC,
"10-26-2003 / Concord, CA / Shoreline Amphitheatre (unk)",AUD,FLAC,
"10-27-2003 / San Francisco, CA / Bimbo's 365 Club (Amazon Webcast) (reigntaper)",WEB,FLAC,
"10-27-2003 / San Francisco, CA / Bimbo's 365 Club (Amazon Webcast)",WEB,DVD,
"11-13-2003 / Chicago, IL / WTTW Studios Soundstage",SBD ,FLAC,
"11-13-2003 / Chicago, IL / WTTW Studios Soundstage",TV,DVD,
"12-05-2003 / New York, NY / Times Square",FM,FLAC,
"12-8-2003 / San Francisco, CA / Warfield Theater",AUD,FLAC,
"12-9-2003 / San Francisco, CA / Warfield Theater (includes soundcheck)",AUD,FLAC,
"12-12-2003 / San Francisco, CA / Warfield Theater (Neumann KM184s) (joe polastre)",AUD,FLAC,
"12-13-2003 / San Francisco, CA / Warfield Theater",AUD,FLAC,
"12-13-2003 / San Francisco, CA / Warfield Theater",Silver CD,FLAC,
"12-15-2003 / San Francisco, CA / Warfield Theater (Neumann KM184s) (joe polastre)",AUD,FLAC,
"12-16-2003 / San Francisco, CA / Warfield Theater (Neumann KM184s) (joe polastre)",AUD,FLAC,
"12-18-2003 / Los Angeles, CA / El Capitan Entertainment Center (Jimmy Kimmel)",TV,M4V,
"12-19-2003 / Los Angeles, CA / Wiltern Theater (Oktava MC012s) (blguillen)",AUD,FLAC,
"12-20-2003 / Los Angeles, CA / Wiltern Theater (Oktava MC012s) (blguillen)",AUD,FLAC,
"12-22-2003 / Los Angeles, CA / Wiltern Theater (Oktava MC012s) (blguillen)",AUD,FLAC,
"12-23-2003 / Los Angeles, CA / Wiltern Theater (Oktava MC012s) (blguillen)",AUD,FLAC,
XX-XX-2003 / MSN Interview,FM,FLAC,
XX-XX-2003 / Live @ VH1.com (Webstream),WEB,DVD,
,,,
[2004],,,
"2-20-2004 / Manchester, UK / Apollo (Aiwa mic) (tradewalker)",AUD,FLAC,
"2-21-2004 / Manchester, UK / Apollo (Sony powered mic) (martin gonzalez)",AUD,FLAC,
"2-23-2004 / London, UK / Carling Apollo (CSB) (rob shard)",AUD,FLAC,
"2-24-2004 / London, UK / Carling Apollo (CSB) (rob shard)",AUD,FLAC,
"2-26-2004 / London, UK / Carling Apollo (unk)",AUD,FLAC,
"2-26-2004 / London, UK / Carling Apollo",AUD,DVD,
"2-27-2004 / London, UK / Carling Apollo (unk)",AUD,FLAC,
"3-XX-2004 / London, England - BBC2 Never Mind The Buzzcocks",TV,DVD,
"3-2-2004 / Dublin, Ireland / Olympia Theatre (Sony mic) (torsten koester)",AUD,MP3,
"3-3-2004 / Dublin, Ireland / Olympia Theatre (unk)",AUD,FLAC,
"3-4-2004 / Dublin, Ireland / Olympia Theatre",AUD,FLAC,
"3-6-2004 / Glasgow, Scotland / Glasgow Academy (unk)",AUD,FLAC,
"3-7-2004 / London, UK / Virgin Radio",SBD,FLAC,
"3-10-2004 / Rotterdam, The Netherlands / The Ahoy",FM,FLAC,
"3-10-2004 / Rotterdam, The Netherlands / The Ahoy *Live Ahoy 2004",Silver CD,FLAC,
"3-10-2004 / Rotterdam, Holland / The Ahoy",SBD,MP3,
"3-21-2004 / Johannesburg, South Africa / The Dome",AUD,MP3,
"5-14-2004 / Los Angeles, CA / The Star Lounge - Star 98.7 Radio Station",FM,FLAC,
"6-18-2004 / Brussels, Belgium / Vorst Nationaal (unk)",AUD,FLAC,
"6-22-2004 / Dublin, Ireland / The Point (inc)",AUD,FLAC,
"6-25-2004 / Las Vegas, NV / Mandalay Bay (unk)",AUD,FLAC,
"6-26-2004 / Alpine, CA / Viejas Casino (FTU-018)",AUD,DVD,
"6-29-2004 / Saratoga, CA / Mountain Winery (FTU-020)",AUD,DVD,
"7-1-2004 / Costa Mesa, CA / Pacific Ampitheatre (FTU-021)",AUD,DVD,
"7-3-2004 / Kelseyville, CA / Konocti Harbor Amphitheatre (Sony MZ R900) (unk)",AUD,FLAC,
"7-4-2004 / Chicago, IL / Petrillo Music Shell (Grant Park)",FM,FLAC,
"7-8-2004 / Green Bay, WI / Oneida Casino",AUD,FLAC,
"7-9-2004 / Minneapolis, MN / Basilica Block Party",AUD,MP3,
"7-11-2004 / Sterling Heights, MI / Jerome Duncan Ford Theater (SP-CMC-8) (christopher m. belch)",AUD,FLAC,
"7-11-2004 / Sterling Heights, MI / Jerome Duncan Ford Theatre (FTU-022)",AUD,DVD,
"7-13-2004 / Mt. Pleasant, MI / Soaring Eagle Casino Resort (FTU-023)",AUD,DVD,
