Counting Crows,Versions,File Type,
"10-3-1994 / Los Angeles, CA / Greek Theatre",AUD,FLAC,
"10-4-1994 / Los Angeles, CA / Greek Theatre (unk)",AUD,FLAC,
"11-8-1994 / Leeds, England / Town & Country",FM,FLAC,
"11-12-1994 / Cambridge, England / Corn Exchange (unk)",AUD,FLAC,
"11-14-1994 / Wolverhampton, UK / Civic Hall (Nugs.net)",SBD,FLAC,Official Bootleg
"11-15-1994 / London, England / Shepherd's Bush Empire",AUD,FLAC,
"11-16-1994 / London, England / Shepherd's Bush Empire (unk)",AUD,FLAC,
"11-22-1994 / Berlin, Germany / **Unknown Club - VHS(x) (unk)",AUD,FLAC,
"11-22-1994 / Berlin, Germany / **Unknown Club",AUD,DVD,
"11-24-1994 / Copenhagen, Denmark / Pumpehuset (unk)",AUD,FLAC,
"11-30-1994 / Frankfurt, Germany / Batschkapp",AUD,FLAC,
"12-9-1994 / Paris, France / Elysee Montmartre",AUD,FLAC,
"12-10-1994 / Paris, France / Elysee Montmartre",AUD,FLAC,
,,,
[1995],,,
"6-19-1995 / Los Angeles, CA / The Viper Room",SBD,FLAC,
"11-16-1995 / Hollywood, CA / Hollywood Grand *Newest Arrivals (unk)",AUD,FLAC,
,,,
[1996],,,
"9-4-1996 / San Francisco, CA / Fillmore Theatre (unk)",AUD,FLAC,
"9-8-1996 / Hollywood, CA / John Anson Ford Theater",AUD,FLAC,
"9-9-1996 / Hollywood, CA / John Anson Ford Theater (Tascam DA 302) (aaron yamagucci)",AUD,FLAC,
"9-9-1996 / Hollywood, CA / John Anson Ford Theater (Nugs.net)",SBD,FLAC,Official Bootleg
10-16-1996 / RTS Radio World Premiere,FM,FLAC,
"11-12-1996 / New Haven, CT / Palace Theater",AUD,FLAC,
"11-14-1996 / Boston, MA / Orpheum Theater (unk)",AUD,FLAC,
"11-15-1996 / Boston, MA / Orpheum Theater",AUD,FLAC,
"11-19-1996 / Montreal, QC / Theatre St-Denis (MKE2002) (stevemtl)",AUD,FLAC,
"11-22-1996 / Toronto, Ontario / Massey Hall (unk)",AUD,FLAC,
11-26-1996 / Washington D.C. / 9:30 Club (unk),AUD,FLAC,
11-27-1996 / Washington D.C. / 9:30 Club (Panasonic RX-SR29) (lostbrook),AUD,FLAC,
"12-2-1996 / New York, NY / Beacon Theater",AUD,FLAC,
"12-2-1996 / New York, NY / Beacon Theater - VHS(x) (goodnighelisabeth 2002)",AUD,DVD,
"12-4-1996 / New York, NY / Beacon Theater",AUD,FLAC,
"12-5-1996 / New York, NY / Beacon Theater",AUD,FLAC,
"12-7-1996 / Upper Darby, PA / Tower Theatre",AUD,MP3,
"12-9-1996 / New York, NY / Beacon Theater (unk)",AUD,FLAC,
"12-11-1996 / New York, NY / Ed Sullivan Theater (Letterman)",TV,FLAC,
