Radiohead,Versions,File Type,
"8-24-1997 / Philadelphia, PA / Electric Factory - DAT(1) (CSC) (tg)",AUD,FLAC,
"8-24-1997 / Philadelphia, PA / Electric Factory - ANA(M) (Sony ECM-737) (unk)",AUD,SHN,
"8-24-1997 / Philadelphia, PA / Electric Factory",AUD,DVD,
8-25-1997 / NPR Interview with Colin and Ed,FM,SHN,
"8-26-1997 / New York, NY / Hammerstein Ballroom - DAT(M) (CSC)",AUD,FLAC,
"8-26-1997 / New York, NY / Hammerstein Ballroom (CSC + Marcsounds) (tg & m)",MIX,FLAC,
"8-27-1997 / Philadelphia, PA / Electric Factory",AUD,DVD,
"8-29-1997 / New York, NY / Late Night with David Letterman",TV,FLAC,
"8-29-1997 / New York, NY / Late Night with David Letterman - VHS(2) ",TV,MKV,
"9-3-1997 / London, England / Astoria Theater - ANA(M) (unk)",AUD,FLAC,
"9-3-1997 / London, England / Astoria Theater",AUD,DVD,
"9-4-1997 / Bridlington, England / Bridlington Spa (unk)",AUD,FLAC,
9-7-1997 / Blackpool / Empress Ballroom (Soundcheck) (unk) (emily hyatt),AUD,FLAC,
9-8-1997a / Stoke / Trentham Gardens (Soundcheck) (unk) (emily hyatt),AUD,FLAC,
9-8-1997 / Stoke / Trentham Gardens (ECM-909) (belfrank),AUD,FLAC,
"9-11-1997 / Plymouth, England UK / Plymouth Pavilion (unk)",AUD,FLAC,
"9-13-1997 / London, England / Brixton Academy - CASS(x) (joe breslin transfer)",AUD,FLAC 24,
"9-14-1997 / Brighton, UK / The Brighton Centre (unk)",AUD,FLAC,
"9-14-1997 / Brighton, UK / The Brighton Centre (Sony ECM-707) (pennyghael)",AUD,FLAC,
"10-12-1997 / Lille, France / L'Aeronef - DAT(M) (Sony ECM-717)",AUD,FLAC,
"10-12-1997 / Lille, France / L'Aeronef - ANA(1) (unk) (gary watson transfer)",AUD #1,FLAC,
"10-13-1997 / Rotterdam, Holland / Ahoy (unk)",AUD,FLAC,
"10-14-1997 / Brussels, Belgium / Forest National (Sony MD>ECM-717) (unk)",AUD,FLAC,
"10-14-1997 / Brussels, Belgium / Forest National - VHS(1)",AUD,DVD,
"10-17-1997 / Strasbourg, France / Hall Rhenus - DAT(M) (OKM IIR) (blg transfer)",AUD,FLAC,
"10-17-1997 / Strasbourg, France / Hall Rhenus (unk)",AUD,FLAC,
"10-18-1997 / Paris, France / Le Zenith (OKM IIR) (yp?)",AUD,FLAC,
"10-18-1997 / Paris, France / Le Zenith",AUD,FLAC,
"10-18-1997 / Paris, France / Le Zenith - Video8(M) (trvisbckle63 transfer)",AUD,DVD,
"10-20-1997 / Grenoble, France / Summin (ECM-907) (unk)",AUD,FLAC,
"10-20-1997 / Grenoble, France / Summin (unk)",AUD,FLAC,
"10-22-1997 / Toulouse, France / Palais des Sports (unk)",AUD,SHN,
"10-28-1997 / Milan, Italy / Palavobis *The Fifth Element",AUD,FLAC,
10-29-1997 / Italy / Vox Club (near Modena) (unk),AUD,SHN,
"10-30-1997 / Florence, Italy / Palasport - CASS(x) (unk)",AUD,SHN,
"10-30-1997 / Florence, Italy / Palasport (choc-e-claire/fuzzbluerain remaster)",AUD,FLAC,
"11-2-1997 / Bonn, Germany / Biskuithalle (unk)",AUD,FLAC,
"11-5-1997 / Stockholm, Sweden / Johanneshovs Isstadion - DAT(1) (Sony ECM-144) (rj)",AUD,FLAC,
"11-5-1997 / Stockholm, SWE / Hovet - MD(M) (unk) (qew transfer)",AUD,FLAC 24,
"11-6-1997 / Oslo, Norway / Rockefeller Music Hall (inc)",AUD,FLAC,
"11-10-1997 / Hamburg, Germany / Grosse Freiheit (Sony TCD D7>OKM II) (unk)",AUD,FLAC,
"11-11-1997 / Offenbach, Germany / Stadthalle (unk)",AUD,FLAC,
"11-16-1997 / London, England / Wembley Arena (DVD Audio Rip)",AUD,FLAC,
"12-19-1997a / New York, NY / Hammerstein Ballroom Soundcheck",SBD,FLAC,
"12-19-1997 / New York, NY / Hammerstein Ballroom - MTVs Live at the 10 Spot *Tourism (jwb)",SBD,FLAC,
"12-19-1997 / New York, NY / Hammerstein Ballroom - DAT(1) (SBD + MarcSounds) (blg mix)",MIX,FLAC,
"12-19-1997 / New York, NY / Hammerstein Ballroom - VHS(2)",PRO,DVD,
"12-19-1997 / New York, NY / Hammerstein Ballroom *Keep In Contact With Old Friends",PRO,DVD,
,,,
[1998],,,
"1-14-1998 / Niigata, Japan / Faze - CASS(x) (unk)",AUD,FLAC,
"1-15-1998 / Nagano, Japan / Matsumoto (unk)",AUD,FLAC,
"1-18-1998 / Tokyo, Japan / Toky Kokusai Forum - DAT(1) (SS-DSM6S) (ht)",AUD,FLAC,
"1-18-1998 / Tokyo, Japan / Toky Kokusai Forum (unk)",AUD,SHN,
"1-19-1998 / Nagoya, Aichi, Japan / Diamond Hall (SS-DSM6S) (unk)",AUD,SHN,
"1-19-1998 / Nagoya, Aichi, Japan / Diamond Hall - DAT(x) (unk)",AUD,SHN,
"1-21-1998 / Fukuoka, Japan / Clossing Hall - DAT(2) (CSC) (blg mastering) (mike ziegler transfer)",AUD,FLAC,
"1-22-1998 / Osaka, Japan / Kousei enkin Kaikan - DAT(2) (SS-DSM6S) (unk)",AUD,FLAC,
"1-23-1998 / Tokyo, Japan / Akasaka Blitz - DAT(M) (SS-DSM6S) (upgrade)",AUD,FLAC,
"1-23-1998 / Tokyo, Japan / Akasaka Blitz (SS-DSM6S)",AUD,FLAC,
"1-24-1998 / Tokyo, Japan / Akasaka Blitz (SS-DSM6S) (unk)",AUD,SHN,
"1-29-1998 / Wellington, NZ / Town Hall - ANA(x) (unk)",AUD,FLAC,
"2-2-1998 / Melbourne, Australia / Festival Hall (AT822/AT825) (unk)",AUD,FLAC,
"2-4-1998 / Sydney, Australia / Entertainment Centre - DAT(M) (CSB) (unk)",AUD,FLAC,
"3-28-1998 / Houstin, TX / Aerial Theater at Bayou Place - DAT(M) (SS-DSM6S) (chris milazzo)",AUD,FLAC,
"3-29-1998 / Dallas, TX / Music Hall - Fair Park (SS-DSM6S)",AUD,SHN,
"4-1-1998 / Los Angeles, CA / Universal Amphitheater - DAT(M) (CSB) (ed davis)",AUD,FLAC,
"4-1-1998 / Los Angeles, CA / Universal Amphitheater (Thomfoolery Version) (mono scanner source)",AUD,FLAC,
"4-2-1998 / San Francisco, CA / Bill Graham Civic Auditorium (Schoeps MK5s) (Source 1)",AUD,FLAC,
"4-2-1998 / San Francisco, CA / Bill Graham Civic Auditorium (Schoeps MK5s) (Source 2)",AUD,FLAC,
"4-2-1998 / San Francisco, CA / Bill Graham Civic Auditorium - VHS(3)",AUD,DVD,
"4-4-1998 / Salem, OR / Salem Armory - DAT(1) (SS-DSM6S) (unk)",AUD,FLAC,
"4-4-1998 / Salem, OR / Salem Armory (unk)",AUD,FLAC,
"4-5-1998 / Seattle, WA / Paramount Theatre - DAT(M) (SS) (tapeworm48 transfer)",AUD,FLAC,
"4-5-1998 / Seattle, WA / Paramount Theatre (SS-DSM6S) (unk)",AUD,FLAC,
"4-5-1998 / Seattle, WA / Paramount Theatre (unk)",AUD,DVD,
"4-6-1998 / Vancouver, BC / Pacific Coliseum - ANA(x) (unk) (henrik)",AUD,FLAC,
"4-8-1998 / Calgary, AB / Max Bell Arena - CASS(1) (pzy transfer)",AUD,FLAC 24,
"4-10-1998 / Chicago, IL / Rosemont Horizon (unk)",AUD,SHN,
"4-12-1998 / Toronto, Ontario / Maple Leaf Gardens - DAT(M) (MKE-2002) (tapeworm48 transfer)",AUD,FLAC,
"4-12-1998 / Toronto, Ontario / Maple Leaf Gardens (unk)",AUD,SHN,
"4-12-1998 / Toronto, Ontario / Maple Leaf Gardens - VHS(1) (unk)",AUD,DVD,
"4-13-1998 / Montreal, Canada / Molson Theatre (DDC2>MKE-2002) (unk)",AUD (48k),SHN,
"4-13-1998 / Montreal, Canada / Molson Theatre (MKE-2002) (stevemtl)",AUD,FLAC 24,
"4-15-1998 / Worcester, MA / Worcester Centrum - ANA(1) (SS) (unk)",AUD,FLAC,
"4-15-1998 / Worcester, MA / Worcester Centrum - VHS(2) (unk)",AUD,FLAC,
"4-17-1998 / New York, NY / Radio City Music Hall - DAT(M) (SS-DSM-6S) (blg transfer)",AUD,FLAC,
"4-18-1998 / New York, NY / Radio City Music Hall (unk)",AUD,SHN,
"4-18-1998 / New York, NY / Radio City Music Hall - DAT(M) (SS-DSM6S) (blg transfer)",AUD,FLAC,
"4-18-1998 / New York, NY / Radio City Music Hall - DAT(M) (SS-DSM6S) (tony g.)",AUD,FLAC,
"4-18-1998 / New York, NY / Radio City Music Hall (streetspirit)",AUD,DVD,
"4-26-1998 / New York, NY / MTV Studios - 120 Minutes (Thom Yorke) - VHS(x)",TV,DVD,
"6-14-1998 / Washington, D.C. / RFK Stadium - Tibetan Freedom Concert (Capitaol Records Promo VHS Master)",SBD,FLAC,
"6-14-1998 / Washington, D.C. / RFK Stadium - Tibetan Freedom Concert (Thom with REM)",SBD,FLAC,
"6-14-1998 / Washington, D.C. / RFK Stadium - Tibetan Freedom Concert",PRO,DVD,
"6-15-1998 / Washington, D.C. / Free Tibet Rally - West Capital Lawn (Thom Yorke) (unk)",AUD,FLAC,
"6-15-1998 / Washington, D.C. / Free Tibet Rally - West Capital Lawn (Thom Yorke) (C-SPAN source)",AUD,FLAC,
"6-15-1998 / Washington, D.C. / Free Tibet Rally - West Capital Lawn (Thom Yorke) (CSPAN Broadcast)",PRO,DVD,
"12-10-1998 / Paris, France / Bercy / Amnesty International Convert (LDB Series #297)",FM,FLAC,
"12-10-1998 / Paris, France / Bercy / Amnesty International Convert",FM,FLAC,
"12-10-1998 / Paris, France / Bercy / Amnesty International Convert (FM>DAT) (blg transfer)",FM,FLAC,
"12-10-1998 / Paris, France / Bercy / Amnesty International Convert (unk)",PRO,DVD,
,,,
[1999],,,
"6-14-1999 / Amsterdam, Holland / Rai Parkhal (Tibetan Freedom Concert) - Thom and Jonny acoustic",TV,FLAC,
"6-14-1999 / Amsterdam, Holland / Rai Parkhal (Tibetan Freedom Concert) - Thom and Jonny acoustic",PRO,FLAC,
,,,
[2000],,,
XX-XX-2000 / Kid A Blipverts,,DVD,
"4-7-2000 / Berlin, Germany / Grofler Sendesaal des SFB (unk)",SBD,SHN,
"6-13-2000 / Arles, France / Theatre Antique d'Arles (Marantz EM8) (blg transfer)",AUD,FLAC,
"6-13-2000 / Arles, France / Theatre Antique d'Arles *Karma in the Arena - Live 2000 (Ganja 12-2)",Silver CD,FLAC,
"6-15-2000 / Barcelona, Spain / Teatro Tivoli *Knives Out",Silver CD,FLAC,
"6-15-2000 / Barcelona, Spain / Teatro Tivoli (inc)",AUD,FLAC,
"6-15-2000 / Barcelona, Spain / Teatro Tivoli (unk)",AUD,FLAC,
"6-17-2000 / Frejus, France / Les Arenes - VHS(M) ",AUD,DVD,
"6-18-2000 / Monza, Milan, Italy / Villa Reale *Just New",Silver CD,SHN,
"6-18-2000 / Monza, Milan, Italy / Villa Reale  (Aiwa CM-30a) (ldb)",AUD,FLAC,
"6-18-2000 / Monza, Milan, Italy / Villa Reale  - DAT(M) (ldb master series #3)",AUD,FLAC,
"6-18-2000 / Monza, Milan, Italy / Villa Reale - DAT(M) (Sony ECM-77) (blg transfer)",AUD,FLAC,
"6-19-2000 / Milan, Italy / Villa Raele - DAT(M) (Sony ECM-77) (blg transfer)",AUD,FLAC,
"6-19-2000 / Milan, Italy / Villa Raele (unk)",AUD,FLAC,
"6-21-2000 / Florence, Italy / Piazza Santa Croce - DAT(2) (CSB) (blg transfer)",AUD,FLAC,
"6-21-2000 / Florence, Italy / Piazza Santa Croce (unk)",AUD,SHN,
"6-22-2000 / Florence, Italy / Piazza Santa Croce - DAT(c) (CSB) (unk)",AUD,FLAC,
"6-22-2000 / Florence, Italy / Piazza Santa Croce (unk)",AUD,FLAC,
"6-26-2000 / Athens, Greece / Lycabetus Theatre (MD) (unk)",AUD,FLAC,
"6-30-2000 / Paris, France / Le Grand Rex (unk)",AUD,SHN,
"6-30-2000 / Paris, France / Le Grand Rex (unk) (V2)",AUD,FLAC,
"7-1-2000 / London, England / Royal Festival Hall / Scott Walker's Meltdown Festival (EMI Japan CDR acetate)",AUD,FLAC,
"7-1-2000 / London, England / Royal Festival Hall / Scott Walker's Meltdown Festival (MD) (unk)",AUD,FLAC,
"7-3-2000 / Berlin, Germany / SFB Sendesaal (OKM) (blg transfer)",AUD,FLAC,
"7-4-2000 / Berlin, Germany / Grofler Sendesaal des SFB *Revolves Around (LTM025)",SBD,FLAC,
"7-4-2000 / Berlin, Germany / Grofler Sendesaal des SFB (fixed) (ridleybradout patch)",preFM,FLAC,
"7-4-2000 / Berlin, Germany / Grofler Sendesaal des SFB (remastered by the swingin' pig)",FM,SHN,
"7-4-2000 / Berlin, Germany / Grofler Sendesaal des SFB (Satellite)",preFM,SHN,
"7-8-2000 / Tel Aviv, Israel / Cinerama (Custom mics) (y.c.)",AUD,FLAC,
"7-9-2000 / Caesaria, Israel / Old Roman Amphitheatre (inc) (unk)",AUD,FLAC,
"9-1-2000 / Newport, South Wales, UK / Tredegar House (SS-DSM-6SM) (unk)",AUD,FLAC,
"9-1-2000 / Newport, South Wales, UK / Tredegar House (unk)",AUD,SHN,
"9-7-2000 / Copenhagen, Denmark / Copenhagen Valby Parken (CSC) (tw)",AUD,FLAC,
"9-8-2000 / Copenhagen, Denmark / Freakshow Copenhagen - Westwood One Radio Broadcast (MD)",FM,FLAC,
"9-8-2000 / Copenhagen, Denmark / Freakshow Copenhagen - Westwood One Radio Broadcast",FM,FLAC,
"9-11-2000 / Werchter, Belgium / Werchter Festival (Sony ECM-717) (unk)",AUD,FLAC,
"9-11-2000 / Werchter, Belgium / Werchter Festival (unk)",AUD,FLAC,
"9-12-2000 / Werchter, Belgium / Werchter Festival - MD(M) (Sony ECM-717) (ov)",AUD,FLAC,
"9-15-2000 / Nijmegen, The Netherlands / Goffert Park (Tent Tour) (CSB) (dutch_master)",AUD,FLAC,
"9-16-2000 / Nijmegen, The Netherlands / Gofferpark *Nijmegen 2000",Silver CD,FLAC,
"9-16-2000 / Nijmegen, The Netherlands / Gofferpark",FM,FLAC,
"9-16-2000 / Nijmegen, The Netherlands / Gofferpark",SBD,FLAC,
"9-18-2000 / Paris, France / Nulle Part Ailleurs (French Television Broadcast)",TV,FLAC,
"9-19-2000 / Saint Denis, France / Stade De France (unk) ",AUD,FLAC,
"9-20-2000 / Saint Denis, France / Esplanade (Blue Tent) - DAT(M) (ECM-717) (guillaume pakel)",AUD,FLAC,
"9-23-2000 / London, UK / Victoria Park (CSB) (unk)",AUD,FLAC,
"9-24-2000 / London, UK / Victoria Park - Tower Hamlets (unk)",AUD,FLAC,
"9-24-2000 / London, UK / Victoria Park - Tower Hamlets (MD) (blg transfer)",AUD,FLAC,
9-25-2000 / XFM London / Ed O Brien & Phil Selway Interview,WEB,FLAC,
"9-25-2000 / London, UK / Victoria Park - Tower Hamlets (unk)",AUD,FLAC,
"9-25-2000 / London, UK / Victoria Park - Tower Hamlets (unk)",AUD,FLAC,
"9-29-2000 / Glasgow, UK / Glasgow Green (Sony ECM-909) (unk)",AUD,FLAC,
"10-XX-2000 / Dublin, Ireland  / SNL Promo (jwb transfer)",TV,FLAC,
"10-1-2000 / Warrington, Cheshire, UK / Victoria Park (unk)",AUD,FLAC,
"10-2-2000 / Warrington, Cheshire, UK / Victoria Park",FM,SHN,
"10-2-2000 / Warrington, Cheshire, UK / Victoria Park (FM>Sony DAT TCD-D7)",FM,FLAC,
"10-2-2000 / Warrington, Cheshire, UK / Victoria Park - DAT(M)",FM,SHN,
"10-2-2000 / Warrington, Cheshire, UK / Victoria Park (blg transfer)",preFM,FLAC,
"10-3-2000 / Warrington, UK / Victoria Park - DAT(M) (AT831b) (blg transfer)",AUD,FLAC,
"10-6-2000 / Kildare, Ireland / Punchestown Race Course - DAT(M) (Custom mics) (blg transfer)",AUD,FLAC,
"10-7-2000 / Kildare, Ireland / Punchestown Race Course (Custom mics)",AUD,FLAC,
"10-7-2000 / Kildare, Ireland / Punchestown Race Course (Sony ECM-909) (belfrank)",AUD,FLAC,
"10-7-2000 / Kildare, Ireland / Punchestown Race Course (unk)",PRO,MP4,
"10-8-2000 / Kildare, Ireland / Punchestown Race Course (Custom mics)",AUD,FLAC,
"10-8-2000 / Kildare, Ireland / Punchestown Race Course (Sony ECM-909) (belfrank)",AUD,FLAC,
10-11-2000 / New York NY / Roseland Ballroom - DAT(c) (CSBmod) (blg transfer),AUD,FLAC,
"10-12-2000 / New York, NY / Museum of TV and Radio (Interview with Colin and Nic Harcourt)",FM,SHN,
10-13-2000 / NPR Kid A Review (NPR Website),WEB,FLAC,
"10-14-2000 / New York, NY / Saturday Night Live (NBC Broadcast)",TV,FLAC,
"10-14-2000 / New York, NY / Saturday Night Live",TV,DVD,
"10-17-2000 / Toronto, CA / Sears Theatre (Schoeps CCM4s) (unk)",AUD,SHN,
"10-17-2000 / Toronto, CA / Sears Theatre",AUD,DVD,
"10-20-2000 / Los Angeles, CA / Greek Theatre - DAT(1) (CSB) (blg transfer)",AUD,FLAC,
"10-20-2000 / Los Angeles, CA / Greek Theatre - DAT(M) (DPA 4061s) (ed davis)",AUD,FLAC,
"10-20-2000 / Los Angeles, CA / Greek Theatre - DAT(M) (DPA 4061) (unk)",AUD,FLAC,
"12-11-2000 / London, UK / BBC Radio 1 Sessions (WW1) (Source 1)",preFM,FLAC,
"12-11-2000 / London, UK / BBC Radio 1 Sessions (WW1) (Source 2)",preFM,FLAC,
"12-11-2000 / London, UK / BBC Radio 1 Sessions",FM,FLAC,
"12-20-2000 / BBC Radio 1 Evening Session ""Head to Head"" (Interview)",FM,FLAC,
XX-XX-2000 / Kid A Blipverts,,DVD,
"XX-XX-2000 / Live Promos (Capital, EMI)",preFM,FLAC,
,,,
[2001],,,
XX-XX-2001 / Top of the Pops BBC Broadcast,TV,FLAC,
XX-XX-2001 / Thom Yorke Interview,WEB,FLAC,
XX-XX-2001 / Story So Far - MTV France,TV,MPG,
1-25-2001 / KCRW 'Ground Zero' Interview,WEB,FLAC,
"4-28-2001 / Paris, France / Canal + Studios - The Making of Amnesiac - VHS(M) (Capitol Records Promo VHS)",TV,DVD,
"4-28-2001 / Paris, France / Canal+ Studios",Promo VHS,FLAC,
"4-28-2001 / Paris, France / Canal+ Studio *Paris in the Spring",Silver CD,SHN,
"4-28-2001 / Paris, France / Canal+ Studio (Promo CD)",Silver CD,FLAC,
5-17-2001 / Top of the Pops TV Broadcast,TV,FLAC,
"5-26-2001 / Bilbao, Spain / Plaza Del Toros - DAT(M) (DPA 4061s) (unk)",AUD,FLAC,
"5-26-2001 / Bilbao, Spain / Plaza Del Toros *Amnesie (EB-88-2)",Silver CD,SHN,
"5-28-2001 / Vaison La Romaine, France / Theatre Romain - DAT(M) (DPA 4061) (unk)",AUD,FLAC,
"5-28-2001 / Vaison La Romaine, France / Theatre Romain (unk)",AUD,SHN,
"5-28-2001 / Vaison La Romaine, France / Theatre Romain (OUI FM) (chv31)",FM,FLAC,
5-29-2001 / BBC Radio 1 Session - Interview,WEB,FLAC,
5-30-2001a / BBC Radio - Lard Show (BBC Radio 1) (Interview and session),FM,FLAC,
"5-30-2001 / Verona, Italy / Arena (DPA 4060) (unk)",AUD,FLAC,
5-31-2001 / BBC Radio - Lard Show (BBC Radio 1) (Interview),FM,FLAC,
"6-1-2001 / Nurburg, Germany / Rock Am Ring Festival *Radiohead Rock am Ring 2001",SBD,FLAC,
"6-1-2001 / Nurburg, Germany / Rock Am Ring Festival ",FM,SHN,
"6-2-2001 / Nuremburg, Germany / Rock Im Park Festival (unk)",AUD,SHN,
"6-4-2001 / Landgraaf, Netherlands / Pinkpop Festival",FM,SHN,
"6-4-2001 / Landgraaf, Netherlands / Pinkpop Festival (inc) (chrizzz99999)",PRO ,TS,
6-8-2001 / NPR Review of Amnesiac,WEB,SHN,
"6-9-2001 / London, UK / BBC Studios - Later with Jools Holland",TV,FLAC,
"6-9-2001 / London, UK / BBC Studios - Later with Jools Holland (Unaired songs from broadcast)",TV,FLAC,
"6-9-2001 / London, UK / Later with Jools Holland (Rebroadcast)",TV,FLAC,
"6-18-2001 / Houston, TX / Cynthia Woods Mitchell Pavilion (D8) (unk)",AUD,FLAC,
"6-18-2001 / Houston, TX / Cynthia Woods Mitchell Pavilion- DAT(M)  (SS-DSM6S) (chris milazzo)",AUD,FLAC,
"6-18-2001 / Houston, TX / Cynthia Woods Mitchell Pavilion (Optimus Condensers) (d. cox)",AUD,FLAC,
"6-20-2001 / Morrison, CO / Red Rocks Amphitheatre (unk)",AUD,SHN,
"6-20-2001 / Morrison, CO / Red Rocks Amphitheatre - DAT(M )(CSB) (unk)",AUD,FLAC,
6-23-2001a / Thom Yorke Interview / 107.7 The End (Seattle),WEB,FLAC,
"6-23-2001 / George, WA / The Gorge Amphitheatre (thischarmingman)",SBD,FLAC,
"6-23-2001 / George, WA / The Gorge Amphitheatre (IEM+Neumann KM140s) (blg)",MIX,FLAC,
"6-23-2001 / George, WA / The Gorge Amphitheatre (Neumann AK40s) (unk)",AUD,FLAC,
"6-23-2001 / George, WA / The Gorge Amphitheatre (B/W) (mark warchol)",PRO,DVD,
"6-24-2001 / Vancouver, BC / Thunderbird Stadium (Neumann AK40s) (joe polastre)",AUD,FLAC,
"6-24-2001 / Vancouver, BC / Thunderbird Stadium (Neumann KM140s + Sonic Studios) (blg mix)",MIX,FLAC,
"6-27-2001 / Mountain View, CA / Shoreline Amphitheatre - DAT(M) (DPA 4061s) (ed davis)",AUD,FLAC,
"6-27-2001 / Mountain View, CA / Shoreline Amphitheatre (Neumann AK40s) (unk)",AUD,SHN,
"6-27-2001 / Mountain View, CA / Shoreline Amphitheatre - DAT(M) (Neumann AK40s) (mv)",AUD,FLAC,
"6-27-2001 / Mountain View, CA / Shoreline Amphitheatre (unk)",AUD,SHN,
"6-29-2001 / Santa Barbera, CA / Santa Barbera Bowl (CSBmod) (unk)",AUD,FLAC,
"6-29-2001 / Santa Barbera, CA / Santa Barbera Bowl (SS-DSM6) (unk)",AUD,FLAC,
"6-29-2001 / Santa Barbera, CA / Santa Barbera Bowl (Neumann KM140s) (unk)",AUD,FLAC,
"6-30-2001 / Santa Barbera, CA / Santa Barbera Bowl (DPA 4061s) (unk)",AUD,FLAC,
"6-30-2001 / Santa Barbera, CA / Santa Barbera Bowl (SS-DSM6S) (unk)",AUD,FLAC,
"6-30-2001 / Santa Barbera, CA / Santa Barbera Bowl (IEM + CSB + SS-DSM6) (blg edit)",MIX,FLAC,
"7-7-2001 / Oxford, UK / South Park (WW1 ""Absolutely Live in the Zone #01-38)",Silver CD,SHN,
"7-7-2001 / Oxford, UK / South Park",SBD #2,SHN,
"7-7-2001 / Oxford, UK / South Park - DAT(M) (XFM Broadcast)",SBD,FLAC,
"7-30-2001 / Atlanta, GA / Meadow at Stone Mountain (DPA 4061s) (unk)",AUD,FLAC,
"7-30-2001 / Atlanta, GA / Meadow at Stone Mountain",AUD,DVD,
"8-1-2001 / Chicago, IL / Hutchinson Field  (CSC) (DAT D8) (unk)",AUD,FLAC,
"8-1-2001 / Chicago, IL / Hutchinson Field - DAT(M) (Small custom mics) (blg transfer)",AUD,FLAC,
"8-3-2001 / Barrie, Ontario / Molson Park - DAT(M) (SS DSM6s) (tapeworm48 transfer)",AUD,FLAC,
"8-3-2001 / Barrie, Ontario / Molson Park (Neumann SKM 140s) (unk)",AUD,SHN,
"8-3-2001 / Barrie, Ontario / Molson Park (SP-BMC-1) (unk)",AUD,FLAC,
"8-5-2001 / Montreal, Quebec / Parc Jean Drapeau - DAT(M) (SS-DSM6s) (fh)",AUD,FLAC,
"8-7-2001 / New York, NY / Madison Square Garden (SS-DSM6s/l) (unk)",AUD,FLAC,
"8-7-2001 / New York, NY / Madison Square Garden (Schoeps MK4) (beau colburn & chris preston)",AUD,SHN,
"8-7-2001 / New York, NY / Madison Square Garden (unk)",AUD,FLAC,
"8-8-2001 / Cuyahoga Falls, OH / Blossom Music Center (SS-DSM-6S/L) (unk)",AUD,FLAC,
"8-8-2001 / Cuyahoga Falls, OH / Blossom Music Center (Neumann TLM 170r) (unk)",AUD,SHN,
"8-8-2001 / Cuyahoga Falls, OH / Blossom Music Center (Sony D8) (jab1981 transfer)",AUD,FLAC,
"8-14-2001 / Boston, MA / Suffolk Downs (Custom mics HiFi S&S) (jb)",AUD,FLAC,
"8-14-2001 / Boston, MA / Suffolk Downs (Schoeps MK4) (eric mcroberts)",AUD,SHN,
"8-16-2001 / Jersey City, NJ / Liberty State Park (CSB) (unk)",AUD,FLAC,
"8-16-2001 / Jersey City, NJ / Liberty State Park - DAT(M) (DPA 4061)",AUD,SHN,
"8-16-2001 / Jersey City, NJ / Liberty State Park - DAT(M) (Oade mics) (blg transfer)",AUD,FLAC,
"8-17-2001 / Jersey City, NJ / Liberty State Park - DAT(M) (DPA 4061) (unk)",AUD,FLAC,
"8-17-2001 / Jersey City, NJ / Liberty State Park (unk + DPA 4061) (unk)",MIX,FLAC,
"8-20-2001 / Los Angeles, CA / Hollywood Bowl (CSB) (jon seff transfer)",AUD,SHN,
"8-20-2001 / Los Angeles, CA / Hollywood Bowl (CSBm1 + DPA 4061) (blg mix)",MIX,FLAC,
"9-1-2001 / Knifin' Around, Space Ghost (Thom Yorke and Bjork)",TV  ,AVI,
"9-8-2001 / Stockholm, Sweden / Globen (CSC) (etasoitinpaa)",AUD,FLAC,
"9-8-2001 / Stockholm, Sweden / The Globe Arena *Amnesiac Tour 2001",Silver CD,FLAC,
"9-9-2001 / Oslo, Norway / Spektrum (Shure Beta 98) (blg transfer)",AUD,FLAC,
"9-11-2001 / Berlin, Germany / Parkbhune (OKM IIR) (unk)",AUD,FLAC,
9-14-2001 / Belfast / Odyssey (Sony ECM 909) (belfrank),AUD,FLAC,
"9-29-2001 / Osaka, Japan / Castle Hall (SS DSM6S) (unk)",AUD,FLAC,
"9-29-2001 / Osaka, Japan / Castle Hall (rozy stuff)",AUD,DVD,
"9-30-2001 / Osaka, Japan / Castle Hall - DAT(M) (SS-DSM-6S) (ryanj transfer)",AUD,FLAC,
"9-30-2001 / Osaka, Japan / Castle Hall (unk)",AUD,FLAC,
"9-30-2001 / Osaka, Japan / Castle Hall",AUD,DVD,
10-XX-2001 / MTV Europe *Played in Full,TV,AVI,
"10-2-2001 / Tokyo, Japan / Budokan - DAT(1) (SS-DSM-6S) (ht)",AUD,FLAC ,
"10-2-2001 / Tokyo, Japan / Budokan - DAT(M) (SS-DSM-6S (hiroyuki tanaka)",AUD (48k),FLAC,
"10-2-2001 / Tokyo, Japan / Budokan",AUD,DVD,
"10-3-2001 / Yokohama, Japan / Yokohama Arena - DAT(M) (SS-DSM-6S) (hiroyuki tanaka)",AUD (48k),FLAC,
"10-3-2001 / Yokohama, Japan / Yokohama Arena (SS DSM6S) (unk)",AUD,FLAC,
"10-4-2001 / Yokohama, Japan / Yokohama Arena - DAT(1) (SS-DSM6S) (ht)",AUD,FLAC,
"10-4-2001 / Yokohama, Japan / Yokohama Arena - DAT(M) (SS-DSM-6S) (hiroyuki tanaka)",AUD (48k),FLAC,
,,,
[2002],,,
"7+8-XX-2002 / Liberian Tour Compilation - Lisbon, Porto, San Sebastian, Benicassim & Salamanca (lovesick alien)",MIX,FLAC,
"7-22-2002 / Lisboa, Portugal / Coliseu dos Recreios (Sharp MD-MS702) (ziggy)",AUD,FLAC,
"7-22-2002 / Lisboa, Portugal / Coliseu dos Recreios (Sony ECM-TS125) (unk)",AUD,FLAC,
"7-23-2002 / Lisbon, Portugal / Coliseu dos Recreios de Lisboa (AT933) (dave's source)",AUD,FLAC,
