Sonic Youth,Versions,File Type,
"7-3-2006 / Sacramento, CA / Empire - DAT(M) (Schoeps MK4s) (fireball)",AUD,FLAC 24,
"7-18-2006 / San Francisco, CA / Bill Graham Civic Center - DAT(M) (Neumann KM140s) (unk)",AUD,FLAC,
"7-24-2006 / Melbourne, AUS / The Palace (crankingamps)",MIX,FLAC,
,,,
[2007],,,
"8-17-2007 / Saint-Malo, France / La Route du Rock - Fort de Saint-Père (SP-CMC-8)",AUD,FLAC,
"8-22-2007 / Glasgow, GB / ABC1 (Nugs.net)",SBD,FLAC,Official Bootleg
"8-25-2007 / Prague, Czechia / Archa Divadlo (DPA 4061) (d. tena)",AUD,FLAC,
,,,
[2008],,,
"2-20-2008 / Melbourne, AUS / Metro (DPA 4061s) (crankingamps)",AUD,FLAC,
,,,
[2009],,,
"6-29-2009 / Royal Oak, MI / Royal Oak Music Theater (MG210) (unk) ",AUD,FLAC 24,
"7-28-2009 / Portland, OR / Roseland Theater (SP-CMC4) (kris)",AUD,FLAC  ,
"10-21-2009 / Berlin, DE / Columbiahalle (Nugs.net)",SBD,FLAC,Official Bootleg
,,,
[2010],,,
"9-4-2010 / Monticello, NY / Kutscher's Country Club (DPA 4060s) (unk)",AUD,FLAC,
"10-4-2010 / Denver, CO / Ogden Theatre (Earthworks SR78s) (rob)",AUD,FLAC,
,,,
[2011],,,
"8-12-2011 / Brooklyn, NY / Williamsburg Waterfront (Nugs.net) ",SBD,FLAC,Official Bootleg
"11-8-2011 / Montevideo, Uruguay / Teatro de Verano (MM-MCSM-4) (rony kohn) ",AUD,FLAC,
"11-13-2011 / Santiago, Chile / Maquinaria Festival 2011 (CA-11s) (realkuka) ",AUD,FLAC,
,,,
[MISC],,,
"11-XX-1983 - Live in Sweden (Bootleg 7"")",AUD,FLAC,
Sonic Youth - Death To Our Friends,Silver CD,FLAC,
Sonic Youth - Sugar Baby (Moonraker 112),Silver CD,FLAC,
Sonic Youth - Be My Sister In Death (Flashback 1993),Silver CD,FLAC,
Sonic Youth - Splitting The Atom (1993) (KTS154) ,Silver CD,FLAC,
Sonic Youth - Murray Street EPK (2002 Promo),,MKV,
Sonic Youth - The Jim Years - Live 2000-2005,Compilation,FLAC,
Sonic Youth - E.V.O.Lution (Live '85-'93),Silver CD,FLAC,
Sonic Youth - TV Appearances 1989-2000,Compilation,FLAC,
Sonic Youth - Various Demos (1990),,FLAC,
