"4-11-1989 / San Francisco, CA / The Stone (Aiwa)",AUD,FLAC,
"4-12-1989 / Santa Clara, CA / One Step Beyond",AUD,FLAC,
"4-14-1989 / Portland, OR / Starry Night",AUD,FLAC,
"4-20-1989 / Los Angeles, CA / John Anson Ford Theatre",AUD,FLAC,
"4-21-1989 / Los Angeles, CA / John Anson Ford Theatre",AUD,FLAC,
"4-22-1989 / Los Angeles, CA / John Anson Ford Theatre",AUD,FLAC,
"4-25-1989 / Los Angeles, CA / John Anson Ford Theatre",AUD,FLAC,
"4-28-1989 / Los Angeles, CA / John Anson Ford Theatre",AUD,FLAC,
"5-1-1989 / San Diego, CA / Montezuma Hall - SDSU *Amok (floodland rework)",Silver CD,FLAC,
"5-8-1989 / San Francisco, CA / Fillmore West",AUD,FLAC,
"5-11-1989 / San Diego, CA / San Diego State University",Silver CD,FLAC,
"7-11-1989 / Los Angeles, CA / The Palace",AUD,SHN,
,,,
[1990],,,
"7-7-1990 / Mt. Baldy, CA / Forest Preserve *Forget the Rumors, We're Still Alive (Deluxe Edition)",Silver CD,FLAC,
"8-22-1990 / London, UK / Subterania",AUD,FLAC,
"8-23-1990 / London, UK / Subterania - ANA(M) (Aiwa HS-J800)",AUD,FLAC,
"9-28-1990 / Manchester, UK / Interanational II",AUD,FLAC,
"10-5-1990 / London, UK / Astoria Theatre",AUD,FLAC,
"10-9-1990 / Paris, France / Elysee Montmartre (cc)",AUD,FLAC,
10-11-1990 / Milan Italy / City Square,AUD,FLAC,
10-11-1990 / Milan Italy / City Square,PRO,DVD,
"10-15-1990 / Bochum, Germany / Die Zeche",AUD,FLAC,
"10-17-1990 / Hamburg, Germany / Markethalle",AUD,FLAC,
"10-19-1990 / Amsterdam, Holland / The Melkweg",AUD,FLAC,
"10-31-1990 / Los Angeles, CA / Henry Fonda Theatre",AUD,FLAC,
"11-3-1990 / La Jolla, CA / UCSD Price Center Ballroom",AUD,FLAC,
"11-4-1990 / Phoenix, AZ / Celebrity Theater (david homes)",AUD,FLAC,
"11-8-1990 / Houston, TX / The Unicorn",AUD,FLAC,
"11-15-1990 / Norfolk, VA / Boathouse",AUD,FLAC,
"11-19-1990 / Philadelphia, PA / The Tower Theatre *The Riot Show",AUD,FLAC,
"11-20-1990 / New York, NY / The Ritz",AUD,FLAC,
"11-20-1990 / New York, NY / The Ritz (unk)",AUD,FLAC,
"11-21-1990 / New York, NY / The Ritz",AUD,FLAC,
"11-21-1990 / New York, NY / The Ritz (unk)",AUD,FLAC,
"11-27-1990 / Cleveland, OH / Agora Theatre (mrdoots)",AUD,FLAC,
"11-28-1990 / Detroit, MI / Latin Quarter ",AUD,FLAC 24,
"11-30-1990 / Chicago, IL / Aragon Ballroom (unk) ",AUD,FLAC,
"12-10-1990 / Vancouver, BC / P.N.E. Forum (audioarchivist U-101)",AUD,FLAC,
"12-14-1990 / San Jose, CA / San Jose University",AUD,FLAC,
"12-15-1990 / San Francisco, CA / Civic Auditorium (AUD1)",AUD,FLAC,
"12-15-1990 / San Francisco, CA / Civic Auditorium (AUD2)",AUD,FLAC,
"12-18-1990 / Los Angeles, CA / Hollywood Palladium (VHS sourced) ",AUD,FLAC,
"12-19-1990 / Los Angeles, CA / Hollywood Palladium *Live & Insane",Silver CD,FLAC,
"12-20-1990 / Los Angeles, CA / Hollywood Palladium",AUD,FLAC,
,,,
[1991],,,
"1-28-1991 / Tempe, AZ / Arizona State University - Activity Center (AUD1)",AUD,FLAC,
"1-28-1991 / Tempe, AZ / Arizona State University - Activity Center (AUD2)",AUD,FLAC,
"2-4-1991 / Los Angeles, CA / Universial Ampitheater - DAT(M)",AUD,FLAC,
"2-10-1991 / Austin, TX / City Coliseum",AUD,FLAC,
"2-12-1991 / Kansas City, MO / Memorial Hall",AUD,FLAC,
"2-15-1991 / New Orleans, LA / Municipal Auditorium",AUD,FLAC,
"2-18-1991 / Orlando, FL / Orlando Sports Club",AUD,FLAC,
"2-20-1991 / Miami, FL / Bayfront Park Amphitheater (AUD1)",AUD,FLAC,
"2-20-1991 / Miami, FL / Bayfront Park Amphitheater (AUD2)",AUD,FLAC,
"3-10-1991 / Newcastle upon Tyne, England / Mayfair Suite",AUD,FLAC,
"3-12-1991 / Nottingham, UK - Rock City - Video8(M) (mark b)",AUD,DVD,
"3-14-1991 / Birmingham, UK / Hummingbird (direwolf-pgh)",AUD,FLAC,
"3-20-1991 / Dusseldorf, Germany / Tor III - AUD(x)",AUD,FLAC,
"4-XX-1991 / Milan, Italy / City Square *The Head Shop / Idiot's Rule",Silver CD,FLAC,
"4-1-1991 / Rome, Italy / Teatro Teantrisdice",AUD,FLAC,
"4-3-1991 / Torino, Italy / The Big Club",AUD,FLAC,
"4-7-1991 / Madrid, Spain / Sala Universal Theater",FM,FLAC,
"4-23-1991 / Washington, D.C. / George Washington University",AUD,FLAC,
"4-24-1991 / New York, NY / Madison Square Garden - ANA(M) (Sony ECM-909) (jr)",AUD,FLAC,
"4-27-1991 / Troy, NY / FPI Fieldhouse",AUD,FLAC,
"4-28-1991 / Portland, ME / Cumberland County Civic Center (todd coffin)",AUD,FLAC,
"5-1-1991 / Warwick, RI / Rocky Point Amusement Park (AUD1) (Schoeps MK4)",AUD,FLAC,
"5-1-1991 / Warwick, RI / Rocky Point Amusement Park (AUD2)",AUD,FLAC,
"5-3-1991 / Springfield, MA / Springfield Armory",AUD,FLAC,
"5-4-1991 / Rochester, NY / War Memorial Auditorium",AUD,FLAC,
5-7-1991 / Pittsburgh PA / AJ Palumbo Center - ANA(1) (Sony D6) (unk),AUD,FLAC,
"5-27-1991 / Salem, OR / National Guard Armory (sz master)",AUD,FLAC,
"7-18-1991 / Tempe, AZ / Compton Terrace (Lollapalooza) - ANA(M) (david homes)",AUD,FLAC,
"7-20-1991 / San Diego, CA / Devore Stadium",AUD,,
"7-21-1991 / Irvine, CA / Irvine Meadows (Lollapalooza) (SBD1)",SBD,FLAC,
"7-21-1991 / Irvine, CA / Irvine Meadows (Lollapalooza) (SBD2)",SBD,FLAC,
"7-23-1991 / Irvine, CA / Irvine Meadows (Lollapalooza)",SBD,FLAC,
"7-24-1991 / Irvine, CA / Irvine Meadows Amphitheatre (Lollapalooza) (inc)",SBD,FLAC,
"7-26-1991 / Mountain View, CA / Shoreline Amphitheatre (persic)",AUD,FLAC,
"7-26-1991 / Mountain View, CA / Shoreline Amphitheater (CM300) (markp)",AUD,FLAC,
"7-26-1991 / Mountainview, CA / Shoreline Amphitheatre - ANA(M) (jeftak) (krw_co transfer) ",AUD,FLAC 24,
"7-27-1991 / Mountain View, CA / Shoreline Amphitheatre (se)",AUD,FLAC,
"8-1-1991 / St. Paul, MN / Harriet Island (Lollapalooza) (dm)",AUD,FLAC,
