Tom Petty & the Heartbreakers,Versions,,,,File Type,
"7-1-2005 / Milwaukee, WI / Marcus Amphitheater - Summerfest (Sony TCD-D7) (soulpanic)",AUD,,,,FLAC,
"7-18-2005 / Des Moines, IA / Wells Fargo Arena (DSM-6S) (unk)",AUD,,,,FLAC,
"7-24-2005 / Atlantic City, NJ / Borgata Casino (SP-CMC-8) (unk)",AUD,,,,FLAC,
"7-27-2005 / Columbia, MD / Merriweather Post Pavillion (MBHO603a)",AUD,,,,FLAC,
"8-24-2005 / Marysville, CA / Sleep Train Amphitheater (unk) (louis falanga)",AUD,,,,FLAC,
"8-26-2005 / Berkeley, CA / Greek Theater - DAT(M) (Neumann KM140s) (unk)",AUD,,,,FLAC,
"8-26-2005 / Berkeley, CA / Greek Theatre - DAT(M) (jeftak) (krw_co transfer)",AUD,,,,FLAC,
"8-27-2005 / Berkeley, CA / Greek Theater - DAT(M) (Neumann KM140s) (wilson66)",AUD,,,,FLAC,
"8-27-2005 / Berkeley, CA / Greek Theatre (SPCM-8-(OMNI) (unk)",AUD,,,,FLAC,
"8-30-2005 / Morrison, CO / Red Rocks Amphitheatre (SS-DSM-6P) (jeff w.& wes m.)",AUD,,,,FLAC,
"8-30-2005 / Morrison, CO / Red Rocks Amphitheatre (CSB) (root productions) *You Smell Like Marijuana",AUD,,,,FLAC,
"8-31-2005 / Morrison, CO / Red Rocks Amphitheater (CSB) (root productions) ",AUD,,,,FLAC,
"9-3-2005 / George, WA / Gorge Amphitheater (Nakamichi CM300s) (chris & jessica mcgrath)",AUD,,,,FLAC,
,,,,,,
[2006],,,,,,
"6-9-2006 / Charlotte, NC / Verizon Wireless Amphitheatre (Schoeps MK4s) (unk)",AUD,,,,FLAC,
"6-10-2006 / Bristow, VA / Nissan Pavilion (B&K4022) (unk)",AUD,,,,FLAC,
"6-14-2006 / Columbus, OH / Germain Amphitheater (CSB) (unk) ",AUD,,,,FLAC,
"6-16-2006 / Manchester, TN / Bonnaroo - What Stage (Binaurals) (kenny endlich)",AUD,,,,FLAC,
"6-16-2006 / Manchester, TN / Bonnaroo - What Stage (Peluso CEMC6) (jon buffington)",AUD,,,,FLAC,
"6-20-2006 / New York City, NY / Madison Square Garden (DPA 4061) (the noodle) ",AUD,,,,FLAC,
"6-21-2006 / Mansfield, MA / Tweeter Center (CSB) (benny blanco)",AUD,,,,FLAC,
"6-29-2006 / Milwaukee, WI / Marcus Amphitheater - Summerfest (DPA 4023) (george wang)",AUD,,,,FLAC 24,
"6-30-2006 / Milwaukee, WI / Marcus Amphitheater - Summerfest (DPA 4023) (george wang)",AUD,,,,FLAC 24,
"6-30-2006 / Milwaukee, WI / Marcus Amphitheater - Summerfest (AKG CK31s) (dk-wi)",AUD,,,,FLAC,
"7-2-2006 / Denver, CO / Pepsi Arena (DPA 4022) (bluntforcetrauma) ",AUD,,,,FLAC,
"7-3-2006 / Denver, CO / Pepsi Arena (DPA 4022) (bluntforcetrauma)",AUD,,,,FLAC,
"8-15-2006 / Corfu, NY / Darien Lake Performing Arts Center (CSC) (buffalofloyd)",AUD,,,,FLAC,
"8-18-2006 / Camden, NJ / Tweeter Center (Schoeps MK4Vs) (unk)",AUD,,,,FLAC,
"9-8-2006 / Toronto, ON / Molson Amphitheatre (CSC) (burnboy)",AUD,,,,FLAC,
"9-12-2006 / Madison, WI / Coliseum at Alliant Energy Center (AKG CK31s) (dk-wi) ",AUD,,,,FLAC,
"9-17-2006 / Austin, TX / Austin City Limits - Festival AT&T Stage (Edirol R09) (pete c.)",AUD,,,,FLAC,
"9-21-2006 / Gainesville, FL / Stephen C. O'Connell Center (floridian)",FM,,,,FLAC,
"9-21-2006 / Gainesville, FL / Stephen C. O'Connell Center *Live From Gaterville",PRO,,,,DVD,
"9-29-2006 / Berkeley, CA / The Greek Theatre - DAT(M) (Neumann KM140s) (wilson66) ",AUD,,,,FLAC,
"9-29-2006 / Berkeley, CA / Greek Theater - DAT(M) (unk) (jeftak)",AUD,,,,FLAC,
"9-30-2006 / Berkeley, CA / The Greek (Schoeps CCM4) (agavekid)",AUD,,,,FLAC,
"9-30-2006 / Berkeley, CA / Greek Theater - DAT(M) (KM140s) (wilson66)",AUD (48k),,,,FLAC,
"10-20-2006 / West Sacramento, CA / Raley Field (w/ Stevie Nicks)",AUD,,,,FLAC,
"10-28-2006 / Las Vegas, NV / Vegoose (Sennheiser MKH-800s) (ian white)",AUD,,,,FLAC,
"10-28-2006 / Las Vegas, NV / Sam Boyd Stadium - Vegoose Double Down Stage  (Audio Technica AT835ST) (jules montell)",AUD,,,,FLAC,
,,,,,,
[2008],,,,,,
"2-3-2008 / Glendale, AZ / Super Bowl XLII Halftime Show (Cable Broadcast)",TV,,,,DVD,
"5-30-2008 / Grand Rapids, MI / Van Andel Arena (ST-11s) (willyp523)",AUD,,,,FLAC,
"6-5-2008 / Philadelphia, PA / Wachovia Center (MK41s) (nicky c)",AUD,,,,FLAC,
"6-6-2008 / Philadelphia, PA / Wachovia Center (MK41s) (nicky c)",AUD,,,,FLAC,
"6-25-2008 / Hollywood, CA / Hollywood Bowl (Schoeps MK4) (josephine)",AUD,,,,FLAC,
"7-5-2008 / Milwaukee, WI / Marcus Amphitheater (AT-899) (unk)",AUD,,,,FLAC,
"7-26-2008 / Permberton, BC / Pemberton Music Festival (ST-11s) (seth)",AUD,,,,FLAC,
8-7-2008 / St. Louis MO / Verizon Wireless Amphitheatre (Schoeps MK4Vs) (unk) ,AUD,,,,FLAC,
"8-23-2008 / San Francisco, CA / Golden Gate Park - Outsidelands Festival (MK4v) (prednisonej)",AUD,,,,FLAC,
,,,,,,
[2010],,,,,,
"6-12-2010 / George, WA / The Gorge (Edirol R09) (mike ziegler)",AUD,,,,FLAC 24,
"6-19-2010 / Winnipeg, Manitoba / MTS Centre (Olympus LS-10) (unk)",AUD,,,,FLAC,
"7-31-2010 / Philadelphia, PA / Wachovia Center (Neumann KM150s) (keith litzenberger)",AUD,,,,FLAC,
"8-15-2010 / Bristow, VA / Jiffy Lube Live Amphitheatre (AT-822) (unk)",AUD,,,,FLAC,
,,,,,,
[2011],,,,,,
"10-5-2011 / San Francisco, CA / Treasure Island - Oracle OpenWorld Party (Schoeps MK4) (daspyknows)",AUD,,,,FLAC,
,,,,,,
[2012],,,,,,
"5-1-2012 / Estero, FL / Germain Arena (DPA 4061) (unk)",AUD,,,,FLAC 24,
"6-10-2012 / Hamburg, Germany / 02 Arena (OKMIIr) (juwe) ",AUD,,,,FLAC,
"6-29-2012 / Lucca, Italy / Piazza Napoleone (zhuki mastering)",SBD,,,,FLAC,
,,,,,,
[2013],,,,,,
"6-8-2013 / Hollywood, CA / Fonda Theater (MK4) (daspyknows)",AUD,,,,FLAC,
,,,,,,
[2014],,,,,,
"8-21-2014 / Winnipeg, MB / MTS Centre (CA-14) (unk)",AUD,,,,FLAC,
"8-26-2014 / Toronto, ON / Air Canada Centre (CSB) (burnboy) ",AUD,,,,FLAC 24,
"9-6-2014 / Arlington, VA / Lockn' Festival (CCM4Vs) (z-man)",AUD,,,,FLAC,
"9-26-2014 / Dallas, TX / American Airlines Center (SP-CMC-08s) (whotapes) ",AUD,,,,FLAC,
"10-11-2014 / Inglewood, CA / The Forum (Schoeps MK4) (scooter123)",AUD,,,,FLAC,
,,,,,,
[2015],,,,,,
"12-19-2015 / West Hollywood, CA / Troubadour Nightclub (ECM MS957) (-m-)",AUD,,,,FLAC,
,,,,,,
[2017],,,,,,
"4-22-2017 / Dallas, TX / American Airlines Center (AT943) (whotapes)",AUD,,,,FLAC,
"5-10-2017 / Champaign, IL / State Farm Center (SP-CMC-8s) (ironchef) ",AUD,,,,FLAC,
"5-27-2017 / Napa, CA / Napa Valley Expo (MK41) (daspyknows)",AUD,,,,FLAC,
"5-30-2017 / Denver, CO / Red Rocks Amphitheatre (Marantz PMD 661) (jeff travitz)",AUD,,,,FLAC,
"6-14-2017 / Hartford, CT / Xfinity Theater (Tascam DR-05) (scott medeiros) ",AUD,,,,FLAC,
"6-16-2017 / Newark, NJ / Prudential Center (AT943) (joe burns) ",AUD,,,,FLAC,
"6-24-2017 / Pasadena, CA / Arroyo Seco Music Festival (MK4) (scooter123)",AUD,,,,FLAC,
"6-29-2017 / Chicago, IL / Wrigley Field (DPA 4060) (unk)",AUD,,,,FLAC 24,
"7-20-2017 / Boston, MA / TD Garden (SP-CMC-8c) (farve4)",AUD,,,,FLAC,
"7-29-2017 / Philadelphia, PA / Wells Fargo Center (Gefell M-210s) (edtyre)",AUD,,,,FLAC,
"8-17-2017 / Vancouver, BC / Rogers Arena (SP-CMC-8) (chris bold)",AUD,,,,FLAC,
"9-21-2017 / Los Angeles, CA / Hollywood Bowl (Zoom H2n) (unk)",AUD,,,,FLAC,
"9-21-2017 / Los Angeles, CA / Hollywood Bowl (Roland R-05) (unk)",AUD,,,,FLAC 24,
"9-22-2017 / Hollywood, CA / Hollywood Bowl (AT831s) (unk)",AUD,,,,FLAC,
,,,,,,
[MISC],,,,,,
Running Down A Dream (DVD),Official,,,,MKV,
"The Old Grey Whistle Test (June, 1978)",,,,,DVD,
Tom Petty - VH1 Documentaries (1995),TV,,,,DVD,
Tom Petty - The Bootleg Series Vol. 1-3 (Live 1976-1981),Compilation,,,,FLAC,
Tom Petty - The Bootleg Series Vol. 4-8 (Live 1982-1993),Compilation,,,,FLAC,
"XX-XX-1981 - ""Hard Promises"" Demos",,,,,FLAC,
Tom Petty - Somewhere You Feel Free (Documentary) (2021),,,,,MP4,
Tom Petty - Insomnia (1981 Outtake),,,,,FLAC,
,,,,,,
,,,,,,
,,,,,,
Traveling Wilburys,Versions,,,,File Type,
Drive - B,,,,,,
,,,,,,
,,,,,,
[MISC],,,,,,
Traveling Wilburys - Recovered Treasures,SBD,,,,FLAC,
Traveling Wilburys - Family Tree (Volume I),,,,,FLAC,
Traveling Wilburys - Family Tree (Volume II),,,,,FLAC,
Traveling Wilburys - The Unreleased Masters (Captain Acid Remaster),,,,,FLAC,
,,,,,,
,,,,,,
,,,,,,
Mudcrutch,Versions,,,,File Type,
Drive - B,,,,,,
,,,,,,
,,,,,,
[1971],,,,,,
"1-14-1971 / Gainesville, FL / University Auditorium ",SBD,,,,FLAC,
,,,,,,
[1973],,,,,,
"1-14-1973 / Gainesville, FL / The Rat Club - ANA(1)",AUD,,,,FLAC,
,,,,,,
[2008],,,,,,
"4-17-2008 / San Francisco, CA / The Fillmore - DAT(M) (Schoeps CCM4)",AUD,,,,FLAC,
,,,,,,
[2016],,,,,,
"5-31-2016 / Nashville, TN / Ryman Auditorium (SP-CMC-8) (unk)",AUD,,,,FLAC,
