Tom Petty & the Heartbreakers,Versions,,,,File Type,
"6-18-1981 / Detroit, MI / Cobo Arena - ANA(M) (Teac M-100) (krw_co transfer)",AUD,,,,FLAC,
"6-30-1981 / Inglewood, CA / Forum (Millard Master via JEMS Vol. 67)",AUD,,,,FLAC,
"7-5-1981 / Seattle, WA / HEC Edmundson Pavillion (Nak. 700s) (ms)",AUD,,,,FLAC,
"7-5-1981 / Seattle, WA / HEC Edmundson Pavilion (JEMS master) ",AUD,,,,FLAC,
"8-3-1981 / Bethlehem, PA / Stabler Arena, - ANA(M) Iunk) (luvsufo)",AUD,,,,FLAC 24,
"8-7-1981 / Boston, MA / The Boston Garden ",AUD,,,,FLAC,
"9-6-1981 / Sacramento, CA / Cal Expo Racetrack (Electrovoice RE's)",AUD,,,,FLAC,
"9-18-1981 / Irvine, CA / Irvine Meadows - ANA(1) (CM300) (persic)",AUD,,,,FLAC,
"9-19-1981 / Irvine, CA / Irvine Meadows - ANA(1) (CM300) (persic)",AUD,,,,FLAC,
"10-2-1981 / Lakeland, FL / Lakeland Civic Center (unk)",AUD,,,,FLAC,
"10-6-1981 / St. Petersburg, FL / Bay Front Center (inc)",AUD,,,,FLAC,
"10-8-1981 / Gainesville, FL / Stephen C. O'Connell Center",AUD,,,,FLAC,
,,,,,,
[1982],,,,,,
"9-1-1982 / Santa Cruz, CA / Civic Center (M) (kirit kapadia)",AUD,,,,FLAC,
"12-3-1982 / Nogent-sur-Marne, France / Pavillon Baltard (unk) (biccio59)",AUD,,,,FLAC,
"12-4-1982 / Utrecht, Netherlands / Vredenurg *Straight Into Darkness",SBD,,,,FLAC,
"12-10-1982 / Coventry, UK / Apollo Theater (unk)",AUD,,,,FLAC,
"12-12-1982 / London, England / Wembley Arena",FM,,,,FLAC,
"12-14-1982 / Munchen, Germany / Deutsches Museum Kongresshalle - ANA(1) (ph)",AUD,,,,FLAC,
,,,,,,
[1983],,,,,,
"2-17-1983 / Bethlehem, PA / Stabler Arena - ANA(M) (luvsufo) (krw_co transfer) ",AUD,,,,FLAC 24,
"3-5-1983 / Kansas City, MO / Municipal Auditorium - ANA(1)",AUD,,,,FLAC,
"3-17-1983 / Indianapolis, IN / Market Square Arena - ANA(1) (unk)",AUD,,,,FLAC,
"3-19-1983 / Detroit, MI / Cobo Hall",AUD,,,,FLAC,
"4-1-1983 / East Rutherford, NJ / Brendan Byrne Arena (Internal mic) (lostbrook)",AUD,,,,FLAC,
"4-19-1983 / Universal City, CA / Universal Amphitheatre",AUD,,,,FLAC,
"4-21-1983 / Universal City, CA / Universal Amphitheatre (Nakamichi 300) (unk)",AUD,,,,FLAC,
"4-25-1983 / Universal City, CA / Universal Amphitheatre (Nakamichi 300) (mpersic)",AUD,,,,FLAC,
"6-10-1983 / Irvine, CA / Irvine Meadows (CM300) (markp)",AUD,,,,FLAC,
,,,,,,
[1985],,,,,,
"6-8-1985 / Columbus, OH / Ohio Expo Center Coliseum (unk)",AUD,,,,FLAC,
"6-16-1985 / Saratoga Springs, NY / Saratoga Performing Arts Center",SBD,,,,FLAC,
"6-23-1985 / East Troy, WI / Alpine Valley Music Theater (mr)",AUD,,,,FLAC,
"6-23-1985 / East Troy, WI / Alpine Valley (AKG 460B) (rb)",AUD,,,,FLAC,
"7-5-1985 / Dallas, TX / Reunion Arena (Sony ECM33F mics) (unk) (mjk5510 2018 transfer)",AUD,,,,FLAC,
"7-26-1985 / Berkeley, CA / Greek Theatre (CM300) (markp)",AUD,,,,FLAC,
"7-27-1985 / Concord, CA / Concord Pavillion (CM300) (markp)",AUD,,,,FLAC,
"8-4-1985 / Universal City, CA / Universal Amphitheatre (unk) (biccio59)",AUD,,,,FLAC,
"8-6-1985 / Los Angeles, CA / Wiltern Theater",FM,,,,FLAC,
"8-6/7-1985 / Los Angeles, CA / Wiltern Theater",FM,,,,FLAC,
"8-7-1985 / Los Angeles, CA / Wiltern Theater - ANA(1)  (Zoom H4n)",FM,,,,FLAC,
,,,,,,
[1986],,,,,,
"6-6-1986 / Inglewood, CA / Forum (TP & Bob Dylan) - ANA(1)",AUD,,,,FLAC,
"6-11-1986 / Reno, NV / University of Nevada - Lawlor Events Center (TP & Bob Dylan) (CM300) (markp)",AUD,,,,FLAC,
"6-12-1986 / Sacramento, CA / Cal Expo Amphitheatre (Nakamichi CM300) (markp) ",AUD,,,,FLAC,
"6-16-1986 / Costa Mesa, CA / Pacific Amphitheatre (TP & Bob Dylan) - ANA(1)",AUD,,,,FLAC,
"6-26-1986 / Minneapolis, MN / Hubert H. Humphrey (TP & Bob Dylan)",SBD,,,,FLAC,
"7-13-1986 / Saratoga Springs, NY / Saratoga Performing Arts Center (TP & Bob Dylan)",SBD,,,,FLAC,
"7-31-1986 / Tacoma, WA / Tacome Dome (TP & Bob Dylan)",SBD,,,,FLAC,
"8-5-1986 / Mountain View, CA / Shoreline Amphitheatre (TP & Bob Dylan) (Nakamichi CM300) (markp) ",AUD,,,,FLAC,
,,,,,,
[1987],,,,,,
XX-XX-1987 / *Anyway You Want It - Recorded live during the 1987 US Tour,Silver CD,,,,FLAC,
"6-1-1987 / Dallas, TX / Reunion Arena (Sony ECM33F) (mjk55510)",AUD,,,,FLAC,
"6-4-1987 / Concord, CA / Concord Pavillon - ANA(M) (unk) (jeftak)",AUD,,,,FLAC 24,
"6-5-1987 / Mountain View, CA / Shoreline Amphitheatre (CM300) (markp)",AUD,,,,FLAC,
"6-6-1987 / Costa Mesa, CA / Pacific Amphitheater - ANA(M) (Sony ECM939LT) (marco moir)",AUD,,,,FLAC,
"6-23-1987 / Cuyahoga Falls, OH / Blossom Music Centre (Sony WM-D3)",AUD,,,,FLAC,
"6-27-1987 / Mansfield, MA / Great Woods Performing Arts Center",SBD,,,,FLAC,
"7-7-1987 / Weedsport, NY / Cayuga County Fair Speedway - ANA(x) ",AUD,,,,FLAC,
"7-8-1987 / New York, NY / Madison Square Garden (Source 1) (AKG 313) (tommy d.)",AUD,,,,FLAC,
"7-24-1987 / Jacksonville, FL / Jacksonville Coliseum",FM,,,,FLAC,
"9-5-1987 / Jacksonville, FL / Unknown Venue",SBD,,,,FLAC,
"9-10-1987 / Basel, Switzerland / St. Jakobshalle - ANA(x)",AUD,,,,FLAC,
"10-5-1987 / Locarno, Switzerland / Piazza Grande",AUD,,,,FLAC,
"10-8-1987 / Brussels, Belgium / Vorst Nationaal (w/ Roger McGuinn) (dolphinsmile)",AUD,,,,FLAC,
"10-16-1987 / London, England / Wembley Arena (Zoom H4N) (TP & Roger McGuinn)",AUD,,,,FLAC,
"10-17-1987 / London, England / Wembley Arena (Source 2) - ANA(1) (m.r. transfer)",AUD,,,,FLAC,
,,,,,,
[1988],,,,,,
"12-4-1988 / Oakland, CA / Bridge School Benefit",SBD,,,,FLAC,
,,,,,,
[1989],,,,,,
"7-22-1989 / Mountain View, CA / Shoreline Amphitheater (Nakamichi 300) (mpmks)",AUD,,,,FLAC,
"7-22-1989 / Mountain View, CA / Shoreline Amphitheater - ANA(M) (jeftak) (krw_co transfer) ",AUD,,,,FLAC 24,
"7-29-1989 / Los Angeles, CA / Universal Amphitheatre (AKG 451E) (jems 2021 transfer)",AUD,,,,FLAC,
"8-15-1989 / Philadelphia, PA / Mann Music Center (Nakamichi CM-100) (tape man joe)",AUD,,,,FLAC,
"8-19-1989 / E. Rutherford, NJ / Brendan Byrne Arena",AUD,,,,FLAC,
"9-13-1989 / Chapel Hill, NC / Pluto Records *Free Fallin'",FM,,,,FLAC,
,,,,,,
[1990],,,,,,
"2-6-1990 / Philadelphia, PA / The Spectrum (Nakamichi CM-100) (tape man joe)",AUD,,,,FLAC,
"2-11-1990 / Auburn Hills, MI / The Palace (DAK-5245) (robert mullen)",AUD,,,,FLAC,
"2-17-1990 / Iowa City, IA / Carver Hawkeye Arena (unk)",AUD,,,,FLAC,
"2-22-1990 / Indianapolis, IN / Market Square Arena - ANA(1) (Zoom H2)",AUD,,,,FLAC,
"3-3-1990 / Costa Mesa, CA / Pacific Amphitheatre (AKG 451E) (jems 2020 transfer)",AUD,,,,FLAC,
"3-6-1990 / Oakland, CA / Oakland Coliseum Arena  - ANA(M) (unk) (jeftak) (krw_co transfer) ",AUD,,,,FLAC 24,
"5-18-1990 / Wilmington, NC / Unknown Venue *Southern Choice (BM037)",Silver CD,,,,FLAC,
,,,,,,
[1991],,,,,,
"2-1-1991 / West Hollywood, CA - Troubadour (TP & Roger McGuinn) - ANA(1)",AUD,,,,FLAC,
"9-9-1991 / Cincinnati, OH / Riverbend Music Center (Sony ECM-909) (unk)",AUD,,,,FLAC,
"9-28-1991 / Mansfield, MA / GWPAC (Sony Walkman WM-F200) (unk) (inc)",AUD,,,,FLAC,
"11-4-1991 / Oklahoma City, OK / The Myriad (Sony ECM33F) (mjk5510)",AUD,,,,FLAC,
"11-9-1991 / Costa Mesa, CA / Pacific Amphitheatre (AKG 451E) (mike millard) (2022 jems transfer) ",AUD,,,,FLAC,
"11-20-1991 / Seattle, WA / Seattle Center Coliseum",AUD,,,,FLAC,
"11-23-1991 / Reno, NV / Lawlor Events Center",SBD,,,,FLAC,
"11-24-1991 / Oakland, CA / Oakland Coliseum",FM,,,,FLAC,
,,,,,,
[1992],,,,,,
"3-9-1992 / Hamburg, Germany / Alsterdorfer Sporthalle (Aiwa CM30) (vortex242)",AUD,,,,FLAC,
"3-12-1992 / Essen, Germany / Grugahalle (Sony ECM 155) (unk)",AUD,,,,FLAC,
"3-26-1992 / Frankfurt, Germany / Festhallle (Sony ECM 155) (unk)",AUD,,,,FLAC,
"3-29-1992 / Basel, Switzerland / St. Jacob Sporthalle",AUD,,,,FLAC,
,,,,,,
[1993],,,,,,
"11-4-1993 / Gainesville, FL /  Stephen C. O'Connell Center *The Homecoming Concert (Rocks 92124)",Silver CD,,,,FLAC,
,,,,,,
[1994],,,,,,
"10-2-1994 / Mountain View, CA / Shoreline Amphitheatre",SBD,,,,FLAC,
"11-21-1994 / New York, NY / The Late Show with David Letterman - VHS(2)",TV,,,,MKV,
,,,,,,
[1995],,,,,,
"3-8-1995 / Chicago, IL / United Center",SBD,,,,FLAC,
"3-8-1995 / Chicago, IL / United Center (2024 Mr. Sifter Remaster) ",SBD,,,,FLAC,
"4-4-1995 / Boston, MA / Boston Garden (M) (Nakamichi 300) (isotope feeney) ",AUD,,,,FLAC,
"4-26-1995 / San Diego, CA / Sports Arena - DAT(M) (third eye productions)",AUD,,,,FLAC,
"4-30-1995 / Mountain View, CA / Shoreline Amphitheater - DAT(M) (jeftak) (krw_co transfer) ",AUD,,,,FLAC,
"5-15-1995 / Miami, FL / Miami Arena (ALD)",AUD,,,,FLAC,
"8-11-1995 / Greenwood Village, CO / Fiddler's Green Amphitheatre (SS DSM-6P) (jeff w. & wes m.)",AUD,,,,FLAC,
"8-15-1995 / Saratoga Springs, NY / Saratoga Performing Arts Center",SBD,,,,FLAC,
"10-6-1995 / Tuskaloosa, AL / University of AL (2024 Mr. Sifter Remaster)",preFM,,,,FLAC,
"10-6-1995 / Tuskaloosa, AL / University of AL",FM,,,,FLAC,
,,,,,,
[1997],,,,,,
"1-10-1997 / San Francisco, CA / The Fillmore - DAT(1) (CMC64) (blg transfer)",AUD,,,,FLAC,
"1-10-1987 / San Francisco, CA / The Fillmore (Schoeps) (dolphinsmile)",AUD,,,,FLAC,
"1-12-1997 / San Francisco, CA / The Fillmore - DAT(M) (SS-DSM-6s) (wilson66)",AUD,,,,FLAC,
"1-14-1997 / San Francisco, CA / The Fillmore",AUD,,,,FLAC,
"1-15-1997 / San Francisco, CA / The Fillmore (AT-822) (unk)",AUD,,,,FLAC,
"1-15-1997 / San Francisco, CA / The Fillmore - DAT(x) (unk) ",AUD,,,,FLAC,
"1-16-1997 / San Francisco, CA / Fillmore Auditorium",AUD,,,,FLAC,
"1-26-1997 / San Francisco, CA / The Fillmore - DAT(M) (Schoeps Mics) (unk)",AUD,,,,FLAC,
"1-31-1997 / San Francisco, CA / Fillmore Auditorium (SS-DSM-1S) (unk)",AUD,,,,FLAC,
"2-1-1997 / San Francisco, CA / The Fillmore - DAT(1) (Schoeps CMC64) (blg transfer)",AUD,,,,FLAC,
"2-7-1997 / San Francisco, CA / The Fillmore",SBD,,,,FLAC,
,,,,,,
[1999],,,,,,
"3-15-1999 / San Francisco, CA / Fillmore Auditorium ",FM,,,,FLAC,
"3-31-1999 / Los Angeles, CA / Soundstage One - Burbank Studios (VH1 Storytellers) - VHS(x)",TV,,,,DVD,
"4-11-1999 / New York, NY / Irving Plaza (3 Source SBD+Schoeps MK4+AKG300bs) (unk)",MIX,,,,FLAC,
"4-12-1999 / New York, NY / Irving Plaza",SBD,,,,FLAC,
"4-13-1999 / New York, NY / Late Show with David Letterman - VHS(2)",TV,,,,MKV,
"4-15-1999 / New York City, NY / Irving Plaza - DAT(M) (Sony D8 CSB) (bakerstuff)",AUD,,,,FLAC 24,
"4-20-1999 / London, England / Shepherd's Bush Empire (unk) (janet carella)",AUD,,,,FLAC,
"4-23-1999 / Hamburg, Germany / Rockpalast (unk)",AUD,,,,FLAC,
"4-23-1999 / Hamburg, Germany / Rockpalast",TV,,,,DVD,
"7-9-1999 / Mansfield, MA / Tweeter Center (Nak 700) (unk)",AUD,,,,FLAC 24,
"7-10-1999 / Mansfield, MA / Tweeter Center (ALD)",AUD,,,,FLAC,
"7-27-1999 / Cincinnati, OH / Riverbend Ampitheater - ANA(M) (Sony WM-D6C) (steve jobe)",AUD,,,,FLAC,
"8-3-1999 / Minneapolis, MN / Target Center",SBD,,,,FLAC,
"9-16-1999 / Dallas, TX / Starplex Amp - DAT(M) (scm) (krw_co transfer)",AUD,,,,FLAC 24,
"9-25-1999 / Charlotte, NC / Blockbuster Pavilion (unk) (jenkins15)",AUD,,,,FLAC,
"10-15-1999 / Las Vegas, NV / MGM Garden Grand Arena (ECM-MS 907) (kingrue transfer)",AUD,,,,FLAC,
"10-16-1999 / Los Angeles, CA / Hollywood Bowl (Sonic Studios DSM-6P) (steve hagar)",AUD,,,,FLAC,
,,,,,,
[2000],,,,,,
"10-28-2000 / Mountain View, CA / Shoreline Amphitheatre - Bridge School Benefit (Schoeps MK4's) (unk) ",AUD,,,,FLAC,
"10-29-2000 / Mountain View, CA / Shoreline Amphitheater - DAT(M)  (CSC) (cps)",AUD,,,,FLAC,
"10-29-2000 / Mountain View, CA / Shoreline Amphitheatre - Bridge School Benefit - DAT(M) (Core Sound Cardiods) (cps)",AUD,,,,FLAC,
,,,,,,
[2001],,,,,,
