"4-15-2012 / Columbus, OH / Jerome Schottenstein Center - OSU (CA-14) (charles dewey cole)",AUD,FLAC
"9-8-2012 / Waalkade Tiel, The Netherlands / Appelpop 2012 (CA-14s) (unk)",AUD,FLAC
,,
[2014],,
"12-13-2014 / Inglewood, CA / KROQ Almost Acoustic Christmas - The Forum",Webcast,TS
,,
[2015],,
"2-11-2015 / Milwaukee, WI / Eagles Ballroom (Edirol R09-HR) (unk)",AUD,FLAC
"2-15-2015 / Columbus, OH / Lifestyle Communities Pavilion (CA-14) (charles dewey cole)",AUD,FLAC
"2-23-2015 / Boston, MA / House of Blues (sbr1z)",Webcast,MKV
,,
[2017],,
"5-9-2017 / Orlando, FL / Hard Rock Live (Panasonic MM-BSM7s) (kevdogg) ",AUD,FLAC
"7-15-2017 / Anchorage, AK / Alaska Airlines Center (SS-DSM-6P) (steve hagar)",AUD,FLAC
,,
[2018],,
"4-3-2018 / Los Angeles, CA / Neuehouse - WAV(M) (Zoom H2n) (anonymous)",AUD #1,FLAC
"7-25-2018 / Toronto, ON / Budweiser Stage  (SP-CMC-8) (burnboy)",AUD,FLAC 24
"7-30-2018 / Boston, MA / Blue Hills Bank Pavilion (SP-CMC-8c) (farve4)",AUD,FLAC
"9-2-2018 / Phoenix, AZ / Ak-Chin Pavilion (Tascam DR-05) (unk)",AUD,FLAC
,,
[2019],,
"2-19-2019 / Buenos Aires, Argentina / Teatro Opera Orbis Seguros (Zoom H1) (julian conti)",AUD,FLAC
"6-7-2019 / Atlantic City, NJ / Hard Rock Hotel & Casino (Schoeps MK41) (joe burns) ",AUD,
"6-8-2019 / Burlington, Ontario / Burlington Sound of Music Festival (Audioreality Binaurals) (unk)",AUD,FLAC
"7-26-2019 / Appleton, WI / Timber Rattler Stadium (Church Audio CAO) (unk)",AUD,FLAC
"8-2-2019 / Park City, KS / Hartman Arena",Webcast,TS
"8-20-2019 / Atlanta, GA / Cadence Bank Amphitheater (CA-14) (mrfender)",AUD,FLAC
"8-25-2019 / Pittsburgh, PA / Stage AE Outdoors (Shure MV88) (brianblank)",AUD,FLAC
"9-4-2019 / Huber Heights, OH / Rose Music Center (CA-14) (charles dewey cole)",AUD,FLAC
,,
[2022],,
"6-5-2022 / Nu?rburg, Germany / Nu?rburgring - Rock am Ring",Webcast,MKV
,,
[2023],,
"1-31-2023 / Anaheim, CA / City National Grove of Anaheim (DPA 4081) (faninor)",AUD,FLAC 24
"2-10-2023 / Northfield Park, OH / MGM Northfield Park Centre (CA-14) (live2cd)",AUD,FLAC 24
"2-22-2023 / Louisville, KY / The Palace Theater (Zoom H2n) (chickenwing)",AUID,FLAC 24
,AUD,FLAC 24
"11-21-2023 / Providence, RI / Providence Performing Arts Center (SP-CMC-8c) (farve) ",AUD,FLAC
,,
[2024],,
"8-13-2024 / Cleveland, OH / Jacobs Pavilion at Nautica (CA-14) (live2cd)",AUD,FLAC
"9-13-2024 / San Diego, CA / Cal Coast Credit Union Open Air Theatre (DPA 4081) (faninor)",AUD,FLAC 24
,,
[2025],,
"5-12-2025 / Schenectady, NY / Proctors Theatre (SP-CMC-8s) (smores) ",AUD,FLAC 24
"7-23-2025 / Columbus, OH / Schottenstein Center (SP-CMC-8) (live2cd)",AUD,FLAC
"8-30-2025 / Memphis, TN / Fedex Forum (Schoeps MK4) (jesse mc)",AUD,FLAC 24
"12-14-2025 / Uncasville, CT / Mohegan Sun Arena (SP-CMC-8) (farve4) ",AUD,FLAC
,,
[MISC],,
Bush - Zen and the Art of Noise Maintenance (BSCD-001),Silver CD,FLAC
Gavin's Birthday Party,Silver CD,FLAC
Bush - Live in Tampa (2020),,FLAC
Bush - Westwood One In The Zone Show #00-03,preFM,FLAC
,,
,,
,,
,,
Gavin Rossdale,Versions,File Type
Drive - B,,
,,
,,
[2009],,
"5-7-2009 / Cleveland, OH / House of Blues (Edirol R-09) (live2cd)",AUD,FLAC
"5-14-2009 / Knoxville, TN / Market Square (CSBs) (xjsb125)",AUD,FLAC
"5-25-2009 / Dallas, TX / House of Blues (Edirol R-09) (live2cd)",AUD,FLAC
,,
[2010],,
"6-26-2010 - Chicago, IL / Petrillo Band Shell - Taste of Chicago (Sony PCM-M10) (auger_d)",AUD,FLAC 24
"6-28-2010 / Milwaukee, WI / Summerfest (Sony PCM-M10) (auger_d)",AUD,FLAC 24
