Tori Amos,Versions,,,,File Type
"9-1-1994 / San Francisco, CA / Orpheum Theatre *Sugar Baby",Silver CD,,,,FLAC
"9-9-1994 / Sacramento, CA / Community Center Theatre",AUD,,,,FLAC
"9-10-1994 / Berkeley, CA / KPFA FM",FM,,,,FLAC
"9-12-1994 / Eugene, OR / Hult Center",AUD,,,,FLAC
"10-5-1994 / Milwaukee, WI / Riverside Theatre",AUD,3 sources,,,FLAC
"10-13-1994 / Toledo, OH / Masonic Auditorium",AUD,,,,SHN
"10-15-1994 / Ann Arbor, MI / Hill Auditorium",AUD,,,,SHN
"10-16-1994 / East Lansing, MI / Wharton Center",AUD,2 sources,,,FLAC
"10-21-1994 / Orono, ME / University of Maine - Hutchins Hall",AUD,,,,FLAC
"10-25-1994 / Elmira, NY / Powers Theatre @ Clemens Center",AUD,,,,FLAC
"10-26-1994 / New Haven, CT / Toad's Place *I'm On Fire",Silver CD,,,,FLAC
"10-29-1994 / Toronto, Ontario / Massey Hall (Early and Late Show)",AUD,,,,FLAC
"11-1-1994 / Kitchener, Ontario / Centre on the Square",AUD,,,,FLAC
"11-3-1994 / Ottawa, Ontario / National Arts Center Theatre",AUD,,,,FLAC
"11-5-1994 / Hamilton, Ontario / Hamilton Place",AUD,,,,FLAC
"11-7-1994 / Quebec City, Quebec / Salle Albert Rosseau",AUD,,,,FLAC
"11-9-1994 / Montreal, Canada / The Spectrum - MuchMusic *Kiss Me",Silver CD,,,,FLAC
"11-9-1994 / Montreal, Canada / The Spectrum *Piano Girl Up North",Silver CD,,,,FLAC
"12-10-1994 / Adelaide, Australia / Festival Theatre *Down Under the Pink '94",Silver CD,,,,FLAC
,,,,,
[1996],,,,,
"1-25-1996 / Nederhorst den Berg, The Netherlands / Bullet Sound Studios (2 Meter Sessies)",preFM,,,,FLAC
"4-9-1996 / Tampa, FL / *Sellout - First Night of the US Tour",AUD,,,,FLAC
"4-13-1996 / Orlando, FL / USF Arena",AUD,,,,FLAC
"5-28-1996 / Toronto, Ontario / Massey Hall",AUD,,,,FLAC
,,,,,
[1998],,,,,
"6-11-1998 / Hamburg, Germany / Stadtpark *Hamburg Swirl",SBD,,,,SHN
"7-26-1998 / Montreal, Quebec / Molson Center",AUD,,,,FLAC
"8-28-1998 / Kansas City, MO / Starlight Theater ",AUD,,,,FLAC
"11-3-1998 / Eau Claire, WI / Zorn Arena",AUD,,,,FLAC
,,,,,
[2001],,,,,
"12-16-2001 / Warsaw, Poland / Polskie Radio 3",preFM,,,,FLAC
,,,,,
[2003],,,,,
"3-19-2003 / Erie, PA / Warner Theatre",AUD,,,,FLAC
"8-9-2003 / Minneapolis, MN / Northrop Auditorium",AUD,,,,FLAC
"8-30-2003 / Raleigh, NC / Alltel Pavilion at Walnut Creek",AUD,,,,FLAC
,,,,,
[2005],,,,,
"8-28-2005 / Rochester Hills, MI / Meadow Brook Music Festival",AUD,,,,FLAC
,,,,,
[2007],,,,,
"11-7-2007 / Minneapolis, MN / Northrop Memorial Auditorium",AUD,,,,FLAC
,,,,,
[2014],,,,,
"5-26-2014 / Rotterdam, The Netherlands / De Doelen",AUD,,,,FLAC
"8-12-2014 / New York, NY / Beacon Theatre",AUD,,,,FLAC
"8-13-2014 / New York, NY / Beacon Theatre",AUD,,,,FLAC
,,,,,
[2017],,,,,
"9-10-2017 / Luxembourg, Luxembourg at Den Atelier",AUD,,,,FLAC
"9-20-2017 / Linz, Austria / Brucknerhaus",AUD,,,,FLAC
"10-5-2017 / Manchester, UK / Palace Theatre - Native Invader Tour",AUD,,,,FLAC
"10-6-2017 / Glasgow, Scotland / 02 Academy",AUD,,,,FLAC
"10-24-2017 / St. Paul, MN / The O'Shaughnessy",AUD,,,,FLAC
,,,,,
[2022],,,,,
"3-18-2022 / Dublin, Ireland / Olympia Theater (SP-CMC-8) (sufisdance)",AUD,,,,FLAC
,,,,,
[MISC],,,,,
Tori Stories Box Set (4CD) - Rare and Unreleaed + 2 Live Shows,Silver CD,,,,FLAC
Tori Amos - Acoustic Tales (2002),Silver CD,,,,FLAC
1991 Little Earthquakes Demos & Outtakes,,,,,FLAC
Tori Amos - After Burn (HAWK036),Silver CD,,,,FLAC
Tori Amos - In My Head (DM92-96),Silver CD,,,,FLAC
Tori Amos - In The Breeze,Silver CD,,,,FLAC
Tori Amos - A Candle In the Wind,Silver CD,,,,FLAC
Tori Amos - Back to Basics,Silver CD,,,,FLAC
Tori Amos - Rhapsody in Pink (AK 040/41),Silver CD,,,,FLAC
Tori Amos - Dreaming (2CD),Silver CD,,,,FLAC
