Hole,Versions,File Type
"12-10-1994 / Universal City, CA / Universal Amphitheatre",FM,FLAC
"12-17-1994 / New York, NY / Saturday Night Live",TV,MPG
,,
[1995],,
"1-14-1995 / Sydney, Australia / Coogoo Bay Hotel ",AUD,FLAC
"1-25-1995 / Osaka, Japan / Club Quattro",AUD,FLAC
"1-29-1995 / Osaka, Japan / Club Quattro *Witching Hour - ANA(x)",AUD #1,FLAC
"2-14-1995 / Brooklyn, NY / Brooklyn Academy Of Music - MTV Unplugged",SBD #1a,FLAC
"2-14-1995 / Brooklyn, NY / Brooklyn Academy Of Music - MTV Unplugged",TV,DVD
"3-10-1995 / Charlotte, NC / Capri Music Hall - ANA(M)",AUD #1,FLAC
"3-19-1995 / Denver, CO / Mammoth Events Center - DAT(M)",AUD #1,FLAC
"4-5-1995 / London, UK - Brixton Academy",SBD,FLAC
"4-8-1995 / Montpellier, France / Rockstore",AUD,FLAC
"4-9-1995 / Lyon, France / Le Transbordeur (Sony DAT) (unk)",AUD,FLAC 24
"4-24-1995 / Amsterdam, Holland / Paradiso *The Girl With the Most Cake",SBD #1a,FLAC
"4-24-1995 / Amsterdam, Holland / Paradiso - ANA(M) (magnix transfer)",SBD #1b,FLAC
"4-25-1995 / Brusselles, Belgium / Luna Theater (unk) ",AUD,FLAC
"4-26-1995 / London, UK / Virgin Megastore *Asking For It ",Silver CD,FLAC
"5-4-1995 / London, UK / Brixton Academy",SBD #1,MP3
"5-6-1995 / Bordeaux, France - Rockschool Barbey (trekk master)",AUD,FLAC
"5-7-1995 / Rennes, France / L'Espace - DAT(M)",AUD #1,FLAC
"5-8-1995 / Paris, France / Bataclan (Sony PC-62)",AUD,FLAC 24
"6-17-1995 / Irvine, CA / Irvine Meadows Amphitheatre - KROQ Weenie Roast (DA20) *What You Wanted",AUD #1,FLAC
"7-4-1995 / George, WA / Lollapalooza *She's Lost Control",AUD,FLAC
"7-25-1995 / Mansfield, MA / Great Woods Center *Call Of The Wild (unk)",AUD,FLAC
"8-6-1995 / Raleigh, NC / Hardee's Walnut Creek Amphitheatre - Lollapalooza (unk Sony Walkman) (denny henson)",AUD #1,FLAC
"8-14-1995 / Irvine, CA / Irvine Meadows Amphitheater - ANA(M) (unk) ",,
"8-14-1995 / Irvine, CA / Irvine Meadows (master upgrade)",AUD,FLAC
"8-17-1995 / Sacramento, CA / Cal Expo Amphitheatre - Lollapalooza (unk) (neekrive)",AUD,FLAC
"8-25-1995 / Reading, UK / Reading Festival (WW1 #96-13)",SBD #1a,FLAC
"8-25-1995 / Reading, UK / Reading Festival - FM",SBD #1b,MP3
"8-25-1995 / Reading, UK / Reading Festival",AUD,DVD
"12-17-1995 / New York, NY / NBC Studios - Saturday Night Live",PRO #1,FLAC
,,
[1998],,
"12-5-1998 / Fairfax, VA / Patriot Center *Don't Get Mad, Get Even (NM014)",Silver CD,FLAC
"12-9-1998 / Seattle, WA - Seattle Arena *Deck the Halls",SBD,FLAC
"12-10-1998 / San Jose, CA / San Jose Event Center - Live 105 Not So Silent Night",FM,MP3
