Rage Against the Machine,Versions,File Type,
Drive - F,,,
,,,
"5-23-1994 / Landgraaf, Holland / Pinkpop Festival *Bulletproof (KTS-319)",Silver CD,FLAC,
"5-23-1994 / Landgraaf, Holland / Pinkpop Festival",,DVD,
"6-24-1994 / Pilton, England / Worthy Farm - Glastonbury Festival (FMCD 006)",Silver CD,FLAC,
"6-24-1994 / Pilton, England / Worthy Farm - Glastonbury Festival (BBC Radio 1)",FM,FLAC,
"6-29-1994 / Paris, France / Le Zenith - DAT(M) (r.m.)",AUD,FLAC,
"6-30-1994 / Roskilde, Denmark / Roskilde Festival (Danish Radio P3)",FM,FLAC,
"6-30-1994 / Denmark, Roskilde / Roskilde Festival - Hi8(M) (jerker nilsson)",AUD,DVD,
"7-1-1994 / Belfort, France / Eurockeenes de Belfort (Sony ECM-D210P) ",AUD,FLAC,
,,,
[1995],,,
"6-15-1995 / Los Angeles, CA / Hacienda Real - ANA(M) (ijwthstd)",AUD,FLAC,
"6-17-1995 / Irvine, CA / Irvine Meadows - KROQ Weenie Roast - ANA(M) (unk) ",AUD,FLAC,
"6-17-1995 / Irvine, CA / Irvine Meadows - KROQ Weenie Roast (ECM737) (unk) ",AUD,FLAC,
"8-13-1995 / Washington, D.C. / Capitol Ballroom *Killing Your Enemy in 1995 (TOR060)",Silver CD,FLAC,
,,,
[1996],,,
"1-30-1996 / Melbourne, Australia / The Palace - Big Day Out Festival",AUD,FLAC,
"2-4-1996 / Perth, Australia / The Perth Oval",AUD,FLAC,
"4-13-1996 / New York, NY / Rockefeller Center - SNL",TV,MKV,
"4-20-1996 / Carson, CA / Cal State Dominguez Hills - Olympic Velodrome",AUD,FLAC,
"5-6-1996 / Greboble, France / Le Summun (unk) (stephane d.) ",AUD,FLAC,
"5-9-1996 / Paris, France / Le Zenith (unk)",AUD,MP3,
"5-11-1996 / London, England / Brixton Academy *Fear Is Your Only God",SBD,FLAC,
"5-16-1996 / Copenhagen, Denmark / Den Gra Hall - VHS(1) (rn)",AUD,DVD,
"5-26-1996 / Landgraaf, The Netherlands / Pinkpop Festival *Angry Souls (KRHM 15) (uninvited94)",Silver CD,FLAC,
"6-16-1996 / San Francisco, CA / Golden Gate Park - Free TIbet Concert (BLZD 146)",Silver CD,FLAC,
