Beck,Versions,File Type
"6-6-1998 / Saratoga Springs, NY / Saratoga Performing Arts Centre - DAT(M) (Core Sound Stealth) (unk)",AUD,FLAC
"6-11-1998 / Wantagh, NY / Jones Beach Amphitheatre (unk) (yumiko t.)",AUD #1,FLAC
"6-11-1998 / Wantagh, NY / Jones Beach Amphitheatre (MarcSounds) (qualitease transfer)",AUD #2,FLAC
"8-1-1998 / Mount Fuji, Japan / Fuji Rock Festival",AUD,FLAC
"10-10-1998 / San Jose, CA / Old FMC Defense Factory",AUD,FLAC
"11-3-1998 / Hollywood, CA / The Mutations Conversations Interview",Silver CD,FLAC
"11-24-1998 / Los Angeles, CA / KCRW Morning Becomes Eclectic ",FM,FLAC
,,
[1999],,
"1-9-1999 / New York, NY / Saturday Night Live - VHS(2) ",TV,MKV
"1-10-1999 / New York, NY / Town Hall (unk)",AUD,FLAC
"4-14-1999 / Nagoya, Japan / Shiminkaikan (unk)",AUD,FLAC
"4-19-1999 / Nakano, Japan / Sun Plaza",SBD,FLAC
"5-8-1999 / Los Angeles, CA / Wiltern Theatre (unk)",UNK,SHN
"5-8-1999 / Los Angeles, CA - Wiltern Theater - DAT(2) (unk)",SBD,FLAC
9-20-1999 / Little Later,SBD,FLAC
"11-18-1999 / Koln, Germany / E-Werk (1Live Radio)",FM,FLAC
"12-6-1999 / Washington, D.C. / 9:30 Club / WHFS Holiday Nutcracker",FM,FLAC
,,
[2000],,
XX-XX-2000 / Absolutely Live in the Zone Show #03-04 (Unknown Venue / Location),Silver CD,FLAC
"1-29-2000 / St. Louis, MO / MO American Theater (CoreSound Cardioids) (unk)",AUD,SHN
"2-3-2000 / Ann Arbor, MI / Hill Auditorium - DAT(M) (DPA 4061)",AUD,FLAC
"2-11-2000 / Boston, MA / Orpheum Theatre",Silver CD,FLAC
"2-11-2000 / Boston, MA / Orpheum Theatre",AUD,FLAC
"2-12-2000 / Boston, MA / Orpheum Theatre",AUD,SHN
"2-15-2000 / New York, NY / Radio City Music Hall - DAT(M) (Schoeps MK21) (funktopu)",FM,FLAC
"3-5-2000 / Lisboa, Portugal / Coliseu dos Recreios - Festival Super Bock Super Rock - ANA(M) (z)",AUD,FLAC
"3-15-2000 / Hamburg, Germany / Grosse Freiheit 36 (OKM) (unk)",AUD,SHN
