Dave Matthews Band,Versions,File Type,
"3-2-1994 / Tampa, FL / Masquerade Nightclub (DMBlive) ",SBD,FLAC,Official Bootleg
"3-7-1994 / Lawrence, KS / Benchwarmers",SBD,FLAC,
"3-26-1994 / New York, NY / Irving Plaza",SBD,FLAC,
"3-26-1994 / New York, NY / Irving Plaza (DMBlive)",SBD,FLAC,Official Bootleg
"4-6-1994 / Athens, GA / Georgia Theatre (DMBlive)",SBD,FLAC,Official Bootleg
"4-26-1994 / Norfolk, VA / Town Point Park (DMBlive)",SBD,FLAC,Official Bootleg
"8-21-1994 / Burgettstown, PA / H.O.R.D.E. Festival at Star Lake Amphitheatre (d. fries. remaster)",SBD,FLAC,
"8-24-1994 / Richmond, VA / H.O.R.D.E. Festival at Classica Amphitheatre (dillon fries remaster)",AUD,FLAC,
"10-14-1994 / Athens, GA / Georgia Theatre (DMBlive) ",SBD,FLAC,Official Bootleg
"10-22-1994 / Columbia, MO / Blue Note (DMBlive)",SBD,FLAC,Official Bootleg
"11-26-1994 / Seattle, WA / Backstage Theatre (DMBlive)",SBD,FLAC,Official Bootleg
"12-2-1994 / Davis, CA / UC Davis Recreation Hall",SBD,FLAC,
,,,
[1995],,,
"1-26-1995 / Burlington, VT / Memorial Auditorium (d. fries remaster)",SBD,FLAC,
"1-31-1995 / Providence, RI / Lupo's Heartbreak Hotel - Live Trax Vol. 33",SBD,FLAC,Official Release
"2-8-1995 / Albany, NY / Palace Theatre (DMBlive) ",SBD,FLAC,Official Bootleg
"2-25-1995 / Easton, PA / Allan Kirby Field House - Lafayette College (DMBlive)",SBD,FLAC,Official Bootleg
"3-17-1995 / Chicago, IL / Tower Records - WXRT 93",FM,SHN,
"3-25-1995 / Madrid, ESP - The Revolver Club (DMBlive)",SBD,FLAC,Official Bootleg
"4-5-1995 / New York, NY / The Academy (DMBlive)",SBD,FLAC,Official Bootleg
"4-7-1995 / Durham, NC / Cameron Indoor Stadium (DMBlive)",SBD,FLAC,Official Bootleg
"5-5-1995 / Salem, OR / L.B. Day Amphitheatre - Live Trax Vol. 12",SBD,FLAC,Official Release
