Wilco,Versions,,,,File Type,,
Drive - E,,,,,,,
,,,,,,,
,,,,,,,
"5-19-2004 / Dekalb, IL / Otto's (Earthworks SR77s) (jerry eaglebarger)",AUD,,,,FLAC,,
"5-20-2004 / Dekalb, IL / Otto's (Earthworks SR77s) (jerry eaglebarger)",AUD,,,,FLAC,,
"5-20-2004 / DeKalb, IL / Otto's (FOH Series)",SBD,,,,FLAC,Official Bootleg,
"6-6-2004 / Pittsburgh, PA / Three Rivers Arts Festival (AKG se300b) (alex herd)",AUD,,,,FLAC,,
"6-6-2004 / Pittsburgh, PA / Three Rivers Arts Festival (unk + AKG se300b) (j. gould + alex herd)",MIX,,,,FLAC,,
"6-7-2004 / Poughkeepsie, NY / The Chance",AUD,,,,FLAC,,
"6-8-2004 / New York, NY / Irving Plaza",AUD,,,,FLAC,,
"6-9-2004 / Washington, DC / 9:30 Club",MIX,,,,FLAC,,
"6-11-2004 / Manchester, TN / Bonnaroo Music Festival - What Stage - DAT(M) (B&K 4022) (craig davis)",AUD,,,,FLAC,,
"6-12-2004 / Chicago, IL / The Vic Theatre",AUD,,,,FLAC,,
"6-23-2004 / Portsmouth, Hampshire, England / Wedgewood Rooms",AUD,,,,FLAC,,
"6-29-2004 / Brescia, Italy / San Bernardino Institute - Chiari",FM,,,,FLAC,,
"6-30-2004 / Zurich, Switzerland / Volkshaus",AUD,,,,FLAC,,
"7-6-2004 / Copenhagen, Denmark / Little Vega",AUD,,,,FLAC,,
"7-7-2004 / Goteborg, Sweden / Tradgarn",FM,,,,FLAC,,
"7-15-2004 / London, England / Astoria Theatre (CSB) (stuart plummer)",AUD,,,,FLAC,,
"7-23-2004 / Philadelphia, PA / World Cafe - WXPN-NPR",FM,,,,FLAC,,
"8-2-2004 / Milwaukee, WI / Eagles Ballroom",AUD,,,,FLAC,,
"8-3-2004 / Toronto, Ontario / The Mod Club",AUD,,,,FLAC,,
"8-4-2004 / Toronto, Ontario / Capital Music Hall",AUD #1,,,,FLAC,,
"8-4-2004 / Toronto, Ontario / Capital Music Hall",AUD #2,,,,FLAC,,
"8-8-2004 / Newport, RI / Newport Folk Festival",AUD,,,,FLAC,,
"9-14-2004 / Columbia, MO / Blue Note (B&K 4021s) (steve brothers + mike mettis)",AUD,,,,FLAC,,
"9-15-2004 / St. Louis, MO / The Fox Theatre",AUD,,,,FLAC,,
"9-15-2004 / St. Louis, MO / The Fox Theatre",AUD,,,,FLAC,,
"9-17-2004 / Dallas, TX / The Granada Theatre",AUD,,,,FLAC,,
"9-18-2004 / Austin, TX / Stubb's BBQ",AUD,,,,FLAC,,
"9-19-2004 / Austin, TX / Zilker Park",AUD,,,,FLAC,,
"9-22-2004 / Nashville, TN / Uptown Mix",AUD,,,,FLAC,,
"9-25-2004 / Raleigh, NC / Memorial Auditorium",AUD,,,,FLAC,,
"10-1-2004 / Boston, MA / The Wang Theatre",SBD,,,,FLAC,,
"10-5-2004 / New York, NY / Radio City Music Hall",AUD,,,,FLAC,,
"10-6-2004 / New York, NY / Radio City Music Hall",AUD,,,,FLAC,,
"10-8-2004 / Saratoga Springs, NY / The Sports Center Gym",AUD,,,,FLAC,,
"10-9-2004 / Toronto, Ontario / Massey Hall",AUD,,,,FLAC,,
"10-25-2004 / Minneapolis, MN / The Orpheum",AUD,,,,FLAC,,
"10-26-2004 / Minneapolis, MN / The Orpheum",AUD,,,,FLAC,,
"10-29-2004 / Chicago, IL / The Auditorium Theatre",AUD,,,,FLAC,,
"10-30-2004 / Chicago, IL / The Auditorium Theatre",AUD,,,,FLAC,,
"10-31-2004 / Chicago, IL / The Auditorium Theatre",AUD,,,,FLAC,,
"11-6-2004 / Denver, CO / Fillmore Auditorium",AUD,,,,FLAC,,
"11-10-2004 / Seattle, WA / Paramount Theatre",AUD,,,,FLAC,,
"11-10-2004 / Seattle, WA / Paramount Theatre",AUD,,,,FLAC,,
"11-13-2004 / San Jose, CA / Center for the Performing Arts",SBD,,,,FLAC,,
"11-14-2004 / Oakland, CA / Paramount Theater",SBD,,,,FLAC,,
"11-15-2004 / San Francisco, CA / The Fillmore",MTX,,,,FLAC,,
"11-17-2004 / Santa Monica, CA / KCRW Webcast",DVD,,,,DVD,,
"11-18-2004 / Los Angeles, CA / Wiltern Theatre",SBD,,,,FLAC,,
"11-18-2004 / Los Angeles, CA / The Wiltern - DAT(M) (anonymous)",SBD,,,,FLAC,,
"11-19-2004 / Los Angeles, CA / Wiltern Theatre",SBD,,,,FLAC,,
"11-19-2004 / Los Angeles, CA / Wiltern Theatre",SBD,,,,FLAC,,
"12-31-2004 / New York, NY / Madison Square Garden (DPA 4021) (matchbook songs)",AUD,,,,SHN,,
"12-31-2004 / New York, NY / Madison Square Garden (DPA 4022) (george wang)",AUD,,,,FLAC,,
"12-31-2004 / New York, NY / Madison Square Garden (FOH Series)",SBD,,,,FLAC,Official Bootleg,
,,,,,,,
[2005],,,,,,,
"1-8-2005 / Austin, TX / Austin City Limits",TV,,,,FLAC,,
"2-8-2005 / Urbana, IL / Foellinger Auditorium (SM-81) (mark makdad) ",AUD,,,,FLAC,,
"2-11-2005 / Cincinnati, OH / Taft Theater",AUD,,,,FLAC,,
"2-12-2005 / Memphis, TN / Orpheum Theater",AUD,,,,FLAC,,
"2-19-2005 / Myrtle Beach, SC / House of Blues",AUD,,,,FLAC,,
"2-21-2005 / Charlotte, NC / Ovens Auditorium",AUD,,,,FLAC,,
"2-23-2005 / Washington, D.C. / 9:30 Club",SBD,,,,FLAC,,
"2-24-2005a / Washington, D.C. / NPR Studio 4",FM,,,,FLAC,,
"2-24-2005 / Washington, D.C. / 9:30 Club",SBD,,,,FLAC,,
"2-25-2005 / Cleveland, OH / House of Blues",AUD,,,,FLAC,,
"2-26-2005 / Kalamazoo, MI / State Theatre",AUD,,,,FLAC,,
"3-13-2005 / Nottingham, England / Rock City",AUD,,,,FLAC,,
"3-14-2005 / London, England / Hammersmith Apollo",AUD,,,,FLAC,,
"3-16-2005 / Paris, France / Elysee Montmartre",AUD,,,,FLAC,,
"3-20-2005 / Barcelona, Spain / Sala Razzmatazz",AUD,,,,FLAC,,
"4-23-2005 / Houston, TX / Verizon Wireless Theater",AUD,,,,FLAC,,
"4-25-2005 / Oklahoma City, OK / Bricktown Events Center",AUD,,,,FLAC,,
"4-25-2005 / Oklahoma City, OK / Bricktown Events Center (CSB) (unk)",AUD,,,,FLAC,,
"4-29-2005 / La Jolla, CA / Price Center Ballroom",AUD,,,,FLAC,,
"4-30-2005 / Indio, CA / Empire Polo Grounds - Coachella Festival",AUD,,,,FLAC,,
"4-30-2005 / Indio, CA / Empire Polo Grounds - Coachella Festival",AUD,,,,FLAC,,
"6-11-2005 / Berkeley, CA / Greek Theatre",AUD,,,,FLAC,,
"6-16-2005 / Telluride, CO / Telluride Bluegrass Festival",AUD,,,,FLAC,,
"6-17-2005 / Morrison, CO / Red Rocks Amphitheatre",AUD,,,,FLAC,,
"6-24-2005 / Boston, MA / Agganis Arena",AUD,,,,FLAC,,
"6-26-2005 / Columbia, MD / Merriweather Post Pavilion",AUD,,,,FLAC,,
"6-26-2005 / Columbia, MD / Merriweather Post Pavilion (B&K4022) (craig davis)",AUD,,,,FLAC,,
"6-28-2005 / Montreal, Quebec / Metropolis",SBD,,,,FLAC,,
"6-30-2005 / Louisville, KY / The Louisville Palace Theater",AUD,,,,FLAC,,
"9-7-2005 / Munich, Germany / Backstage",AUD,,,,FLAC,,
"9-8-2005 / Koln, Germany / Live Music Hall",AUD,,,,FLAC,,
"9-8-2005 / Cologne, DE / Live Music Hall (FOH Series)",SBD,,,,FLAC,Official Bootleg,
"9-21-2005 / Columbia, MO / The Blue Note",AUD,,,,FLAC,,
"9-25-2005 / Austin, TX / ACL Festival - Zilker Park (jim o'brien) ",SBD,,,,FLAC,,
"10-13-2005 / Indianapolis, IN / Murat Theater",AUD,,,,FLAC,,
"11-1-2005 / Chicago, IL / Auditorium Theatre - Hurricane Relief Benefit",AUD,,,,FLAC,,
,,,,,,,
[2006],,,,,,,
"3-6-2006 / Chapel Hill, NC / Memorial Auditorium",AUD,,,,FLAC,,
"3-16-2006 / Knoxville, TN / TN Theater",AUD,,,,FLAC,,
"3-17-2006 / Nashville, TN / Ryman Auditorium",AUD,,,,FLAC,,
"3-18-2006 / Fayetteville, AR / Walton Arts Center",AUD,,,,FLAC,,
"3-21-2006 / Kansas City, MO / Uptown Theater",AUD,,,,FLAC,,
"3-22-2006 / Des Moines, IA / Val Air Ballroom",AUD,,,,FLAC,,
"3-22-2006 / Des Moines, IA / Val Air Ballroom",SBD,,,,FLAC,,
"4-17-2006 / Bloomington, IN / IU Auditorium",AUD,,,,FLAC,,
"4-19-2006 / Portland, ME / Merrill Auditorium",AUD,,,,FLAC,,
"4-21-2006 / Sayreville, NJ / Starland Ballroom",AUD,,,,FLAC,,
"4-22-2006 / Williamsburg, VA / The College of William & Mary Hall",MTX,,,,FLAC,,
"4-22-2006 / Williamsburg, VA / William & Mary Hall (FOH Series)",SBD,,,,FLAC,Official Bootleg,
"4-23-2006 / Charlottesville, VA / Charlottesville Pavilion",AUD,,,,FLAC,,
"7-5-2006 / Milwaukee, WI / Summerfest (SP-BMC-12) (matt krueger + kevin kohl)",AUD,,,,FLAC,,
"7-7-2006 / Toronto, Ontario / Massey Hall (KM184+SBD) (david klein)",MTX,,,,FLAC,,
"7-12-2006 / Dartmouth, NS / Alderney Landing",AUD,,,,FLAC,,
"7-13-2006 / Fredericton, NB / The Playhouse",AUD,,,,FLAC,,
"7-13-2006 / Fredericton, NB / The Playhouse (FOH Series)",SBD,,,,FLAC,Official Bootleg,
"7-14-2006 / Quebec, Canada / Festival d'ete de Quebec",AUD,,,,FLAC,,
"7-16-2006 / Florence, MA / Pines Theater",AUD,,,,FLAC,,
"8-6-2006 / Chicago, IL / Grant Park - Lollapalooza",AUD,,,,FLAC,,
"10-4-2006 / West Lafayette, IN - Elliot Hall -  Perdue University",AUD,,,,FLAC,,
"10-8-2006 / Louisville, KY / Iroquois Amphitheater (CK63) (jon ice)",AUD,,,,FLAC,,
"10-8-2006 / Louisville, KY / Iroquois Amphitheater (Schoeps MK4/CMC6) (stuart tackett)",AUD,,,,FLAC,,
"10-8-2006 / Louisville, KY / Iroquois Amphitheater (MK4 + CK63)",MIX,,,,FLAC,,
"10-9-2006 / Huntsville, AL / Von Brawn Concert Hall",AUD,,,,FLAC,,
"10-10-2006 / Oxford, MS / Gertrude Castello Ford Center (Schoeps MK4) (stuart tackett)",AUD,,,,FLAC,,
"10-10-2006 / Oxford, MS / Gertrude Castello Ford Center (AKG C 460 + CK 61) (ole diz & pedro)",AUD,,,,FLAC,,
"10-10-2006 / Oxford,MS / GCFC - UofMS (2-source Mix) (Schoeps MK4 + AKG C 460) (ole diz & pedro)",MIX,,,,FLAC,,
"10-12-2006 / Fort Worth, TX / Will Rogers Auditorium",AUD,,,,FLAC,,
"10-13-2006 / San Antonio, TX / Sunset Station",AUD,,,,FLAC,,
"10-18-2006 / Morgantown, WV / WVU - Mountain Lair Ballroom",AUD,,,,FLAC,,
"10-19-2006 / Washington, D.C. / 9:30 Club",AUD,,,,FLAC,,
"11-22-2006 / Madison, WI / Barrymore Theater",AUD,,,,FLAC,,
"11-24-2006 / Chicago, IL / Auditorium Theater",AUD,,,,FLAC,,
"11-25-2006 / Chicago, IL / Auditorium Theater",AUD,,,,FLAC,,
,,,,,,,
[2007],,,,,,,
"4-16-2007 / Brisbane, Australia / The Tivoli (Binaural SP mics) (brendan eales)",AUD,,,,FLAC,,
"4-18-2007 / Melbourne, Australia / Palais Theatre (Audix m1290) (adam)",AUD,,,,FLAC,,
"4-19-2007 / Melbourne, Australia / Palais Theatre (Audix m1290) (adam)",AUD,,,,FLAC,,
"4-21-2007 / Sydney, Australia / Enmore Theatre",SBD,,,,FLAC,,
5-12-2007 / A Prairie Home Companion / Public Radio,WEB,,,,MP3,,
"5-20-2007 / London, UK / Shepherds Bush Empire (SS-DSM6) (soledriver)",AUD,,,,FLAC,,
"5-25-2007 / Hamburg, Germany / Grosse Freiheit 36 (MBHO MBP 603A) (unk)",AUD,,,,FLAC,,
"5-25-2007 / Hamburg, Germany / Grosse Freiheit",FM,,,,FLAC,,
"5-28-2007 / Stuttgart, Germany / LKA Longhorn",AUD,,,,FLAC,,
"5-29-2007 / Paris, France / Bataclan",AUD,,,,FLAC,,
"5-30-2007 / Gent, Belgium / De Vooruit",AUD,,,,FLAC,,
"6-2-2007 / Barcelona, Spain / Primavera Sound Festival",AUD,,,,FLAC,,
"6-13-2007 / Davenport, IA / Adler Theater",AUD,,,,FLAC,,
"6-15-2007 / Philadelphia, PA / WXPN Studios (Broadcast Date)",FM,,,,FLAC,,
"6-15-2007 / Indianapolis, IN / The Murat Theater",AUD,,,,FLAC,,
"6-17-2007 / Manchester, TN / Bonnaroo",AUD,,,,FLAC,,
"6-19-2007 / Atlanta, GA / Chastain Park Amphitheater",AUD,,,,FLAC,,
"6-20-2007 / Charlotte, NC / Ovens Auditorium",AUD,,,,FLAC,,
"6-20-2007 / Charlotte, NC / Ovens Auditorium",AUD,,,,FLAC,,
"6-21-2007 / Columbia, MD / Merriweather Post Pavilion",AUD,,,,FLAC,,
"6-22-2007 / Red Bank, NJ / Count Basie Theatre",AUD,,,,FLAC,,
"6-22-2007 / Red Bank, NJ / Count Basie Theatre (FOH Series)",SBD,,,,FLAC,Official Bootleg,
"6-24-2007 / Northampton, MA - Pines Theater at Look Park (KM140s)",AUD,,,,FLAC,,
"6-25-2007 / New York, NY / Hammerstein Ballroom",AUD,,,,FLAC,,
"6-26-2007 / Brooklyn, NY / Warsaw",AUD,,,,FLAC,,
"6-28-2007 / Boston, MA / Bank of America Pavilion",AUD,,,,FLAC,,
"6-29-2007 / Shelburne, VT / Shelburne Museum",AUD,,,,FLAC,,
"6-30-2007 / Toronto, Ontario / Massey Hall",AUD,,,,FLAC,,
"7-7-2007 / Kongsberg, Norway / Tubaloon - Kongsberg Jazz Festival",AUD,,,,FLAC,,
"7-8-2007 / Roskilde, Denmark / Roskilde Festival",MTX,,,,FLAC,,
"7-14-2007 / Glasgow, UK / Victoria Park - Indian Summer",AUD,,,,FLAC,,
"7-17-2007 / Torino, Italy / Spazio 211",FM,,,,FLAC,,
"7-20-2007 / Benicassim, Spain / FIB",FM,,,,FLAC,,
"8-21-2007 / Redmond, WA / Marymoor Park",AUD,,,,FLAC,,
"8-22-2007 / Troutdale, OR / Edgefield",MTX,,,,FLAC,,
"8-24-2007 / Berkeley, CA / Greek Theater",,,,,FLAC,,
"8-24-2007 / Berkeley, CA / Greek Theater",MTX,,,,FLAC,,
"8-26-2007 / Santa Barbara, CA / Santa Barbara Bowl - DAT(M) (anonymous) (blg mastering)",SBD,,,,FLAC,,
"8-29-2007 / Los Angeles, CA / Greek Theater (CA STC-11) (brennan murphy)",AUD,,,,FLAC,,
"8-29-2007 / Los Angeles, CA / Greek Theatre - DAT(M) (anonymous) (blg mastering)",SBD,,,,FLAC,,
"8-29-2007 / Los Angeles, CA / Greek Theatre - MD(M) (Sony MD mic) (dennis orr)",AUD,,,,FLAC,,
"9-1-2007 / Denver, CO / Fillmore Auditorium",AUD,,,,FLAC,,
"9-2-2007 / Denver, CO / Fillmore Auditorium",AUD,,,,FLAC,,
"9-12-2007 / Chicago, IL / Jay Pritzker Pavilion - Millenium Park",AUD,,,,FLAC,,
"9-14-2007 / Dallas, TX / The Palladium Ballroom",AUD,,,,FLAC,,
"9-19-2007 / Columbia, MO / 9th Street Summerfest",AUD,,,,FLAC,,
"9-21-2007 / Louisville, KY / Louisville Slugger Field",AUD,,,,FLAC,,
"10-9-2007 / Milwaukee, WI / Eagle's Ballroom",AUD,,,,FLAC,,
"10-13-2007 / Kansas City, MO / The Crossroads KC",AUD,,,,FLAC,,
"10-14-2007 / Iowa City, IA / Iowa Memorial Union",AUD,,,,FLAC,,
"10-17-2007 / Detroit, MI / Fox Theatre",AUD,,,,FLAC,,
"10-19-2007 / Pittsburgh, PA / A.J. Palumbo Center",AUD,,,,FLAC,,
"10-20-2007 / Charlottesville, VA - Charlottesville Pavilion",AUD,,,,FLAC,,
"11-11-2007 / Bilbao, Spain / Palacio Euskalduna - Basque Couple Foxtrot",AUD,,,,FLAC,,
"11-14-2007 / Dublin, Ireland / Vicar Street",AUD,,,,FLAC,,
"11-15-2007 / Dublin, Ireland / Vicar Street",AUD,,,,FLAC,,
,,,,,,,
[2008],,,,,,,
"2-15-2008 / Chicago, IL / Riviera Theatre",AUD,2 sources,,,FLAC,,
"2-16-2008 / Chicago, IL / Riviera Theatre",MTX,3 sources,,,FLAC,,
"2-18-2008 / Chicago, IL / Riviera Theatre",AUD,3 sources,,,FLAC,,
"2-19-2008 / Chicago, IL / Riviera Theatre",AUD,3 sources,,,FLAC,,
"2-20-2008 / Chicago, IL / Riviera Theatre",AUD,2 sources,,,FLAC,,
"2-22-2008 / Lakewood, OH / Lakewood Civic Auditorium",AUD,,,,FLAC,,
"2-23-2008 / Upper Darby, PA / Tower Theater",AUD,,,,FLAC,,
"2-23-2008 / Upper Darby, PA / Tower Theater (FOH Series)",SBD,,,,FLAC,Official Bootleg,
"2-24-2008 / New Haven, CT / Shubert Theater",AUD,,,,FLAC,,
"2-26-2008 / Washington, D.C. / 9:30 Club",AUD,2 sources,,,FLAC,,
"2-27-2008 / Washington, D.C. / 9:30 Club",AUD,3 sources,,,FLAC,,
"3-2-2008 / Nashville, TN / Ryman Auditorium",AUD,,,,FLAC,,
"3-3-2008 / Mobile, AL / Mobile Civic Center Theater",AUD,,,,FLAC,,
"3-4-2008 / New Orleans, LA / Tipitina's",AUD,,,,FLAC,,
"3-5-2008 / New Orleans, LA / Tipitina's",AUD,3 sources,,,FLAC,,
"3-8-2008 / Tulsa, OK / Cain's Ballroom",AUD,,,,FLAC,,
"3-8-2008 / Tulsa, OK / Cain's Ballroom (FOH Series)",SBD,,,,FLAC,Official Bootleg,
"3-9-2008 / Des Moines, IA / Val Air Ballroom (FOH Series)",SBD,,,,FLAC,Official Bootleg,
"3-9-2008 / Des Moines, IA / Val Air Ballroom",MTX,2 sources,,,FLAC,,
"3-18-2008 / Sydney, Australia / Enmore Theatre",AUD,,,,FLAC,,
"3-26-2008 / Melbourne, Australia / Palace Theatre",AUD,,,,FLAC,,
"4-30-2008 / Rochester, MN / Mayo Civic Center",AUD,,,,FLAC,,
"5-2-2008 / Winnipeg, Manitoba / Burton Cummings Theatre",AUD,,,,FLAC,,
"5-4-2008 / Bozeman, MT / The Emerson Cultural Center",AUD,,,,FLAC,,
"5-5-2008 / Missoula, MT / Adams Center",AUD,,,,FLAC,,
"5-8-2008 / Colorado Springs, CO / Pikes Peak Center",AUD,2 sources,,,FLAC,,
"5-11-2008 / Austin, TX / Stubb's",AUD,,,,FLAC,,
"5-12-2008 / Austin, TX / Stubb's",AUD,2 sources,,,FLAC,,
"5-14-2008 / Lawrence, KS / 9th and New Hampshire",AUD,,,,FLAC,,
"5-15-2008 / St. Louis, MO / The Pageant",MTX,2 sources,,,FLAC,,
"5-16-2008 / St. Louis, MO / The Pageant",MTX,2 sources,,,FLAC,,
"5-17-2008 / St. Louis, MO / The Pageant",MTX,2 sources,,,FLAC,,
"7-25-2008 / Fairbanks, AK / Blue Loon",AUD,2 sources,,,FLAC,,
"7-26-2008 / Anchorage, AK / Moose's Tooth Anniversary Party",AUD,,,,FLAC,,
"8-2-2008 / Chicago, IL / Grant Park - Lollapalooza ",WEB,,,,DVD,,
"8-4-2008 / Indianapolis, IN / White River State Park - Whitelies Lawn",AUD,,,,FLAC,,
"8-4-2008 / Indianapolis, IN / White River State Park - Whitelies Lawn",AUD,,,,FLAC,,
"8-6-2008 / Jacksonville, FL / Florida Theatre",AUD,,,,FLAC,,
"8-6-2008 / Jacksonville, FL / Florida Theatre",AUD,,,,FLAC,,
"8-7-2008 / North Charleston, SC / North Charleston Performing Arts Center",AUD,,,,FLAC,,
"8-7-2008 / North Charleston, SC / North Charleston Performing Arts Center",AUD,,,,FLAC,,
"8-8-2008 / Cary, NC / Koka Booth Amphitheatre",AUD,4 sources,,,FLAC,,
"8-9-2008 / Balimore, MD / Pimplico Field - North Stage",AUD,,,,FLAC,,
"8-10-2008 / Wilmington, DE / Grand Opera House",AUD,,,,FLAC,,
"8-12-2008 / Lenox, MA / Tanglewood",AUD,,,,FLAC,,
"8-13-2008 / Brooklyn, NY / McCarren Park Pool",AUD,,,,FLAC,,
"8-13-2008 / Brooklyn, NY / McCarren Park Pool",AUD,,,,FLAC,,
"8-23-2008 / Bend, OR / Les Schwab Amphitheater",AUD,,,,FLAC,,
"10-25-2008 / Mountain View, CA / Shoreline Amphitheater - Bridge School Benefit (All Sets)",AUD,,,,FLAC,,
"10-26-2008 / Mountain View, CA / Shoreline Amphitheater - Bridge School Benefit (All Sets)",AUD,,,,FLAC,,
"11-29-2008 / Halifax, Nova Scotia / Halifax Metro Center (Custom mics > Edirol R-09) (scotianbill)",AUD,,,,FLAC,,
"12-4-2008 / Toronto, Ontario / Air Canada Centre",AUD,,,,FLAC,,
"12-4-2008 / Toronto, Ontario / Air Canada Centre (CSC) (burnboy)",AUD,,,,FLAC,,
"12-6-2008 / Rochester, NY / Auditorium Theater",MTX,3 sources,,,FLAC,,
"12-7-2008 / Auburn Hills, MI / Palace of Auburn Hills",AUD,,,,FLAC,,
"12-7-2008 / Auburn Hills, MI / Palace of Auburn Hills",AUD,,,,FLAC,,
"12-12-2008 / Philadelphia, PA / Spectrum",SBD,,,,FLAC,,
"12-12-2008 / Philadelphia, PA / Wachovia Spectrum (KM150s) (flying gonz/nicky c production)",AUD,,,,FLAC,,
"12-12-2008 / Philadelphia, PA / Wachovia Spectrum (MK41s) (tapeworm)",AUD,,,,FLAC,,
"12-12-2008 / Philadelphia, PA / Wachovia Spectrum (Schoeps MK41s) (unk)",AUD,,,,FLAC,,
"12-12-2008 / Philadelphia, PA / Wachovia Spectrum (SBD + MK41 Matrix)",MIX,,,,FLAC,,
"12-13-2008 / Worcester, MA / DCU Center",AUD,,,,FLAC,,
"12-14-2008 / Baltimore, MD / Lyric Opera House",AUD,,,,FLAC,,
"12-14-2008 / Baltimore, MD / Lyric Opera House",AUD,,,,FLAC,,
"12-15-2008 / New York, NY / Madison Square Garden",AUD,,,,FLAC,,
"12-15-2008 / New York, NY / Madison Square Garden",AUD,,,,FLAC,,
"12-16-2008 / New York, NY / Madison Square Garden",AUD,,,,FLAC,,
,,,,,,,
[2009],,,,,,,
"4-16-2009 / Bloomington, IN / Indiana University Auditorium",AUD,3 sources,,,FLAC,,
"4-16-2009 / Bloomington, IN / IU Auditorium (FOH Series)",SBD,,,,FLAC,Official Bootleg,
"4-18-2009 / Knoxville, TN / Tennessee Theater",AUD,3 sources,,,FLAC,,
"4-20-2009 / Athens, GA / Classic Center Theater",AUD,,,,FLAC,,
"4-21-2009 / Asheville, NC / Thomas Wolfe Auditorium",AUD,3 sources,,,FLAC,,
"4-22-2009 / Birmingham, AL / Sloss Furnace",AUD,3 sources,,,FLAC,,
"4-23-2009 / Oxford, MS / The Lyric",AUD,,,,FLAC,,
"5-29-2009 / Sevilla, Spain / Festival Territorios",FM,,,,FLAC,,
"6-3-2009 / San Sebastian, Spain / Kursaal",AUD,,,,FLAC,,
"6-12-2009 / Cincinnati, OH / Aronoff Center for the Arts",AUD,,,,FLAC,,
"6-13-2009 / Manchester, TN / Bonaroo - What Stage",AUD,4 sources,,,FLAC,,
"6-18-2009 / Tuscon, AZ / University of Arizona",AUD,2 sources,,,FLAC,,
"6-19-2009 / Las Vegas, NV / The Joint @ The Hard Rock",AUD,2 sources,,,FLAC,,
"6-22-2009 / Los Angeles, CA / The Wiltern - DAT(M) (anonymous)",SBD,,,,FLAC,,
"6-23-2009 / Los Angeles, CA / The Wiltern",AUD,,,,FLAC,,
"6-25-2009 / Los Angeles, CA / The Wiltern - DAT(M) (anonymous)",SBD,,,,FLAC,,
"6-27-2009 / Berkeley, CA / Greek Theatre",AUD,2 sources,,,FLAC,,
"6-28-2009 / Lake Tahoe, NV / Harvey's Outdoor Arena (Schoeps MK4) (unk)",AUD,,,,FLAC,,
"6-28-2009 / Lake Tahoe, NV / Harvey's Outdoor Arena (FOH Series)",SBD,,,,FLAC,Official Bootleg,
"7-3-2009 / Morrison, CO / Red Rocks Amphitheatre (A-51TLs) (jim mimna)",AUD,,,,FLAC,,
"7-3-2009 / Morrison, CO / Red Rocks Amphitheatre (Beyerdynamic MC930) (unk)",AUD,,,,FLAC,,
"7-8-2009 / Vienna, VA / Wolf Trap",AUD,,,,FLAC,,
"7-10-2009 / Wilmington, DE / Frawley Stadium",AUD,,,,FLAC,,
"7-11-2009 / Lowell, MA / LeLacheur Park",AUD,3 sources,,,FLAC,,
"7-13-2009 / Brooklyn, NY / Keyspan Park",AUD,2 sources,,,FLAC,,
"7-17-2009 / Portland, ME / Maine State Pier",AUD,,,,FLAC,,
"7-18-2009 / Wappinger Falls, NY / Duchess Stadium",AUD,2 sources,,,FLAC,,
"7-21-2009 / Royal Oak, MI / Royal Oak Theatre",AUD,,,,FLAC,,
"7-21-2009 / Royal Oak, MI / Royal Oak Theatre (FOH Series)",SBD,,,,FLAC,Official Bootleg,
"7-23-2009 / Detroit Lakes, MI / Soo Pass Ranch - Main Stage",AUD,5 sources,,,FLAC,,
"8-17-2009 / Helsinki, Finland / Huvila Festival",AUD,,,,FLAC,,
"8-25-2009 / London, England / Troxy",AUD,,,,FLAC,,
"8-27-2009 / Dublin, Ireland / Vicar Street",AUD,,,,FLAC,,
"8-28-2009 / Dublin, Ireland / Vicar Street",AUD,,,,FLAC,,
"10-1-2009 / Iowa City, IA / Iowa Memorial Union Main Lounge",AUD,,,,FLAC,,
"10-2-2009 / St. Paul, MN / Roy Wilkens Auditorium",AUD,,,,FLAC,,
"10-4-2009 / Maryland Heights, MO / Verizon Wireless Amphitheater",AUD,,,,FLAC,,
"10-6-2009 / Kansas City, MO / Crossroads @ Grinders",AUD,4 sources,,,FLAC,,
"10-9-2009 / Dallas, TX / The Palladium Ballroom",SBD,3 sources,,,FLAC,,
"10-12-2009 / Columbus, OH / Mershon Auditorium",AUD,,,,FLAC,,
"10-14-2009 / Toronto, Ontario / Massey Hall",AUD,,,,FLAC,,
"10-15-2009 / Toronto, ON / Massey Hall (Roland R-05) (burnboy) ",AUD,,,,FLAC,,
"10-16-2009 / Ann Arbor, MI / Hill Auditorium",AUD,,,,FLAC,,
"10-18-2009 / Chicago, IL / U.I.C. Pavilion",AUD,3 sources,,,FLAC,,
"10-19-2009 / Chicago, IL / U.I.C. Pavilion",AUD,2 sources,,,FLAC,,
"11-3-2009 / Leeds, England / 02 Academy",AUD,,,,FLAC,,
"11-4-2009 / London, England / HMV Forum",AUD,,,,FLAC,,
"11-6-2009 / Brussels, Belgium / Ancienne Belgique",AUD,,,,FLAC,,
"11-7-2009 / Wangels, Germany / Weiflenhauser Strand (screen54) ",AUD,,,,DVD,,
"11-8-2009 / Copenhagen, Denmark / Royal Theatre",AUD,2 sources,,,FLAC,,
"11-11-2009 / Zurich, Switzerland / Volkshaus",AUD,2 sources,,,FLAC,,
"11-13-2009 / Florence, Italy / Teatro della Pergola",AUD,,,,FLAC,,
"11-14-2009 / Milan, Italy / Conservatorio",AUD,,,,FLAC,,
"11-16-2009 / Amsterdam, The Netherlands / Paradiso",FM,2 sources,,,FLAC,,
,,,,,,,
[2010],,,,,,,
"2-7-2010 / Missoula, MT / Adams Center - University of Montana",AUD,,,,FLAC,,
"2-10-2010 / Seattle, WA / Parmaount Theater",AUD,,,,FLAC,,
