Wilco,Versions,,,,File Type,,
Drive - E,,,,,,,
,,,,,,,
,,,,,,,
"2-15-1997 / New York, NY / Irving Plaza",AUD,4 sources,,,FLAC + DVD,,Video
"2-16-1997 / Boston, MA / Avalon",AUD,,,,FLAC,,
"2-18-1997 / Ottawa, Ontario / The Cave",AUD,,,,FLAC,,
"2-19-1997 / Toronto, Ontario / The Horseshoe Tavern",FM,,,,FLAC,,
"2-21-1997a / Detroit, MI / WNNX Studios",FM,,,,FLAC,,
"2-21-1997 / Detroit, MI / Majestic Theatre",AUD,,,,FLAC,,
"2-21-1997 / Detroit, MI / Majestic Theater (Schoeps CMC54) (michael pfeil) ",AUD,,,,FLAC,,
"2-28-1997 / Columbia, MO / The Blue Note",SBD,,,,FLAC,,
"3-25-1997 / Cologne, Germany / Luxor",AUD,,,,FLAC,,
"3-28-1997 / Brussels, Belgium / Ancienne Belgique",AUD,,,,FLAC,,
"3-31-1997 / Amsterdam, Holland / Melkweg",AUD,,,,FLAC,,
"4-4-1997 / Oslo, Norway / Rockefeller",AUD,,,,FLAC,,
"4-13-1997 / London, UK / Shepherd's Bush Empire *I've Seen Worse",AUD,,,,FLAC,,
"4-24-1997 / New York, NY / Sony Studios - VH1 Hard Rock Live",TV,,,,FLAC,,
"5-9-1997 / San Francisco, CA / The Fillmore",SBD,,,,FLAC,,
"5-10-1997 / San Francisco, CA / The Fillmore",SBD,,,,FLAC,,
"5-13-1997 / Los Angeles, CA / El Rey Theater",SBD,,,,FLAC,,
"5-18-1997 / Boulder, CO / Fox Theatre",SBD,,,,FLAC,,
"5-23-1997 / Chicago, IL / Riviera Theater",MTX,2 sources,,,FLAC,,
"5-31-1997 / San Francisco, CA / Embarcadero Stage at Justin Herman Park (FOH Series)",SBD,,,,FLAC,Official Bootleg,
"6-7-1997 / Manhattan, NY / Le Bar Bat (Jonny Lang, Big Head Todd ATM)",Silver CD,,,,,,
"7-30-1997 / Darien Lakes, NY / Darien Lake Performing Arts Center",AUD,,,,FLAC,,
"9-4-1997 / Berkeley, CA / KFOG Fantasy Studios",FM,,,,FLAC,,
"9-14-1997 / Austin, TX / The Backyard",AUD,,,,FLAC,,
"10-19-1997 / Charleston, SC / Brittlebank Park (WAVF Festival)",SBD,,,,SHN,,
"10-29-1997 / Minneapolis, MN / First Avenue",SBD,,,,FLAC,,
"10-30-1997 / Minneapolis, MN / First Avenue",SBD,,,,FLAC,,
"11-3-1997 / Lawrence, KS / The Granada",AUD,,,,FLAC,,
"11-4-1997 / Columbia, MO / The Blue Note",SBD,,,,FLAC,,
"11-7-1997 / Austin, TX / Liberty Lunch",SBD,,,,FLAC,,
,,,,,,,
[1998],,,,,,,
"6-12-1998 / Chicago, IL / Lounge Ax",AUD,,,,FLAC,,
"6-13-1998 / Randall's Island, NY / Fleadh Festival",SBD,,,,FLAC,,
"6-26-1998 / San Jose, CA / Spartan Stadium",MTX,,,,FLAC,,
"6-28-1998 / San Jose, CA / Spartan Stadium - Fleadh Festival",SBD ,2 sources,,,FLAC,,
"7-4-1998 / Milwaukee, WI / Summerfest",SBD,,,,FLAC,,
"8-16-1998 / Columbia, MD / Merriweather Post - DAT(M) (Schoeps CCM4) (unk)",AUD,,,,FLAC,,
"8-30-1998 / North Plains, OR / Horning's Hideout",SBD,,,,FLAC,,
"9-4-1998 / Rockford, IL / On the Waterfront Festival",SBD,,,,FLAC,,
"9-6-1998 / Toledo, OH / Promenade Park (FOH Series)",SBD,,,,FLAC,Official Bootleg,
"9-12-1998 / Lawrence, KS / Clinton Lake State Park",SBD,,,,FLAC,,
"9-20-1998 / Los Angeles, CA / Greek Theatre - Newport Folk Festival",SBD,4 sources,,,FLAC,,
"10-3-1998 / Tinley Park, IL / World Music Theater",SBD,,,,FLAC,,
"12-30-1998 / San Francisco, CA / The Fillmore",SBD,,,,FLAC,,
"12-31-1998 / San Francisco, CA / The Fillmore - DAT(M)",SBD,,,,FLAC,,
,,,,,,,
[1999],,,,,,,
