Toad the Wet Sprocket,Versions,File Type
"8-23-2016 / Englewood, NJ / Bergen Performing Arts Center (DPA 4061) (jon pasternak)",AUD,FLAC
"8-28-2016 / Glenside, PA / Keswick Theatre (AT831s) (todd bainbridge)",AUD,FLAC
,,
[2017],,
"7-15-2017 / Vernon Hills, IL / Century Park - Summercel (Edirol R-09HR) (unk)",AUD,FLAC
"11-1-2017 / Biloxi, MS / The Blind Tiger (Sony ECM-DS70P) (ryan fisher)",AUD,FLAC
,,
[2018],,
"8-3-2018 / Arvada, CO / Arvada Center for the Arts and Humanities (Audix CPS-MICRO) (chuck miller)",AUD,FLAC
,,
[2019],,
"5-18-2019 / Baton Rouge, LA / Baton Rouge Oyster Festival (Sony ECM-DS70P) (ryan fisher)",AUD,FLAC
"6-8-2019 / Morrison, CO / Red Rocks Amphitheatre (CA-11s) (chuck miller)",AUD,FLAC
"6-22-2019 / Kansas City, MO / Arvest Bank Theatre at the Midland (Nokia Lumia Icon Cell phone) (shane e. calhoon)",AUD,FLAC
"6-26-2019 / New York, NY / City Winery (Neumann U89i) (christopher jones)",AUD,FLAC
,,
[2021],,
"8-27-2021 / Santa Barbara, CA / Living Room Show (YouTube Live Feed) (shane e. calhoon)",AUD,FLAC
"9-22-2021 / Homer, NY / Center for the Arts (Zoom H4n Pro) (stephenjm)",AUD,FLAC
"9-29-2021 / Hartford, CT / Infinity Music Hall & Bistro (Zoom H4n Pro) (stephenjm) ",AUD,FLAC
"9-30-2021 / Fairfield, CT / The Warehouse at WTC (Zoom H4n Pro) (stephenjm) ",AUD,FLAC
"10-1-2021 / Tarrytown, NY / Music Hall (Zoom H4n) (stephenjm)",AUD,FLAC
"10-19-2021 / Dallas, TX / The Kessler Theater (SP-TFB-2-13098Ps) (ezralite23)",AUD,FLAC
"10-28-2021 / Seattle, WA / El Corazon (Tascam DR-07) (shane e. calhoon) ",AUD,FLAC
,,
[2022],,
"4-29-2022 / Baton Rouge, LA / Manship Theatre (Sony PCM-A10) (ryan fisher)",AUD,FLAC
"7-15-2022 / North Charleston, SC / North Charleston Coliseum (Schoeps MK4) (ryanj)",AUD,FLAC 24
"7-17-2022 / Vienna, VA / Wolf Trap (LG V60) (hemisphire)",AUD,FLAC
"10-1-2022 / Ridgefield, CT / Ridgefield Playhouse (Centrance PivotMic PM1) (james bonaiuto)",AUD,FLAC 24
"10-5-2022 / Red Bank, NJ / The Vogel (Tascam DR-40) (g.jordan)",AUD,MP3
"12-8-2022 / Santa Barbara, CA / Marjorie Luke Theatre (Zoom H4) (unk) ",AUD,FLAC
,,
[2023],,
"6-1-2023 / San Juan Capistrano, CA / The Coach House (iPhone 13) (shane calhoon)",AUD,FLAC
"6-17-2023 / Florence, MA / Pines Theater (Sony PCM-A10) (shane e. calhoon)",AUD,FLAC
"6-18-2023 / Nashua, NH / Nashua Center for the Arts (Sony PCM-A10) (darren phaneuf)",AUD,FLAC
"6-22-2023 / Canandaigua, NY / Lincoln Hill Farms (Sennheiser AMBEO) (greg valiquette)",AUD,FLAC 24
"6-28-2023 / Evanston, IL / Cahn Auditorium (AT943) (englishskylarking) ",AUD,FLAC
"9-4-2023 / Santa Barbara, CA / Lobero Theatre (Zoom H5) (shane calhoon)",AUD,FLAC
"9-26-2023 / New York, NY / City Winery (DPA 4061) (jon pasternak)",AUD,FLAC 24
"9-27-2023 / Hartford, CT / Infinity Music Hall & Bistro (Sony PCM-A10) (darren phaneuf) ",AUD,FLAC
"10-5-2023 / Ponte Vedra, FL / Concert Hall (iPhone 15 Pro Max) (gmeyers)",AUD,FLAC 24
"10-13-2023 / Memphis, TN / Graceland Soundstage (iPhone) (ezralite23) ",AUD,FLAC
"10-14-2023 / Mt. Vernon, IL / The Granada Theatre (SP-CMC-1) (shane e. calhoon)",AUD,FLAC
,,
[2024],,
"8-5-2024 / Grand Rapids, MI / Meijer Gardens (iPhone 15 Pro Max) (stoodo)",AUD,FLAC
"8-10-2024 / Portland, ME / Thompson's Point (AKG C414 XLS) (dave mallick) ",AUD,FLAC 24
"8-12-2024 / South Deerfield, MA / Outdoors at Tree House Brewing Company (Sony PCM-A10) (shane e. calhoon) ",AUD,FLAC
"8-17-2024 / Sugar Hill, GA / The Bowl at Sugar Hill (Sony PCM-A10) (ezralite23) ",AUD,FLAC
"8-24-2024 / Essex Junction, VT / Champlain Valley Fairgrounds and Exposition Center (Sony PCM-A10) (darren phaneuf)",AUD,FLAC
"8-29-2024 / Santa Barbara, CA / Lobero Theatre (Zoom H5) (susan valot)",AUD,FLAC 24
"8-30-2024 / Temecula, CA / South Coast Winery (unk) ",AUD,FLAC
"8-31-2024 / Costa Mesa, CA / Pacific Amphitheatre (Zoom H5) (susan valot)",AUD,FLAC 24
"10-22-2024 / Ft. Myers, FL / Barbara B. Mann Performing Arts Hall (iPhone 16 Pro Max) (stoodo)",AUD,FLAC 24
"10-23-2024 / Clearwater, FL / The Baycare Sound (iPhone 16 Pro Max) (stoodo) ",AUD,FLAC 24
"10-26-2024 / Biloxi, MS / Beau Rivage Theatre (Sony PCM-A10) (ryan fisher) ",AUD,FLAC
,,
[2025],,
"7-25-2025 / Seattle, WA / Moore Theater (Tascam DR-40X) (mattbeth79)",AUD,FLAC 24
"8-3-2025 / Chesterfield, MO / The Factory (Sony PCM-A10) (shane e. calhoon) ",AUD,FLAC 24
"8-5-2025 / Huber heights, OH / Rose Music Center (iPhone 13 Pro Max) (tracey) ",AUD,FLAC 24
"8-7-2025 / Chicago, IL / The Salt Shed (Xvive XV1-R) (stoodo) ",AUD,FLAC 24
"8-7-2025 / Chicago, IL / The Salt Shed (iPhont) (ryan fisher) ",AUD,FLAC
"8-9-2025 / Interlochen, MI / Kresge Auditorium (Xvive XV1-R) (stoodo) ",AUD,FLAC 24
"8-18-2025 / Deerfield, MA / Outdoors at Tree House Brewing Co (Sony PCM-A10) (darren phaneuf)",AUD,FLAC
"9-11-2025 / Cerritos, CA / Cerritos Center for the Performing Arts (Zoom H5) (susan valot) ",AUD,FLAC 24
"9-21-2025 / Hattiesburg, MS / Saenger Theater (Sony PCM-A10) (ryan fisher)",AUD,FLAC 24
"10-1-2025 / Munhall, PA / Carnegie Music Hall (Xvive XV1-R) (dforrest)",AUD,FLAC 24
"10-3-2025 / Albany, NY / Palace Theatre (Sony PCM-A10) (darren phaneuf)",AUD,FLAC
"10-5-2025 / Concord, NH / Chubb Theatre (Sony PCM-A10) (darren phaneuf)",AUD,FLAC
"10-6-2025 / Portland, ME / State Theatre (Sony PCM-A10) (darren phaneuf)",AUD,FLAC
,,
,,
[MISC],,
Toad The Wet Sprocket - In the Round at Revolver (2013),,FLAC
Toad the Wet Sprocket - Live in the West (2013),,FLAC
Toad The Wet Sprocket - Architect Of The Ruin (2015),,FLAC
