Toad the Wet Sprocket,Versions,File Type
"10-15-1994 / Lan Luis Obispo, CA / CA Polytechnic State University - ANA(x) (unk)",AUD,FLAC
"10-17-1994 / Tucson, AZ / The Rock - ANA(x) (unk)",AUD,SHN
"10-21-1994 / Denver, CO / University of Denver - ANA(x) (unk)",AUD,FLAC
"10-28-1994 / Macomb, IL / Western IL University - ANA(x) (unk)",AUD,FLAC
"10-29-1994 / Northfield, MN / St. Olaf College - ANA(x) (unk)",AUD,FLAC
"11-2-1994 / Green Bay, WI / Weidner Center For The Performing Arts - ANA(x) (unk) ",AUD,FLAC
"11-5-1994 / Champaign, IL / University of IL - Foellinger Auditorium - ANA(x) (unk)",AUD,SHN
"11-9-1994 / Grand Rapids, MI / The Orbit Room - ANA(x) (unk)",AUD,FLAC
"11-11-1994 / Bloomington, IN / Indiana University Auditorium - ANA(x) (unk)",AUD,FLAC
"11-19-1994 / New Britain, CT / Central CT State University- ANA(x) (unk)",AUD,FLAC
,,
[1995],,
"2-15-1995 / Houston, TX / KRBE-FM",FM,FLAC
"2-15-1995 / Pittsburgh, PA / WYEP-FM ",FM,FLAC
"3-1-1995 / Los Angeles, CA / KLOS FM - Mark and Brian Show",FM,FLAC
"3-2-1995 / Santa Barbara, CA / Arlington Theater",AUD,FLAC
"3-6-1995 / Berkeley, CA / Berkeley Community Theatre - ANA(x) (unk)",AUD,FLAC
"3-10-1995 / Seattle, WA / The Moore Theater (unk) ",AUD,FLAC
"3-11-1995 / Seattle, WA / Moore Theatre",AUD,FLAC
"3-17-1995 / Davenport, IA / Palmer Auditorium  - ANA(x) (unk)",AUD,FLAC
"3-20-1995 / Madison, WI / Madison Civic Center (Sony ECM-S220) (jb)",AUD,FLAC
"3-20-1995 / Madison, WI / Live on WMAD FM (ben wallis transfer)",FM,FLAC
"3-28-1995 / Detroit, MI / State Theater",AUD,FLAC
"3-30-1995 / Indianapolis, IN / Murat Theatre - ANA(x) (unk)",AUD,FLAC
"3-30-1995 / Indianapolis, IN / WFBQ (with Hootie & the Blowfish) (unk)",FM,FLAC
"4-1-1995 / Cincinnatti, OH / Taft Theatre - ANA(x) (unk)",AUD,FLAC
"4-3-1995 / Cleveland, OH / WENZ-FM",FM,FLAC
"4-5-1995 / Scranton, PA / University of Scranton - ANA(x) (unk) ",AUD,FLAC
"4-6-1995 / Annville, PA / Labanon Valley Community College - Lynch Gym",AUD,FLAC
"4-21-1995 / Columbia, MD / Merriweather Post Pavilion - ANA(x) (unk) ",AUD,FLAC
"4-22-1995 / Washington, DC / National Mall - Earth Day (C-SPAN)",PRO,MP3
"4-24-1995 / Toronto, ON / The Opera House (unk) (tapersec1968)",AUD,FLAC
"4-28-1995 / Burlington, VT / University of Vermont - Patrick Gym",AUD,FLAC
"4-29-1995 / Loudonville, NY / Siena College- ANA(x) (unk)",AUD,FLAC
"5-4-1995 / New York, NY / Sony Studios - Columbia Records Radio Hour",FM,FLAC
"5-6-1995 / Upper Darby, PA / Tower Theatre - ANA(x) (unk)",AUD,FLAC
"5-13-1995 / Burgettstown, PA / Coca-Cola Star Lake Amphitheatre - ANA(x) (unk)",AUD,FLAC
"5-16-1995 / Charlotte, NC / Capri Theatre - ANA(x) (unk)",AUD,FLAC
"5-21-1995 / Augusta, GA / Riverwalk Amphitheatre - ANA(x) (unk)",AUD,FLAC
"5-23-1995 / Sunrise, FL / Sunrise Musical Theater (SS-DSM-3)(unk)",AUD,FLAC 24
"5-28-1995 / The Woodlands, TX / Cynthia Woods Mitchell Pavilion (104 KRBE Audio Radio BBQ)",FM,FLAC
"5-29-1995 / Toronto, ON / Manta Eastern Sound - Command Performance FM - ANA(x)",FM,FLAC
"5-30-1995 / Austin, TX / The Terrace - ANA(x) (unk)",AUD,FLAC
"8-11-1995 / Holmdel, NJ / Garden State Arts Center - ANA(x) (unk) ",AUD,FLAC
"8-25-1995 / The Woodlands, TX / Cynthia Woods Mitchell Pavilion - ANA(x) (Sony ECM-909A) (unk) ",AUD,FLAC
"8-30-1995 / Phoenix, AZ / Blockbuster Desert Sky Pavilion - ANA(x) (unk) ",AUD,FLAC
"9-12-1995 / Puyallup, WA / Western Washington State Fair",AUD,FLAC
"9-13-1995 / Portland, OR / Washington Park Rose Garden - ANA(x) (unk)",AUD,FLAC
"9-25-1995 / Newcastle Upon Tyne, England / Riverside - ANA(x) (unk) ",AUD,FLAC
"10-14-1995 / Santa Barbara, CA / Santa Barbara Bowl - ANA(x) (unk)",AUD,FLAC
,,
[1996],,
"3-6-1996 / Santa Barbara, CA / Storke Plaza - UCSB",AUD,FLAC
"8-20-1996 / Charlotte, NC / Charlotte Memorial Stadium - CASS(M) (michael greene)",AUD,FLAC
"8-23-1996 / Raleigh, NC / Hardees Walnut Creek Amphitheatre - ANA(x) (unk) ",AUD,FLAC
"9-14-1996 / Minneapolis, MN / Loring Park - ANA(x) (unk)",AUD,FLAC
"9-18-1996 / Santa Barbara, CA / The Backstage (unk) (ryan chan)",AUD,FLAC
"9-19-1996 / Santa Barbara, CA / Toe's Tavern (unk) (ryan chan)",AUD,FLAC
"9-21-1996 / Santa Barbara, CA / Santa Barbara County Bowl",AUD,FLAC
,,
[1997],,
