Deftones,Versions,File Type,
"8-22-1998 / Koln, Germany / Bizarre Festival + 1997-10-13 Amsterdam, Holland - Melkweg",PRO,DVD,
"8-30-1998 / Biddinghuizen, The Netherlands / Lowlands Festival",SBD #1,FLAC,
"9-2-1998 / Tokyo, Japan / On Air East - VHS(M) (TV)",TV,DVD,
"10-30-1998 / Boston, MA / The Roxy - WAAF Real Rock TV (PRO)",PRO,MPG,
"11-4-1998 / Los Angeles, CA / Hollywood Palladium - VHS(1) (Sony TR-940) (unk)",AUD,DVD,
"11-20-1998 / Asbury Park, NJ / Convention Hall (M) (unk)",AUD,AVI,
"11-21-1998 / Philadelphia, PA / The Electric Factory",AUD,FLAC,
"11-24-1998 / Montreal, QC / Metropolis (unk)",AUD,DVD,
,,,
[1999],,,
"2-6-1999 / Uniondale, NY / Nassau Veterans Memorial Coliseum *Uniondale, NY 2/6/99",AUD,FLAC,
"5-27-1999 / West Palm Beach, FL / Mars Music Amphitheatre - DAT(M) (Sony D8) (unk)",AUD,FLAC,
"6-2-1999 / Charlotte, NC / Blockbuster Pavilion",AUD,FLAC,
"6-12-1999 / Burgettstown, PA / Star Lake Ampitheatre - Ozzfest (CSC) (unk)",AUD,FLAC,
"6-14-1999 / Columbus, OH / Polaris Amphitheatre (Ozzfest) (Sony D7) (unk)",AUD,FLAC,
"7-5-1999 / Tinley Park, IL / New World Music - Ozzfest (unk)",AUD,FLAC,
"7-20-1999 / Mountain View, CA / Shoreline Amphitheatre - Ozzfest (unk)",AUD,FLAC,
"7-24-1999 / Devore, CA / Blockbuster Pavilion - ANA(M) (unk)",AUD,FLAC,
,,,
[2000],,,
"5-24-2000 / Petaluma, CA / Phoenix Theatre (M) (inc)",AUD,AVI,
"5-28-2000 / Landover, MD / HFStival FedExField",PRO,DVD,
"5-28-2000 / Landover, MD / HFStival - Fedex Field (Left Cam)",AUD,DVD,
"6-6-2000 / London, England / Brixton Academy",SBD,FLAC,
"6-8-2000 / Milan, Italy / The Alcatraz",,DVD,
"6-9-2000 / Nuremberg, Germany  Rock Im Park",PRO,DVD,
"6-15-2000 / Hultsfred, Sweden / Hultsfred Festival (z direkt)",PRO,MKV,
"6-17-2000 / Seina?joki, Finland / Provinssirock Festival",SBD,FLAC,
"6-23-2000 / Holmdel, NJ / PNC Banks Arts Center (markit aneight)",PRO,MP4,
"6-29-2000 / Milwaukee, WI / Circuit City Rock Stage - Summerfest 2000 (unk)",FM,FLAC,
"6-29-2000 / Milwaukee, WI / Circuit City Rock Stage - Summerfest 2000 - VHS(1) (Left Cam v.1)",AUD,DVD,
"6-29-2000 / Milwaukee, WI / Circuit City Rock Stage - Summerfest 2000 - VHS(1) (Left Cam with FM) ",AUD,DVD,
"6-29-2000 / Milwaukee, WI / Circuit City Rock Stage - Summerfest 2000 (Left Cam v.2)",AUD,DVD,
"6-29-2000 / Milwaukee, WI / Circuit City Rock Stage - Summerfest 2000 (Right Cam)",AUD,DVD,
"7-1-2000 / Chicago, IL / Riviera Theatre (Binaurals) (unk) ",AUD,FLAC,
"7-7-2000 / Columbus, OH / Newport Music Hall (SS-DSM6-L) (mxchino) ",AUD,FLAC,
"7-7-2000 / Columbus, OH / Newport Music Hall (PRO)",PRO,DVD,
"7-14-2000 / Rochester, NY / ESL Sports Center (AT853) (unk)",AUD,FLAC,
"7-15-2000 / Buffalo, NY / Runwayz (AT853) (toaster)",AUD,FLAC,
"7-23-2000 / Miami, FL / Bicentennial Park - Zetafest",AUD,DVD,
"8-4-2000 / Vancouver, BC / BC Place Stadium - Summersault Festival - MD(M) (DSM-6S-L) (unk)",AUD,FLAC,
"8-10-2000 / Hollywood, CA / Palladium - DAT(M) (DPA 4061s) (ed davis)",AUD,FLAC,
"8-19-2000 / Weeze, Germany / Bizarre Festival",TV,FLAC,
"8-23-2000 / Vieira do Minho, Portugal / Barragem da Ilha do Ermal - ANA(M) (z)",FM,FLAC,
"8-23-2000 / Vieira do Minho, Portugal / Barragem da Ilha do Ermal - VHS(3)",AUD,DVD,
"8-27-2000 / Leeds, England / Temple Newsam Park - Leeds Festival (inc)",SBD,FLAC,
"8-31-2000 / Wiesen, Austria / Visen - 2 Days Festival (unk)",SBD,FLAC,
"9-2-2000 / Konstanz, Germany / Rock am See Festival *White Pony Am See",Silver CD,FLAC,
"10-8-2000 / Lake Elsinore, CA / Lake Elsinore Motorsports Park - MTV Sports Center - VHS(1) (deftfan)",AUD,DVD,
"11-10-2000 / Detroit, MI / WRIF Studios - WRIF Session ",FM,FLAC,
"11-14-2000 / Montreal, QC / Verdoun (Digital 8) (unk)",AUD,DVD,
"11-18-2000 / Asbury Park, NJ / Convention Hall - VHS(1)  (Sony TR-7000) (unk)",AUD,DVD,
"11-20-2000 / Detroit, MI / WRIF RIFF Session",FM,FLAC,
"11-24-2000 / Upper Darby, PA / Tower Theater (unk)",AUD,FLAC,
"12-12-2000 / Denver, CO / The Fillmore (CSB) (sxpxdxcx)",AUD,FLAC,
"12-16-2000 / Universal City, CA / Universal Amphitheatre - KROQ Christmas (unk)",FM,FLAC,
"12-17-2000 / Universal City, CA / Universal Amphitheatre - KROQ Christmas (unk) ",FM,FLAC,
,,,
[2001],,,
"1-21-2001 / Rio de Janeiro, Brazil / Rock In Rio",Silver CD,FLAC,
"1-21-2001 / Rio de Janeiro, Brazil / Cidade do Rock - Rock In Rio",PRO #1,DVD,
"1-24-2001 / Buenos Aires, Argentina / Velez Sarsfield Stadium																								",SBD,FLAC,
"1-26-2001 / Santiago, Chile / Estadio Chile (unk)",AUD,DVD,
"2-1-2001 / Waikoloa Village, HI / Unknown Venue",SBD,MP3,
"2-26-2001 / Lisbon, Portugal / Esta?dio Jose? Alvalade - Super Rock",AUD,MP3,
"2-27-2001 / Porto, Portugal / Super Bock Super Rock Festival",AUD,DVD,
"3-12-2001 / Offenbach, Germany / Stadthalle (unk)",AUD,FLAC,
"3-24-2001 / London, England / Docklands Arena (SBD+AUD)",MIX,FLAC,
"6-28-2001 / Roskilde, Denmark / Roskilde Festival (unk)",AUD,FLAC,
"6-28-2001 / Roskilde, Denmark / Roskilde Festival (Vers 2)",FM,FLAC,
"6-30-2001 / Bergum, Netherlands / Waldrock Festival",FM,FLAC,
"8-4-2001 / Latrobe, PA / Westmoreland Fairgrounds - Rolling Rock Festival (unk)",AUD,FLAC,
"8-23-2001 / Hartford, CT / The Meadows - DAT(M) ",SBD,FLAC,
,,,
[2003],,,
"1-17-2003 / Auckland, NZ / Ericcson Stadium (unk) (shynomi transfer)",AUD,FLAC,
"5-11-2003 / Chicago, IL / Metro - WAV(M) (unk)",AUD,WAV,
"5-17-2003 / Las Vegas, NV / Sam Boyd Stadium - KTXE 107.5 (ECM-12) (unk)",AUD,FLAC,
"5-19-2003 / West Hollywood, CA / Roxy Theatre (DAB) (cavis)",AUD,FLAC,
"5-29-2003 / Lisbon, Portugal / Super Bock Super Rock",AUD,DVD,
"5-30-2003 / Madrid, Spain / Festimad - El Soto Park (unk)",FM,FLAC,
"5-31-2003 / Donington, UK / Castle Donington Race Track",SBD,FLAC,
"6-4-2003 / Manchester, England / Carling Apollo (CSB) (unk)",AUD,FLAC,
"6-7-2003 / Landgraaf, Holland / Pinkpop Festival",FM,FLAC,
"6-7-2003 / Landgraaf, Netherlands / Pinkpop Festival (toolmanwill) ",SBD,FLAC,
"6-14-2003 / Irvine, CA / Verizon Wireless Ampitheatre - KROQ Weenie Roast (WW1) ",SBD,FLAC,
"7-1-2003 / Lincoln, NE / Pershing Auditorium - Summer Sanitarium (unk)",AUD,FLAC,
"8-10-2003 / San Francisco, CA / Candlestick Park - Summer Sanitarium (AT831s) (thadrtymexican)",AUD,FLAC,
"9-16-2003 / Nottingham, UK / Rock City (Sony ECM-717) (rob)",AUD,FLAC,
"9-27-2003 / Paris, France / POPB - DAT(1) (Sennheiser mic) (unk)",AUD,FLAC,
"9-27-2003 / Paris, France / Palais Omnisport Bercy (Sony ECM 717) (unk) ",AUD,FLAC,
"10-26-2003 / San Jose, CA / San Jose State Events Center (Sony MDS-JE520) (stealth master schwilly)",AUD,FLAC,
"10-27-2003 / Los Angeles, CA / Wiltern LG Theatre (unk)",AUD,FLAC,
"10-28-2003 / Los Angeles, CA / Wiltern Theatre (DAB) (cavis)",AUD,FLAC,
"10-30-2003 / Las Vegas, NV / Cox Pavilion (ECM-12) (luke freteluco)",AUD,FLAC,
"10-31-2003 / San Diego, CA / Soma (unk)",AUD,FLAC,
"11-3-2003 / Las Cruces, NM / Pan American Center - NMSU (CSC) (nihilistic0)",AUD,FLAC,
"11-6-2003 / Austin, TX / Austin Music Hall (CMC-4) (roio420)",AUD,FLAC,
"11-11-2003 / Pompano Beach, FL / Beach Amphitheatre (CSB) (unk)",AUD,FLAC,
"11-19-2003 / Philadelphia, PA / Electric Factory (unk) (sipes remaster) ",AUD,WAV,
"11-20-2003 / New York, NY / Hammerstein Ballroom (DAB) (richard simms)",AUD,FLAC,
"11-24-2003 / Burlington, VT / Memorial Auditorium (Radio Shack 33-3013) (unk)",AUD,FLAC,
"11-25-2003 / Montreal, QC / Auditorium de Verdun",AUD,DVD,
"11-27-2003 / Mississauga, Ontario / Arrow Hall (Sony NetMD) (unk)",AUD,FLAC,
"11-29-2003 / Detroit, MI / State Theatre (ECM-MS907) (unk)",AUD,FLAC,
"11-30-2003 / Chicago, IL / Aragon Ballroom (unk)",AUD,FLAC,
"12-2-2003 / St. Paul, MN / Roy Wilkins Auditorium (3 Cam Mix)",AUD,DVD,
,,,
[2004],,,
"9-27-2004 / San Francisco, CA / The Grand (CSB) (unk)",AUD,FLAC,
"9-29-2004 / West Hollywood, CA /House of Blues (SP-CMC-2) (cavis)",AUD,FLAC,
"9-30-2004 / Anaheim, CA / House of Blues (SP-CMC-2) (cavis)",AUD,FLAC,
"10-15-2004 / Atlanta, GA / Earthlink Live (SPT16) (toriphilemaria)",AUD,FLAC,
"10-29-2004 / Sayreville, NJ / Starland Ballroom (Audix 1244) (rider) ",AUD,FLAC,
,,,
[2006],,,
"2-16-2006 / San Diego, CA / iPayone Center",AUD,MP3,
"2-16-2006 / San Diego, CA / iPayOne Center",AUD,DVD,
"2-25-2006 / Orlando, FL / Tinker Field (Sony ECM-717) (kevdogg)",AUD,FLAC,
"3-2-2006 / Washington, D.C. / 9:30 Club",AUD,FLAC,
"3-3-2006 / East Rutherford, NJ / Continental Airlines Arena ",AUD,MP3,
"3-19-2006 / St. Paul, MN / Roy Wilkens Theatre",AUD,DVD,
"3-22-2006 / Lincoln, NE / Pershing Center",AUD,DVD,
"3-29-2006 / Sacramento, CA / Arco Arena (DPA 4061) (hungover)",AUD,FLAC,
"4-5-2006 / Edmonton, Alberta / Rexall Place - MiniDV(x) (unk)",AUD,DVD,
"4-12-2006 / London, ON / John Labatt Centre",AUD,DVD,
"4-15-2006 / Montreal, QC / Stade Uniprix (Radio Shack 33-3013s) (imperium)",AUD,FLAC,
"5-26-2006 / Lisbon, Portugal / Super Bock Super Rock (M) V1",AUD,DVD,
"5-26-2006 / Lisbon, Portugal / Super Bock Super Rock V2",AUD,DVD,
"5-30-2006 / Paris, FR / Le Ze?nith (Left Cam)",AUD,DVD,
"6-2-2006 / Nu?rburg, Germany / Nu?rburgring",SBD,MP3,
"6-2-2006 / Eifel, Germany / Rock Am Ring (WDR TV Broadcast) ",TV,DVD,
"6-5-2006 / Landgraaf, Netherlands / Pinkpop Festival ",SBD,FLAC,
6-5-2006 / Pinkpop NL / Megaland (1080p) ,WEB,MKV,
"6-13-2006 / Luxembourg, Luxembourg / L'Atelier (unk)",AUD,FLAC,
"6-28-2006 / Vienna, Austria / Nova Rock - DV(M) (Panasonic NV-GS 11 EG) (unk) ",AUD,FLAC,
"6-29-2006 / Werchter, Belgium / Rockwerchter Festival (Pro-Shot)",PRO,DVD,
"7-7-2006 / Dublin, Ireland / The Ambassador Theatre (CSB) (jadg2) ",AUD,FLAC,
"7-8-2006 / Dublin, Ireland / The Ambassador Theatre (CSB) (jadg2) ",AUD,FLAC,
"8-20-2006 / Wheatland, CA / Sleep Train Amphitheatre (MDSR60) (spike)",AUD,FLAC,
"8-29-2006 / Darien, NY / Darien Lakes - Family Values Tour - DAT(M) (AT853s) (unk) ",AUD,FLAC,
"9-5-2006 / Saratoga Springs, FL / Saratoga Performing Arts Center (RS 33-3013) (unk) ",AUD,FLAC,
"10-12-2006 / London, England / Electric Ballroom",AUD,DVD,
"11-8-2006 / San Francisco, CA / The Fillmore (unk)",AUD,FLAC,
"11-11-2006 / Las Vegas, NV / Thomas and Mack Center ",AUD,DVD,
"11-25-2006 / Atlanta, GA / The Tabernacle (CSB) (derek)",AUD,FLAC,
"12-1-2006 / Boston, MA / Avalon (CSB) (unk)",AUD,FLAC,
"12-1-2006 / Boston, MA / Avalon (CSB) (bennyblanco)",AUD,FLAC,
"12-4-2006 / Washington, DC / 9.30 Club (Shure Beta 98) (unk) ",AUD,FLAC,
"12-19-2006 / Minneapolis, MN / First Avenue - miniDV(M) (JVC Everio G) (unk)",AUD,DVD,
,,,
[2007],,,
"2-12-2007 / Buenos Aires, Argentina / La Luna Park",SBD,FLAC,
