Deftones,Versions,File Type,
,,,
[2025],,,
"3-1-2025 / Sacramento, CA / Golden 1 Center (Multiple Wireless Receivers) (hoserama)",MIX,FLAC,
"3-15-2025 / Dallas, TX / American Airlines Center (Schoeps MK41) (jesse mc)",AUD,FLAC 24,
3-24-2025 / Charlotte NC / Spectrum Center (Shure MV88) (ottomustaine) ,AUD,FLAC 24,
"3-26-2025 / Nashville, TN / Bridgestone Arena (Schoeps MK21) (jesse mc)",AUD,FLAC 24,
"3-28-2025 / Indianapolis, IN / Gainbridge Fieldhouse (Tascam DR-05) (unk)",AUD,FLAC 24,
"3-31-2025 / Chicago, IL / United Center (Schoeps MK4s) (tapeworm48)",AUD,FLAC 24,
"4-1-2025 / Detroit, MI / Little Ceasars Arena (Sennheiser Ambeo) (unk) ",AUD,FLAC 24,
"6-21-2025 / Eichenring, Scheebel, Germany / Hurricane Festival (magentamusik Livestream) (1080)",WEB,TS,
"6-29-2025 / London, England / Crystal Palace (Pansonic HC-VX3) (unk) (1080p)",WEB,MP4,
"9-19-2025 / Atlanta, GA / Shaky Knees (Schoeps MK4) (jesse mc)",AUD,FLAC 24,
"11-16-2025 / CDMX, Mexico /- Corona Capital (YouTube Livestream)",WEB,MP4,
,,,
[2026],,,
"2-9-2026 / Stuttgart, Germany / Hanns-Martin-Schleyer-Halle (Schoeps MK4-CMC1L) (unk)",AUD,FLAC,
"3-13-2026 / Santiago, Chile / Parque O'Higgins - Lollapalooza (Livestream)",WEB,MP4,
"3-13-2026 / Santiago, Chile / Parque O'Higgins - Lollapalooza (zatanax)",FM,FLAC,
"3-15-2026 / San Isidro, Argentina / Hipodromo de San Isidro - Lollapalooza (1080) ",WEB,MP4,
,,,
,,,
[MISC],,,
Deftones - Deftones (1992),Cassette,FLAC,
Absolutely Live - High Voltage (California 1997 & Leeds 2000),Silver CD,FLAC,
Deftones - Engine Number Nine - 7 Words (Demo Tape) (1993) ,,FLAC,
Deftones - (Like) Linus (1993),,FLAC,
Deftones - Root - Nosebleed (Advance Cassette) (1994),,FLAC,
Deftones - Live At Dynamo Open Air (1998-2019) {0555020961} (2019),,FLAC,
,,,
,,,
[OFFICIAL RELEASES],,,
Deftones - Adrenaline {9 46054-2} (1995),Official Release,FLAC,
Deftones - Around The Fur {9362-46810-2} (1997),Official Release,FLAC,
Deftones - Live {9362-46890-2} (1998),Official Release,FLAC,
Deftones - White Pony {WPCR-10689} (2000) (Japan),Official Release,FLAC,
Deftones - White Pony {Maverick 947705-2 RED LTD Bonus US} (2000),Official Release,FLAC,
Deftones - Back To School (Mini Maggit) {9362-48082-2} (2001),Official Release,FLAC,
Deftones - Deftones {US 48350-2} (2003),Official Release,FLAC,
Deftones - Saturday Night Wrist {US 43239-2} (2006),Official Release,FLAC,
Deftones - Diamond Eyes {511922-1} (2010),Official Release,FLAC,
Deftones - Koi No Yokan {093624947707} (2012),Official Release,FLAC,
Deftones - Gore {550092-2} (2016),Official Release,FLAC,
Deftones - Ohms {093624892137} (2020),Official Release,FLAC,
Deftones - White Pony 20th Anniversary Deluxe Edition {093624893080} (2020),Official Release,FLAC,
Deftones - private music {093624832249} (2025),Official Release,FLAC,
,,,
,,,
[SINGLES],,,
Deftones - 7 Words {PRO-CD-8450-R} (1994),Official Release,FLAC,
Deftones - My Own Summer (Shove It) CD1 {WO432CDX} (1997),Official Release,FLAC,
Deftones - Be Quiet and Drive {WO445CDX} (CD1) (1997),Official Release,FLAC,
Deftones - Be Quiet and Drive {WO445CDX} (CD2) (1997),Official Release,FLAC,
Deftones - Change (In the House of Flies) {44921 2} (2000) ,Official Release,FLAC,
