Local H,Versions,File Type
"11-24-2001 / South Barrington, IL / The Penny Road Pub (CSB) (live2cd)",AUD,FLAC
"11-24-2001 / South Barrington, IL / The Penny Road Pub - DAT(M) (DPA 4061s) (tapeworm48)",AUD,FLAC
"11-30-2001 / South Bend, IL / Heartland (CSB) (live2cd)",AUD,FLAC
"12-1-2001 / Cleveland, OH / Peabody's (CSB) (live2cd)",AUD,FLAC
"12-11-2001 / Mt. Clemens, IL / The Emerald Theatre (CSB) (live2cd)",AUD,FLAC
"12-18-2001 / Chicago, IL / The Metro (mike mcgee)",SBD,FLAC
,,
[2002],,
"2-22-2002 / St. Louis, MO / The Galaxy (CSB) (live2cd)",AUD,FLAC
"2-23-2002 / Chicago, IL / Martyr's Nightclub (CSB) (live2cd)",AUD,FLAC
"3-1-2002 / Chicago, IL / Q101 Studios - Morning Mancow",FM,FLAC
"3-4-2002 / Chicago, IL / The Crowes Nest (CSB) (live2cd)",AUD,FLAC
"3-6-2002 / Milwaukee, WI / The Rave (CSB) (ryan teske)",AUD,FLAC
"4-3-2002 / Detroit, MI / St. Andrew's Hall (CSB) (live2cd)",AUD,FLAC
"4-4-2002 / Cleveland, OH / The Odeon (CSB) (live2cd)",AUD,FLAC
"4-5-2002 / Pittsburgh, PA / Nick's Fat City (CSB) (live2cd)",AUD,FLAC
"4-12-2002 / Clifton Park, NY / Northern Lights (AT853s) (oysterhead)",AUD,FLAC
"5-3-2002 / De Kalb, IL / Otto's (CSB) (live2cd)",AUD,FLAC
"5-4-2002 / Chicago, IL / The Vic Theatre (CSB) (live2cd)",AUD,FLAC
"5-4-2002 / Chicago, IL / The Vic Theatre (DABs) (jon gannon)",AUD,FLAC
"5-16-2002 / Fort Wayne, IN / Piere's Nightclub (CSB) (live2cd)",AUD,FLAC
"5-17-2002 / South Bend, IN / Heartland (CSB) (live2cd)",AUD,FLAC
"5-29-2002 / Columbus, OH / Newport Music Hall (CSB) (live2cd)",AUD,FLAC
"5-30-2002 / Toledo, OH / The Hard Hat Cafe (CSB) (live2cd)",AUD,FLAC
"6-2-2002 / Chicago, IL / Belmont-Sheffield - Streetfest 2002 (DSB mics) (jon gannon)",AUD,FLAC
"6-6-2002 / Freeport, IL / Klub Phenomenon (CSB) (live2cd)",AUD,FLAC
"6-8-2002 / South Barrington, IL / Penny Road Pub (CSB) (live2cd)",AUD,FLAC
"7-20-2002 / Chicago, IL / Wicker Park Streetfest (CSB) (live2cd)",AUD,FLAC
"8-30-2002 / Rockford, IL / On the Waterfront (CSB) (live2cd)",AUD,FLAC
"9-7-2002 / Detroit, MI / The Magic Stick (CSB) (live2cd)",AUD,FLAC
"9-26-2002 / Dekalb, IL / Otto's (CSB) (live2cd)",AUD,FLAC
"9-27-2002 / Chicago, IL / UIC Pavilion (CSB) (live2cd)",AUD,FLAC
"10-3-2002 / Chicago, IL / The Double Door (CSB) (live2cd)",AUD,FLAC
"10-4-2002 / Urbana, IL / The Canopy Club (CSB) (live2cd)",AUD,FLAC
"10-5-2002 / Chicago, IL / Lakeview Links (DPA 4061) (tapeworm48)",AUD,FLAC
"10-18-2002 / Brooklyn, NY / North Six (Son ECM-MS907) (nathan/nlocal)",AUD,FLAC
"10-20-2002 / Baltimore, MD / Fletcher's - MD(M) (Sony ECM-907) (unk)",AUD,FLAC
"10-30-2002 / Chicago, IL / The Double Door",SBD,FLAC
"11-29-2002 / South Barrington, IL / The Penny Road Pub (live2cd)",SBD,FLAC
"11-29-2002 / South Barrington, IL / The Penny Road Pub (CSB+SBD) (live2cd)",MTX,FLAC
"11-30-2002 / South Barrington, IL / The Penny Road Pub (CSB+SBD) (live2cd)",SBD,FLAC
"12-11-2002 / Madison, WI / Luther's Blues (mike mcgee)",SBD,FLAC
"12-12-2002 / Milwaukee, WI / The Rave (live2cd)",SBD,FLAC
"12-13-2002 / Chicago Heights, IL / Oasis 160 (CSB) (live2cd)",AUD,FLAC
"12-14-2002 / Crystal Lake, IL / Duke O'Briends (CSB) (live2cd)",AUD,FLAC
"12-31-2002 / Palatine, IL / Durty Nellies Pub (CSB) (live2cd)",AUD,FLAC
,,
[2003],,
"2-14-2003 / Chicago, IL / The Metro (External stereo mic) (alvin lugo)",AUD,FLAC
"2-27-2003 / Chicago, IL / DePaul University Student Center (CSB) (live2cd)",AUD,FLAC
"2-28-2003 / Cedar Falls, IA / Reverb (CSB) (live2cd)",AUD,FLAC
"3-1-2003 / West Dundee, IL / The Clearwater Theater (CSB) (live2cd)",AUD,FLAC
"3-7-2003 / Lemont, IL / Sean Kaley's (CSB) (live2cd)",AUD,FLAC
"4-4-2003 / Chicago, IL / The Bottom Lounge @ Lakeview Links - DAT(M) (tapeworm48)",SBD,FLAC
"4-4-2003 / Chicago, IL / The Bottom Lounge @ Lakeview Links (CSB) (live2cd)",AUD,FLAC
"4-5-2003 / Chicago, IL / The Bottom Lounge @ Lakeview Links (CSB) (live2cd)",AUD,FLAC
"4-5-2003 / Chicago, IL / The Bottom Lounge @ Lakeview Links (DAB) (jon gannon)",AUD,FLAC
"4-8-2003 / Indianapolis, IN / Birdy's (CSB) (live2cd)",AUD,FLAC
"4-9-2003 / Columbus, OH / The Factory (CSB) (live2cd)",AUD,FLAC
"4-10-2003 / Pittsburgh, PA / Club Laga (CSB) (live2cd)",AUD,FLAC
"4-11-2003 / Lancaster, PA / Chameleon Club (Sharp MD-MT161E) (zack hair)",AUD,FLAC
"4-18-2003 / Washington, D.C. / The Black Cat (DPA 4061) (unk)",AUD,FLAC
"4-18-2003 / Washington, D.C. / The Black Cat (Sharp MD) (zack hair)",AUD,FLAC
"4-19-2003 / Toledo, OH / Headliners (CSB) (live2cd)",AUD,FLAC
"5-3-2003 / Sherpherdstown, WV / Shepherds College (DPA 4061) (unk)",AUD,FLAC
"5-4-2003 / Cleveland, OH / Peabody's (CSB) (live2cd)",AUD,FLAC
"5-25-2003 / Chicago, IL / The Double Door (CSB) (live2cd)",AUD,FLAC
"5-30-2003 / West Chicago, IL / Synergy II (CSB) (live2cd)",AUD,FLAC
"5-31-2003 / St. Louis, MO / The Rocket Bar (CSB) (live2cd)",AUD,FLAC
"5-31-2003 / St. Louis, MO / The Rocket Bar (CSB) (live2cd)",AUD,FLAC
"6-19-2003 / Chicago, IL / Liar's Club (CSB) (live2cd)",AUD,FLAC
"6-19-2003 / Chicago, IL / Liar's Club - DAT(M) (tapeworm48)",SBD,FLAC
"6-20-2003 / Chicago, IL / Joe's Bar (CSB) (live2cd)",AUD,FLAC
"6-26-2003 / Milwaukee, WI / Mountain Dew Rock Stage - Summerfest (CSB) (live2cd)",AUD,FLAC
"8-1-2003 / Chicago, IL / Schubas @ Belmont (Outside) (CSB) (live2cd)",AUD,FLAC
"9-16-2003 / Chicago Heights, IL / Oasis One Sixty (CSB) (live2cd)",AUD,FLAC
