Weezer,Versions,File Type,
"6-28-2000 / Ventura, CA / Ventura County Fairgrounds (Panasonic stealth condensers) (josh huber)",AUD,SHN,
"7-1-2000 / San Francisco, CA / Pier 30-32 (unk)",AUD,SHN,
"7-22-2000 / Portland, OR / Aladdin Theatre (inc) (unk)",AUD,SHN,
"7-26-2000 / San Jose, CA / Cactus Club (Schoeps MK4) (unk) ",AUD,FLAC,
"7-30-2000 / West Hollywood, CA / Troubadour - DAT(M) (DPA 4061s) (ed davis)",AUD,FLAC,
"8-6-2000 / Fujiyoshida, Japan / Conifer Forest ",AUD,FLAC,
"8-27-2000 / Providence, RI / Lupo's Heartbreak Hotel",AUD,MPG,
"8-27-2000 / Providence, RI / Lupo's Heartbreak Hotel",AUD,MP3,
"8-31-2000 / Toronto, ON / The Phoenix Concert Theatre",AUD,FLAC,
"9-1-2000 / Buffalo, NY / Runwayz (Sharp MD-MT15) (atomwatt)",AUD #1,FLAC,
"9-3-2000 / Chicago, IL / Metro - MD(M) (unk) (twoheadedboy)",AUD,FLAC,
"9-7-2000 / Columbia, MO / The Blue Note (unk) ",AUD,FLAC,
"9-15-2000 / Denver, CO / Ogden Theatre (bertybob)",AUD,FLAC,
"12-30-2000 / Hollywood, CA / The Knitting Factory (unk)",AUD,FLAC,
,,,
[2001],,,
"2-22-2001 / Houston, TX / Aerial Theater at Bayou Place",AUD,FLAC,
"3-2-2001 / Washington, D.C. / Bender Arena (CSBmod) (unk)",AUD,FLAC,
"3-3-2001 / Philadelphia, PA / Electric Factory (unk) ",AUD,FLAC,
"3-3-2001 / Philadelphia, PA / Electric Factory (unk) ",AUD,DVD,
"3-6-2001 / Albany, NY / SUNY - DAT(M)",AUD,FLAC,
"3-18-2001 / San Diego, CA / RIMAC Arena - DAT(M) (DPA 4061s) (ed davis)",AUD,FLAC,
"3-18-2001 / San Diego, CA / RIMAC Arena *Outloud Tour 2001",SBD,FLAC,
"4-19-2001 / Hiroshima, Japan / Asterl Plaza",AUD,FLAC,
"4-26-2001 / Tokyo, Japan / Zepp Tokyo",AUD,FLAC,
