Alanis Morissette,Versions,File Type
"7-28-2022 / Edmonton, AB / Rogers Place (MS-BMC-3) (inu-liger)",AUD,FLAC  
"8-6-2022 / Mountain View, CA / Shoreline Amphitheatre (SP-CMC-4U) (loughney)",AUD,FLAC
,,
[2024],,
"8-6-2024 / Mountain View, CA / Shorline Amphitheater (Schoeps MK4) (loughney) ",AUD,FLAC 24
,,
[2025],,
"6-11-2025 / Bergen, Norway / Bergenfest - Plenen Stage (Schoeps MK41) (daspyknows) ",AUD,FLAC
"6-15-2025 / Stockholm, Sweden / Grona Lund (Sony ECM-LV1) (qew)",AUD,FLAC 24
"6-27-2025 / Pilton, UK / Pyramid Stage, Glastonbury Festival (1080p)",WEB,MKV
,,
[MISC],,
Alanis Morissette - Right Through You (1995) (PD124) ,Silver CD,FLAC
Alanis Morissette - You Can Kiss It (KTS 591),Silver CD,FLAC
Alanis Morissette - Live Junkie (1998) (TB 074),Silver CD,FLAC
Alanis Morissette - Makes The Point! (1996) (TUCD 015),Silver CD,FLAC
Alanis Morissette - Going North (1996) (MOONRAKER 041),Silver CD,FLAC
Alanis Morissette - Thank U Toronto (1999) (TSP-CD 251),Silver CD,FLAC
Alanis Morissette - The Hands Of Love (2002) (p.rec 03),Silver CD,FLAC
Alanis Morissette - Who's That Girl (1996) (SP001/2),Silver CD,FLAC
,,
,,
[OFFICIAL RELEASE],,
Alanis Morissette - Alanis {742916 T} (1991),,FLAC
Alanis Morissette - Now Is the Time (1992),,FLAC
Alanis Morissette - Jagged Little Pill (Original 1995 European Pressing) (24/96),Official Release,FLAC
Alanis Morissette - Jagged Little Pill (9362-45901-2) (1995),Official Release,FLAC
Alanis Morissette - The Singles Box [5CD] (1996),Official Release,FLAC
Alanis Morissette - Jagged Little Pill Live {7599-38476-2} (1997),Official Release,DVD
Alanis Morissette - Supposed Former Infatuation Junkie (Maverick-Reprise 9 47094-2) (1998),Official Release,FLAC
Alanis Morissette - Supposed Former Infatuation Junkie (1998) 2015 (24/96),Official Release,FLAC HD
