Foo Fighters,Versions,File Type,
"7-12-1997 / Cincinatti, OH / The Garage - DAT(M) (CSBmod) (loughney transfer)",AUD,FLAC,
"7-13-1997 / St. Louis, MO / American Theater",AUD,FLAC,
"7-14-1997 / Tulsa, OK / Cain's Ballroom (chris milazzo master)",AUD,FLAC,
"7-18-1997 / San Francisco, CA / Fillmore Auditorium - DAT(M)",SBD,FLAC,
"7-20-1997 / Portland, OR / La Luna (CSB)",AUD,FLAC,
"7-21-1997 / Seattle, WA / Club DV8 (ks)",AUD #2,FLAC,
"7-26-1997 / Yamanashi, Japan / Tenjinyama Ski Jo (Fuji Rock Festival)",PRO #1b,FLAC,
"7-26-1997 / Yamanashi, Japan / Tenjinyama Ski Jo (Fuji Rock Festival)",PRO #1a & 1b,DVD,
"7-31-1997 / Vancouver, BC / The Rave",AUD,FLAC,
"8-2-1997 / Bremerton, WA / JAMPAC Festival",AUD,FLAC,
"8-7-1997 / Los Angeles, CA / The Keenan Ivory Wayans Show (loughney transfer)",TV,FLAC,
"8-14-1997 / Cologne, Germany / Live Music Hall",PRO #1,MKV,
"8-15-1997 / Cologne, Germany / Butzweiler Court (Bizarre Festival)",PRO #1b,DVD,
"8-15-1997 / Cologne, Germany / Butzweiler Court (Bizarre Festival) - DAT(x)",PRO #1b,FLAC,
"8-15-1997 / Cologne, Germany / Butzweiler Court (Bizarre Festival) - DAT(2) (upgrade)",PRO #1b,FLAC,
"8-16-1997 / Leeds, UK / V1997 Festival - Temple Newsham (monk)",AUD #1,FLAC,
"8-17-1997 / Chelmsford, UK / V97 Festival",AUD,FLAC,
"8-17-1997 / Chelmsford, UK - Hyland's Park - V97 Festival - ANA(M) (loughney transfer)",AUD,FLAC,
"8-22-1997 / Biddinghuizen, Holland / Lowlands Festival",FM,FLAC,
"8-22-1997 /  Biddinghuizen, The Netherlands / Lowlands Festival - DAT(M) ",AUD #2,FLAC,
"8-23-1997 / Hasselt, Belgium / Domein Kiewit - Pukkelpop Festival (loughney) ",FM,FLAC,
"8-23-1997 / Hasselt, Belgium / Pukkelpop - Domein Kiewit (Marantz EM-8)",AUD #2,FLAC,
8-23-1997 / Hasselt-Belgium / Pukkelpop - VID(M) (kris vdb),AMT #1,DVD,
"8-24-1997 / Thurles, Ireland / Semple Stadium - Feile Festival (robert bowman)",AUD #2,FLAC,
"8-29-1997 / Seattle, WA / Bumbershoot Festival (8mm)",AUD,DVD,
"9-4-1997 / New York, NY / Radio City Music Hall (paolo lusenti)",TV,DVD,
"9-4-1997 / New York, NY / Outside Radio City Music Hall - MTV Music Awards (loughney transfer)",TV,FLAC,
"9-19-1997 / Irvine, CA / Irvine Meadows",AUD,FLAC,
"9-19-1997 / Irvine, CA / Irvine Meadows Amphitheatre - DAT(M) (unk)",AUD #1,FLAC,
"9-21-1997 / Phoenix, AZ / Mesa Amphitheatre - DAT(M) (CSB)",AUD #1,FLAC,
"9-23-1997 / Austin, TX / Austin Music Hall (CSB)",AUD #1a,FLAC,
"9-23-1997 / Austin, TX / Austin Music Hall - DAT(M) (CSB)",AUD #1a,FLAC,
"9-23-1997 / Austin, TX / Austin Music Hall (CSB)",AUD #1b,FLAC,
"9-24-1997 / Dallas, TX / Bronco Bowl",AUD,FLAC,
"9-24-1997 / Dallas, TX / Bronco Bowl - ANA(1)",AUD #1,FLAC,
"9-26-1997 / Huntsville, AL / Big Spring Park - Big Spring Jam (inc)",AUD #1,FLAC,
"9-27-1997 / Charlotte, NC / Carolina Music Festival",AUD,FLAC,
"9-28-1997 / Conyers, GA / Georgia International Horse Park (99x Big Day Out) (scott honda)",AUD #1,FLAC,
"10-1-1997 / Raleigh, NC / The Ritz",AUD,FLAC,
"10-4-1997 / Norfolk, VA / Old Dominion University",AUD,FLAC,
"10-5-1997 / New York, NY / Roseland Ballroom (eric ph)",AUD,FLAC,
"10-5-1997 / New York, NY / Roseland Ballroom - DAT(M) (CSC)",AUD #4,FLAC,
"10-7-1997 / Providence, RI / The Strand (smores)",AUD,FLAC,
"10-8-1997 / New York, NY / Late Show with David Letterman - VHS(2)",TV,MKV,
"10-9-1997 / Firchburg, MA / Wallace Civic Center",AUD,FLAC,
"10-9-1997 / Firchburg, MA / Wallace Civic Center - DAT(M) (CSC)",AUD #1,FLAC,
"10-10-1997a / Montreal, QC / Musique Plus (preshow Interview) (loughney transfer)",TV,FLAC,
"10-10-1997 / Montreal, QC / Metropolis - DAT(M) (loughney transfer)",AUD,FLAC,
"10-11-1997 / Toronto, Ontario / Arrow Hall (david p)",AUD #1,FLAC,
"10-11-1997 / Toronto, Ontario / Arrow Hall (ms)",AUD,FLAC,
"10-14-1997 / Kitchener, Ontario / The Lyric",AUD,FLAC,
"10-14-1997 / Kitchener, Ontario / The Lyric - DAT(M) (Sennheiser MKE-2002) (ms)",AUD,FLAC,
"10-16-1997 / East Rutherford, NJ / Giants Stadium",AUD,FLAC,
"10-17-1997 / East Rutherford, NJ / Giants Stadium",AUD,FLAC,
"10-20-1997 / Normal, IL / Braden Auditorium",AUD,DVD,
"10-23-1997 / St. Paul, MN / Roy Wilkins Auditorium",AMT #1,MKV,
"10-30-1997 / Hollywood, CA / Hollywood Palladium (Sony D7)",AUD #1,FLAC,
"11-4-1997 / Seattle, WA / Paramount Theater (MD)",AUD #1,FLAC,
"11-4-1997 / Seattle, WA / Paramount Theater - AUD(M) (loughney transfer)",AUD,FLAC,
"11-5-1997 / Vancouver, BC / University of British Columbia",AUD,FLAC,
"11-15-1997 / Stockholm, Sweden / Johanneshous Isstadion",AUD,SHN,
"11-15-1997 / Stockholm, Sweden / Johanneshous Isstadion (DAT)",AUD,SHN,
"11-15-1997 / Stockholm, Sweden / Hovet - DAT(M)",AUD #1,FLAC,
"11-16-1997 / Copenhagen, Denmark / Vega",AUD #1,FLAC,
"11-20-1997 / Amsterdam, Holland / Paradiso",AUD,FLAC,
"11-20-1997 / Amsterdam, Holland / Paradiso Grote Zaal - MD(M) (loughney transfer)",AUD,FLAC,
"11-22-1997 / Newport, UK / Newport Centre (Sony)",AUD #1,FLAC,
"11-23-1997 / London, UK / Brixton Academy (gary watson)",AUD #1,FLAC,
"12-1-1997 / South Vinore, Italy / Vidia Rock Club (Sony CCD-F55E)",AUD,FLAC,
"12-2-1997 / Milan, Italy / Propoganda (markus m.)",AUD #1,FLAC,
"12-2-1997 / Milan, Italy / Propoganda - DAT(M) (CSC)",AUD #1,FLAC,
"12-5-1997 / Rennes, France / Transmusicales de Rennes (jtl)",SBD #1,FLAC,
"12-5-1997 / Rennes, France / Transmusicales de Rennes (Marantz EM-8)",AUD #1,FLAC,
"12-5-1997 / Rennes, France / Le Liberté - MD(M) (loughney transfer)",AUD,FLAC,
"12-11-1997 / Sheffield, UK / Octagon Centre (monk)",AUD #1,FLAC,
"12-13-1997 / London, UK / Shepherd's Bush Empire (charles f.)",AUD #1,FLAC,
"12-13-1997 / London, UK / Shepherd's Bush Empire - AUD(M) (loughney transfer)",AUD,FLAC,
,,,
[1998],,,
"1-21-1998 / Tokyo, Japan / Akasaka Blitz",AUD #1,FLAC,
"1-22-1998 / Tokyo, Japan / Alaska Blitz - DAT(M)",AUD #1,FLAC,
"1-22-1998 / Tokyo, Japan / Alaska Blitz - DAT(M) (1g) (loughney transfer)",AUD,FLAC,
"1-24-1998 / Nagoya, Japan / Diamond Hall",AUD,FLAC,
"1-25-1998 / Osaka, Japan / IMP Hall",AUD,FLAC,
"1-31-1998 / Tokyo, Japan / Liquid Room - DAT(M)",AUD,FLAC,
"2-6-1998 / Sydney, Australia / Coogoo Bay Hotel - Selina's (D8/CSB)",AUD,SHN,
"2-7-1998 / Sydney, Australia / Slinas",AUD,FLAC,
"2-8-1998 / Sydney, Australia / Roundhouse",AUD #1,FLAC,
"2-10-1998 / Melbourne, Australia / Festival Hall (eclect)",FM,FLAC,
"2-10-1998 / Melbourne, Australia / Festival Hall - JJJ Live at the Wireless (loughney transfer)",FM,FLAC,
"2-15-1998 / Melbourne, Australia / Festival Hall",AUD #1,FLAC,
"4-18-1998 / Lake Tahoe, CA / Lake Tahoe Ski Resort - Boarding Against Breast Cancer Benefit - VHS(x)",AMT #1,DVD,
"4-26-1998 / San Antonio, TX / Sunken Gardens",AUD #1,FLAC,
"4-29-1998 / Pensacola, FL / Bayfront Amphitheatre",AUD,FLAC,
"5-2-1998 / Atlanta, GA / Budweiser-99X Stage - Midtown Music Festival (Aiwa HS-JS216)",AUD #1,FLAC,
"5-3-1998 / Nashville, TN / Riverfront Park",AUD,FLAC,
"5-4-1998 / Columbus, OH / Newport Music Hall",AUD,FLAC,
"5-6-1998 / Philadelphia, PA / Electric Factory (greg)",AUD #1,FLAC,
"5-7-1998 / New York City, NY / Roseland Ballroom (smores)",AUD,FLAC,
"5-8-1998 / Albany, NY / SUNY",AUD,FLAC,
"5-9-1998 / Henrietta, NY / Dome Arena",AUD,FLAC,
"5-11-1998 / Portland, ME / State Theatre (CSB)",AUD,FLAC,
"5-12-1998 / Boston, MA / Avalon (ks)",AUD #1,FLAC,
"5-13-1998 / Providence, RI / Lupo's - ANA(M)",AUD,FLAC,
"5-13-1998 / Providence, RI / Lupo's (mike hanson)",AUD,FLAC,
"5-14-1998 / New York City, NY / Late Show with David Letterman",PRO #1b,FLAC,
"5-15-1998 / Wayne, NJ / William Peterson College",AUD #1,FLAC,
"5-18-1998 / Albany, NY / Recreation and Convocation Center - AUD(M)",AUD,FLAC,
"5-19-1998 / Louisville, KY / The Brewery",AUD,FLAC,
"5-20-1998 / New York, NY /- The Late Show with David Letterman - VHS(2)",TV,MKV,
"5-20-1998 / Noblesville, IN / Deer Creek Amphitheatre",AUD,FLAC,
"5-22-1998 / Ft. Wayne, IN / Allen County Memorial Coliseum",AUD,FLAC,
"5-23-1998 / Tinley Park, IL / Q101 Jamboree - New World Music Theatre",FM,FLAC,
6-20-1998 / United Kingdom / Milton Keynes Bowl (CSC),AUD,FLAC,
6-20-1998 / United Kingdom / Milton Keynes Bowl (Sony),AUD #2 (44.1k),FLAC,
6-20-1998 / United Kingdom / Milton Keynes Bowl (Sony),AUD #2 (48k),FLAC,
"6-24-1998 / Porto, Portugal / Coliseu de Porto",FM,FLAC,
"6-26-1998 / Somerset, England / Glastonbury Festival @ Worthy Farm (tapeworm48)",AUD,FLAC,
"6-27-1998 / St. Gallen, Switzerland / Sitter Valley (St. Gallen Open Air Festival)",SBD #1,FLAC,
"7-1-1998 / Barrie, Ontario / Molson Park",AUD,FLAC,
"7-11-1998 / Vancover, Canada / Thunderbird Stadium - Edgefest '98",PRO #1b,FLAC,
"7-11-1998 / Vancover, Canada / Thunderbird Stadium - Edgefest '98 (bodah)",DVD,DVD,
"8-28-1998 / London, UK / Subterania (brad collins)",AMT #1,DVD,
"8-28-1998 / London, UK / Subterania (gary watson)",AUD #1,FLAC,
"8-29-1998 / Reading, UK / Reading Festival - Richfield Avenue",AUD #1 (44.1k),FLAC,
"8-29-1998 / Reading, UK / Reading Festival - Richfield Avenue",AUD #1 (48k),FLAC,
,,,
[1999],,,
4-10-1999 / Channel V Studios - Intimate & Interactive (di0de),FM,FLAC,
"9-10-1999 / Providence, RI / Riverside Park - Gravity Games - ANA(M) (unk)",AUD #1,FLAC,
"9-15-1999 / Toronto, Ontario / The Edge 102.1 Radio Interview",FM,FLAC,
"9-17-1999 / New York, NY / Bowery Ballroom (tapeworm48)",AUD,FLAC,
"9-28-1999 / London, England / Maida Vale Studios - DAT(M) (gary watson)",FM #1,FLAC,
"10-2-1999 / New South Wales, Australia / Glenworth Valley Weekender (MD master)",AUD,FLAC,
"10-4-1999 / Sydney, Australia / Channel V Studios",TV,FLAC,
"10-29-1999 / Miami, FL / Bayfront Park - Halloweenie Roast",AUD,FLAC,
"11-1-1999 / New York, NY / Howard Stern Show WXRX (stonecutter)",FM,FLAC,
"11-6-1999 / New York, NY / NBC Studios  (CLIP)",TV,TS,
"11-11-1999a / New York, NY / New York, NY / Howerd Stern Show (WXRK) (stonecutter)",FM,FLAC,
"11-11-1999 / Stockholm, Sweden / Arenan (Fryshuet Festival)",SBD #1a,FLAC,
"11-11-1999 / Stockholm, Sweden / Arenan (Fryshuet Festival) (andreas magnusson)",SBD #1b,FLAC,
"11-14-1999 / Cologne, Germany / E-Werk",AUD #1,FLAC,
"11-16-1999 / Paris, France / Palais Omnisports de Paris-Bercy (MD master)",AUD #1,FLAC,
"11-16-1999 / Paris, France / Palais Omnisports de Paris-Bercy (Marantz EM-8)",AUD #2,FLAC,
"11-22-1999 / Hilversum, The Netherlands / 2 Meter Sessions (inc)",FM,FLAC,
"11-23-1999 / Glasgow, UK / Barrowlands",SBD #1 ,FLAC,
"11-23-1999 / Glasgow, UK / Barrowlands",SBD #1b,FLAC,
"11-24-1999 / Manchester, UK / Manchester Academy - MD(M)",AUD #1,FLAC,
"11-25-1999 / London, UK / Brixton Academy - VHS(1)",AMT #1,DVD,
"11-25-1999 / London, UK / Brixton Academy (gary watson)",AUD #3,FLAC,
"12-3-1999 / Philadelphia, PA / First Union Center - WPLY Y100 FEASTival - DAT(M) (B&K 4022) (jlizard)",AUD,FLAC,
"12-3-1999 / Philadelphia, PA / First Union Center - WPLY Y100 FEASTival - DAT(M) (unk)",AUD #2,FLAC,
"12-4-1999 / Rosemont, IL / Allstate Arena - DAT(M) (AT933) (rh) ",AUD,FLAC,
"12-4-1999 / Chicago, IL / Q101's Twisted 6",AMT #1 (44.1k),FLAC,
"12-4-1999 / Chicago, IL / Q101's Twisted 6",AMT #1 (48k),FLAC,
"12-6-1999 / Washington, D.C. / 9:30 Club *HFS - Mas Holiday Nutcracker",FM,FLAC,
"12-8-1999 / Portland, OR / Memorial Coliseum - 94.7 KNRK Snowball - MD(M)",AUD #1,FLAC,
"12-11-1999 / Los Angeles, CA - KROQ Almost Acoustic Christmas",SBD,FLAC,
"12-11-1999 / Los Angeles, CA - KROQ Acoustic Christmas ",FM,FLAC,
"12-11-1999 / Anaheim, CA / KROQ Almost Acoustic Christmas - Arrowhead Pond (fixed)",preFM,FLAC,
,,,
[2000],,,
"1-21-2000 / Auckland, New Zealand / Big Day Out - MD(M) (SP-CMC-6) (gareth gowan)",AUD #1,FLAC,
"1-26-2000 / Sydney, Australia / RAS Showgrounds (Big Day Out)",PRO #1,FLAC,
"1-26-2000 / Sydney, Australia / RAS Showgrounds (Big Day Out)",PRO #1,DVD,
"1-28-2000 / Sydney, Australia / HMV In-store - Pitt Street Mall - VHS(x)",AUD,DVD,
"1-30-2000 / Melbourne, Australia / Royal Melbourne Showgrounds (Big Day Out)",FM,FLAC,
"2-1-2000 / Melbourne, Australia / Chapel Off Chapel Live (Live at the Chapel)",PRO #1,DVD,
"2-1-2000 / Melbourne, Australia / Chapel Off Chapel Live (Live at the Chapel)",PRO #1b,FLAC,
"2-6-2000 / Perth, Australia / Bassendean Oval - Big Day Out Festival",AUD #1,FLAC,
"2-29-2000 / Amsterdam, The Netherlands / Melkweg",PRO #1,FLAC,
"2-29-2000 / Amsterdam, The Netherlands / Melkweg",PRO #1,DVD,
"2-29-2000 / Amsterdam, The Netherlands / Melkweg",PRO #1b,FLAC,
"3-1-2000 / Cologne, Germany / Viva TV Studios - Overdrive 2000",TV,FLAC,
"3-1-2000 / Cologne, Germany / Viva TV Studios - Overdrive 2000",PRO #1b,FLAC,
"3-4-2000 / London, UK / Scala (ECM-717)",AUD,FLAC,
"3-20-2000 / Hollywood, CA / Rockline Studios",FM,FLAC,
"3-21-2000 / San Francisco, CA / The Fillmore West (Schoeps MK4)",AUD #1,FLAC,
"3-23-2000 / Richfield, MN / Best Buy",AUD #1,FLAC,
"3-24-2000 / Minneapolis, MN / Target Center (pjp)",AUD #1,FLAC,
"3-25-2000 / Madison, WI / Dane County Center (Shure SM98)",AUD #1,FLAC,
"3-27-2000 / Carbondale, IL / SIU Arena",AUD #2,FLAC,
"3-28-2000 / Champaign, IL / Assembley Hall (auger_d)",AUD #1,FLAC,
"4-2-2000 / Amherst, MA / Mullins Center - University of MA - DAT(x)",AUD #1,FLAC,
"4-2-2000 / Amherst, MA / Mullins Center - University of MA (brad collins)",AUD #2,FLAC,
"4-5-2000 / University Park, PA / Bryce Jordan Center (SP-BMC-1)",AUD #1,FLAC,
"4-8-2000 / Bloomington, IN / Assembley Hall - MD(M)",AUD #1,FLAC,
"4-11-2000 / Knoxville, TN / The Disc Exchange (bobc)",AUD,FLAC,
"4-13-2000 / Harrisonburg, VA / James Madison University (MZ-R30)",AUD,FLAC,
"4-25-2000 / Omaha, NE / Civic Arena (AT 831s)",AUD #1,FLAC,
"4-26-2000 / Iowa City, IA / Carver-Hawkeye Arena (CSC-V1)",AUD,FLAC,
"4-28-2000 / Columbia, MO / Hearnes Center ",AUD,FLAC,
"5-5-2000 / Pensacola, FL / Civic Center - MD(M)",AUD #1,FLAC,
"5-11-2000 / Wilkes-Barre, PA / First Union Arena at Casey Plaza (D8/CSB mod)",AUD,SHN,
"5-13-2000a / North Attleboro, MA / Newbury Comics (stefano)",AUD,FLAC,
"5-13-2000 / Providence, RI / Civic Center",AUD #1,FLAC,
"5-13-2000 / Providence, RI / Civic Center (brad collins)",AUD #2,FLAC,
"5-16-2000 / New York, NY / The Howard Stern Show",SBD #1a,FLAC,
"5-16-2000 / New York, NY / The Howard Stern Show",SBD #1b,FLAC,
"5-23-2000 / Los Angeles, CA / The Late Show with Craig Kilborn",PRO #1d,FLAC,
"5-27-2000 / George, WA / The Gorge - VHS(x)",AUD,DVD,
"5-28-2000 / Vancouver, BC / General Motors Place (dlr)",AMT #2,DVD,
"6-2-2000 / Phoenix, AZ / Best Buy In-store Performance - VHS(3)",AUD,DVD,
"6-8-2000 / Alpharetta, GA / Best Buy",FM,FLAC,
"6-8-2000 / Alpharetta, GA / Best Buy",AUD #1,FLAC,
"6-14-2000 / West Palm Beach, FL / Mars Music Amphitheater (jon duchin)",AUD #1,FLAC,
"6-15-2000 / Orlando, FL / TD Waterhouse Centre (jim fiesler)",AUD,FLAC,
"7-1-2000 / Moline, IL / Mark of the Quad Cities (auger_d)",AUD,FLAC,
"7-1-2000 / Moline, IL / Mark of the Quad Cities",AUD #2,FLAC,
"7-2-2000 / Milwaukee, WI / Marcus Amphitheatre (auger_d)",AUD,FLAC,
"7-2-2000 / Milwaukee, WI / Marcus Amphitheatre (SS DSM6s)",AUD,FLAC,
"7-8-2000 / Cuyahoga Falls, OH / Blossom Music Center (live2cd)",AUD #1,FLAC,
"7-11-2000 / Philadelphia, PA / 94.4 WYSP Radio Station",preFM,FLAC,
"7-11-2000 / Philadelphia, PA / 94.4 WYSP Radio Station (remaster)",preFM,FLAC,
"7-11-2000 / Philadelphia, PA / 94.4 WYSP Studios (fixed)",preFM,FLAC,
"7-14-2000 / Holmdel, NJ / PNC Bank Arts Center (ukj69)",AUD,FLAC,
"7-16-2000 / Mansfield, MA / Tweeter Center (PC-62)",AUD #1,FLAC,
"7-28-2000 / Niigata, Japan / Fuji Rock Festival",DV8 (PRO #1),DVD,
"8-4-2000 / Vancouver, BC / BC Place Stadium - Summersault Festival (DSM 6S)",AUD #2,FLAC,
"8-6-2000 / Edmonton, Alberta / Commonwealth Stadium - MD(M)",AUD #1,FLAC,
"8-7-2000 / Saskatoon, Saskatchewan / Saskatchewan Place (spfreak77)",AUD #1,FLAC,
"8-9-2000 / Winnipeg, Canada / Winnipeg Stadium (pjp)",AUD #1,FLAC,
"8-11-2000 / Barrie, Ontario / Molson Park - Summersault Festival - DAT(M)",AUD,FLAC,
"8-11-2000 / Barrie, Ontario / Molson Park - Summersault Festival (ms)",AUD,FLAC,
"8-12-2000 / Montreal, Quebec / Parterre, Drapeau Park (Westwood One Broadcast)",SBD #1a,FLAC,
"8-12-2000 / Montreal, Quebec / Parterre, Drapeau Park (Westwood One Broadcast) (simon kilmore)",SBD #1b,FLAC,
"8-12-2000 / Montreal, Quebec / Parterre, Drapeau Park (Westwood One Broadcast) (preFM)",SBD #1c,FLAC,
"8-13-2000 / Ottawa, Ontario / Rideau Carleton Raceway (DSM 6S)",AUD #1,FLAC,
"8-16-2000 / Halifax, NS / Citadell Hill (Micro Cassette)",AUD #1,FLAC,
"8-19-2000 / Weeze, Germany /  Flughafen Niederrhein - Bizarre Festival",TV,DVD,
"8-28-2000 / Temple Newsham, England / Leeds Festival",FM,FLAC,
"8-28-2000 / Temple Newsham, England / Leeds Festival",AUD #1,FLAC,
"8-28-2000 / Temple Newsham, England / Leeds Festival",SBD #1,FLAC,
"8-28-2000 / Temple Newsham, England / Leeds Festival - DAT(M) (gary watson)",SBD #2,FLAC,
"10-21-2000 / Chula Vista, CA / Coors Amphitheatre (brad collins)",AUD #1,FLAC,
"10-22-2000 / Las Vegas, NV / House of Blues at Mandalay Bay Casino",AUD #1,FLAC,
"10-24-2000 / Hollywood, CA / ArtistDirect Studio A",PRO #1,FLAC,
"10-26-2000 / San Francisco, CA / Warfield Theatre (MGD Blind Date Show) (remaster)",AUD #1,FLAC,
"10-28-2000 / Mountain View, CA / Shoreline Amphitheater - Bridge School Benefit (CCM4)",AUD #1,FLAC,
"10-29-2000 / Mountain View, CA / Shoreline Amphitheater - Bridge School Benefit (CCM4)",AUD #1,FLAC,
"10-29-2000 / Mountain View, CA / Shoreline Amphitheater - DAT(M) (CSC) (cps)",AUD,FLAC,
"11-1-2000 / St. Louis, MO / The Pageant (auger_d)",AUD,FLAC,
"11-3-2000 / Atlanta, GA / Tabernacle - VHS(1)",PRO #1,DVD,
"11-3-2000 / Atlanta, GA / Tabernacle (scott honda)",SBD #1,FLAC,
"11-5-2000 / West Palm Beach, FL / Mars Music Amphitheatre (simon kilmore)",AUD #1,FLAC,
"11-6-2000 / Detroit, MI / State Theatre (tapeworm48)",AUD,FLAC,
"11-10-2000 / Syracuse, NY / Landmark Theater - MD(M)",AUD,FLAC,
"11-11-2000 / Lewisburg, PA / Bucknell Fieldhouse",TV,DVD,
"11-13-2000 / New York, NY / Roseland Ballroom",AUD,FLAC,
"11-14-2000 / Washington, D.C. / 9:30 Club - DAT(M)",AUD,FLAC,
"12-5-2000 / Dublin, Ireland / Olympia - DAT(M)",AUD #1,FLAC,
"12-6-2000 / Manchester, UK / Manchester Apollo - MD(M)",AUD #1,FLAC,
"12-11-2000a / London, UK / BBC Radio 1 - Jo Whiley Show (Dave solo) (miki johansen)",SBD #1b,FLAC,
"12-11-2000 / London, England / Brixton Academy - VHS(x)",AUD,DVD,
"12-14-2000 / Scotland, UK / Barrowlands - MD(M)",AUD #1,FLAC,
,,,
[2001],,,
"1-9-2001 / Chicago, IL / Riviera Theatre (CSB) (auger_d)",AUD,FLAC,
"1-9-2001 / Chicago, IL / Riviera Theatre (CSB) (auger_d) (sbe fixed version)",AUD,FLAC,
"1-13-2001 / Rio de Janeiro, Brazil / Rock in Rio 3 ",FM,FLAC,
"1-13-2001 / Rio de Janeiro, Brazil / Rock in Rio 3 - VHS(1)",TV,DVD,
"1-13-2001 / Rio de Janeiro, Brazil / Rock in Rio 3 *Rock In Rio III",Silver CD,FLAC,
"3-15-2001 / Orlando, FL / House of Blues (brad collins)",AUD #1,FLAC,
"3-15-2001 / Orlando, FL / House of Blues ",AUD,FLAC,
"8-17-2001 / Weeze, Germany / Bizarre Festival",TV,FLAC,
"8-17-2001 / Weeze, Germany / Bizarre Festival (HDTV)",PRO,TS,
"12-3-2001 / Stockholm, Sweden - Johanneshovs Isstadion - Hovet",SBD #1a,FLAC,
"12-9-2001 / Los Angeles, CA / Universal Amphitheater / KROQ Almost Acoustic Christmas (pierre leroy)",SBD #1,FLAC,
"12-9-2001 / Los Angeles, CA / Universal Amphitheater / KROQ Almost Acoustic Christmas (pierre leroy)",SBD #1a,FLAC,
"12-9-2001 / Los Angeles, CA / Universal Amphitheater / KROQ Almost Acoustic Christmas (simon kilmore)",SBD #1b,FLAC,
,,,
[2002],,,
"2-7-2002 / Anaheim, CA / House of Blues - DAT(M) (Sanken COS-11sBP)",AUD #1,FLAC,
"2-11-2002 / Salt Lake City, UT / Olympic Medals Plaza",PRO #1,FLAC,
"2-11-2002 / Salt Lake City, UT / Olympic Medals Plaza - VHS(1)",PRO #1b,DVD,
"4-28-2002 / Indio, CA / Coachella Valley Music & Arts Festival - DAT(x)",AUD,FLAC,
"4-28-2002 / Indio, CA / Coachella Festival - D8(M)",AUD,DVD,
"7-13-2002 / Dublin, Ireland / Witnness Festiva - Fairyhouse Racecourse",FM,FLAC,
"8-19-2002 / Koln, Germany / Gebaude 9 - VHS(1)",TV,FLAC,
"8-19-2002 / Koln, Germany / Gebaude 9",PRO #1a,DVD,
"8-24-2002 / Reading, England / Richfield Avenue - Reading Festival (BBC Radio 1)",FM,FLAC,
"8-24-2002 / Reading, England / Richfield Avenue - Reading Festival (gary watson)",AUD,FLAC,
"8-24-2002 / Reading, England / Richfield Avenue - Reading Festival",AUD #2,FLAC,
"8-26-2002 / London, UK / Astoria Theatre - DAT(M) (Marantz EM-8)",AUD #1,FLAC,
"8-30-2002 / London, UK / ULU (Student's Union) Hall (XFM London Broadcast)",FM,FLAC,
"8-31-2002 / London, UK / ITV Studios - For Channel 4 - VHS(1)",PRO #1,DVD,
"9-4-2002 / Paris, France / Le Trabendo - DAT(M) (Sony ECM 717)",AUD #2,FLAC,
"9-12-2002 / Tokyo, Japan / Liquid Room - DAT(x)",AUD #1,FLAC,
"9-16-2002 / Sydney, Australia / ABC Studio 227",FM,FLAC,
"9-19-2002 / Sydney, Australia / Channel V Studios",TV,FLAC,
"10-18-2002 / Minneapolis, MN / First Avenue - Live and Interactive",?,DVD,
"10-19-2002 / Chicago, IL / Metro (Sony D-8) (auger3d)",AUD,FLAC,
"10-22-2002 / Los Angeles, CA / The Wiltern (ed davis)",AUD,FLAC,
"10-26-2002 / Mountain View, CA / Shoreline Amphitheatre (Schoeps)",AUD,FLAC,
"10-29-2002 / Toronto, Ontario / Opera House - DAT(x)",AUD #1,FLAC,
"10-29-2002 / Toronto, Ontario / Opera House (MD Master)",AUD #2,FLAC,
"11-2-2002 / Philadelphia, PA / Electric Factory - MTV $2 Bill Show (WPLY-FM)",FM,FLAC,
"11-2-2002 / Philadelphia, PA / Electric Factory - MTV $2 Bill Show",TV,DVD,
"11-16-2002 / Manchester, UK / MEN Arena - DAT(M) (AT831b)",AUD #1,FLAC,
"11-20-2002 / Cardiff, Wales / International Arena (MZ-R55)",AUD #1,FLAC,
"11-23-2002 / London, UK / Wembley Arena",AUD #1,FLAC,
"11-30-2002 / Schaerbeek, Belgium / Halles de Schaerbeek",AUD,FLAC,
"12-3-2002 / Stockholm, Sweden / Hovet",AUD,DVD,
"12-3-2002 / Stockholm, Sweden / Hovet - MD(M) (Sony ECM-DS70P)",AUD #1,FLAC,
"12-3-2002 / Stockholm, Sweden / Hovet",FM,FLAC,
"12-3-2002 / Stockholm, Sweden / Hovet",FM,FLAC,
"12-4-2002 / Oslo, Norway / Spektrum ",FM,FLAC,
"12-4-2002 / Oslo, Norway / Spektrum",FM,FLAC,
"12-5-2002 / Copenhagen, Denmark / KB Hallen",FM,FLAC,
"12-5-2002 / Copenhagen, Denmark / KB Hallen (thi13en remaster)",FM,FLAC,
"12-5-2002 / Copenhagen, Denmark / KB Hallen - MD(M) (Sharp MD-MT190)",AUD #1,FLAC,
"12-11-2002 / Milan, Italy / Palazzetto dello Sport Pala - DAT(M) (Sony ECM)",AUD #1,FLAC,
"12-13-2002 / Barcelona, Spain / Sala Razzmatazz - MD(M) (Sony ECM 717)",AUD #1,FLAC,
"12-15-2002 / Paris, France / Le Bataclan (yann le drezen)",AUD,FLAC,
"12-31-2002 / New York, NY / MTV Studios Times Square",PRO #1,FLAC,
,,,
[2003],,,
