Foo Fighters,Versions,File Type,
"5-19-1995 / Hollywood, CA / The Palace (Sonic Studios)",AUD #1,FLAC,
"5-19-1995 / Hollywood, CA / The Palace - DAT(x)>ANA(2)",AUD #4,FLAC,
"5-19-1995 / Los Angeles, CA / The Palace - ANA(M) (loughney transfer) ",AUD,FLAC,
"5-19-1995 / Hollywood, CA / The Palace",AMT #1,MKV,
"5-20-1995 / San Diego, CA / Montezuma Hall - San Diego State University (CSB)",AUD #1,FLAC,
"6-3-1995 / London, England / Kings College - KCLSU Studio",AUD #1,FLAC,
"6-3-1995 / London, England / Kings College - KCLSU Studio",AUD #2,FLAC,
"7-22-1995 / Bremerton, WA / Kitsap Sun Pavilion (SS DSM 6)",AUD #1,FLAC,
"7-24-1995 / Portland, OR / La Luna (Audio Technica)",AUD #1,FLAC,
"7-24-1995 / Portland, OR / La Luna (Audio Technica lapel)",AUD,FLAC,
"7-26-1995 / San Francisco, CA / The Fillmore",AUD #1,FLAC,
"7-26-1995 / San Francisco, CA / The Fillmore (unk) (neekrive) ",AUD,FLAC,
"7-26-1995 / San Francisco, CA / The Fillmore (CSB)",AUD #2,FLAC,
"7-27-1995 / Hollywood, CA / The Roxy (DAT-C)",AUD #1,FLAC,
"7-27-1995 / West Hollywood, CA / The Roxy (D3 Cassette Master)",AUD,FLAC,
"7-27-1995 / Hollywood, CA / Roxy (M) (Sony ECM-909A) (marco moir) ",AUD,FLAC,
"7-27-1995 / Los Angeles, CA / The Roxy - DAT(M)>ANA(2) (loughney transfer)",AUD,FLAC,
"7-28-1995 / Los Angeles, CA / American Legion Hall",AUD #1,FLAC,
"7-28-1995 / Hollywood, CA / American Legion Hall (M) (Sony ECM-909A) (marco moir) ",AUD,FLAC,
"7-28-1995 / Los Angeles, CA / American Legion Hall (8mm Master)",AMT #1,DVD,
"7-29-1995 / San Diego, CA / Soma (Master)",AUD,FLAC,
"7-29-1995 / San Diego, CA / Soma (SS DSM6)",AUD #1,FLAC,
"8-2-1995 / Denver, CO / The Ogden Theatre (Sony ECM-155a)",AUD #1,FLAC,
"8-2-1995 / Denver, CO / The Ogden Theatre - DAT(M) (1g) (loughney transfer)",AUD,FLAC,
"8-4-1995 / Minneapolis, MN / First Avenue Club",AUD #1,FLAC,
"8-4-1995 / Minneapolis, MN / First Avenue Club - DAT(M)",AUD #2,FLAC,
"8-4-1995 / Minneapolis, MN / First Avenue - ANA(M) (loughney transfer)",AUD,FLAC,
"8-6-1995 / Detroit, MI / St. Andrew's Hall (Realistic SCP-29)",AUD,FLAC 24,
"8-6-1995 / Detroit, MI / St. Andrew's Hall - AUD(M) (loughney transfer)",AUD,FLAC,
"8-8-1995 / Toronto, Ontario / Phoenix Concert Theatre",AUD,FLAC,
"8-11-1995 / Boston, MA / Avalon *Tough Fighters ",Silver CD,FLAC,
"8-11-1995 / Boston, MA / Avalon - ANA(M) (loughney transfer)",AUD,FLAC,
"8-12-1995 / Providence, RI / Lupo's Heartbreak Hotel - AUD(M) (loughney transfer)",AUD,FLAC,
"8-12-1995 / Providence, RI / Lupo's Heartbreak Hotel *We Ain't No Baby",Silver CD,FLAC,
"8-13-1995 / New York, NY / The Academy (Sony TCM-459V)",AUD #1,FLAC,
"8-13-1995 / New York, NY / The Academy (CSB)",AUD #2,FLAC,
"8-14-1995 / New York, NY / Late Night with David Letterman (loughney transfer)",TV,FLAC,
"8-15-1995 / Philadelphia, PA / Trocadero Theatre (CSB)",AUD #1,FLAC,
"8-15-1995 / Philadelphia, PA / Trocadero Theatre (jeff sebastianelli)",AUD,FLAC,
"8-16-1995 / Washington, D.C. / Capital Ballroom - AUD(M) (loughney transfer)",AUD,FLAC,
"8-17-1995 / Washington, D.C. / The Black Cat",AUD #1,FLAC,
"8-19-1995 / Cincinnati, OH / Bogart's (Sonic Studios)",AUD #1,FLAC,
"8-19-1995 / Cincinatti, OH / Bogart's - DAT(M) (loughney transfer)",AUD,FLAC,
"8-21-1995 / Memphis, TN / New Daisy Theatre",AUD #1,FLAC,
"8-25-1995 / Hasselt, Belgium / Domeign Kiewit - Pukkelpop - DAT(M) (loughney transfer)",AUD,FLAC,
"8-25-1995 / Hasselt, Belgium / Pukkelpop (zimmy21)",AUD,FLAC,
"8-26-1995 / Reading, UK / Richfield Ave (Reading Festival, Sessions Ten) (Sony ECM 909",AUD #1,FLAC,
"8-26-1995 / Reading, UK / Richfield Ave (Reading Festival, Sessions Ten) (Sony)",AUD #2,FLAC,
"8-26-1995 / Reading, UK / Richfield Ave (Reading Festival, Sessions Ten)",SBD #1b,FLAC,
"8-26-1995 / Reading, UK / Richfield Ave (Reading Festival, Sessions Ten)",SBD #1c,FLAC,
"8-26-1995 / Reading, UK / Richfield Ave (Reading Festival, Sessions Ten) (Pre-fm WW1 #96-13)",SBD #2a,FLAC,
"8-26-1995 / Reading, UK / Richfield Ave (Reading Festival, Sessions Ten) (WW1 #08-13)",SBD #2b,FLAC,
"8-26-1995 / Reading, UK / Richfield Ave (Reading Festival, Sessions Ten) (brad collins)",SBD #3,FLAC,
"8-27-1995 / Biddinghuize, The Netherlands / Lowlands Festival - DAT(x)",AUD #1,FLAC,
"8-27-1995 / Biddinghuizen, The Netherlands / Lowlands Festival",FM,FLAC,
"8-27-1995 / Biddinghuizen, The Netherlands / Lowlands Festival",SBD #1a,FLAC,
"8-27-1995 / Biddinghuizen, The Netherlands / Spijk en Bremerberg - Lowlands (loughney transfer)",AUD,FLAC,
"8-27-1995 / Biddinghuizen, The Netherlands / Lowlands Festival (Re-broadcast) (laurens van der weijden)",FM,FLAC,
"8-28-1995 / Paris, France / Canal+ Studios - Nulle Part Ailleurs",TV,FLAC,
"8-29-1995 / Paris, France / Le Bataclan (Aiwa CM-30)",AUD #1,FLAC,
"9-3-1995 / Modena, Italy / Fiesta Del Unita (Modena Open Air Festival)",AUD,FLAC,
"9-7-1995 / Atlanta, GA / Masquerade (Sony WM-D3)",AUD #1,FLAC,
"9-8-1995 / New Orleans, LA / Rendon Inn (w/ soundcheck)",AUD,FLAC,
"9-8-1995 / New Orleans, LA / Rendon Inn - AUD(M) (loughney transfer)",AUD,FLAC,
"9-11-1995 / Austin, TX / Liberty Lunch",AUD #1,FLAC,
"9-12-1995 / Dallas, TX / Deep Ellum Live (DSM6) (chris m.)",AUD #1,FLAC,
"9-15-1995 / Boise, ID / Bogies",AUD,FLAC,
"9-15-1995 / Boise, ID / Bodies - AUD(M) (loughney transfer)",AUD,FLAC,
"10-16-1995 / Stockholm, Sweden / Cirkcus *Weenie Beenie (Moonraker 027)",Silver CD,FLAC,
"10-16-1995 / Stockholm, Sweden / Cirkcus *Frenzy! (Oxygen 036)",Silver CD,FLAC,
"10-16-1995 / Stockholm, Sweden / Circus (P3 in Sweden) (loughney transfer)",FM,FLAC,
"10-18-1995 / Copenhagen, Denmark / Pakhus 11 (Sony ECM-140)",AUD #1,FLAC,
"10-19-1995 / Hamburg, Germany / Gross Freiheit",SBD #1,FLAC,
"10-28-1995 / Fribourg, Switzerland / Fri-Son (nicolas riedo)",SBD #1,FLAC,
"11-1-1995 / Madrid, Spain / Aqualung",FM,FLAC,
"11-5-1995 / Paris, France / Bataclan - MD(M) (loughney transfer)",AUD,FLAC,
"11-6-1995 / Paris, France / Bataclan",AUD #3,FLAC,
"11-6-1995 / Paris, France / Le Bataclan - MD(M) (loughney transfer)",AUD,FLAC,
"11-7-1995 / Brussels, Belgium / Lunatheater",AUD,FLAC,
"11-8-1995 / Amsterdam, The Netherlands / Paradiso (Aiwa CM-30)",AUD #2,FLAC,
"11-8-1995 / Amsterdam, The Netherlands / Paradiso (2 cam mix) (bobfather)",AUD,DVD,
"11-12-1995 / Leeds, England / The Town and Country Club (Panasonic WM-55)",AUD #1,FLAC,
"11-14-1995 / London, England / Brixton Academy (KTS)",Silver CD,FLAC,
"11-14-1995 / London, England / Brixton Academy (8mm)",AMT #1,DVD,
"11-15-1995 / London, England / Brixton Academy (phil g.)",PRO #1a,DVD,
"11-15-1995 / London, England / Brixton Academy - ANA(M) (loughney transfer)",TV,FLAC,
"11-15-1995 / London, England / Brixton Academy - ANA(M) (loughney transfer)",AUD,FLAC,
"11-14-1995 / London, England / Brixton Academy",PRO #1b,DVD,
"11-14-1995 / London, England / Brixton Academy (Sony)",AUD #2,FLAC,
"11-15-1995 / London, England / Brixton Academy *Foo Fighters On The Air (Moonraker)",Silver CD,FLAC,
"11-16-1995 / London, UK / BBC Session (2 Song Session) *Man Who Fell To The Earth",FM,FLAC,
"12-1-1995 / New York, NY / Roseland Ballroom (MD)",AUD #2,FLAC,
"12-2-1995 / New York, NY / Rockefeller Center (SNL) (loughney transfer)",TV,FLAC,
"12-6-1995 / Kawasaki, Japan / Club Citta - DAT(M) (loughney transfer)",AUD,FLAC,
"12-8-1995 / Osaka, Japan / Bayside Jenny (Sonic Studios)",AUD #1,FLAC,
"12-9-1995 / Osaka, Japan / Imperial Hall (Sony ECM-959a)",AUD #1,FLAC,
"12-12-1995 / Tokyo, Japan / The Liquid Room",SBD,FLAC,
"12-17-1995 / Los Angeles, CA / Universal Amphitheater (KROQ Almost Acoustic Christmas)",SBD #1,FLAC,
"12-17-1995 / Los Angeles, CA / Modern Rock Live Studios (1st gen) (loughney transfer)",FM,FLAC,
"12-19-1995 / Osaka, Japan / IMP Hall (smores)",AUD,FLAC,
"12-29-1995 / Melbourne, AUS / Summersault Fest - AUD(M) (loughney transfer)",AUD,FLAC,
"12-29-1995 / Melbourne, Australia / Summersault Festival",AUD,FLAC,
"12-31-1995 / Sydney, Australia / Summersault Festival - Macquarie University (tania taylor)",SBD  ,FLAC,
"12-31-1995 / Sydney, AUS / Macquarie University (loughney transfer)",FM,FLAC,
"12-31-1995 / Sydney, Australia / Summersault Festival - Macquarie University",AMT,DVD,
,,,
[1996],,,
"1-7-1996 / Perth, Australia / Fremantle Oval (Summersault Festival)",AUD #1,FLAC,
"1-16-1996 / Singapore, Malaysia  / WTC Harbour Pavilion",AUD,FLAC,
"1-16-1996 / Singapore, Malaysia  / WTC Harbour Pavilion - ANA(1) (loughney transfer)",AUD,FLAC,
"3-18-1996 / Los Angeles, CA / Rockline Studios (brett robinson)",SBD #1 ,FLAC,
"3-18-1996 / Burbank, CA / Rockline Studios - ANA(1) (loughney transfer)",FM,FLAC,
"3-22-1996 / Denver, CO / Ogden Theatre (tapeworm48)",AUD,FLAC,
"3-28-1996 / Milwaukee, WI / Riverside Theater (SS)",AUD,FLAC,
"3-28-1996 / Milwaukee, WI / Riverside Theatre - DAT(M) (loughney transfer)",AUD,FLAC,
"3-30-1996 / Detroit, MI / State Theatre (Sony WM-D6) (1st gen) (loughney transfer)",AUD,FLAC,
"3-30-1996 / Detroit, MI / State Theater (Realistic SCP-29)",AUD,FLAC 24,
"4-1-1996 / Indianapolis, IN / Egyptian Theatre (CSB)",AUD   ,FLAC,
"4-2-1996 / Cleveland, OH / Agora Theater",AUD,FLAC,
"4-2-1996 / Cleveland, OH / Agora Theatre - DAT(M)>ANA(2) (loughney transfer)",AUD,FLAC,
"4-3-1996 / Toronto, Ontario / Concert Hall *Live From the Pit",SBD #1,FLAC,
"4-3-1996 / Toronto, Ontario / Concert Hall (Sennheiser)",AUD #1,FLAC,
"4-3-1996 / Toronto, Ontario / Concert Hall (Tascam 202MKVII) (loughney transfer)",AUD,FLAC,
"4-5-1996 / Worcester, MA / Worcester Auditorium",AUD #1,FLAC,
"4-5-1996 / Worcester, MA / Worcester Auditorium (Aiwa CM-30)",AUD #2,FLAC,
"4-5-1996 / Worcester, MA / Worcester Auditorium (CSB)",AUD #3,FLAC,
"4-5-1996 / Worcester, MA / Worcester Auditorium - DAT(M) (loughney transfer)",AUD,FLAC,
"4-6-1996 / New York, NY / Roseland Ballroom (CSB)",AUD,FLAC,
"4-6-1996 / New York, NY / Roseland Ballroom",AUD #3,FLAC,
"4-6-1996 / New York, NY / Roseland Ballroom - DAT(M)-2nd gen (loughney transfer)",AUD,FLAC,
"4-7-1996 / Balitimore, MD / UMBC Fieldhouse",AUD #1,FLAC,
"4-9-1996 / Raleigh, NC / The Ritz (scott honda)",AUD #3,FLAC,
"4-9-1996 / Raleigh, NC / The Ritz - DAT (loughney transfer)",AUD,FLAC,
"4-13-1996 / Orlando, FL / The Edge",AUD,FLAC,
"4-13-1996 / Orlando, FL / The Edge - AUD(M) (loughney transfer)",AUD,FLAC,
"4-13-1996 / 1996-04-13 - Orlando, FL / The Edge - ANA(3) (brad collins transfer) (2024 Remaster)",AUD,FLAC,
"4-14-1996 / Ft. Lauderdale, FL / The Edge (Sony 8mm)",AUD,DVD,
"4-16-1996 / New Orleans, LA / State Palace Theater",AUD #1,FLAC,
"4-16-1996 / New Orleans, LA / State Palace Theater - AUD(M) (loughney transfer)",AUD,FLAC,
"4-17-1996 / Austin, TX / Austin Music Hall",SBD #1,FLAC,
"4-18-1996 / San Antonio, TX / Live Oak Civic Center",AUD,FLAC,
"4-25-1996 / New York City, NY / Virgin Megastore",PRO #1b,DVD,
"4-25-1996 / New York City, NY / Virgin Megastore",PRO #1,DVD,
"4-25-1996 / New York City, NY / Virgin Megastore",AUD #1,FLAC,
"4-27-1996 / Salem, OR / Salem Armory",AUD #1,FLAC,
"4-29-1996 / San Francisco, CA / Warfield Theatre (Schoeps MK4s)",AUD,FLAC,
"4-29-1996 / San Francisco, CA / Warfield - AUD(M) (loughney transfer)",AUD,FLAC,
"4-29-1996 / San Francisco, CA / The Warfield (unk) (neekrive)",AUD,FLAC,
"4-30-1996 / San Francisco, CA / The Warfield",SBD,FLAC,
"4-30-1996 / San Francisco, CA / The Warfield - ANA(M)>ANA(3) (loughney transfer)",AUD,FLAC,
"5-2-1996 / Hollywood, CA / Hollywood Palladium (Sony 8mm)",AUD,DVD,
"5-3-1996 / Santa Barbara, CA / Santa Barbara County Bowl (Sonic Studios)",AUD #1,FLAC,
"5-4-1996 / Irvine, CA / Crawford Hall",AUD,FLAC,
"5-4-1996 / Irvine, CA / Crawford Hall - University of CA - AUD(M) (loughney transfer)",AUD,FLAC,
"5-5-1996 / Los Angeles, CA / Whiskey A Go-Go",AUD #1,FLAC,
"5-5-1996 / Los Angeles, CA / Whiskey a Go Go - DAT(M) (loughney transfer)",AUD,FLAC,
"5-15-1996 / New York, NY / Late Night with David Letterman (loughney transfer)",TV,FLAC,
"5-26-1996 / Tinley Park, IL / World Music Theatre (smores)",AUD,FLAC,
"5-26-1996 / Chicago, IL / New World Music Theatre - DAT(M) (loughney transfer)",AUD,FLAC,
"6-1-1996 / Washington, D.C. / Robert F. Kennedy Stadium (HFStival) (WHFS-FM)",FM,FLAC,
"6-1-1996 / Washington, D.C. / Robert F. Kennedy Stadium (HFStival) (brian d.)",AUD,FLAC,
"6-1-1996 / Washinton, D.C. / RFK Stadium - DAT(M) (loughney transfer)",AUD,FLAC,
"6-2-1996 / Washington, D.C. / RFK Stadium - HFStival (120 minutes with Matt Pinfield) (loughney transfer)",TV,FLAC,
"6-15-1996 / San Francisco, CA / Golden Gate Park (Tibetan Freedom Concert) (DVB-S)",PRO #1c,FLAC,
"6-15-1996 / San Francisco, CA / Golden Gate Park - ANA(M) (Sony WM-D3) (loughney transfer)",AUD,FLAC,
"6-15-1996 / San Francisco, CA / Golden Gate Park - Tibetan Freedom Concert (unk) (neekrive) ",AUD,FLAC,
"6-23-1996 / Burbank, CA / Tonight Show with Jay Leno (loughney transfer)",TV,FLAC,
"7-3-1996 / Sopot, Poland / Sopot Rock & Pop Festival",SBD,FLAC,
