Metallica,Versions,File Type,
"1-20-1985 / Buffalo, NY / Salty Dog Skyroom (inc)",AUD,FLAC,
"1-25-1985 / New York, NY / L'Amour (unk) (bubba420 transfer)",AUD,FLAC,
"1-29-1985 / Cincinnati, OH / Annie's Riverside Saloon",AUD,FLAC,
"1-30-1985 / Indianapolis, IN / Sherwood Country Club (unk) (jeff s. transfer)",AUD,FLAC,
"2-1-1985 / Royal Oak, MI / Royal Oak Music Theatre - ANA(M) (Sony D6) (unk)",AUD,FLAC,
"2-5-1985 / Madison, WI / Headliners (unk)",AUD,FLAC,
"2-6-1985 / Minneapolis, MN / The First Avenue (inc)",AUD,FLAC,
"3-3-1985 / Albuquerque, NM / Grand Central Station (Aiwa TPS30) (greg anderson)",AUD,FLAC,
"3-10-1985 / Hollywood, CA / Hollywood Palladium (unk)",AUD,FLAC,
"3-15-1985 / San Francisco, CA / Kabuki Theatre *Demonic Invocation (IRONIC 001)",Silver CD,FLAC,
"3-15-1985 / San Francisco, CA / Kabuki Theatre (Live Metallica Vault)",SBD,FLAC HD,Official Bootleg
"3-17-1985 / Seattle, WA / Moore Theatre - ANA(x) (unk)",AUD,FLAC,
"3-18-1985 / Vancouver, Canada / Vancouver Theatre - ANA(3) (hanzel transfer)",AUD,FLAC,
"8-17-1985 / Donington, UK / Donington Park (Live Metallica Vault)",SBD,FLAC HD,Official Bootleg
"8-24-1985 / Berkeley, CA / Ruthie's Inn (Secret gig billed as The Four Horsemen) - ANA(M) (unk)",AUD,FLAC,
"8-31-1985 / Oakland, CA / Oakland Coliseum Stadium *Day on the Green",AUD,FLAC,
"8-31-1985 / Oakland, CA / Alameda County Coliseum - CASS(x)",AUD,FLAC,
"9-14-1985 / St. Goarshausen, Germany / Freilichtb?hne Loreley - Loreley Metal Hammer Festival - ANA(x)",AUD,FLAC,
"12-31-1985 / San Francisco, CA / Civic Center (unk)",AUD,FLAC,
,,,
[1986],,,
"3-27-1986 / Wichita, KS / Kansas Coliseum - ANA(x) (unk)",AUD,FLAC,
"4-4-1986 / Detroit, MI / Cobo Arena (Sony D6)",AUD,FLAC,
"4-4-1986 / Detroit, MI / Cobo Arena (otto w.) (rzk)",AUD,DVD,
"4-6-1986 / Milwaukee, WI / MECCA - ANA(x) (unk)",AUD,FLAC,
"4-8-1986 / Indianapolis, IN / Market Square Arena",AUD,FLAC,
"4-9-1986 / Cleveland, OH / Richfield Coliseum",AUD,FLAC,
"4-20-1986 / Philadelphia, PA / Spectrum *Pounding Out Aggression (FTPCD002)",Silver CD,FLAC,
"4-21-1986 / East Rutherford, NJ / Brendan Byrne Arena",AUD,FLAC,
"4-28-1986 / Uniondale, NY / Nassau Coliseum *Upshot LP ""The Ultimate Experience""",AUD,FLAC,
"4-28-1986 / Uniondale, NY / Nassau Coliseum (no leaf clover productions)",AUD,DVD,
"5-2-1986 / Johnson City, TN / Freedom Hall (Sony WM-W800)",AUD,FLAC,
"5-12-1986 / El Paso, TX / The Coliseum *Puppets in El Paso",SBD,FLAC,
"5-12-1986 / El Paso, TX /The Coliseum *Metal, Inc. (rockandrollchuck remaster) ",Silver CD,FLAC,
"5-23-1986 / Tulsa, OK / Cain's Ballroom (Live Metallica Vault)",SBD,FLAC HD,Official Bootleg
"5-24-1986 / Cape Girardeau, MO / A.C. Brase Arena",SBD,FLAC,
"5-26-1986 / Des Moines, IA / Iowa State Fair",SBD,FLAC,
"5-28-1986 / Minneapolis, MN / Orpheum Theatre (3rd gen)",AUD,FLAC,
"5-30-1986 / Davenport, IA / Coliseum Ballroom *The Wild Bunch (ROCKS 92073)",Silver CD,FLAC,
"6-17-1986 / San Francisco, CA / Cow Palace",AUD,FLAC,
"6-17-1986 / Daly City, CA / Cow Palace (Source 3 - RushFan)",AUD (96k),FLAC 24,
"7-6-1986 / Roskilde, Denmark / Roskilde Festival",AUD,FLAC,
"7-13-1986 / Hoffman Estates, IL / Poplar Creek Music Theater",AUD,FLAC,
