Metallica,Versions,File Type,
"3-14-2004 / Fresno, CA / Save Mart Center (LiveMetallica)",SBD,FLAC,Official Bootleg
"3-18-2004 / Portland, OR / Rose Garden Arena (LiveMetallica)",SBD,FLAC,Official Bootleg
"3-20-2004 / Boise, ID / BSU Pavilion (LiveMetallica)",SBD,FLAC,Official Bootleg
"3-21-2004 / Spokane, WA / Spokane Arena (LiveMetallica)",SBD,FLAC,Official Bootleg
"3-23-2004 / Edmonton, Alberta / Rexall Place (LiveMetallica)",SBD,FLAC,Official Bootleg
"3-24-2004 / Calgary, Alberta / Pengrowth Saddledome (LiveMetallica)",SBD,FLAC,Official Bootleg
"3-26-2004 / Vancouver, BC / General Motors Place (LiveMetallica)",SBD,FLAC,Official Bootleg
"3-28-2004 / Seattle, WA / Key Arena (LiveMetallica)",SBD,FLAC,Official Bootleg
"3-30-2004 / Casper, WY / Casper Events Center (LiveMetallica)",SBD,FLAC,Official Bootleg
"3-31-2004 / Denver, CO / Pepsi Center (LiveMetallica)",SBD,FLAC,Official Bootleg
"4-20-2004 / Uniondale, NY / Nassau Coliseum - 1st night (LiveMetallica)",SBD,FLAC,Official Bootleg
"4-21-2004 / Uniondale, NY / Nassau Coliseum - MD(M) (Sony ECM-717) (ukj69) ",AUD,FLAC,
"4-21-2004 / Uniondale, NY / Nassau Coliseum - 2nd night (LiveMetallica)",SBD,FLAC,Official Bootleg
"4-23-2004 / Charlotte, NC / Charlotte Coliseum (LiveMetallica)",SBD,FLAC,Official Bootleg
"4-24-2004 / Roanoke, VA / Roanoke Civic Center (LiveMetallica)",SBD,FLAC,Official Bootleg
"4-26-2004 / Norfolk, VA / Scope Arena (LiveMetallica)",SBD,FLAC,Official Bootleg
"4-28-2004 / Louisville, KY / Freedom Hall (LiveMetallica)",SBD,FLAC,Official Bootleg
"4-29-2004 / Grand Rapids, MI / Van Andel Arena (LiveMetallica)",SBD,FLAC,Official Bootleg
"5-1-2004 / Cincinnati, OH / U.S. Bank Arena (LiveMetallica)",SBD,FLAC,Official Bootleg
"5-2-2004 / Madison, WI / Alliant Energy Center (LiveMetallica)",SBD,FLAC,Official Bootleg
"5-6-2004 / Calgary, Alberta / Pengrowth Saddledome (LiveMetallica)",SBD,FLAC,Official Bootleg
"5-7-2004 / Saskatoon, SK / Saskatchewan Place (LiveMetallica)",SBD,FLAC,Official Bootleg
"5-9-2004 / Winnipeg, MB / Winnipeg Arena (LiveMetallica)",SBD,FLAC,Official Bootleg
"5-11-2004 / Kansas City, MO / Kemper Arena (LiveMetallica)",SBD,FLAC,Official Bootleg
"5-12-2004 / Omaha, NE / Qwest Center (LiveMetallica)",SBD,FLAC,Official Bootleg
"5-14-2004 / Oklahoma City, OK / Ford Center (LiveMetallica)",SBD,FLAC,Official Bootleg
"5-15-2004 / Little Rock, AR / Alltel Arena (LiveMetallica)",SBD,FLAC,Official Bootleg
"5-26-2004 / Copenhagen, Denmark / Parken Stadium (Mix #1) (LiveMetallica)",SBD,FLAC,Official Bootleg
"5-26-2004 / Copenhagen, Denmark / Parken Stadium (Mix #2) (LiveMetallica)",SBD,FLAC,Official Bootleg
"5-28-2004 / Helsinki, Finland / Olympiastadion (LiveMetallica)",SBD,FLAC,Official Bootleg
"5-30-2004 / Gothenburg, Sweden / Ullevi Stadium (LiveMetallica)",SBD,FLAC,Official Bootleg
"5-31-2004 / Chorzow, Poland / Stadion ?l?ski (LiveMetallica)",SBD,FLAC,Official Bootleg
"6-2-2004 / Glasgow, Scotland / Glasgow Green - Download Scotland 2004 (LiveMetallica)",SBD,FLAC,Official Bootleg
"6-4-2004 / Lisbon, Portugal / Parque da Bela Vista (LiveMetallica)",SBD,FLAC,Official Bootleg
"6-4-2004 / Lisbon, Portugal / Parque da Bela Vista - TV-CDR-FLAC",TV,FLAC,
"6-6-2004 / Donington, England / Donington Park - Download England 2004 (LiveMetallica)",SBD,FLAC,Official Bootleg
"6-8-2004 / Ludwigshafen, Germany / S?dweststadion (LiveMetallica)",SBD,FLAC,Official Bootleg
"6-10-2004 / Gelsenkirchen, Germany / Arena AufSchalke (LiveMetallica)",SBD,FLAC,Official Bootleg
"6-11-2004 / Wiener Neustadt, Austria / Civitas Nova - Aerodome Festival (LiveMetallica)",SBD,FLAC,Official Bootleg
"6-13-2004 / Munich, Germany / Olympiastadion (LiveMetallica)",SBD,FLAC,Official Bootleg
"6-15-2004 / Belgrade, Serbia / Partizan Stadion (LiveMetallica)",SBD,FLAC,Official Bootleg
"6-16-2004 / Bremen, Germany / Weserstadion (LiveMetallica)",SBD,FLAC,Official Bootleg
"6-18-2004 / Zurich, Switzerland / Letzigrund Stadion (LiveMetallica)",SBD,FLAC,Official Bootleg
"6-19-2004 / Zaragoza, Spain / Estadio de La Romareda (LiveMetallica)",SBD,FLAC,Official Bootleg
"6-21-2004 / Amsterdam, Holland / ArenA (LiveMetallica)",SBD,FLAC,Official Bootleg
"6-23-2004 / Paris, France / Parc des Princes",AUD,FLAC,
"6-25-2004 / Dublin, Ireland / RDS Arena (LiveMetallica)",SBD,FLAC,Official Bootleg
"6-29-2004 / Padova, ITA / Stadio Euganeo (LiveMetallica)",SBD,FLAC,Official Bootleg
"7-1-2004 / Prague, CZE / T-Mobile Park Kolbenova (LiveMetallica)",SBD,FLAC,Official Bootleg
"7-2-2004 / Werchter, BEL / Werchterpark (LiveMetallica)",SBD,FLAC,Official Bootleg
"7-4-2004 / Reykjavik, Iceland / Egilsholl Arena (LiveMetallica)",SBD,FLAC,Official Bootleg
"8-16-2004 / St. Paul, MN / Xcel Energy Center (LiveMetallica)",SBD,FLAC,Official Bootleg
"8-17-2004 / Fargo, ND / Fargodome (LiveMetallica)",SBD,FLAC,Official Bootleg
"8-19-2004 / Indianapolis, IN / Conseco Fieldhouse (LiveMetallica)",SBD,FLAC,Official Bootleg
"8-20-2004 / Milwaukee, WI / Bradley Center (LiveMetallica)",SBD,FLAC,Official Bootleg
"8-22-2004 / Moline, IL / Mark of the Quad Cities (LiveMetallica)",SBD,FLAC,Official Bootleg
"8-24-2004 / Peoria, IL / Peoria Civic Center (LiveMetallica)",SBD,FLAC,Official Bootleg
"8-25-2004 / Fort Wayne, IN / Peoria Civic Center (LiveMetallica)",SBD,FLAC,Official Bootleg
"8-27-2004 / Chicago, IL / Allstate Arena (1st Night) (LiveMetallica)",SBD,FLAC,Official Bootleg
"8-28-2004 / Chicago, IL / Allstate Arena (2nd night) (LiveMetallica)",SBD,FLAC,Official Bootleg
"8-30-2004 / Ames, IA / Hilton Coliseum (LiveMetallica)",SBD,FLAC,Official Bootleg
"9-1-2004 / Wichita, KS / Valley Center (LiveMetallica)",SBD,FLAC,Official Bootleg
"9-3-2004 / Austin, TX / Frank Erwin Center (LiveMetallica)",SBD,FLAC,Official Bootleg
"9-4-2004 / Lubbock, TX / United Spirit Arena (LiveMetallica)",SBD,FLAC,Official Bootleg
"9-21-2004 / Cleveland, OH / Gund Arena (LiveMetallica)",SBD,FLAC,Official Bootleg
"9-22-2004 / Pittsburgh, PA / Mellon Arena (LiveMetallica)",SBD,FLAC,Official Bootleg
"9-24-2004 / Columbus, OH / Value City Arena at the Schottenstein Center (LiveMetallica)",SBD,FLAC,Official Bootleg
"9-27-2004 / Green Bay, WI / Resch Center (LiveMetallica)",SBD,FLAC,Official Bootleg
"10-1-2004 / Auburn Hills, MI / The Palace of Auburn Hills (LiveMetallica)",SBD,FLAC,Official Bootleg
"10-3-2004 / Montreal, QC / Centre Bell (1st night)",AUD,FLAC,
"10-4-2004 / Montreal, QC / Centre Bell (2nd night)",AUD,FLAC,
"10-6-2004 / Toronto, Ontario / Air Canada Centre (LiveMetallica)",SBD,FLAC,Official Bootleg
"10-7-2004 / Ottawa, ON / Corel Centre (LiveMetallica)",SBD,FLAC,Official Bootleg
"10-10-2004 / Buffalo, NY / HSBC Arena",AUD,FLAC,
"10-14-2004 / Quebec City, QC / Colisee Pepsi (1st night) (LiveMetallica)",SBD,FLAC,Official Bootleg
"10-15-2004 / Quebec City, QC / Colisee Pepsi (2nd night) (LiveMetallica)",SBD,FLAC,Official Bootleg
"10-17-2004 / Washington, D.C. / MCI Center (LiveMetallica)",SBD,FLAC,Official Bootleg
"10-19-2004 / Philadelphia, PA / Wachovia Center (1st night) (LiveMetallica)",SBD,FLAC,Official Bootleg
"10-20-2004 / Philadelphia, PA / Wachovia Center (2nd night) (LiveMetallica)",SBD,FLAC,Official Bootleg
"10-22-2004 / East Rutherford, NJ / Continental Airlines Arena (LiveMetallica)",SBD,FLAC,Official Bootleg
"10-22-2004 / E. Rutherford, NJ / Continental Airlines Arena (Sony ECM-717) (ukj69)",AUD,FLAC,
"10-24-2004 / Boston, MA / Fleet Center (1st night)",AUD,FLAC,
"10-25-2004 / Boston, MA / Fleet Center (2nd night)",AUD,FLAC,
"10-25-2004 / Boston, MA / Fleet Center (Source 1) (asyd)",AUD,FLAC,
"10-25-2004 / Boston, MA / Fleet Center (Source 2) (firemt)",AUD,FLAC,
"10-25-2004 / Boston, MA / Fleet Center (Source 5) (Sony ECM-MS907) (kingrue)",AUD,FLAC,
"10-27-2004 / Hamilton, Ontario / Copps Coliseum (LiveMetallica)",SBD,FLAC,Official Bootleg
"10-28-2004 / London, Ontario / John Labatt Centre (LiveMetallica)",SBD,FLAC,Official Bootleg
"11-5-2004 / Tampa, FL / St. Pete Times Forum (LiveMetallica)",SBD,FLAC,Official Bootleg
"11-6-2004 / Sunrise, FL / Office Depot Center (LiveMetallica)",SBD,FLAC,Official Bootleg
"11-8-2004 / Jacksonville, FL / Jacksonville Veterans Memorial Arena",AUD,FLAC,
"11-9-2004 / Pensacola, FL / Pensacola Civic Center (LiveMetallica)",SBD,FLAC,Official Bootleg
"11-11-2004 / Nashville, TN / Gaylord Entertainment Center (LiveMetallica)",SBD,FLAC,Official Bootleg
"11-13-2004 / Duluth, GA / Gwinnett Center (LiveMetallica)",SBD,FLAC,Official Bootleg
"11-14-2004 / New Orleans, LA / New Orleans Arena (LiveMetallica)",SBD,FLAC,Official Bootleg
"11-16-2004 / Houston, TX / Toyota Center (LiveMetallica)",SBD,FLAC,Official Bootleg
"11-17-2004 / Dallas, TX / American Airlines Center (LiveMetallica)",SBD,FLAC,Official Bootleg
"11-20-2004 / San Antonio, TX / SBC Center (LiveMetallica)",SBD,FLAC,Official Bootleg
"11-22-2004 / Salt Lake City, UT / E Center (LiveMetallica)",SBD,FLAC,Official Bootleg
"11-24-2004 / San Diego, CA / Ipayone Center (LiveMetallica)",SBD,FLAC,Official Bootleg
"11-27-2004 / Anaheim, CA / Arrowhead Pond Tuning Room (LiveMetallica)",SBD,FLAC,Official Bootleg
"11-28-2004 / San Jose, CA / HP Pavilion (LiveMetallica)",SBD,FLAC,Official Bootleg
,,,
[2005],,,
"11-13-2005 / San Francisco, CA / SBC Park *Louder Bangs",AUD,FLAC,
"11-15-2005 / San Francisco, CA / SBC Park *Louder Bangs",AUD,FLAC,
,,,
[2006],,,
"1-25-2006 / Park City, UT / Harry O's (LiveMetallica)",SBD,FLAC,Official Bootleg
"3-18-2006 / Centaurion, South Africa / Supersport Park (LiveMetallica)",SBD,FLAC,Official Bootleg
"3-21-2006 / Durban, South Africa / The Coca-Cola Colab Massive Mix 2006 (LiveMetallica)",SBD,FLAC,Official Bootleg
"3-25-2006 / Cape Town, South Africa / The Coca-Cola Colab Massive Mix 2006 (LiveMetallica)",SBD,FLAC,Official Bootleg
"6-3-2006 / Nurburgring, Germany / Rock am Ring (LiveMetallica)",SBD,FLAC,Official Bootleg
"6-4-2006 / Nuremburg, Germany / Rock im Park (LiveMetallica)",SBD,FLAC,Official Bootleg
"6-6-2006 / Berlin, Germany / Waldb?hne (LiveMetallica)",SBD,FLAC,Official Bootleg
"6-8-2006 / Arnhem, Holland / Gelredome (LiveMetallica)",SBD,FLAC,Official Bootleg
"6-10-2006 / Donington, England / Donington Park - Download 2006 (LiveMetallica)",SBD,FLAC,Official Bootleg
"6-11-2006 / Dublin, Ireland / RDS Arena",AUD,FLAC,
"6-13-2006 / Tallin, Estonia / Tallinna Lauluv?ljak (LiveMetallica)",SBD,FLAC,Official Bootleg
"6-15-2006 / Nickelsdorf, Austria / Pannonia Fields II (LiveMetallica)",SBD,FLAC,Official Bootleg
"6-15-2006 / Nickelsdorf, AUT - Pannonia Fields II (Source 2) (metallifreak) - MD(M)",AUD,FLAC,
"6-17-2006 / Imola, Italy / Autodromo Internazionale Enzo e Dino Ferrari - Heineken Jammin' Festival (LiveMetallica)",SBD,FLAC,Official Bootleg
"8-12-2006 / Tokyo, Japan / Chiba Marine Stadium - Summer Sonic Tokyo (LiveMetallica)",SBD,FLAC,Official Bootleg
"8-13-2006 / Osaka, Japan / WTC Open Air Stadium - Summer Sonic Osaka (LiveMetallica)",SBD,FLAC,Official Bootleg
"8-13-2006 / Osaka, Japan / WTC Open Air Stadium *Master Of Sonics (Source 2) (SY-0793)",Silver CD,FLAC,
"8-15-2006 / Seoul, Korea / Olympic Stadium (LiveMetallica)",SBD,FLAC,Official Bootleg
"8-15-2006 / Seoul, Korea / Jamsil Olympic Stadium *Live In Seoul (Source 2) (IFPI L391)",Silver CD,FLAC,
,,,
[2007],,,
"6-28-2007 / Lisbon, Portugal / Parque do Tejo - Super Bock Super Rock 2007 (LiveMetallica)",SBD,FLAC,Official Bootleg
"6-29-2007 / Bilbao, Spain / Kobetamendi - Bilbao BBK Live (LiveMetallica)",SBD,FLAC,Official Bootleg
"7-1-2007 / Werchter, Belgium / Festival Park Werchter - Rock Werchter 2007 (LiveMetallica)",SBD,FLAC,Official Bootleg
"7-3-2007 / Athens, Greece / Terra Vibe - Rockwave Festival (LiveMetallica)",SBD,FLAC,Official Bootleg
"7-5-2007 / Vienna, Austria / Rotundenplatz (LiveMetallica)",SBD,FLAC,Official Bootleg
"7-5-2007 / Vienna, Austria / Rotundenplatz (Source 5) (metallifreak)",AUD,FLAC,
"7-7-2007 / London, England / Wembley Stadium - Live Earth London (LiveMetallica)",SBD,FLAC,Official Bootleg
"7-8-2007 / London, England / Wembley Stadium (LiveMetallica)",SBD,FLAC,Official Bootleg
"7-8-2007 / London, England / Wembley Stadium (Source 2) (metallifreak)",AUD,FLAC,
"7-10-2007 / Oslo, Norway / Valle Hovin (LiveMetallica)",SBD,FLAC,Official Bootleg
"7-10-2007 / Oslo, Norway / Valle Hovin Stadion *Ecstasy Of Gold (Source 2) (SY-0878) ",Silver CD,FLAC,
"7-12-2007 / Stockholm, Sweden / Stockholms Stadion (LiveMetallica)",SBD,FLAC,Official Bootleg
"7-13-2007 / Aarhus, Denmark / Vestereng (inc) (LiveMetallica)",SBD,FLAC,Official Bootleg
"7-13-2007 / Aarhus, Denmark / Vestereng (Source 2) (glenn)",AUD,FLAC,
"7-15-2007 / Helsinki, Finland / Olympiastadion (LiveMetallica)",SBD,FLAC,Official Bootleg
"7-15-2007 / Helsinki, Finland / Helsinki Olympic Stadium (Source 2) (christophfe)",AUD,FLAC,
"7-18-2007 / Moscow, Russia / Luzhniki Stadium (LiveMetallica)",SBD,FLAC,Official Bootleg
"7-18-2007 / Moscow, Russia / Luzhniki Stadium *Sick of the Studio '07 (Source 5) (16144-1-2",Silver CD,FLAC,
"10-27-2007 / Mountain View, CA / Shoreline Amphitheatre - Bridge School Benefit (LiveMetallica)",SBD,FLAC,Official Bootleg
"10-28-2007 / Mountain View, CA / Shoreline Amphitheatre - Bridge School Benefit (LiveMetallica)",SBD,FLAC,Official Bootleg
"10-28-2007 / Mountain View, CA - Shoreline Amphitheatre (Source 1)",SBD,FLAC,
,,,
[2008],,,
"5-14-2008 / Los Angeles, CA / Wiltern Theatre (LiveMetallica)",SBD,FLAC,Official Bootleg
"5-16-2008 / Tuscon, AZ / Pima County Fairgrounds - KMFA Day (LiveMetallica)",SBD,FLAC,Official Bootleg
"5-17-2008 / Irvine, CA / Verizon Wireless Amphitheatre - KROQ Weenie Roast (LiveMetallica)",SBD,FLAC,Official Bootleg
"5-28-2008 / Chorzow, Poland / Stadion Slaski (LiveMetallica)",SBD,FLAC,Official Bootleg
"5-28-2008 / Chorzo?w, Poland / Silesian Stadium (Source 2) (metalandi)",AUD,FLAC,
"5-30-2008 / Landgraaf, Holland / Megaland - Pinkpop Festival",SBD,FLAC,Official Bootleg
"5-31-2008 / Getafe, Spain / Auditorio John Lennon - Electric Weekend (LiveMetallica)",SBD,FLAC,Official Bootleg
"5-31-2008 / Getafe, Spain / Auditorio John Lennon - Electric Weekend (LiveMetallica) (2020 Mix)",SBD,FLAC HD,Official Bootleg
"6-3-2008 / Prague, Czech Republic / Stadion Eden (LiveMetallica)",SBD,FLAC,Official Bootleg
"6-5-2008 / Lisbon, Portugal / Parque da Bela Vista - Rock in Rio Lisboa (LiveMetallica)",SBD,FLAC,Official Bootleg
"6-7-2008 / Nurburg, Germany / Nurburgring - Rock am Ring (LiveMetallica)",SBD,FLAC,Official Bootleg
"6-8-2008 / Nurnberg, Germany / Zeppelinfeld - Rock im Park (LiveMetallica)",SBD,FLAC,Official Bootleg
"6-12-2008 / Nashville, TN / The Basement (Secret Gig) (LiveMetallica)",SBD,FLAC,Official Bootleg
"6-12-2008 / Nashville, TN / Grimey's Record Store *Nashville & Berlin (Source 2) (H&F 40314)",Silver CD,FLAC,
"6-13-2008 / Manchester, TN / Great Stage Park - Bonnaroo (LiveMetallica)",SBD,FLAC,Official Bootleg
"7-16-2008 / Bergen, Norway / Koengen (LiveMetallica)",SBD,FLAC,Official Bootleg
"7-18-2008 / St. Petersburg, Russia / SKK Arena (LiveMetallica)",SBD,FLAC,Official Bootleg
"7-20-2008 / Riga, Latvia / Skonto stadions (LiveMetallica)",SBD,FLAC,Official Bootleg
"7-22-2008 / Bologna, Italy / Arena Paro Nord (LiveMetallica)",SBD,FLAC,Official Bootleg
"7-23-2008 / Bucharest, Romania / Cotroceni Football Stadium (LiveMetallica)",SBD,FLAC,Official Bootleg
"7-25-2008 / Sofia, Bulgaria / Vasil Levski Stadium (LiveMetallica)",SBD,FLAC,Official Bootleg
"7-27-2008 / Istanbul, Turkey / Ali Sami Yen Stadium (LiveMetallica)",SBD,FLAC,Official Bootleg
"8-9-2008 / Dallas, TX / Pizz Hut Park - Ozzfest (LiveMetallica)",SBD,FLAC,Official Bootleg
"8-9-2008 / Frisco, TX / Pizza Hut Park (Dimebag Darrell Tribute) (CA-11) (porcelmc)",AUD,FLAC,
"8-9-2008 / Frisco, TX / Pizza Hut Park (Dimebag Darrell Tribute) (CA-11) (porcelmc) (Source 2)",AUD,FLAC,
"8-14-2008 / Arras, France / Grand' Place (LiveMetallica)",SBD,FLAC,Official Bootleg
"8-15-2008 / Hasselt, Belgium / Domein Kiewit - Pukkelpop 2008 (LiveMetallica)",SBD,FLAC,Official Bootleg
"8-17-2008 / Jonschwil, Switzerland / Degenaupark (LiveMetallica)",SBD,FLAC,Official Bootleg
"8-20-2008 / Dublin, Ireland / Marlay Park (LiveMetallica)",SBD,FLAC,Official Bootleg
"8-20-2008 / Dublin, Ireland / Marlay Park (CA-11) (porcelmc)",AUD,FLAC,
"8-22-2008 / Leeds, England / Bramham Park - Leeds Festival (LiveMetallica)",SBD,FLAC,Official Bootleg
"8-24-2008 / Reading, England / Little John's Farm - Reading Festival (LiveMetallica)",SBD,FLAC,Official Bootleg
"9-12-2004 / Berlin, Germany / 02 World (LiveMetallica)",SBD,FLAC,Official Bootleg
"9-14-2008 / London, England / BBC Radio Theatre (LiveMetallica)",SBD,FLAC,Official Bootleg
"9-14-2008 / London, England / BBC Broadcasting House (Source 2)",FM,FLAC,
"9-14-2008 / London, England / BBC Broadcasting House *BBC Radio Theatre (Source 3) (H&F 40313)",Silver CD,FLAC,
"9-14-2008 / London, England / BBC Broadcasting House - Live At The BBC Theatre (Source 4) (Manga 005)",Silver CD,FLAC,
"9-15-2008 / London, England / 02 Arena (LiveMetallica)",SBD,FLAC,Official Bootleg
"10-21-2008 / Glendale, AZ / Jobing.com Arena (LiveMetallica)",SBD,FLAC,Official Bootleg
"10-23-2008 / Alburquerque, NM / Tingley Coliseum (LiveMetallica)",SBD,FLAC,Official Bootleg
"10-25-2008 / Kansas City, MO / Sprint Center (LiveMetallica)",SBD,FLAC,Official Bootleg
"10-26-2008 / Des Moines, IA / Wells Fargo Arena (LiveMetallica)",SBD,FLAC,Official Bootleg
"11-1-2008 / Portland, OR / Rose Garden Arena (LiveMetallica)",SBD,FLAC,Official Bootleg
"11-3-2008 / Salt Lake City, UT / EnergySolutions Arena (LiveMetallica)",SBD,FLAC,Official Bootleg
"11-4-2008 / Denver, CO / Pepsi Center (LiveMetallica)",SBD,FLAC,Official Bootleg
"11-6-2008 / Moline, IL / iWireless Center (LiveMetallica)",SBD,FLAC,Official Bootleg
"11-8-2008 / Moline, IL / iWireless Center (LiveMetallica)",SBD,FLAC,Official Bootleg
"11-9-2008 / Columbus, OH / Value City Arena at the Schottenstein Center (LiveMetallica)",SBD,FLAC,Official Bootleg
"11-17-2008 / St. Louis, MO / Scottrade Center (LiveMetallica)",SBD,FLAC,Official Bootleg
"11-18-2008 / Tulsa, OK / BOK Center (LiveMetallica)",SBD,FLAC,Official Bootleg
"11-20-2008 / Houston, TX / Toyota Center (LiveMetallica)",SBD,FLAC,Official Bootleg
"11-22-2008 / Little Rock, AR / Alltel Arena (LiveMetallica)",SBD,FLAC,Official Bootleg
"11-23-2008 / New Orleans, LA / New Orleans Arena (LiveMetallica)",SBD,FLAC,Official Bootleg
"12-1-2008 / Seattle, WA / Key Arena (LiveMetallica)",SBD,FLAC,Official Bootleg
"12-2-2008 / Vancouver, BC / General Motors Place (LiveMetallica)",SBD,FLAC,Official Bootleg
"12-4-2008 / Calgary, AB / Pengrowth Saddledome (1st night) (LiveMetallica)",SBD,FLAC,Official Bootleg
"12-5-2008 / Calgary, AB / Pengrowth Saddledome (2nd night) (LiveMetallica)",SBD,FLAC,Official Bootleg
"12-7-2008 / Edmonton, AB / Rexall Place (LiveMetallica)",SBD,FLAC,Official Bootleg
"12-12-2008 / Ontario, Canada / Citizens Business Bank Arena (LiveMetallica)",SBD,FLAC,Official Bootleg
"12-13-2008 / Fresno, CA / Save Mart Center (LiveMetallica)",SBD,FLAC,Official Bootleg
"12-15-2008 / San Diego, CA / Cox Arena (LiveMetallica)",SBD,FLAC,Official Bootleg
"12-17-2008 / Inglewood, CA / The Forum (1st night) (LiveMetallica)",SBD,FLAC,Official Bootleg
"12-18-2008 / Inglewood, CA / The Forum (2nd night) (LiveMetallica)",SBD,FLAC,Official Bootleg
"12-20-2008 / Oakland, CA / Oracle Arena (LiveMetallica)",SBD,FLAC,Official Bootleg
,,,
[2009],,,
"1-12-2009 / Milwaukee, WI / Bradley Center (LiveMetallica)",SBD,FLAC,Official Bootleg
"1-13-2009 / Detroit, MI / Joe Louis Arena (LiveMetallica)",SBD,FLAC,Official Bootleg
"1-15-2009 / Washington, D.C. / Verizon Center (LiveMetallica)",SBD,FLAC,Official Bootleg
"1-17-2009 / Philadelphia, PA / Wachovia Center (LiveMetallica)",SBD,FLAC,Official Bootleg
"1-17-2009 / Philadelphia, PA / Wachovia Center - Live In Philadelphia (Source 2) (MET 109-1-2)",Silver CD,FLAC,
"1-18-2009 / Boston, MA / TD Banknorth Garden (LiveMetallica)",SBD,FLAC,Official Bootleg
"1-18-2009 / Boston, MA / TD Banknorth Garden (Source 2) (farve4)",AUD,FLAC,
"1-26-2009 / Chicago, IL / Allstate Arena (1st night) (LiveMetallica)",SBD,FLAC,Official Bootleg
"1-27-2009 / Chicago, IL / Allstate Arena (2nd night) (LiveMetallica)",SBD,FLAC,Official Bootleg
"1-29-2009 / Uniondale, NY / Nassau Coliseum (LiveMetallica)",SBD,FLAC,Official Bootleg
"1-31-2009 / Newark, NJ / Prudential Center (LiveMetallica)",SBD,FLAC,Official Bootleg
"2-1-2009 / Newark, NJ / Prudential Center (LiveMetallica)",SBD,FLAC,Official Bootleg
"2-1-2009 / Newark, NJ / Prudential Center (Source 2) (tikimaize)",AUD,FLAC,
"2-25-2009 / Nottingham, England / Trent FM Arena (LiveMetallica)",SBD,FLAC,Official Bootleg
"2-26-2009 / Manchester, England / Manchester Evening News Arena (LiveMetallica)",SBD,FLAC,Official Bootleg
"2-28-2009 / Sheffield, England / Sheffield Arena (LiveMetallica)",SBD,FLAC,Official Bootleg
"3-2-2009 / London, England / 02 Arena (LiveMetallica)",SBD,FLAC,Official Bootleg
"3-3-2009 / Newcastle, England / Metro Radio Arena (LiveMetallica)",SBD,FLAC,Official Bootleg
"3-5-2009 / Antwerp, Belgium / Sportspaleis (LiveMetallica)",SBD,FLAC,Official Bootleg
"3-5-2009 / Antwerp, Belgium / Sportpaleis (Source 2) (bitdoursssss)",AUD,FLAC,
"3-7-2009 / Stockholm, Sweden / Globen (LiveMetallica) ",SBD,FLAC,Official Bootleg
"3-20-2009 / Austin, TX / Stubb's Bar-B-Q - SXSW 2009 (LiveMetallica)",SBD,FLAC,Official Bootleg
"3-25-2009 / Birmingham, England / LG Arena (LiveMetallica)",SBD,FLAC,Official Bootleg
"3-26-2009 / Glasgow, Scotland / Scottish Exhibition and Conference Centre (LiveMetallica)",SBD,FLAC,Official Bootleg
"3-26-2009 / Glasgow, Scotland / S.E.C.C. (Source 2) (dropdeadfreds)",AUD,FLAC,
"3-28-2009 / London, England / 02 Arena (LiveMetallica)",SBD,FLAC,Official Bootleg
"3-30-2009 / Rotterdam, Holland / Ahoy (LiveMetallica)",SBD,FLAC,Official Bootleg
"3-30-2009 / Rotterdam, The Netherlands / Ahoy Rotterdam - Dutch Magnetic (Source 2) (TL01-A-B)",Silver CD,FLAC,
"4-1-2009 / Paris, France / Omnisports de Paris-Bercy (1st night) (LiveMetallica)",SBD,FLAC,Official Bootleg
"4-1-2009 / Paris, France / Omnisports de Paris-Bercy (1st night) (SP-CMC-8) (bitdoursssss)",AUD,FLAC,
"4-2-2009 / Paris, France / Omnisports de Paris-Bercy (2nd night) (LiveMetallica)",SBD,FLAC,Official Bootleg
"5-4-2009 / Stockholm, Sweden / Ericsson Globe (LiveMetallica)",SBD,FLAC,Official Bootleg
"5-6-2009 / Munich, Germany / Olympiahalle (LiveMetallica)",SBD,FLAC,Official Bootleg
"5-7-2009 / Leipzig, Germany / Arena Leipzig (LiveMetallica)",SBD,FLAC,Official Bootleg
"5-9-2009 / Stuttgart, Germany / Hanns-Martin-Schleyer-Halle (LiveMetallica)",SBD,FLAC,Official Bootleg
"5-11-2009 / Frankfurt, Germany / Festhalle (LiveMetallica)",SBD,FLAC,Official Bootleg
"5-11-2009 / Frankfurt, Germany / Festhalle (Source 2) (dagobert)",AUD,FLAC,
"5-12-2009 / Hamburg, Germany / Color Line Arena (LiveMetallica)",SBD,FLAC,Official Bootleg
"5-14-2009 / Vienna, Austria / Wiener Stadthalle-Halle D (LiveMetallica)",SBD,FLAC,Official Bootleg
"5-16-2009 / Oberhausen, Germany / Konig-Pilsener Arena (LiveMetallica)",SBD,FLAC,Official Bootleg
"5-17-2009 / Cologne, Germany / Lanxess Arena (LiveMetallica)",SBD,FLAC,Official Bootleg
"6-4-2009 / Mexico City, Mexico  / Foro Sol (LiveMetallica)",SBD,FLAC,Official Bootleg
"6-6-2009 / Mexico City, Mexico  / Foro Sol (LiveMetallica)",SBD,FLAC,Official Bootleg
"6-7-2009 / Mexico City, Mexico  / Foro Sol (LiveMetallica)",SBD,FLAC,Official Bootleg
"6-14-2009 / Helsinki, Finland / Hartwall (1st night) (LiveMetallica)",SBD,FLAC,Official Bootleg
"6-15-2009 / Helsinki, Finland / Hartwall (2nd night) (LiveMetallica)",SBD,FLAC,Official Bootleg
