The Offspring,Versions,File Type
"5-20-2017 / Columbus, OH / MAPFRE Stadium (DPA 4060) (live2cd)",AUD,FLAC
"5-20-2017 / Columbus, OH / MAPFRE Stadium *Rock On the Range (CA-14) (tripkore)",AUD,FLAC
"7-7-2017 / Abbotsford, BC / Abbotsford Centre (CA-11) (leifh)",AUD,FLAC
"9-10-2017 / Maryland Heights, MO / Hollywood Casino Amphitheater (CA-11) (unk)",AUD,FLAC
"9-24-2017 / Rio de Janeiro, Brazil / Parque Ol?mpico",PRO,DVD
"10-31-2017 / Santa Ana, CA / The Observatory (Panasonic Lumix DMC ZS50) (hellrazor)",AUD,DVD
,,
[2018],,
"6-15-2018 / Landgraaf, The Netherlands / Pinkpop Festival (magnix)",PRO,TS
"7-2-2018 / Stockholm, Sweden / Grona Lund Amusement Park (CA-14) (losslessjoel)",AUD,FLAC
"8-11-2018 / Gilford, NH / Bank of New Hampshire Pavilion (Edirol R-09) (ec666)",AUD,FLAC
,,
[2019],,
"4-3-2019 / Sacramento, CA / Ace of Spades (Acoustic) (Tascam DR-05) (thejackal)",AUD,FLAC
"7-19-2019 / Edmonton, Alberta / Northlands Park Parking Lot (Zoom iQ5) (exvee)",AUD,FLAC
"8-23-2019 / Vilar de Mouros, Portugal / Festival Vilar de Mouros (Roland R-05) (circle)",AUD,FLAC
"11-15-2019 / Toronto, Ontario / Meridian Centre (CA-14s) (binko)",AUD,FLAC
,,
[2021],,
"10-9-2021 / Sacramento, CA / Discovery Park - Aftershock Festival (AT853s) (tj)",AUD,FLAC
"11-13-2021 / Daytona Beach, FL / Welcome to Rockville Festival (SP-CMC-8) (porcelmc)  ",AUD,FLAC
,,
[2022],,
"6-3-2022 / Nu?rburg, Germany / Nu?rburgring - Rock am Ring",Webcast,MKV
"6-17-2022 / Clisson, France / Hellfest (sbr1z)",Webcast,MKV
"6-25-2022 / Mu?nster, Germany / Vainstream Rockfest (sbr1z) ",Webcast,MKV
"7-13-2022 / Calgary, AB / Shaw Millennium Park (Core Sound Stealthy Cardioid) (sharon)",AUD,FLAC
"7-30-2022 / Wheatland, CA / Hard Rock Live (Multiple IEMs) (hoserama)",MIX,FLAC
"8-13-2022 / West Vancouver, BC / Ambleside Park (IEM+CA-11) (leifh) ",MIX,FLAC
"9-8-2022 / Rio De Janeiro, BRA / Rock In Rio",PRO,DVD
,,
[2023],,
"5-13-2023 / Wr. Neustadt, Austria / Arena Nova (Edirol R-05) (papy52)",AUD,FLAC
"8-6-2023 / Irvine, CA / FivePoint Amphitheatre (DPA 4081) (faninor)",AUD,FLAC 24
,,
[2024],,
"2-10-2024 / Las Vegas, NV / Fremont Street Experience (AT853) (unk) ",AUD,FLAC
"3-16-2024 / Santiago, Chile / Parque Bicentenario de Cerrillos - Lollapalooza (Sansa Clip+) (zatanax)",FM,FLAC
"3-16-2024 / Santiago, Chile / Parque Bicentenario de Cerrillos - Lollapalooza (fstambuk)",Webcast,MKV
"3-22-2024 / Sao Paulo, Brazil / Lollapalooza (TV Broadcast (1080)",TV,MP4
"5-7-2024 / Birmingham, AL / Avondale Brewing Company (Schoeps MK21) (jesse mc) ",AUD,FLAC 24
"5-26-2024 / Napa Valley, CA / Napa Valley Expo - Bottlerock (SP-CMC-8) (fried_morals) ",AUD,FLAC 24
"5-26-2024 / Napa Valley, CA / Napa Valley Expo (Schoeps MK4s) (tj) ",AUD,FLAC 24
"6-1-2024 / Anaheim, CA / Honda Center (DPA 4081) (faninor)",AUD,FLAC 24
"6-23-2024 / Scheessel, Germany / Hurricane Festival",Webcast,MKV
"6-30-2024 / Clisson, France / Hellfest (barboss)",PRO,DVD
"7-11-2024 / Ottawa, ON / Lebreton Flats (iPhone 11) (palm0014) ",AUD,FLAC 24
"8-18-2024 / Hasselt, Belgium / Domein Kiewit - Pukkelpop (720p) ",Webcast,TS
"8-24-2024 / Parc de Saint-Cloud, France / Rock en Seine (CA-14) (crazytoaster)",AUD,FLAC
,,
[2025],,
"9-19-2025 / Los Angeles, CA / Hollywood Bowl (SP-CMC-4U) (jwthstd)",AUD,FLAC
"9-20-2025 / Las Vegas, NV / T-Mobile Arena - iHeart Radio Festival (HDTV)",PRO,DVD
,,
,,
,,
[MISC],,
The Offspring - Baghdad EP (1991),Vinyl,FLAC
The Offspring - Live Smash (PRINT-010) ,Silver CD,FLAC
The Offspring - 1986-87 Songs (Demo Cassette) (24-96),,FLAC
The Offspring - Meaning Of Job (STTP 063),Silver CD,FLAC
The Offspring - Raw & Down Under In 1995 (Live) {8717662588822} (1995),,FLAC
,,
,,
[OFFICIAL RELEASES],,
1989 The Offspring (86460-2) ,,FLAC
1989 The Offspring (EICP 11) Japan,,FLAC
1992 Ignition (6424-2),,FLAC
1992 Ignition (ESCA 6144) Japan,,FLAC
1994 Smash (86432-2),,FLAC
1994 Smash (ESCA 6075) Japan,,FLAC
1997 Ixnay On The Hombre (6487-2),,FLAC
1997 Ixnay On The Hombre (ESCA 6570) Japan,,FLAC
1997 Club Me EP,,FLAC
1998 Americana (CK 69661) ,,FLAC
1998 Americana (ESCA 7393) Japan,,FLAC
2000 Conspiracy Of One (498481-2) ,,FLAC
2000 Conspiracy Of One (ESCA 8247) Japan,,FLAC
2003 Splinter (512201-2) ,,FLAC
2003 - Splinter (SICP 500) Japan,,FLAC
2005 Greatest Hits (COL 518746 2) [FLAC],,FLAC
"2008 Rise And Fall, Rage And Grace (88697-02908-2)",,FLAC
"2008 - Rise And Fall, Rage And Grace (SICP 2049) Japan",,FLAC
"2008 - Rise And Fall, Rage And Grace (SICP-1578~9) Japan",,FLAC
2010 Happy Hour!,,FLAC
2010 Happy Hour! (SICP 2727) Japan,,FLAC
2012 Days Go By (88697-64763-2),,FLAC
2012 Days Go By (SICP 3500) Japan,,FLAC
2014 Summer Nationals EP,,FLAC
2021 Let The Bad Times Roll (2021) (24/96) ,,FLAC HD
2021 Let The Bad Times Roll (2021) (Japan Edition) ,,FLAC
,,
,,
[SINGLES],,
1994 Come Out And Play,,FLAC
1994 Self Esteem,,FLAC
1995 Gotta Get Away,,FLAC
1997 All I Want {664077 2},,FLAC
1997 All I Want {CSK 9315},,FLAC
1997 Gone Away {6498-2},,FLAC
1997 Gone Away {664338-2},,FLAC
1997 The Meaning of Life {JPN ESCA 6817} ,,FLAC
1998 Pretty Fly (For A White Guy) (Australia),,FLAC
1998 Pretty Fly (For A White Guy) (USA),,FLAC
1999 She's Got Issues {667867 2},,FLAC
1999 She's Got Issues {668377 2},,FLAC
1999 Why Don't You Get A Job {ESCA 8020} Japan,,FLAC
1999 The Kids Aren't Alright,,FLAC
1999 Why Don't You Get A Job,,FLAC
1999 Why Don't You Get A Job {ESCA 8020} Japan,,FLAC
2000 Original Prankster,,FLAC
2000 Original Prankster {ESCA 8241} Japan,,FLAC
2000 Totalimmortal,,FLAC
2001 Defy You,,FLAC
2001 Million Miles Away {6712012},,FLAC
2001 Million Miles Away {6713632},,FLAC
2001 Want You Bad,,FLAC
2001 Want You Bad {ESCA 8280} Japan,,FLAC
2003 Hit That,,FLAC
2004 (Can't Get My) Head Around You {SICP 604} Japan,,FLAC
2004 Can't Get My Head Around You,,FLAC
2005 Can't Repeat,,FLAC
2008 Hammerhead,,FLAC
"2008 You're Gonna Go Far, Kid",,FLAC
2015 Coming For You,,FLAC
