Stone Temple Pilots,Versions,File Type,
"6-4-2008 / Detroit, MI / The Fillmore Detroit (Sony MZ-NH700-SPS1) (vh drummer)",AUD,FLAC,
"6-3-2008 / Detroit, MI / The Fillmore Detroit (DPA 4060) (live2cd) ",AUD,FLAC,
"6-14-2008 / Las Vegas, NV / Pearl - WAV(M) (AKG CK91) (cps)",AUD,FLAC,
"6-24-2008 / Los Angeles, CA / Hollywood Bowl (Sonics) (jb)",AUD,FLAC,
"7-15-2008 / Canandaigua, NY / Canandaigua Music & Arts Center (CSB) (sanpablobay)",AUD,FLAC,
"10-21-2008 / Monterrey, Mexico / Arena Monterrey (SP-CMC-2) (migmanson)",AUD,FLAC,
,,,
[2009],,,
"5-22-2009 / Las Vegas, NV / Access Showroom (Scott Weiland Solo) - WAV(M) (AKG CK63) (unk)",AUD,FLAC,
"7-2-2009 / Las Vegas, NV / The Joint - WAV(M) (AKG CK63) (cps)",AUD,FLAC,
"11-7-2009 / Victoria, BC / Save-On-Foods Memorial Centre (Zoom H2) (planman)",AUD,FLAC,
"11-17-2009 / Toronto, ON / Kool Haus (CSB) (burnboy)",AUD,FLAC 24,
,,,
[2010],,,
"3-21-2010 / London, UK / Maida Vale Studios (Radio 1 FM) (simon kilmore)",SBD #1,FLAC,
"3-24-2010 / Sioux Falls, IA / Tysons Event Center (CSB + Sennheiser Receiver IEM) (alzeppelin)",MIX,FLAC,
"7-30-2010 / Naeba, Japan / Fuji Rock Festival",FM,FLAC,
"8-13-2010 / Minneapolis, MN / Roy Wilkens Auditorium (Nugs.net) ",SBD,FLAC,Official Bootleg
"8-17-2010 / Columbus, OH / Lifestyle Communities Pavilion (DPA 4060) (charles dewey cole)",AUD,FLAC,
"10-8-2010 / Tampa, FL / St. Pete Times Forum (SP-BMC-2) (alex)",AUD,FLAC,
,,,
[2011],,,
"7-23-2011 / London, ON / Harris Park (Nugs.net)",SBD,FLAC,Official Bootleg
"8-3-2011 / Hampton Beach, NH / Ballroom (Nugs.net)",SBD,FLAC,Official Bootleg
,,,
[2012],,,
"9-9-2012 / Winnipeg , Manitoba / Burton Cummings Theatre (CA-14) (unk)",AUD,FLAC,
,,,
[2015],,,
"4-22-2015 / Chicago, IL / House of Blues (with Chester Bennington) (Sony PCM M-10) (auger3d)",AUD,FLAC 24,
,,,
[2018],,,
"3-13-2018 / Sacramento, CA / Ace Of Spades (iPhone 5s) (thejackal)",AUD,FLAC,
"5-2-2018 / Knoxville, TN / The Mill & Wine (DSM-6P) (steve hagar)",AUD,FLAC,
"5-31-2018 / Boulder, CO / Boulder Theater (Nugs.net) ",SBD,FLAC,Official Bootleg
"7-30-2018 / Boston, MA / Blue Hills Bank Pavilion (SP-CMC-8c) (farve4)",AUD ,FLAC,
"12-14-2008 / Norwood, MA / Norwood Space Center (SP-CMC-8c) (farve4)",AUD,FLAC,
,,,
[2019],,,
"6-12-2019 / Glasgow, Scotland / O2 Academy (Olympus WS832) (unk) ",AUD,FLAC,
"6-13-2019 / London, UK / O2 Forum Kentish Town (Nugs.net)",SBD,FLAC,Official Bootleg
"9-22-2019 / Brooklyn, NY / The Amphitheater at Coney Island Boardwalk (Nugs.net) ",SBD,FLAC,Official Bootleg
,,,
[2021],,,
"2021-11-05 / Worcester, MA / The Palladium (SP-CMC-2) (break the law master)",AUD,FLAC,
,,,
[2022],,,
"5-22-2022 / Hampton Beach, NH / Hampton Beach Casino Ballroom (OKMIIr) (massu2)",AUD,FLAC,
,,,
[2023],,,
"4-25-2023 / Santiago, Chile / Teatro Caupolican (CA-14s) (mk360) ",AUD,FLAC 24,
"7-14-2023 / Hammond, IN / Pavilion at Wolf Lake Memorial Park (Zoom iQ7) (josh lichtenfeld) ",AUD,FLAC 24,
"8-3-2023 / Mountain View, CA / Shoreline Amphitheatre (Schoeps MK4) (loughney)",AUD,FLAC,
"8-9-2023 / Irvine, CA / FivePoint Amphitheater (DPA 4081) (faninor)",AUD,FLAC 24,
,,,
[2024],,,
"7-26-2024 / Columbus, OH / Celeste Center (CA-14) (live2cd)",AUD,FLAC,
"9-10-2024 / Cuyahoga Falls, OH / Blossom Music Center (SP-CMC-8) (live2cd)",AUD,FLAC,
,,,
[2025],,,
"12-13-2025 / Asheville, NC / ExploreAsheville.com Arena (Neumann KM184 A NX) (bigt)",AUD,FLAC 24,
