Red Hot Chili Peppers,Versions,File Type,
"6-23-2000 / Seattle, WA / Memorial Stadium *Experience Music Project",AUD #1,FLAC,
"7-1-2000 / Moline, IL / Mark of the Quad Cities (Sony D8) (auger_d)",AUD #2,FLAC,
"7-2-2000 / Milwaukee, WI / Marcus Amphitheater - Summerfest (SS-DSM6s/L) (unk)",AUD #1,FLAC,
"7-2-2000 / Milwaukee, WI / Marcus Amphitheater - Summerfest (Sony D8) (auger_d)",AUD #4,FLAC,
"7-7-2000 / Indianapolis, IN / Deer Creek Amphitheater - DAT(x) (AT853) (unk)",AUD #1,FLAC,
"7-8-2000 / Cuyahoga Falls, OH / Blossom Music Center (CSB) (charles dewey cole)",AUD,FLAC,
"7-8-2000 / Cuyahoga Falls, OH / Blossom Music Center",AUD #1,FLAC,
"7-10-2000 / Bristow, VA / Nissan Pavillion",AUD #1,FLAC,
"7-11-2000 / Camden, NJ / Blockbuster-Sony Music Entertainment Center - MD(M) (unk)",AUD #1,FLAC,
"7-13-2000 / Hartford, CT / The Meadows - MD(x)",AUD #1,FLAC,
"7-16-2000 / Mansfield, MA / Tweeter Center - MD(M) (Sony PC-62) (efreitag)",AUD #1,FLAC,
"7-30-2000 / Saratoga Springs, NY / Saratoga Performing Arts Center (SS DSM6) (dssman)",AUD ,FLAC,
"8-3-2000 / Cincinnati, OH / Riverbend Amphitheatre",AUD #1,FLAC,
"8-12-2000 / Wantaugh, NY / Jones Beach Amphitheatre (SS-DSM6S) (unk)",AUD #1,FLAC,
"8-13-2000 / Wantagh, NY / Jones Beach Tehater - ANA(M) (unk) (ukj69)",AUD #1,FLAC,
"8-15-2000 / Buffalo, NY / Darien Lakes Performing Arts Center",AUD #1,FLAC,
"8-16-2000 / Toronto, Ontario / Molson Amphitheatre (SS DSM6S) (unk)",AUD #1,FLAC,
"8-19-2000 / Montreal, Canada / Molson Center",AUD #1,FLAC,
"8-31-2000 / Hollywood, CA / Whiskey A-GoGo (KROQ's Breakfast with Kevin & Bean Show)",FM,FLAC,
"9-4-2000 / Chula Vista, CA / Coors Amphitheater - MD(x)",AUD #1,FLAC,
"9-7-2000 / New York City, NY / Radio City Music Hall - MTV VMA - TV",PRO #1,MKV,
"9-9-2000 / Mountain View, CA / Shoreline Amphitheatre - DAT(M) (MBHO KA200Ns) (unk)",AUD #2,FLAC,
"9-10-2000 / Marysville, CA / Sacramento Valley Amphitheater - DAT(1) (CSBmod) (unk)",AUD #1,FLAC,
"9-13-2000 / Las Vegas, NV / Thomas & Mack Center",AUD #1,FLAC,
"9-16-2000 / Englewood, CO / Fiddlers Green Amphitheatre",AUD #1,FLAC,
"9-21-2000 / Portland, OR / Memorial Coliseum",AUD #1,FLAC,
"9-22-2000 / Seattle, WA / KeyArena at Seattle Center (AT853) (n/a)",AUD #1,FLAC,
"10-28-2000 / Mountain View, CA / Shoreline Amphitheatre - Bridge School Benefit (Schoeps MK4) (unk)",AUD #2,FLAC,
"10-29-2000 / Mountain View, CA / Shoreline Amphitheatre - Bridge School Benefit (Schoeps MK4) (unk)",AUD #1,FLAC,
"11-5-2000 / Seattle, WA / Key Arena (AT933) (unk)",AUD #2,FLAC,
"11-6-2000 / Seattle, WA / Key Arena (AT933) (unk)",AUD #2,FLAC,
"11-6-2000 / Seattle, WA / Key Arena (Schoeps CCM4) (unk) ",AUD ,FLAC,
,,,
[2001],,,
"1-21-2001 / Rio de Janeiro, Brazil / Rock in Rio",SBD  ,FLAC,
"1-24-2001 / Buenos Aires, Argentina / Velez Sarsfield Stadium",SBD #1,FLAC,
"1-24-2001 / Buenos Aires, Argentina / Estadio Jose Amlfitani - VHS(M)",PRO #1,DVD,
"3-1-2001 / Hollywood, CA / Hollywood Palladium",AUD #1,FLAC,
"3-14-2001 / New York, NY / Irving Plaza (unk) (n/a)",AUD #1,FLAC,
"8-1-2001 / New York, NY / Hammestein Ballroom / MTV 20: Live & Almost Legal - VHS(M)",PRO #1,FLAC,
"8-18-2001 / Stafford, England / Weston Park - V2001 Festival - MD(x)",AUD #1,FLAC,
"8-18-2001 / Stafford, England / Weston Park - V Festival - MD(M) (elliot grieves)",AUD #1,FLAC,
"8-19-2001 / Chelmsford, England / Hylands Park - V2001 Festival - MD(x)",AUD #1,FLAC,
"8-21-2001 / Copenhagen, Denmark / Parken Stadium - MD(x)",AUD #1,FLAC,
"8-23-2001 / Utrecht, The Netherlands / Prins Van Oranjehal (unk) (n/a)",AUD #1,FLAC,
"8-25-2001 / Slane, Ireland / Slane Castle (SP-BMC-1) (unk)",AUD #1,FLAC,
,,,
[2002],,,
"5-16-2002 / Los Angeles, CA / Swing House Studios - Sessions @ AOL",SBD,FLAC,
"6-4-2002 / Paris, France / Olympia - MD(M) (unk)",AUD #1,FLAC,
"6-7-2002 / Hamburg, Germany / Saturn Dachterasse- DAT(M) (ao)",FM,FLAC,
"6-10-2002 / Madrid, Spain / Circulo de Bellas Artes (WEB-FM)",SBD #1,FLAC,
"6-17-2002 / Barcelona, Spain / Pavello Olimpic de Badalona (unk)",AUD #2,FLAC,
"6-19-2002 / Nice, France / Le Palais Nikaia",AUD #1,MP3,
"6-20-2002 / Lyon, France / Halle Tony Garnier (unk)",AUD #1,FLAC,
"6-22-2002 / Neuhausen ob Eck, Germany / Flugplatz - Southside Festival - DAT(M) (Soundman OKM-IIr)",AUD #1,FLAC,
"6-25-2002 / Dublin, Ireland / Lannsdowne Road Football Stadium (unk)",AUD #2,FLAC,
"6-26-2002 / London, UK / London Arena",SBD #1,FLAC,
"6-28-2002 / Roskilde, Denmark / Roskilde Festival",FM,FLAC,
"7-9-2002 / New York, NY / Ellis Island (Private show - K-ROCK)",SBD,SHN,
"7-28-2002 / Niigata, Japan / Naeba Ski Resort - Fuji Rock Festival *Heavy Glow",AUD #1,FLAC,
"8-7-2002 / Toronto, Ontario / The Edge 102.1 Studios - FM>ANA(M)",SBD #1,FLAC,
"9-29-2002 / Mexico City, MX / Foro Sol",AUD #1,WMA,
"10-9-2002 / Santiago, Chile / National Stadium",SBD #1,FLAC,
"10-11-2002 / Rio de Janeiro, Brazil / ATL Hall",AUD #1,MP3,
"10-16-2002 / Buenos Aires, Argentina / Estadio Monumental Antonio Vespucio Liberti - ANA(M) (unk)",SBD #1,FLAC,
"10-16-2002 / Buenos Aires, Argentina / River Plate Stadium - ANA(1) (Version 1)",SBD,FLAC,
"10-16-2002 / Buenos Aires, Argentina / Estadio Monumental Antonio Vespucio Liberti - ANA(M) (marce_otherside transfer)",SBD #1b,FLAC,
"10-26-2002 / Los Angeles, CA / Wiltern Theatre - KROQ Halloween Ball",AUD #1,FLAC,
"11-2-2002 / Chiba, Japan / Makuhari Messe *From the First Row #1",AUD #2,FLAC,
"11-3-2002 / Chiba, Japan / Makuhari Messe *From the First Row #2 (koji o.)",AUD #2,FLAC,
"11-5-2002 / Osaka, Japan / Osaka-Jo Hall *Rebel & Liberator",AUD #1,FLAC,
"11-6-2002 / Osaka, Japan / Osaka-Jo Hall *Win in the Long Run",AUD #1,FLAC,
"11-10-2002 / Saitama, Japan / Saitama Super Arena  - DAT(M) (sylph)",AUD #1,FLAC,
"11-12-2002 / Fukuoka, Japan / Marine Messe *To the Free Field (sylph)",AUD #1,FLAC,
"11-13-2002 / Nagoya, Japan / Nagoya Rainball Hall (unk)",AUD #1,FLAC,
"11-22-2002 / Christchurch, New Zealand / QE2 Stadium",AUD #1,FLAC,
"11-24-2002 / Auckland, New Zealand / Western Springs",AUD #1,FLAC,
"12-3-2002 / Adelaide, Australia / Entertainment Centre",AUD #1,FLAC,
"12-6-2002 / Perth, Australia / Perth Dome - MD(x) (eclect transfer)",AUD,FLAC,
"12-8-2002 / Singapore City, Singapore / Indoor Stadium - DAT(M) (OKMIIr) (unk)",AUD #1,FLAC,
"12-22-2002 / Park City, UT / Mountain Resort - VHS(1) ",PRO #1,DVD,
,,,
[2003],,,
"1-28-2003 / Madrid, Spain / Palacio Vistalegre (Sony ECM-717) (daniel prieto martin)",AUD #1,FLAC,
"1-30-2003 / Milan, Italy / Filaforum di Assago - MD(x) (unk)",AUD #1,FLAC,
"1-31-2003 / Milan, Italy / Filaforum (unk)",AUD #2,FLAC,
"1-31-2003 / Milan, Italy / Filaforum di Assago (Digi-cam) ",AMT #1,DVD,
"2-2-2003 / Rome, Italy / Palaghiaccio Marino (AT853) (alessio)",AUD #1,FLAC,
"2-7-2003 / Dortmund, DE / Westfalenhalle",SBD,FLAC,Official Bootleg
"2-9-2003 / Dreden, Germany / Messe",AUD #1,FLAC,
"2-12-2003 / Paris, France / Palais Omnisport de Paris Bercy (Giant Squid Stereo mics) (pyb)",AUD #2,FLAC,
"2-13-2003 / Paris, France / Palais Omnisport de Paris Bercy (unk)",AUD #2,FLAC,
"2-15-2003 / Berlin, Germany / International Congress Centrum - Echo Awards (sikamikanico83)",PRO #1,FLAC,
"3-11-2003 / Manchester, England / Manchester Evening News Arena (AT831b) (mark jackson)",AUD #1,FLAC,
"3-12-2003 / Manchester, England / Manchester Evening News Arena (AT831b) (mark jackson)",AUD #1,FLAC,
"3-16-2003 / Zurich, Switzerland / Hallenstadion",AUD #2,MP3,
"3-19-2003 / Rotterdam, The Netherlands / Ahoy (CM-DS5) (reno)",AUD #1,FLAC,
"3-20-2003 / Rotterdam, The Netherlands / Ahoy (CM-DS5) (reno)",AUD #1,FLAC,
"3-22-2003 / Hamburg, Germany / Color Line Arena (inc)",AUD #2,WMA,
"3-24-2003 / Helsinki, Finland / Hartwall Arena - MD(M) (Sony ECM-TS125) (jonathan lindvall)",AUD,FLAC,
"4-27-2003 / Indio, CA / Coachella Festival - DAT(M) (Schoeps CCM4s) (unk)",AUD,FLAC,
"5-1-2003 / St. Paul, MN / Xcel Energy Center",AUD #1,FLAC,*Lossy
"5-2-2003 / Madison, WI / Alliant Energy Center (Sony D8) (auger_d)",AUD,FLAC,
"5-12-2003 / Ottawa, Canada / Corel Center - DAT(M) (CSB) (debob)",AUD #1,FLAC,
"5-13-2003 / Toronto, Canada / Air Canada Centre (CSB) (unk)",AUD #1,FLAC,
"5-17-2003 / Albany, NY / Pepsi Arena (Beyer M-160s) (chris nouryan)",AUD #1,FLAC,
"5-19-2003 / East Rutherford, NJ / Continental Airlines Arena (unk) (martin mosteiro)",AUD #1,FLAC,
"5-20-2003 / New York City, NY / Madison Square Garden (unk)",AUD #1,FLAC,
"6-3-2003 / Orlando, FL / TD Waterhouse Centre - MD(M) (Sony MZ-R55) (jason mineer)",AUD #1,FLAC,
"6-5-2003 / Raleigh, NC / Alltel Pavilion at Walnut Creek (unk)",AUD #1,FLAC,
"6-6-2003 / Charlotte, NC / Verizon Wireless Amphitheatre (SPCM) (j.g.)",AUD #1,FLAC,
"6-8-2003 / Atlanta, GA / HiFi Buys Amphitheatre (SP-CMC-4) (john gray)",AUD #1,FLAC,
"6-20-2003 / Denver, CO / Fiddler's Green Amphitheatre (AKG CK-91) (a. nonymous)",AUD,FLAC,
"6-21-2003 / Albuquerque, NM / Journal Pavilion (CSB) (theapehouse)",AUD #1,FLAC,
"8-13-2003 - Stuttgart, Germany / Hanns-Martin-Schleyer-Halle - MD(M) (unk)",AUD #1,FLAC,
"8-13-2003 - Stuttgart, Germany / Hanns-Martin-Schleyer-Halle (Soundman OKM-IIr) (unk)",AUD #2,FLAC,
"8-17-2003 / Chelmsford, England / Hylands Park - V2003 Festival (Webstream)",SBD #2,FLAC,
"8-19-2003 / Berlin, Germany / Parkbuhne Wuhlheide (unk)",AUD #1,FLAC,
"8-21-2003 / Duisburg, Germany / Landschaftspark Nord",AUD #1,FLAC,
"8-23-2003 / County Meath, Ireland / Slane Castle (AT831b) (unk)",AUD #1,FLAC,
"8-24-2003 / Meath, Ireland / Slane Castle",SBD,FLAC,
"8-24-2003 / Meath, Ireland / Slane Castle",,DVD,Official Release
"9-6-2003 / Bristow, VA / Nissan Pavilion - DAT(M) (Shure SM998) (cps)",AUD ,FLAC,
"9-6-2003 / Bristow, VA / Nissan Pavilion (SP-TFB-2) (unk)",AUD #1,FLAC,
"9-7-2003 / Holmdel, NJ / PNC Bank Arts Center - DAT(M) (Beyer M-160s) (unk)",AUD #1,FLAC,
"9-10-2003 / Mansfield, MA / Tweeter Center (AT853) (dave pecoraro)",AUD #1,FLAC,
"9-12-2003 / Camden, NJ / Tweeter Center at the Waterfront - MD(M) (SP-CMC-3) (unk)",AUD #1,FLAC,
"9-13-2003 / Wantaugh, NY / Tommy Hilfiger at Jones Beach Theater",AUD #1,MP3,
"9-19-2003 / Tinley Park, IL / Tweeter Center (Sony D8) (auger_d)",AUD #1,FLAC,
"10-8-2003 / Las Vegas, NV / Mandalay Bay Events Center - ANA(M) (Built-in mics) (milo campo)",AUD #1,FLAC,
"10-11-2003 / Inglewood, CA / Great Western Forum (SP-CMC-10) (unk)",AUD #1,FLAC,
"10-11-2003 / Los Angeles, CA / The Forum (Sony TRV340 & Canan ZR70 Mix) (unk)",AUD,DVD,
"10-14-2003 / Chula Vista, CA / Coors Amphitheatre - MD(M) (Sony ECM-717) (gaston sanchez)",AUD #1,FLAC,
"10-21-2003 / Seattle, WA / Key Arena (unk)",AUD #1,FLAC,
,,,
[2004],,,
"6-5-2004 / Nurburgring, Germany / Rock am Ring - MTV (unk)",PRO #1c,DVD,
"6-6-2004 / Nuremburg, Germany / Zeppelinfeld - Rock im Park Festival - DAT(M) (Sennheiser MKE-2002) (sebastian sobotta)",AUD #1,FLAC,
"6-8-2004 / Milan, Italy / Stadio Meazza (Aiwa HFS150) (unk)",AUD #1,FLAC,
"6-10-2004 / Wiener Neustadt, Austria / Civitas Nova",AUD #1,MP3,
"6-12-2004 / Dublin, Ireland / The Phoenix Park (AT831b) (johnky)",AUD #1,FLAC,
"6-13-2004 / Edinburgh, Scotland / Murrayfield Stadium",AUD #1,FLAC,
"6-15-2004 / Paris, France / Parc De Princes - MD(M) (Sony) (unk)",AUD #1,FLAC,
"6-15-2004 / Paris, France / Parc De Princes ",AMT #1,DVD,
"6-16-2004 / Amsterdam, The Netherlands / Amsterdam Arena - MD(M) (Aiwa CM-DS5) (reno)",AUD #1,FLAC,
"6-18-2004 / Manchester, England / City of Manchester Stadium",AUD #1,MP3,
"6-19-2004 / London, England / Hyde Park (BBC 1 Broadcast)",SBD #1,FLAC,
"6-23-2004 / Cardiff, Wales / Millennium Stadium",SBD,FLAC,Official Bootleg
"6-23-2004 / Cardiff, Wales / Millennium Stadium",AUD #1,MP3,
"6-27-2004 / Santiago de Compostela, Spain / Monte do Gozo",AUD #1,MP3,
"7-24-2004 / Osaka, Japan / Osaka Dome (unk) (koji omichi)",AUD #2,FLAC,
"7-25-2004 / Yokohama, Japan / International Stadium (DTV Broadcast) (jahrastafari)",PRO #1,FLAC,
"10-23-2004 / Mountain View, CA / Shoreline Amphitheatre (Schoeps) (unk)",AUD,FLAC,
"10-24-2004 / Mountain View, CA / Shoreline Amphitheatre (Schoeps) (unk)",AUD,FLAC,
,,,
[2005],,,
"7-2-2005 / Las Vegas, NV / Silver Bowl Sports Complex - DAT(M) (AT853) (rjrumfh)",AUD,FLAC,
"8-20-2005 / Randall's Island, NY / AmsterJam Festival (AT853) (rjrumfh)",AUD #1,FLAC,
"8-21-2005 / Atlantic City, NJ / Event Center at the Borgata Hotel (AT853) (john gray)",AUD #1,FLAC,
"9-10-2005 / Los Angeles, CA / Paramount Studios - MTV ReAct Now Music & Relief (unk)",PRO #1,DVD,
,,,
[2006],,,
"2-11-2006 / Los Angeles, CA / Unknown Venue",AUD #1,MP3,
"4-13-2006 / London, England / BBC Television Centre - Friday Night with Jonathan Ross",PRO #1,DVD,
"4-14-2006 / King's Cross, London / Canvas Club (thir13en remaster)",FM,FLAC,
"4-15-2006 / London, England / BBC Television Centre - Top of the Pops",PRO #1a,DVD,
"4-18-2006 / Bilbao, Spain / Guggenheim Museum (SP-CMC-2A) (franco)",AUD #1,FLAC,
"4-20-2006 / Paris, France / La Cigale",AUD #1,OGG,
"4-20-2006 / Paris, France / La Cigale",PRO #1,DVD,
"4-23-2006 / Copenhagen, Denmark / Den Gra? Hal (mhead)",SBD #1,FLAC,
"4-23-2006 / Copenhagen, Denmark / Den Gra? Hal",PRO #1,DVD,
"4-24-2006 / Hamburg, Germany / Fliegende Bauten",FM,FLAC,
"4-24-2006 / Hamburg, Germany / Fliegende Bauten",SBD #1,FLAC,
"4-26-2006 / Cologne, Germany / TV Total Studios",PRO #1,DVD,
"4-29-2006 / Milan, Italy / Alcatraz (unk) ",PRO #1b,FLAC,
"4-29-2006 / Milan, Italy / Alcatraz (Channel MHD) (theyodaddy)",TV,DVD,
"5-9-2006 / New York, NY / Fuse 7th Avenue Studio",PRO #1,FLAC,
"5-20-2006 / Concord, NC / Lowes Motor Speedway - DAT(M) (AT853) (john gray)",AUD #1,FLAC,
"5-30-2006 / Barcelona, Spain / Palau Sant Jordi",AUD #1,MP3,
"5-31-2006 / Barcelona, Spain / Palau Sant Jordi",AUD #1,MP3,
"6-2-2006 / Madrid, Spain / Palacio de Deportes de la Comunidad de Madrid",AUD #3,MP3,
"6-3-2006 / Lisbon, Portugal / Parque da Bela Vista (Mega FM) (kreative)",SBD #1,FLAC,
"6-6-2006 / Lyon, France / Halle Tony Garnier (SP-SPSB-6) (ceucheumeu)",AUD #1,FLAC,
"6-8-2006 / Paris, France / Bercy (ECM-719) (unk)",AUD #1,FLAC,
"6-9-2006 / Paris, France / Bercy (ECM-719) (unk)",AUD #1,FLAC,
"6-11-2006 / Dortmund, Germany / Westfalenhalle 1",AUD #1,MP3,
"6-15-2006 / Berlin, Germany / Wuhlheide (Philips SBC ME570) (pehjott)",AUD #1,FLAC,
"6-29-2006 / Werchter, Belgium / Festival Park - Rock Werchter ",SBD #1,FLAC,
"7-2-2006 / Coventry, England / Ricoh Arena (Sony ECM-DS70P) (unk)",AUD #1,FLAC,
"7-12-2006 / Manchester, England / Manchester Evening News Arena",SBD #1,MP3,
"7-15-2006 / London, England / Earl's Court Exhibition Centre (CM-DS5) (reno)",AUD #1,FLAC,
"7-17-2006 / London, UK / Earls Court Arena *3rd Red Hot Night in London (SNS-MR-004) (ECM RP-VC201) (snsik)",AUD #1,FLAC,
"7-28-2006 / Tokyo, Japan / TV Asahi Studios *Music Station (sika)",PRO #1,FLAC,
"7-29-2006 / Niigata, Japan / Naeba Ski Resort - Fuji Rock Festival",SBD #1,FLAC,
"7-29-2006 / Niigata, Japan / Naeba Ski Resort - Fuji Rock Festival (jasonrhl dvd audio rip)",PRO #1,FLAC,
"8-6-2006 / Chicago, IL / Grant Park (Lollapalooza) - DAT(M) (unk)",AUD #1,FLAC,
"8-27-2006 / Fresno, CA / Selland Arena (Sony PCM M1) (SS-DSM6) (unk)",AUD #1,FLAC,
"9-16-2006 / Calgary, AB / Pengrowth Saddledome",SBD,FLAC,Official Bootleg
"9-17-2006 / Edmonton, Alberta / Rexall Place (SP-CMC-2) (sean gursky)",AUD,FLAC,
"9-23-2006 / Baltimore, MD / Pimlico Racetrack - Virgin Festival (AKG CK91) (rjrumfh)",AUD #1,FLAC,
"9-25-2006 / Toronto, Ontario / Air Canada Centre (SP-CMC-8) (dave caley)",AUD #1,FLAC,
"9-28-2006 / Montreal, Canada / Centre Bell - WAV(M) (AT853RX) (trevor astrope)",AUD #1,FLAC,
"10-2-2006 / Boston, MA / TD Banknorth Garden (AT853h) (davepeck)",AUD,FLAC,
"10-17-2006 / East Rutherford, NJ / Continental Airlines Arena (AT853h) (davepeck)",AUD #1,FLAC,
"10-18-2006 / East Rutherford, NJ / Continental Airlines Arena",AUD #1,FLAC,
"10-20-2006 / Boston, MA / TD Banknorth Garden (AT853h) (davepeck)",AUD #1,FLAC,
"10-21-2006 / Albany, NY / Pepsi Arena (AT853h) (davepeck)",AUD #1,FLAC,
"10-26-2006 / Atlanta, GA / Gwinnet Arena (SP-BMC mics) (garret)",AUD #1,FLAC,
"10-28-2006 / New Orleans, LA / City Park - Voodoo Music Experience (DPA 4061s) (adam)",AUD,FLAC,
"10-30-2006 / Columbus, OH / Value City Arena at Jerome Schottenstein Center (SP-CMC-19) (unk)",AUD #1,FLAC,
"10-31-2006 / Cleveland, OH / Quicken Loans Arena (Cardioid mics) (peter roche)",AUD #1,FLAC,
"10-31-2006 / Cleveland, OH / Quicken Loans Arena (peter roche)",AMT #1,DVD,
"11-5-2006 / St. Paul, MN / Xcel Energy Center (CSB) (unk)",AUD #1,FLAC,
"11-21-2006 / London, England / BBC TV Centre - Later with Jools Holland",PRO #1,TS,
"11-22-2006 / Camden, England / Roundhouse",SBD #1,MP3,
"11-26-2006 / Frankfurt, Germany / Festhalle",AUD #1,MP3,
"11-27-2006 / Stuttgart, Germany / Hanns-Martin-Schleyer Halle (MBHO MBP 603A) (s.b.)",AUD #1,FLAC,
"11-29-2006 / Milan, Italy / Fila Forum (Hypercardioid mics) (franco)",AUD #1,FLAC,
"11-30-2006 / Milan, Italy / Fila Forum (SP-CMC-2A) (franco)",AUD #1,FLAC,
"12-7-2006 / Vienna, Austria / Stadhalle (MM-HLSC-2) (unk)",AUD #1,FLAC,
"12-7-2006 / Vienna, Austria / Stadhalle (OKM II) (henrik)",AUD #2,FLAC,
"12-9-2006 / Copenhagen, Denmark / Forum (unk)",AUD #1,FLAC,
"12-9-2006 / Copenhagen, Denmark / Forum (Core Sound mics) (jtl)",AUD,FLAC,
"12-12-2006 / Stockholm, Sweden / Globe Arena (unk) (clonefunk)",AUD #1,FLAC,
,,,
[2007],,,
"1-17-2007 / Nashville, TN / Gaylord Arena (SP-BMC-2) (matthew callis)",AUD #1,FLAC 24,
"1-20-2007 / Cincinnati, OH / U.S. Bank Arena",AUD #1,MP3,
"1-23-2007 / Charlotte, NC / Bobcats Arena (unk) (rjrumfh)",AUD #1,FLAC,
"1-30-2007 / Orlando, FL / Amway Arena",AUD #1,MP3,
"2-11-2007 / Los Angeles, CA / Staples Center (49th Annual Grammys) (sikamikanico)",TV,FLAC,
"2-27-2007 / Rosemont, IL / Allstate Arena (SP-CMC-8s) (sika)",AUD #1,FLAC,
"2-28-2007 / Milwaukee, WI / Bradley Center (CSB) (unk)",AUD #1,FLAC,
"3-3-2007 / Champaign, IL / Assembley Hall ",AUD #1,FLAC,
"3-6-2007 / San Antonio, TX / AT&T Center (Omni's) (dcgarcia86)",AUD #1,FLAC,
"3-10-2007 / Mexico City, MX / Foro Sol",AUD #1,FLAC,
"4-10-2007 / Melbourne, Australia / Sidney Myer Music Bowl - WAV(M) (Built-ins) (luke mullens)",AUD #1,FLAC,
"4-11-2007 / Melbourne, Australia / Sidney Myer Music Bowl",AUD #1,FLAC,
"4-14-2007 / Brisbane, Australia / Brisbane Entertainment Center (Sony ECM-MS907) (andrew plowright)",AUD #1,FLAC,
"4-14-2007 / Brisbane, Australia / Brisbane Entertainment Centere (Sony ECM-MS907) (andrew plowright)",AUD #2,FLAC,
"4-16-2007 / Sydney, Australia / Acer Arena (STC-11) (adam)",AUD,FLAC,
"4-17-2007 / Sydney, Australia / Acer Arena",AUD #1,FLAC,
"4-19-2007 / Sydney, Australia / Acer Arena",AUD #1,FLAC,
"4-22-2007 / Auckland, New Zealand / Vector Arena (unk) (fenderboy)",AUD #1,MP3,
"4-28-2007 / Indio, CA / Empire Polo Fields - Coachella Festival",AUD #1,FLAC,
"6-5-2007 / Tokyo, Japan / Tokyo Dome (unk + Pack the Stadium CD)",MTX #1,FLAC,
"6-6-2007 / Tokyo, Japan / Tokyo Dome *Pack the Stadium",Silver CD,FLAC,
"6-8-2007 / Osaka, Japan / Kyosera Dome",AUD #1,FLAC,
"6-24-2007 / Nijmegen, The Netherlands / Goffert Park (Sony ECM-719) (a_doubt)",AUD #2,FLAC,
"6-26-2007 / Indjija, Serbia / Tuborg Green Fest (unk) (franco)",SBD #1,FLAC,
"6-28-2007 / Udine, Italy / Friuli Stadium",AUD #1,FLAC,
"6-29-2007 / Munich, Germany / Olympic Stadium",AUD #1,FLAC,
"7-1-2007 / Hamburg, Germany / AOL Arena",AUD #1,FLAC,
"7-3-2007 / Chorzow, Poland / Silesian Stadium",PRO,DVD,
"7-3-2007 / Chorzow, Poland / Silesian Stadium (Digital Betacam tapes) (hennessy williams)",AUD #1,FLAC,
"7-3-2007 / Chorzow, Poland / Silesian Stadium (Panasonic MCE-2000) (chester)",AUD #2,FLAC,
"7-4-2007 / Dresden, Germany / Festwiese Ostragehege (Sony 510h mic) (rybska)",AUD #1,FLAC,
"7-4-2007 / Dresden, Germany / Festwiese Ostragehege (unk) (a_doubt)",AUD #2,FLAC,
"7-6-2007 / Paris, France / Parc des Princes (SP-CMC-2A) (franco)",AUD #2,FLAC,
"7-7-2007 / Roskilde, Denmark / Roskilde Festival - Orange Stage (CSC) (jtl)",AUD #1,FLAC,
"7-9-2007 / County Kildare, IRE / Oxygen Festival (steven bladt)",FM,FLAC,
"8-23-2007 / Glasgow, Scotland / Hampden Park (Sony ECM-T6) (brian seymour)",AUD #1,FLAC,
"8-25-2007 / Reading, England / Reading Festival (BBC 3)",PRO #1a,MP4,
,,,
[2008],,,
"6-6-2008 / Chicago, IL / Lollapalooza (unk)",AUD,FLAC,
,,,
[2011],,,
8-9-2011 / Hong Kong / AsiaWorld Arena (Tascam DR-08) (unk),AUD #1,FLAC,
"8-13-2011 / Osaka, Japan / Maishima Arena (Summer Sonic Festival) (SY-1105)",AUD #1,FLAC,
"8-14-2011 / Chiba, Japan / Chiba Marine Stadium *Without You (XAVEL 121a-121b)",AUD #1,FLAC,
"8-22-2011 / West Hollywood, CA / The Roxy Theatre (Fuse)",PRO #1a,FLAC,
"8-22-2011 / West Hollywood, CA / The Roxy Theatre (Fuse)",PRO #1b,TS,
"8-30-2011 / Cologne, Germany / E-Werk (radioeins)",FM,FLAC,
"9-2-2011 / London, England / Camden KOKO (BBC Radio 1)",FM,FLAC,
"9-11-2011 / Bogota, Columbia / Parque Simun Bolivar (unk)",AUD #1,MP3,
"9-14-2011 / Lima, Peru / Estadio Nacional del Per (unk)",AUD #1,MP3,
"9-16-2011 / Santiago, Chile / Estadio Monumentalr (unk)",AUD #1,MP3,
"9-18-2011 / Buenos Aires, Argentina / River Plate Stadium - Pepsi Music Festival (Rock&Pop 95.9)",FM,FLAC,
"9-18-2011 / Buenos Aires, Argentina / River Plate Stadium - Pepsi Music Festival",SBD #1,MP3,
"9-18-2011 / Buenos Aires, Argentina / River Plate Stadium - Pepsi Music Festival",SBD #2,FLAC,
"9-24-2011 / Rio de Janeiro, Brazil / Rock In Rio - Live at World Stage",SBD,FLAC,
"10-7-2011 / Cologne, Germany / Lanxess Arena - WAV(M) (Zoom Q3HD) (jeffrey kramer)",AUD #1,FLAC,
"10-11-2011 / Stockholm, Sweden / Ericsson Globe - WAV(M) (Zoom H4n) (sammun)",AUD #1,FLAC,
"10-12-2011 / Stockholm, Sweden / Ericsson Globe - WAV(M) (Zoom H4n) (sammun)",AUD #1,FLAC,
"10-16-2011 / Rotterdam, The Netherlands / Ahoy (CM-DS5) (reno)",AUD #2,FLAC,
"10-18-2011 / Paris, France / Omnisport Bercy (SP-CMC-8) (inconnu)",AUD #2,FLAC,
"10-21-2011 / Frankfurt, Germany / Festhalle (Zoom Q3HD) (funkymonk)",AUD #1,FLAC,
"11-4-2011 / Dublin, Ireland / The 02 (CA-14s) (celtic)",AUD #1,FLAC,
"11-6-2011 / Belfast, Ireland / Ulster Hall ",TV,MKV,
"11-7-2011 / London, UK / O2 Arena ",SBD,FLAC,Official Bootleg
"11-9-2011 / London, UK / O2 Arena ",SBD,FLAC,Official Bootleg
"11-10-2011 / London, UK / O2 Arena",SBD,FLAC,Official Bootleg
"11-12-2011 / Glasgow, UK / SECC",SBD,FLAC,Official Bootleg
