Miles Davis,Versions,File Type
"5-6-1963 / St. Louis, MO / Jazz Villa",,SHN
"7-25-1963 / Paris, France / Europe 1 Radio",FM,FLAC
"7-26-1963 / Antibes, Switzerland / La Pinede",FM,FLAC
"7-26-1963 / Antibes, Switzerland / La Pinede",,FLAC
"7-26-1963 / Antibes, Switzerland / La Pinede",,FLAC
"7-28-1963 / Juan-les-pins, France / La Pinede",FM,SHN
,,
[1964],,
"7-12-1964 / Tokyo, Japan / Hibaya Tagai Ongaku-do Hall",SBD,FLAC
"7-15-1964 / Kyoto, Japan / Maruyama Ongaku-do Hall",AUD,FLAC
"7-15-1964 / Kyoto, Japan / Maruyama Ongaku-do Hall",,FLAC
"7-15-1964 / Kyoto, Japan / Maruyama Ongaku-do Hall",,FLAC
"10-1-1964 / Paris, France / Salle Pleyel",FM,FLAC
"10-1-1964 / Paris, France / Salle Pleyel",,FLAC
"10-3-1964 / Stockholm, Sweden / Johanneshovs Isstadion",FM,FLAC
"10-3-1964 / Stockholm, Sweden / Johanneshovs Isstadion",,FLAC
"10-3-1964 / Stockholm, Sweden / Johanneshovs Isstadion",,FLAC
"10-4-1964 / Copenhagen, Denmark / KB Hallen",FM,FLAC
"10-6-1964 / Helsinki, Finland / Messuhalli",FM,FLAC
"10-8-1964 / Sindelfingen, Germany / Stadthalle",FM,FLAC
"10-8-1964 / Sindelfingen, Germany / Stadthalle",,FLAC
"10-8-1964 / Sindelfingen, Germany / Stadthalle",,FLAC
"10-11-1964 / Milan, Italy / Teatro dell' Arte",TV,FLAC
,,
[1966],,
"5-21-1966 / Portland, OR / Oriental Theatre",AUD,FLAC
"5-21-1966 / Portland, OR / Oriental Theatre",,FLAC
"5-21-1966 /  Portland, OR / Oriental Theatre (Remaster)",FM,FLAC
"7-4-1966 / Newport, RI / Festival Field - Voice of America Broadcast",FM,FLAC
"7-4-1966 / Newport, RI / Festival Field - Voice of America Broadcast",,FLAC
,,
[1967],,
"4-7-1967 / Berkeley, CA / Harmon Gymnasium - University of CA / KALX Radio",FM,FLAC
"4-7-1967 / Berkeley, CA / Harmon Gymnasium - University of CA / KALX Radio",,FLAC
"7-2-1967 / Newport, RI / Festival Field",FM,FLAC
"7-2-1967 / Newport, RI / Festival Field",,FLAC
"10-28-1967 / Antwerp, Belgium / Konigin Elisabethsaal",SBD,FLAC
"10-28-1967 / Antwerp, Belgium / Konigin Elisabethsaal",FM,FLAC
"10-30-1967 / Rotterdam, The Netherlands / De Doelen",FM,FLAC
"10-31-1967 / Stockholm, Sweden / Konserthuset",TV,FLAC
"10-31-1967 / Stockholm, Sweden / Konserthuset",,FLAC
"11-1-1967 / Helsinki, Finland / Kulttuuritalo",FM,FLAC
"11-2-1967 / Copenhagen, Denmark / Tivoli Konsertsal",FM,FLAC
"11-4-1967 / Berlin, Germany / Philharmonie",FM,FLAC
"11-6-1967 / Salle Pleyel, Paris, ORTF Radio Broadcast",FM,FLAC
