Guster,Versions,File Type
"4-30-1998 / Boston, MA / Boston University - Commonwealth Armory - ANA(x)",SBD,FLAC 24
"5-1-1998 / Washington, DC / The Bayou",SBD,FLAC 24
"5-3-1998 / Princeton, NJ / Quadrangle Club (allan chen conversion)",SBD,SHN
"6-17-1998 / Augusta, GA / Red Lion Pub ",SBD,FLAC 24
"6-27-1998 / Greenwich, CT / Roger Sherman Baldwin Park (CSB) (jeffry houser)",AUD,FLAC
"7-8-1998 / Boston, MA / WBCN Studios",FM,FLAC
"7-8-1998 / Boston, MA / WBCN-FM/WFNX-FM Studios) - ANA(1) (michelle poirier) ",FM,FLAC 24
"7-9-1998 / Wantaugh, NY / Jones Beach (Gefell 200) (freddie g)",AUD,FLAC
"7-18-1998 / Raleigh, NC / Walnut Creek Amphitheater (will foy)",SBD,FLAC
"7-19-1998 / Charlotte, NC / Blockbuster Pavilion (will foy)",SBD,SHN
"8-9-1998 / Summt, NJ / Rob Fleissner's House (allan chen conversion)",SBD,SHN
"8-17-1998 / Portland, ME / Stone Coast Brewing Company - ANA(x)",SBD,FLAC 24
"8-20-1998 / New York, NY / Irving Plaza (CM300s) (dave mallick)",AUD,SHN
"8-21-1998 / New York, NY / Irving Plaza (CM300s) (brian van0rnum)",AUD,SHN
"9-5-1998 / Portland, OR / Portland Meadows - H.O.R.D.E. Festival (unk)",AUD,FLAC
"9-23-1998 / Providence, RI / Lupo's Heartbreak Hotel (dave mallick)",SBD,SHN
"9-24-1998 / Winooski, VT / Higher Ground (unk)",AUD,FLAC
"9-25-1998 / Chestnut Hill, MA / Boston College - Eagle's Nest - ANA(x) ",SBD,FLAC 24
"9-26-1998 / Lewiston, ME / Gray Cage - Bates College (dave mallick)",SBD,SHN
"9-27-1998 / Durham, NH / Lundholm Gymnasium - University of NH (dave mallick)",SBD,SHN
"10-1-1998 / Washington, D.C. / 9:30 Club (Gefell SMS2000) (bill lakenan)",AUD,SHN
"10-2-1998 / Philadelphia, PA / Theater of the Living Arts (Gefell SMS2000) (bill lakenan)",AUD,SHN
"10-3-1998 / Cleveland, OH / The Odeon",SBD,SHN
"10-9-1998 / Chicago, IL / House of Blues (dave mallick conversion)",SBD,FLAC
"10-14-1998 / Atlanta, GA / 99x - APC Studios",FM,FLAC
"10-28-1998 / San Francisco, CA / The Fillmore (Sound Pro Binaurals) (allan chen)",AUD,SHN
"11-12-1998 / Winston-Salem, NC / Ziggy's (will foy)",SBD,SHN
"11-27-1998 / Morristown, NJ / Morristown Theater (allan chen conversion)",SBD,SHN
"11-28-1998 / Hartford, CT / Webster Theater (mike corcoran)",SBD,
"12-5-1998 / Middlebury, VT / Ross Lounge - Middlebury College (dave mallick conversion)",SBD,FLAC
,,
[1999],,
"6-24-1999 / Buffalo, NY / Lafayette Square (unk)",SBD,FLAC
"6-27-1999 / Guelph, ON / Guelph Lake Conservation (Sony WM-GX53) (greg valiquette)",AUD,FLAC
"7-13-1999 / Toronto, ON / Horseshoe Tavern (Sony WM-GX53) (greg valiquette)",AUD,FLAC
"7-17-1999 / Towson, MD / Recher Theatre (SBD>D8)",SBD,FLAC
"7-21-1999 / Boston, MA / Bill's Bar (SBD>DA-P1) (brandon smith)",SBD,FLAC
"7-22-1999 / New York, NY / Wetlands Preserve (unk)",AUD,FLAC
"7-29-1999 / Boston, MA / Hatch Shell - ANA(1) (reiko takemasa)",SBD,FLAC
"7-29-1999 / Boston, MA / MDC Hatch Memorial Shell (dave mallick)",SBD,FLAC
"8-25-1999 / New York, NY / Bowery Ballroom (unk)",AUD,FLAC
"8-26-1999 / New York, NY / Bowery Ballroom (unk)",SBD,FLAC
"8-27-1999 / Hoboken, NJ / Maxwell's (unk)",AUD,FLAC
"9-10-1999 / Northampton, MA / Pearl Street Nightclub (Shure SKM32/CGs) (brandon smith)",AUD,FLAC
"9-10-1999 / Northampton, MA / Pearl Street Nightclub (Sony PC-62) (woody monaco master)",AUD,FLAC
"9-17-1999 / Charlottesville, VA / Trax  (Microtech Geffell SMS2000) (bill lakenan)",AUD,FLAC
"9-26-1999 / Morristown, NJ / Scotti's Record Shop (AT853) (unk)",AUD,FLAC
"9-28-1999 / Providence, RI / Lupo's *Lost and Gone Forever Release Party (Shure KSM32s) (dave mallick)",AUD,SHN
