"6-4-2025 / Norje, SWE / Sweden Rock Festival (Zoom H2n) (d.m.)",AUD,FLAC
"6-7-2025 / Nurburg, Germany / Rock am Ring (Bild.de Livestream) ",Webcast,TS
,,
,,
[OFFICIAL RELEASES],,
1996 - Slipknot - Mate. Feed. Kill. Repeat ,,FLAC
1999 - Slipknot (Roadrunner Records Japanese Digipak) ,,FLAC
1999 - Slipknot (US - 10th Anniversary RR 8082-5 - 2009 Remaster) ,,FLAC
1999 - Slipknot (US - Roadrunner Records 168 618 511-2 - 2000 Limited Edition) ,,FLAC
2001 - Slipknot - Iowa (10th Anniversary Edition) (Japan WPZR-30403-5),,FLAC
2001 - Slipknot - Iowa (Japan - Roadrunner Records RRCY-11146 - 2001-08-22),,FLAC
2004 - Slipknot - Vol. 3 (The Subliminal Verses) (Japan - RRCY-21222),,FLAC
2004 - Slipknot - Vol. 3 (The Subliminal Verses) (TW-RR 8158-2 - 2005 Special Edition) ,,FLAC
2008 - Slipknot - All Hope Is Gone (Japan - RRCY-29152 - 2008)  (Limited Edition),,FLAC
2008 - Slipknot - All Hope Is Gone (Japan 2012 - Roadrunner Records ‎– WPCR-15979),,FLAC
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Stone Sour,Versions,File Type
Drive - D,,
,,
,,
[2006],,
"6-22-2006 / Paris, France / Bataclan (ECM-717) (unk)",AUD,FLAC
,,
[2018],,
"1-31-2018 / Edmonton, Alberta - Shaw Conference Centre (exvee)",AUD,FLAC
"9-4-2018 / Toronto, ON / Budweiser Stage (SP-CMC-8) (burnboy)",AUD,FLAC 24
