R.E.M.,Versions,,,File Type,
"7-8-1983 / Detroit, MI / St. Andrew's Hall ",AUD,,,FLAC,
"7-9-1983 / Toronto, Ontario / Larry's Hideaway",Silver CD,3 sources,,FLAC,
"7-13-1983 / Boston, MA / Paradise Rock Club",FM,,,FLAC,
"7-15-1983 / Aberdeen, NJ / Fountain Casino",AUD,,,FLAC,
"7-17-1983 / New Haven, CT / Toad's Place",AUD,,,FLAC,
"7-17-1983 / New Haven, CT / Toad's Place (Sony TCS-310) (Remaster)",AUD,,,FLAC,
"7-20-1983 / Philadelphia, PA / Ripley's Music Hall",AUD,,,FLAC,
"8-20-1983 / Philadelphia, PA / JFK Stadium",AUD,,,FLAC,
"8-21-1983 / Landover, MD / Capital Centre",AUD,,,FLAC,
"9-30-1983 / Athens, GA / Stichcraft",SBD,,,FLAC,
"10-3-1983 / Athens, GA / Legion Field",AUD,,,FLAC,
"10-6-1983 / New York, NY / Studio 6A NBC Studios - Letterman",TV,,,FLAC,
"10-7-1983 / Washington, D.C. / Ontario Theater",AUD,,,FLAC,
"10-8-1983 / Philadelphia, PA / Irvine Auditorium",AUD,,,FLAC,
"10-9-1983 / Piscataway, NJ / Busch Student Center Rutgers University",AUD,,,FLAC,
"10-13-1983 / Providence, RI / The Living Room",AUD,,,FLAC,
"10-15-1983 / Waterville, ME / Wadsworth Gymnasium Colby College",AUD,3 sources,,FLAC 24,
"10-17-1983 / Syracuse, NY / Drumlins",AUD,,,FLAC,
"10-21-1983 / Queens, NY / Queens College Student Union",AUD,,,FLAC,
"10-30-1983 / New York, NY / Ed Sullivan Theater - Livewire Nickelodeon",TV,,,FLAC,
"10-31-1983 / New York, NY / Peppermint Lounge",AUD,2 sources,,FLAC,
"11-9-1983 / San Francisco, CA / Rhythmic River Studios",SBD,,,FLAC,
"11-10-1983 / San Francisco, CA / Kabuki Nightclub",AUD,,,FLAC,
"11-11-1983 / Beverly Hills, CA / Warner Beverly Hills Theater (unk) (harwilmer) ",AUD,,,FLAC,
"11-22-1983 / London, UK / The Marquee",AUD,,,FLAC,
"11-24-1983 / Paris, France / Les Baines Douches",FM,,,FLAC,
,,,,,
[1984],,,,,
"4-8-1984 / Amsterdam, The Netherlands / Paradiso",AUD,,,FLAC,
"4-10-1984 / Eindhoven, The Netherlands / Effenaar",FM,,,FLAC,
"4-17-1984 / Rouen, France / Exo 7 *Toto, This Aint' Athens Anymore",Silver CD,,,FLAC,
"4-18-1984 / Lyon, France / West Side Club",SBD,,,FLAC,
"4-20-1984 / Paris, France / Theatre El Dorado",preFM,,,FLAC,
"4-25-1984 / Manchester, UK / The Gallery",AUD,,,FLAC,
"4-26-1984 / Leeds, UK / Warehouse",AUD,,,FLAC,
"4-30-1984 / London, UK / The Marquee",AUD,,,FLAC,
"5-1-1984 / London, UK / The Marquee",AUD,,,FLAC,
"6-9-1984 / Passaic, NJ / Capital Theatre",SBD,2 sources,,FLAC,
"6-14-1984 / Hollywood, CA / IRS Records Offices (Cutting Edge)",TV,,,FLAC,
"6-17-1984 / Santa Cruz, CA / The Catalyst",AUD,,,FLAC,
"6-18-1984 / Santa Barbara, CA / Mission Theater",AUD,,,FLAC,
