R.E.M.,Versions,,,File Type,
"10-12-1987 / Charlottesville, VA / University Hall - University of VA",AUD,,,FLAC,
"10-18-1987 / Dusseldorg, Germany / TOR 3",AUD,,,FLAC,
"10-18-1987 / Worcester, MA / Centrum (Aiwa CM-70) (harwilmer)",,,,,
"10-19-1987 / Providence, RI / Ocean State Performing Arts Center",AUD,,,FLAC,
"10-19-1987 / Providence, RI / Performing Arts Center (Aiwa CM-70) (harwilmer)",AUD,,,FLAC,
"10-22-1987 / Piscataway, NJ / Louis Brown Athletic Center - Rutgers University",AUD,,,FLAC,
"10-23-1987 / Pittsburgh, PA / Civic Arena",AUD,,,FLAC,
"10-29-1987 / Ann Arbor, MI / Crisler Arena - University of Michigan",AUD,,,FLAC,
"11-3-1987 / Madison, WI / Dane County Coliseum",AUD,,,FLAC,
"11-4-1987 / Chicago, IL / University of Illinois (Night 1)",AUD,,,FLAC,
"11-5-1987 / Chicago, IL / Circle Pavilion",AUD,,,FLAC,
"11-10-1987 / St. Louis, MO - Fox Theater (pitch fixed remaster)",AUD,,,FLAC,
"11-13-1987 / Oakland, CA / Oaklnad-Alameda County Coliseum Arena",AUD,,,FLAC,
"11-14-1987 / Irvine, CA / Bren Events Center - University of California",AUD,,,FLAC,
"11-14-1987 / Irvine, CA / Bren Events Center - University of California",AUD #2,,,FLAC,
"11-15-1987 / Universal City, CA / Universal Amphitheatre",AUD,,,FLAC 24,
"11-15-1987 / Universal City, CA / Universal Amphitheatre",AUD,,,FLAC,
"11-18-1987 / Dallas, TX / Moody Coliseum - SMU",AUD,,,FLAC,
"11-24-1987 / Atlanta, GA / Fox Theatre",AUD,,,FLAC,
"11-25-1987 / Atlanta, GA / Fox Theatre",AUD,,,FLAC,
"12-14-1987 / Utrecht, The Netherlands / Standing Room Only",AUD,,,FLAC,
,,,,,
[1988],,,,,
"5-11-1988 / Athens, GA / Uptown Lounge (Roger McGuinn and the Southern Gentlemen)",AUD,,,FLAC,
"5-20-1988 / Athens, GA / 40 Watt Club",AUD,,,FLAC,
"7-8-1988 / Athens, GA / 40 Watt Club",AUD,,,FLAC,
,,,,,
[1989],,,,,
XX-XX-1989 / *It's the End of the World...As We Know It!!,Silver CD,,,APE,
"1-27-1989 / Tokyo, Japan / Sound Coliseum - MZA",AUD,,,FLAC,
"2-11-1989 / Adelaide, Australia / Thebarton Theatre",AUD,,,FLAC,
"2-11-1989 / Adelaide, Australia / Thebarton Theatre - AUD(M) (choc e-claire rework)",AUD,,,FLAC,
"2-12-1989 / Melbourne, Australia / Festival Hall (Soundcheck & Show)",AUD,,,FLAC,
"3-1-1989 / Louisville, KY / Louisville Gardens (unk)",AUD,,,FLAC,
"3-3-1989 / St. Louis, MO / The Arena",AUD,,,FLAC,
"3-8-1989 / Bloomington, MI / Met Center (unk)",AUD,,,FLAC,
"3-13-1989 / Sacramento, CA / Arco Arena",AUD,,,FLAC,
"3-14-1989 / Oakland, CA / Coliseum Arena",AUD,,,FLAC,
"3-15-1989 / Inglewood, CA / Forum",AUD,,,FLAC,
"3-16-1989 / San Diego, CA / Sports Arena",AUD,,,FLAC,
"3-18-1989 / Tempe, AZ / Activity Center - Arizon State University - ANA(M) (Nak 300s) (jems)",AUD,,,FLAC,
"3-27-1989 / New Orleans, LA / Lakefront Arena",AUD,,,FLAC,
"4-9-1989 / Worcester, MA / Centrum (speed fixed) (unk)",AUD,,,FLAC,
"4-9-1989 / Worcester, MA / Centrum- ANA(M) Beyer M-69s) (klh)",AUD,,,FLAC,
"4-10-1989 / New York, NY / Madison Square Garden",AUD,,,FLAC,
"4-11-1989 / Syracuse, NY / Onondaga County War Memorial",AUD #1,,,FLAC,
"4-12-1989 / Toronto, Ontario / Maple Leaf Gardens",AUD,,,FLAC,
"4-16-1989 / Boston, MA / Boston Garden - ANA(M) (Sony D6) (thomas lambert)",AUD,,,FLAC,
"4-18-1989 / Landover, MD / Capital Center",AUD #1,,,FLAC,
"4-20-1989 / Philadelphia, PA / The Spectrum",AUD,,,FLAC,
"4-20-1989 / Philadelphia, PA / The Spectrum",AUD #2,,,FLAC,
"4-26-1989 / Savannah, GA / Civic Center",FM,,,FLAC,
"4-29-1989 / Orlando, FL / *Poets of the Wheat",Silver CD,,,FLAC,
"4-30-1989 / Orlando, FL / Westwood One *It's the End of the World",Silver CD,,,FLAC,
"4-30-1989 / Orlando, FL / Orlando Arena (Aiwa)",AUD,,,FLAC,
"5-9-1989 / Dusseldorf, Germany / Phillipshalle (Aiwa CM-30) (bobfather master)",AUD,,,FLAC,
"5-15-1989 / Landgraaf, The Netherlands / Pinkpop Festival *Landgraaf Racecourse and Trotting",Silver CD,,,FLAC,
"5-15-1989 / Landgraaf, The Netherlands / Pinkpop Festival",FM,,,FLAC,
"5-17-1989 / Leicester, UK / De Montfort Hall",AUD #1,,,FLAC,
"5-18-1989 / Newport, UK / The Newport Leisure Centre",AUD,,,FLAC,
"5-19-1989 / Newport, Wales / The Newport Leisure Centre",AUD,,,FLAC,
"5-23-1989 / Edinburgh, Scotland / Caley Cinema",AUD,,,FLAC,
"5-24-1989 / Glasgow, Scotland / Barrowland",AUD,,,FLAC,
"5-26-1989 / Newcastle, UK / City Hall",AUD,,,FLAC,
"5-29-1989 / London, UK / Hammersmith Odeon",AUD #1,,,FLAC,
"5-30-1989 / London, UK / Hammersmith Odeon",AUD #1,,,FLAC,
"5-31-1989 / Birmingham, UK / National Exhibition Center",AUD,,,FLAC,
"6-4-1989 / Seinajoki, Finland / Provinski Rock Festival",AUD,,,FLAC,
"6-9-1989 / Copenhagen, Denmark / Saga Theatre",AUD,,,FLAC,
"6-11-1989 / Berlin, Germany / Metropol",AUD,,,FLAC,
"6-15-1989 / Milano, Italy / Palatrussardi",AUD,,,FLAC,
"6-16-1989 / Bologna, Italy / Palazzo dello Sport",AUD,,,FLAC,
"6-17-1989 / Perugia, Italy / Palasport",AUD,,,FLAC,
"6-20-1989 / Paris, France / Le Grand Rex",AUD,,,FLAC,
"6-22-1989 / London, UK / Wembley Arena",AUD,,,FLAC,
"6-24-1989 / Dublin, Ireland / R.D.S. Simmonscourt Pavilion",AUD,,,FLAC,
"6-28-1989 / Frankfurt, Germany / Kongresshalle",AUD,,,FLAC,
"6-29-1989 / Frankfurt, Germany / Kongresshalle",AUD,,,FLAC,
"7-1-1989 / Torhout, Belgium / Torhout Festival",AUD,,,FLAC,
"7-2-1989 / Werchter, Belgium / Werchter Festival",AUD,,,FLAC,
"7-2-1989 / Werchter, Belgium / Werchter Festival",AUD,,,FLAC,
"9-9-1989 / Clarston, MI / Pine Knob Music Theater",AUD,,,FLAC,
"9-10-1989 / Pittsburgh, PA / Civic Arena",AUD,,,FLAC,
"9-12-1989 / Buffalo, NY / Buffalo Memorial Auditorium",AUD,,,FLAC,
"9-13-1989 / Hartford, CT / Veterans Memorial Coliseum - Hartford Civic Center",AUD,,,DVD,
"9-15-1989 / Mansfield, MA / Great Woods Ampitheatre",SBD,,,FLAC,
"9-20-1989 / Uniondale, NY / Nassau Coliseum",AUD,,,FLAC,
"9-30-1989 / East Troy, WI / Alpine Valley Music Theatre *Live at...",AUD,,,FLAC,
"10-8-1989 / Boise, ID / BSU Pavilion - Boise State University",AUD,,,FLAC,
"10-11-1989 / Seattle, WA / Seattle Center Coliseum",AUD,,,FLAC,
"10-13-1989 / Portland, OR / Memorial Coliseum",AUD,,,FLAC,
"10-14-1989 / Vancouver, Canada / Pacific Coliseum",AUD,2 sources,,FLAC,
"10-20-2989 / Concord, CA / Concord Pavilion",AUD,2 sources,,FLAC,
"10-21-1989 / Mountain View, CA / Shoreline Amphitheatre",SBD,2 sources,,FLAC,
"11-3-1989 / Chattanooga, TN / UTC Arena - University of Tennessee at Chattanooga",AUD,,,FLAC,
"11-10-1989 / Greensboro, NC / Greensboro Coliseum",AUD,,,FLAC,
"11-13-1989 / Atlanta, GA / Fox Theatre",AUD,,,FLAC,
,,,,,
[1991],,,,,
"3-5-1991 / Hamburg, Germany / NDR Studio 11",SBD,,,FLAC,
"3-12-1991 / Nederhorst den Berg, Holland / 2 Meter Sessies",FM,2 sources,,FLAC,
"3-13-1991 / London, UK / Maida Vale Studios - BBC",FM,,,FLAC,
"3-14-1991 / London, UK / The Borderline",AUD,,,FLAC,
"3-15-1991 / London, UK / Borderline *From the Borderline",Silver CD,,,FLAC,
"3-22-1991 / Milano, Italy / Shocking Club",AUD,2 sources,,FLAC+DVD,Video
"3-31-1991 / London, UK / Night Time's Session",FM,,,FLAC,
"4-3-1991 / Santa Monica, CA / Harmonics in Eternity",Silver CD,,,FLAC,
"4-3-1991 / Santa Monica, CA / *The Unauthorised Records Vol. 4 Live in USA",Silver CD,,,FLAC,
"4-3-1991 / Santa Monica, CA / KCRW Studios *Half A World Away Part 1",Silver CD,2 sources,,FLAC,
"4-5-1991 / Toronto, Canada / Studio 1 - Eastern Sound (stonecutter archives)",FM,,,FLAC,
4-5-1991 / *Acoustic Tour,Silver CD,,,FLAC,
"4-8-1991 / Charleston, WV / Mountain Stage",SBD,,,FLAC,
"4-10-1991 / New York, NY / MTV Unplugged ",TV,,,FLAC,
"4-28-1991 / Charleston, WV / Capitol Plaza Music Hall *Revolution On the Radio",Silver CD,,,FLAC,
"4-28-1991 / Charleston, WV / Capitol Plaza Music Hall",preFM,,,FLAC,
"6-15-1991 / Athens, GA / 40 Watt Club",AUD,,,FLAC,*Inc
"9-13-1991 / London, Engladn / Borderline London *Bingo Hand Job",Silver CD,,,FLAC,
"11-10-1991 / Madison, GA / Madison-Morgan Cultural Center - MTV 10th Anniversary Special",TV,,,FLAC,
,,,,,
[1992],,,,,
"11-19-1992 / Athens, GA / 40 Watt Club *Automatically Live",Silver CD,2 sources,,FLAC,
,,,,,
[1993],,,,,
"9-2-1993 / Universal City, CA / MTV Video Music Awards",TV,,,FLAC,
"11-10-1993 / San Francisco, CA / The Kabuki",AUD,,,FLAC,
,,,,,
[1995],,,,,
"XX-XX-1995 / London, UK / Milton Keynes Arena",preFM,,,FLAC,
"1-13-1995 / Perth, Australia / Entertainment Centre (unk)",AUD,,,FLAC,
"1-16-1995 / Adelaide, Australia / Adelaide Entertainment Centre *Down Under 95'",AUD,,,FLAC,
"1-16-1995 / Adelaide, Australia / Adelaide Entertainment Centre (TCD-D8) (slipkid master)",AUD,,,FLAC,
"1-19-1995 / Sydney, Australia / Entertainment Centre",AUD,,,FLAC,
"1-20-1995 / Sydney, Australia / Entertainment Centre",AUD,,,FLAC,
"1-20-1995 / Sydney, Australia / Entertainment Centre",AUD,,,FLAC,
"1-22-1995 / Brisbane, Australia / Main Arena - Brisbane Entertainment Centre",AUD,,,FLAC,
"1-25-1995 / Melbourne, Australia / Myer Music Bowl",AUD,,,FLAC,
"1-26-1995 / Melbourne, Australia / Sidney Myer Music Bowl",AUD,,,FLAC,
"2-1-1995 / Tokyo, Japan / Nippon Budokan",AUD,,,FLAC,
"2-2-1995 / Tokyo, Japan / Nippon Budokan",AUD,,,FLAC,
"2-4-1995 / Taipei, Taiwan / Plenary Hall - Taipei International Convention Centre",AUD,,,FLAC,
"2-19-1995 / Toulon, France / Zenith Omega",AUD,,,FLAC,
"2-20-1995 / Turin, Italy / Palastampa",AUD,,,FLAC,
"2-22-1995 / Rome, Italy / Roma Palaeur (C90) (unk)",AUD,,,FLAC,
"2-22-1995 / Rome, Italy / Roma Palaeur",AUD,,,MP4,
"2-23-1995 / Roma, Italy / PalaEur (C90 Sony FX 90) ",AUD,,,FLAC,
2-25-1995 / Milan Italy / Forum Di Assago,AUD,,,FLAC,
2-26-1995 / Milan Italy / Forum Di Assago,AUD,,,FLAC,
"2-27-1995 / Bologna, Italy / Palasport",AUD,,,FLAC,
"5-15-1995 / Mountain View, CA / Shoreline Amphitheatre",AUD,,,FLAC,
"5-15-1995 / Mountain View, CA / Shoreline Amphitheatre",,,,FLAC,
"5-16-1995 / Mountain View, CA / Shoreline Amphitheatre",AUD,,,FLAC,
"5-16-1995 / Mountain View, CA / Shoreline Amphitheatre (Nakamichi 700s)",AUD,,,FLAC,
"5-17-1995 / Mountain View, CA / Shoreline Amphitheatre",AUD,,,FLAC,
"5-19-1995 / Portland, OR / Memorial Coliseum",AUD,,,FLAC,
"5-20-1995 / Vancouver, Canada / Pacific Coliseum",AUD,,,FLAC,
"5-21-1995 / George, WA / Gorge Amphitheatre",AUD,,,FLAC,
"5-24-1995 / Greenwood Village, CO / Fiddlers Green Amphitheatre",AUD,,,FLAC,
"5-25-1995 / Greenwood Village, CO / Fiddler's Green Amphitheatre",AUD,,,FLAC,
"5-30-1995 / Minneapolis, MN / Target Center",AUD,,,FLAC,
"5-31-1995 / Milwaukee, WI / Marcus Amphitheater",AUD,,,FLAC,
"6-2-1995 / Chicago, IL / Rosemont Horizon",AUD,,,FLAC,
"6-4-1995 / Chicago, IL / Rosemont Horizon",AUD,,,FLAC,
"6-4-1995 / Chicago, IL / Rosemont Horizon",,,,FLAC,
"6-6-1995 / Auburn Hills, MI - The Palace of Auburn Hills",AUD,,,FLAC,
"6-9-1995 / Columbus, OH / Polaris Amphitheater",AUD,,,FLAC,
"6-10-1995 / Burgettstown, PA / Star Lake Amphitheatre",AUD,,,FLAC,
"6-10-1995 / Burgettstown, PA / Star Lake Amphitheatre",,,,DVD,
"6-11-1995 / Cleveland, OH / Gund Arena",AUD,,,FLAC,
"6-13-1995 / Toronto, Ontario / Molson Amphitheatre",AUD,,,FLAC,
"6-13-1995 / Toronto, Ontario / Molson Amphitheatre",,,,FLAC,
"6-17-1995 / Mansfield, MA / Great Woods Center",AUD,,,FLAC,
"6-18-1995 / Mansfield, MA / Great Woods Center for the Performing Arts",AUD,,,FLAC,
"6-20-1995 / Albany, NY / Knickerbocker Arena",AUD,,,FLAC,
"6-22-1995 / New York, NY / Madison Square Garden",AUD,,,FLAC,
"6-23-1995 / New York, NY / Ed Sullivan Theater - Late Show with David Letterman",TV,,,FLAC,
"6-23-1995 / New York, NY / Madison Square Garden",AUD,,,FLAC,
"6-24-1995 / New York, NY / Madison Square Garden",AUD,,,FLAC,
"6-28-1995 / Berlin, Germany / Waldbuhne",AUD,,,FLAC,
"6-29-1995 / Roskilde, Denmark / Festivalpladsen - Roskilde Festival",AUD,,,FLAC,
"7-1-1995 / Torhout, Belgium / Festivalpark - Rock Torhout",AUD,,,FLAC,
"7-2-1995 / Werchter, Belgium / Rock Werchter",AUD,,,FLAC,
"7-3-1995 / Paris, France / Omnisport Palais De Paris Bercy (eckythump remaster)",AUD,,,FLAC,
"7-22-1995 / Slane, Ireland / Slane Castle",AUD,,,FLAC,
"7-22-1995 / Slane, Ireland / Slane Castle (derek carroll 2020 master transfer)",AMT,,,DVD,
"7-23-1995 / Cardiff, UK / Cardiff Arms Park",AUD,,,FLAC,
"7-25-1995 / Huddersfield, UK / Alfred McAlpine Stadium",AUD,,,FLAC,
"7-26-1995 / Huddersfield, UK / Alfred McAlpine Stadium (SS-DSM6) (soledriver) ",AUD,,,FLAC,
"7-27-1995 / Edinburgh, Scotland / Murrayfield Stadium",AUD,,,FLAC,
"7-29-1995 / Milton Keynes, UK / The National Bowl at Milton Keynes",AUD,,,FLAC,
"7-30-1995 / Milton Keynes, England / Milton Keynes Bowl",SBD,,,FLAC,
"8-1-1995 / Berlin, Germany / Waldbuhne - Monster Radio (Moonraker 023-024)",Silver CD,,,FLAC,
"8-3-1995 / Oslo, Norway / Oslo Spektrum",AUD,,,FLAC,
"9-7-1995 / New York, NY / Radio City Music Hall - 1995 MTV VMAs",SBD,,,FLAC,
"9-7-1995 / New York, NY / Radio City Music Hall - 1995 MTV VMAs",,,,FLAC,
"9-8-1995 / Miami, FL / Miami Arena",AUD,,,FLAC,
"9-9-1995 / St. Petersburg, FL / Thunderdome",AUD,,,FLAC,
"9-11-1995 / Antioch, TN / Starwood Amphitheatre",AUD,,,FLAC,
"9-15-1995 / The Woodlands, TX / Cynthia Woods Mitchell Pavilion",AUD,,,FLAC,
"9-17-1995 / Austin, TX / Southpark Meadows",AUD,,,FLAC,
"9-20-1995 / Dallas, TX / Coca-Cola Starplex Amphitheatre",AUD,,,FLAC,
"9-24-1995 / Tinley Park, IL / New World Music Theatre",AUD,,,FLAC,
"9-26-1995 / Noblesville, IN / Deer Creek Music Center",AUD,,,FLAC,
"9-27-1995 / East Lansing, MI / Jack Breslin Student Events Center - MSU",AUD,,,FLAC,
"9-29-1995 / Buffalo, NY / Buffalo Memorial Auditorium",AUD,,,FLAC,
"9-30-1995 / Hershey, PA / Hershey Park",AUD,,,FLAC,
"10-1-1995 / Hartford, CT / The Meadows Music Theatre",AUD,,,FLAC,
"10-3-1995 / Boston, MA / FleetCenter",AUD,,,FLAC,
"10-13-1995 / Philadelphia, PA / CoreStates Spectrum",AUD,2 sources,,FLAC + DVD,Video
"10-21-1995 / Cincinnati, OH / Riverfront Coliseum",AUD,,,FLAC,
"10-22-1995 / Ann Arbor, MI / Crisler Arena",AUD,,,FLAC,
"10-27-1995 / Las Vegas, NV / Thomas & Mack Center",AUD,,,FLAC,
"10-28-1995 / San Diego, CA / San Diego Sports Arena",AUD,,,FLAC,
"10-28-1995 / San Diego, CA / Sports Arena - DAT(M) (SS-DSM6) (mh)",AUD,,,FLAC,
"10-30-1995 / Anaheim, CA / Arrowhead Pond of Anaheim",AUD,,,FLAC,
"11-1-1995 / Inglewood, CA / Great Western Forum",AUD,,,FLAC,
"11-3-1995 / Devore, CA / Glen Helen Blockbuster Pavilion",AUD,,,FLAC,
"11-4-1995 / Phoenix, AZ / Blockbuster Desert Sky Pavilion",AUD,,,FLAC,
"11-7-1995 / Memphis, TN / Pyramid Arena",AUD,,,FLAC,
"11-10-1995 / Chapel Hill, NC / UNC - Dean E. Smith Student Activities Center",AUD,,,FLAC,
"11-11-1995 / Greensboro, NC / Greensboro Coliseum (Analog Master)",AUD,,,FLAC,
"11-11-1995 / Greensboro, NC / Greensboro Coliseum (2020 eckythump Remaster)",AUD,,,FLAC,
"11-12-1995 / Charlotte, NC / Charlotte Coliseum",AUD,,,FLAC,
"11-15-1995 / Orlando, FL / Orlando Arena",AUD,,,FLAC,
"11-16-1995 / Charleston, SC / North Charleston Coliseum",AUD,,,FLAC,
"11-18-1995 / Atlanta, GA / The Omni",SBD,2 sources,,FLAC,
"11-19-1995 / Atlanta, GA / The Omni",SBD,,,FLAC,
"11-21-1995 / Atlanta, GA / The Omni",SBD,,,FLAC,
,,,,,
[1998],,,,,
"2-11-1998 / Hamburg, Germany / Rockpalast",SBD,,,FLAC,
"10-18-1998 / Mountain View, CA / Bridge School Benefit - Shoreline Amphitheatre (all performers)",AUD,,,FLAC,
"10-21-1998 / New York, NY / Bowery Ballroom",SBD,2 sources,,FLAC + DVD,Video
"10-23-1998 / Manhattan, NY / Grand Ballroom - VH1 Storytellers",TV,,,FLAC,
"11-2-1998 / Hamburg, Germany / Gruenspan - Rockpalast",SBD,,,FLAC,
,,,,,
[1999],,,,,
"3-8-1999 / Paris, France / Concert d'un soir",FM,,,FLAC,
"6-22-1999 / London, UK / Earls Court Exhibition Centre",AUD,,,FLAC,
"6-23-1999 / London, England / Earl's Court",AUD,,,FLAC,
"6-25-1999 / Pilton, England / Glastonbury Festival",FM,,,FLAC,
"6-26-1999 / Hannover, Germany / SportPark am Niedersachsestadion",AUD,,,FLAC,
"6-27-1999 / Frankfurt, Germany / Festhalle Frankfurt",AUD,,,FLAC,
"6-29-1999 / Hannover, Germany / SportPark am Niedersachsenstadion",AUD,,,FLAC,
"6-30-1999 / Berlin, Germany / Parkbuhne Wuhlheide",AUD,,,FLAC,
"7-2-1999 / Roskilde, Denmark / Festivalpladsen",AUD,,,FLAC,
"7-4-1999 / Werchter, Belgium / Rock Werchter - Festivalpark",AUD,,,FLAC,
"7-5-1999 / Paris, France / Palais Omnisport de Paris-Bercy",AUD,,,FLAC,
"7-6-1999 / Montreaux, Switzerland / Montreaux Jazz Festival",PRO,,,DVD,
"7-8-1999 / Vienna, Austria / JaxxFest Wien 99 - Weiner Staatsoper",AUD,,,FLAC,
"7-9-1999 / Budapest, Hungary / Kisstadion",AUD,,,FLAC,
"7-11-1999 / Bologna, Italy / Stadio Renato Dall'Ara",AUD,,,FLAC,
"7-13-1999 / Munich, Germany / Reitstadion Riehm",AUD,,,FLAC,
"7-14-1999 / Zurich, Switzerland / Hallenstadion",AUD,,,FLAC,
"7-14-1999 / Zurich, Switzerland / Hallenstadion (zuma66)",AUD,,,FLAC,
"7-16-1999 / Dublin, Ireland / Lansdowne Road",AUD,,,FLAC,
"7-17-1999 / Manchester, UK / Manchester Evening News Arena",AUD,,,FLAC,
"7-19-1999 / Stirling, UK / Stirling Castle",AUD,,,FLAC,
"7-20-1999 / Stirling, UK / Stirling Castle",AUD,,,FLAC,
"7-21-1999 / Stirling, Scotland / Stirling Castle",AUD,,,FLAC,
"8-9-1999 / Los Angeles, CA / Greek Theatre",AUD,,,FLAC,
"8-10-1999 / Los Angeles, CA / Greek Theatre",AUD,,,FLAC,
"8-11-1999 / Irving, CA / Irvine Meadows *The Ultimate Irvine",AUD,Remaster,,FLAC,
"8-13-1999 / Mountain View, CA / Shoreline Amphitheatre",AUD,2 sources,,FLAC,
"8-20-1999 / Tinley Park, IL / New World Music Theatre",AUD,,,FLAC,
"8-27-1999 / Raleigh, NC / Alltel Pavilion at Walnut Creek",AUD,,,FLAC,
"8-29-1999 / Atlanta, GA / Chastain Park Amphitheatre - Chastain Memorial Park",AUD,,,FLAC,
"8-31-1999 / Atlanta, GA / Chastain Park Amphitheatre",FM,,,FLAC,
"9-2-1999 / Seattle, WA / Memorial Stadium",AUD,,,FLAC,
"9-4-1999 / Wantagh, NY / Jones Beach",AUD,,,FLAC,
"9-5-1999 / Camden, NJ / Music Entertainment Center",SBD,3 sources,,FLAC,
"9-8-1999 / Saratoga Springs, NY / Performing Arts Center",AUD,,,FLAC,
"9-11-1999 / Mansfield, MA / Great Woods Amphitheater",AUD,,,FLAC,
,,,,,
[2001],,,,,
"1-13-2001 / Rio De Janeiro, Brazil / Rock City - Rock in Rio *R.E.M. in Rio",SBD,3 sources,,FLAC+DVD,Video
"1-17-2001 / Buenos Aires, Argentina / Campo Argentino de Polo - Buenos Aires Hot Festival",AUD,,,FLAC,
"2-5-2001 / Milan, Italy / MTV Sonic *The Blinding Light",Silver CD,,,FLAC,
"4-29-2001 / London, UK / Trafalgar Square - Freedom Concert",AUD,,,FLAC,
"5-2-2001 / Milan, Italy / Spazio Antologico Studio 76 - MTV Sonic",TV,,,FLAC,
"5-2-2001 / Milan, Italy / Spazio Antologico Studio 76 - MTV Sonic",TV,,,FLAC,
"5-7-2001 / Paris, France / Studio 105 - Black Session",FM,,,FLAC,
"5-9-2001 / Madrid, Spain / Lo Mas 40",FM,,,FLAC,
"5-12-2001 / Koln, Germany / Roncalliplatz",TV,,,FLAC,
"5-12-2001 / Koln, Germany / Roncalliplatz",,,,FLAC,
"5-15-2001 / New, NY / Ed Sullivan Theater - Late Show with David Letterman",TV,,,FLAC,
"5-17-2001 / Toronto, Ontario / Yonge-Dundas Square",DVD Audio,,,FLAC,
"5-21-2001 / New York, NY / MTV Studios - MTV Unplugged",TV,,,FLAC,
"5-22-2001 / New York, NY / Museum of TV & Radio",DVD Audio,,,FLAC,
"10-19-2001 / Seattle, WA / Key Arena - Groundwork 2001 Benefit (2 Source Mix) (unk)",MIX,,,FLAC,
"10-21-2001 / Mountain View, CA / Bridge School Benefit - Shoreline Amphitheatre",AUD,,,FLAC,
"10-22-2001 / Seattle, WA / Key Arena *Groundwork",SBD,,,FLAC,
"10-23-2001 / Seattle, WA / Crocodile Cafe",AUD,,,FLAC,
"10-24-2001 / Madrid, Spain / Los 40 TV - VHS(M) (david)",TV,,,FLAC,
"11-8-2001 / Frankfurt, Germany / MTV Europe Music Awards",TV,,,FLAC,
,,,,,
[2003],,,,,
"6-21-2003 / Utrecht, The Netherlands / Tivoli",AUD,,,FLAC,
"6-22-2003 / Amsterdam, Holland / Heineken Music Hall",AUD,,,FLAC,
"6-24-2003 / London, England / Carling Academy Brixton",AUD,,,FLAC,
"6-25-2003 / London, England / Carling Academy Brixton",AUD,,,FLAC,
"6-27-2003 / Pilton, UK / Glastonbury Festival - Worthy Farm",TV,,,FLAC,
"6-29-2003 / Werchter, Belgium / Rock Werchter - Main Stage (ECM-717)",AUD,,,FLAC,
"7-1-2003 / Hamburg, Germany / Waldbuhne",AUD,,,FLAC,
"7-3-2003 / Odense, Denmark / Midtfyn Festival",AUD,,,FLAC,
"7-5-2003 / Munich, Germany / Konigsplatz",AUD,,,FLAC,
"7-7-2003 / Locarno, Switzerland / Piazza Grande",AUD,,,FLAC,
"7-8-2003 / Vienna, Austria / Schloss Schonbrunn",AUD,,,FLAC,
"7-10-2003 / Warsaw, Poland / Torwar Hall",AUD,,,FLAC,
"7-12-2003 / Balado, Scotland / T in the Park - Balado Airfield",AUD,,,FLAC,
"7-13-2003 / Manchester, England / Old Trafford - Lancashire County Cricket Club",AUD,,,FLAC,
"7-16-2003 / Dublin, Ireland / Marlay Park",AUD,,,FLAC,
"7-17-2003 / Dublin, Ireland / Marlay Park",AUD,,,FLAC,
"7-19-2003 / Wiesbaden, Germany / Bowling Green - Perfect Square",SBD,,,FLAC,
"7-22-2003 / Padova, Italy / Stadio Euganeo",AUD,,,FLAC,
"7-23-2003 / Ancona, Italy / Stadio del Conero",AUD,,,FLAC,
"7-26-2003 / Vienne, France / Theatre Antique de Vienne",AUD,,,FLAC,
"7-27-2003 / Nyon, Switzerland / Paleo Festival - L'Asse",AUD,,,FLAC,
"8-29-2003 / Vancouver, BC / Thunderbird Stadium",AUD,,,FLAC,
"8-29-2003 / Vancouver, BC / Thunderbird Stadium",AUD,,,FLAC,
"8-29-2003 / Vancouver, BC / Thunderbird Stadium",AUD,,,FLAC,
"8-31-2003 / Missoula, MT / Adams Center - The Evening Team",AUD,,,FLAC,
"8-31-2003 / Missoula, MT / Adams Center - The Evening Team",AUD,,,FLAC,
"9-3-2003 / Ridgefield, WA / The Amphitheatre at Clark County",AUD,,,FLAC,
"9-6-2003 / Mountain View, CA / Shoreline Amphitheatre",AUD,,,FLAC,
"9-6-2003 / Mountain View, CA / Shoreline Amphitheatre",AUD,,,FLAC,
"9-9-2003 / Los Angeles, CA / Village Recording Studios",FM,,,FLAC,
"9-10-2003 / Hollywood, CA / Hollywood Bowl",AUD,,,FLAC,
"9-11-2003 / Las Vegas, NV / Thomas & Mack Center",AUD,,,FLAC,
"9-13-2003 / Morrison, CO / Red Rocks Amphitheatre",AUD,,,FLAC,
"9-14-2003 / Morrison, CO / Red Rocks Amphitheatre",AUD,,,FLAC,
"9-19-2003 / Grand Prairie, TX / NextStage at Grand Prairie",AUD,,,FLAC,
"9-19-2003 / Grand Prairie, TX / NextStage at Grand Prairie",AUD,,,FLAC,
"9-21-2003 / Austin, TX / Zilker Park",AUD,,,FLAC,
"9-21-2003 / Austin, TX / Zilker Park",AUD #2,,,FLAC,
"9-24-2003 / Pelham, AL / Oak Mountain Amphitheatre",AUD,,,FLAC,
"9-26-2003 / Chicago, IL / United Center",AUD,,,FLAC,
"9-27-2003 / Cuyahoga Falls, OH / Blossom Music Center",AUD,,,FLAC,
"9-28-2003 / Auburn Hills, MI / Palace of Auburn Hills",AUD,,,FLAC,
"9-30-2003 / Toronto, Ontario / Air Canada Centre",AUD,,,FLAC,
"9-30-2003 / Toronto, Ontario / Air Canada Centre",AUD,,,FLAC,
"10-1-2003 / Philadelphia, PA / Liacouras Center",AUD,,,FLAC,
"10-1-2003 / Philadelphia, PA / Liacouras Center",AUD,,,FLAC,
"10-2-2003 / New York, NY / Ed Sullivan Theater - Late Show with David Letterman",TV,,,FLAC,
