John Mayer,Versions,File Type,
"8-12-2003 / Darien Center, NY / Darien Lake Amphitheatre (Schoeps CCM-4) (terry sullivan) ",AUD,FLAC,
"8-15-2003 / Bristow, VA / Nissan Pavilion (DPA 4060s) (sean stevens)",AUD,FLAC,
"8-18-2003 / Saratoga Springs, NY -/ Saratoga Performing Arts Center (Sennheiser MK66) (dssman) ",AUD,FLAC,
"9-28-2003 / Queensland, AUS / Brisbane Convention Centre (Sony FV-9) (nperjanik)",AUD,FLAC,
"11-5-2003 / Toronto, ON / Air Canada Centre (unk)",AUD,FLAC,
"11-16-2003 / Austin, TX / Frank Erwin Center (DSM-6S) (brian graves)",AUD,FLAC,
"11-16-2003 / Austin, TX / Frank Erwin Center (MBHO 603a) (ofotd) ",AUD,FLAC,
"11-18-2003 / Tallahassee, FL / Leon County Civic Center (unk)",AUD,FLAC,
"11-24-2003 / New York, NY / Madison Square Garden (unk)",AUD,FLAC,
"11-29-2003 / Auburn Hills, MI / The Palace of Auburn Hills (Schoeps MK4s) (sam lincoln)",AUD,FLAC,
"12-9-2003 / West Hollywood, CA / House of Blues (unk) ",AUD,FLAC,
,,,
[2004],,,
"2-21-2004 / Los Angeles, CA / Universal Amphitheatre (unk) ",AUD,FLAC,
"3-11-2004 / Morgantown, WV / WVU Coliseum (Sennheiser MKH-800s) (ian white)",AUD,SHN,
"3-12-2004 / Louisville, KY / Freedom Hall (CK63) (jon ice) ",AUD,SHN,
"3-14-2004 / Waltham, MA / Gosman Sports & Recreation Center at Brandeis University (unk)",AUD,FLAC,
"3-19-2004 / Reading, PA / Sovereign Center (unk)",AUD,FLAC,
"3-20-2004 / Providence, RI / Dunkin Donuts Center (unk) ",AUD,FLAC,
"3-23-2004 / East Lansing, MI / Jack Breslin Student Events Center (Schoeps MK41s) (sam lincoln)",AUD,FLAC,
"3-26-2004 / St. Paul, MN / Xcel Energy Center (AT933s) (jason glynn)",AUD,SHN,
"3-27-2004 / Kenosha, WI / Carthage College (unk)",AUD,FLAC,
"3-27-2004 / Kenosha, WI / Carthage College (AKG CK93) (allan short)",AUD,FLAC,
"4-15-2004 / Brisbane, AUS / Brisbane Entertainment Centre (unk)",AUD,FLAC,
"4-17-2004 / Sydney, AUS / Sydney Entertainment Centre (unk) ",AUD,FLAC,
"7-6-2004 / Morrison, CO / Red Rocks Amphitheater (unk) ",AUD,FLAC,
"7-7-2004 / Morrison, CO / Red Rocks Amphitheatre (unk)",AUD,FLAC,
"7-7-2004 / Boulder, CO / Trilogy Lounge (After show) ",AUD,FLAC,
"7-11-2004 / Auburn, WA / White River Amphitheater (unk)",AUD,FLAC,
"7-18-2004 / Chula Vista, CA / Coors Amphitheatre (unk) ",AUD,FLAC,
"8-3-2004 / Cleveland, OH / Blossom Music Center (AT853s) (richard young)",AUD,SHN,
"8-15-2004 / Hartford, CT / ctnow.com Meadows Music Theatre (unk)",AUD,FLAC,
"8-21-2004 / Bristow, VA / Nissan Pavilion (unk)",AUD,FLAC,
"8-24-2004 / Pelham, AL / Live at Oak Mountain Amphitheater (unk)",AUD,FLAC,
"8-29-2004 / Atlanta, GA / HiFi Buys Amphitheater (unk)",AUD,FLAC,
"8-30-2004 / Atlanta, GA / Smith's Olde Bar (AT831s) (geneva weaver)",AUD,SHN,
"9-17-2004 / Boston, MA / Berklee College of Music (unk)",AUD,FLAC,
"11-19-2004 / New York, NY / Housing Works Used Book Cafe (AT853s) (unk) ",AUD,FLAC,
"12-6-2004 / West Hollywood, CA / The Viper Room (AT831s) (catapergirl)",AUD,FLAC,
"12-16-2004 / Chicago, IL / The Chicago Theatre (Oade Micro Mics) (butta)",AUD,FLAC,
"12-28-2004 / New York, NY / Webster Hall (DPA 4011) (chris jones)",AUD,FLAC,
"12-29-2004 / New York, NY / Webster Hall (DPA 4011) (chris jones)",AUD,SHN,
,,,
[2005],,,
"9-17-2005 / Denver, CO / Fillmore Auditorium (John Mayer Trio) (unk) ",AUD,FLAC,
"9-19-2005 / Kansas City, MO / Uptown Theater (John Mayer Trio) (unk)",AUD,FLAC,
"9-22-2005 / Chicago, IL / House of Blues (unk) (John Mayer Trio)",AUD,FLAC,
"9-27-2005 / New Orleans, LA / House of Blues (unk)",AUD,FLAC,
,,,
[2006],,,
"4-10-2006 / Hollywood, CA / Hotel Cafe (DPA 4061) (catapergirl)",AUD,FLAC,
"5-28-2006 / West Hollywood, CA /- Hotel Cafe (DPA 4061) (unk) ",AUD,FLAC,
"8-21-2006 / Toronto, ON / The Mod Club (unk) (debbie ocoboc)",AUD,FLAC,
"8-24-2006 / Burgettstown, PA / Post Gazette Pavilion (unk)",AUD,FLAC,
"8-25-2006 / Saratoga Springs, NY / Saratoga Performing Arts Center (AKG C1000s) (unk)",AUD,FLAC,
"8-30-2006 / Wantagh, NY / Nikon at Jones Beach Theater (M-Audio Mictotrack) (amy)",AUD,FLAC,
"9-2-2006 / Camden, NJ / Tweeter Center (Schoeps MK4s) (craig taraski & keith litzenberger)",AUD,FLAC,
"9-3-2006 / Bristow, VA / Nissan Pavilion (Sony ECM) (debbie ocoboc) ",AUD,FLAC,
"9-13-2006 / New York, NY / Webster Hall",FM,FLAC,
"9-15-2006 / Austin, TX / Zilker Park (DSM-6S) (brian graves)",AUD,FLAC,
"9-23-2006 / Auburn, WA / White River Amphitheatre (Sony ECM 7-19) (debbie ocoboc)",AUD,FLAC,
"9-26-2006 / San Diego, CA / Bayside Concerts at the Embarcadero (Sony ECM 7-19) (debbie ocoboc)",AUD,FLAC,
"9-27-2006 / Irvine, CA / Irvine Meadows (Sony ECM-7-19) (debbie ocoboc)",AUD,FLAC,
"9-29-2006 / Concord, CA / Sleep Train Pavilion at Concord (Sony ECM 7-19) (debbie ocoboc) ",AUD,FLAC,
"9-30-2006 / Marysville, CA / Sleep Train Amphitheater (Sony ECM 7-19) (debbie ocoboc) ",AUD,FLAC,
"10-1-2006 / Mountain View, CA / Shoreline Amphitheatre (Sony ECM 7-19) (debbie ocoboc)",AUD,FLAC,
"10-4-2006 / Glendale, AZ / Glendale Arena (Sony ECM 7-19) (ocoboc)",AUD,FLAC,
"10-6-2006 / The Woodlands, TX / Woodlands Pavilion (AKG 483) (ofotd)",AUD,FLAC,
"10-9-2006 / Pelham, AL / Verizon Wireless Amphitheatre (AT853s) (jeff hatcher) ",AUD,FLAC,
"10-13-2006 / Atlanta, GA / Chastain Park Amphitheatre (Sony ECM 7-19) (ocoboc)",AUD,FLAC,
"10-14-2006 / Atlanta, GA / Chastain Park Amphitheatre (AT831s) (geneva weaver)",AUD,FLAC,
"10-17-2006 / Amsterdam, The Netherlands / Melkweg (AT853s) (susisch)",AUD,FLAC,
"11-10-2006 / Tokyo, Japan / Meguro-Ku - Ebisu Garden Hall (DPA 4061) (selfdistract)",AUD,FLAC,
"12-10-2006 / West Hollywood, CA / Key Club (Sony ECM-719) (docoboc)",AUD,FLAC,
,,,
[2007],,,
"1-27-2007 / Orlando, FL / Amway Arena (Shure MX184s) (francisco novoa) ",AUD,FLAC,
"2-8-2007 / Columbia, SC / Colonial Center (DPA 4023) (george wang)",AUD,FLAC 24,
"2-17-2007 / Bloomington, IL / U.S. Cellular Coliseum (AT853s) (reid eickhorst)",AUD,FLAC,
"2-22-2007 / Grand Rapids, MI / Van Andel Arena (DPA 4061s) (unk) ",AUD,FLAC,
"2-22-2007 / Grand Rapids, MI / Van Andel Arena (CA Cards)",AUD,FLAC,
"2-23-2007 / Columbus, OH / Nationwide Arena (Schoeps MK21) (crumbo)",AUD,FLAC 24,
"2-27-2007 / Syracuse, NY - On Center (MK4 ORTF) (chad j)",AUD,FLAC 24,
"2-27-2007 / Syracuse, NY / Oncenter (AKG C1000s) (claude sawyer)",AUD,FLAC,
"2-28-2007 / New York, NY / Madison Square Garden (DPA 4015) (christopher jones)",AUD,FLAC,
