"10-7-2009 / Sayreville, NJ / Starland Ballroom",AUD,FLAC
"10-27-2009 / Philadelphia, PA / Spectrum",AUD,FLAC
"10-28-2009 / Philadelphia, PA / Spectrum",AUD,FLAC
,,
[2010],,
"8-7-2010 / Chicago, IL / Grant Park - Lollapalooza",AUD,FLAC
,,
[2013],,
"4-14-2013 / Indio, CA / Coachella Music & Arts Festival",Webcast,DVD
"6-2-2013 / Houston, TX / Eleanor Tinsley Park (Zoom Q3HD) (bradleybee)",AUD,FLAC
,,
[2021],,
"10-10-2021 / Sacramento, CA / Discovery Park - Aftershock Festival (AT853s) (tj)",AUD,FLAC
,,
[2022],,
"7-13-2022 / Manchester, UK/ The Ritz (Rode Lavalier GO) (unk)",AUD,FLAC
"11-18-2022 / Menlo Park, CA / Guild Theatre (SP-CMC-4U + SBD) ",MIX,FLAC 24
"11-21-2022 / Menlo Park, CA / The Guild Theatre (SP-CMC-4U) (loughney)",AUD,FLAC
,,
[2023],,
"1-1-2023 / Menlo Park, CA / The Guild (SP-CMC-4U) (loughney)",AUD,FLAC
,,
[2024],,
"4-12-2024 / Chula Vista, CA / North Island Credit Union Amphitheatre (DPA 4081) (faninor)",AUD,FLAC 24
"4-14-2024 / Mesa, AZ / Mesa Amphitheater (Tascam DR-05) (unk) ",AUD,FLAC
"5-8-2024 / New York, NY / Pier 17 (Zoom iQ5) (paprick)",AUD,FLAC
"10-13-2024 / Sayreville, NJ / Starland Ballroom (Roland R-07) (unk) ",AUD,FLAC
"10-23-2024 / Tucson, AZ / Rialto Theater (Tascam DR05) (unk)",AUD,FLAC
"11-29-2024 / Anaheim, CA / House of Blues (DPA 4081) (faninor) ",AUD,FLAC 24
"12-10-2024 / San Francisco, CA / The Fillmore (Schoeps MK4) (lachtna)",AUD,FLAC 24
"12-27-2024 / Las Vegas, NV / House of Blues (AT853) (unk)",AUD,FLAC 24
,,
[2025],,
"7-4-2025 / Milwaukee, WI / Summerfest - Miller Lite Oasis Stage (Shure MV-88) (unk) ",AUD,FLAC 24
,,
[MISC],,
6-XX-1994 / Demos,,FLAC
Social Distortion - Modern Rock Live 1992,FM,MP3
,,
,,
,,
,,
,,
Mike Ness,Versions,File Type
Drive - A,,
,,
,,
[1999],,
"6-11-1999 / Boston, MA / Berklee Performance Center",AUD,FLAC
"6-25-1999 / Rome, NY / Woodstock 99'",SBD,FLAC
"8-7-1999 / Hollywood, CA / House of Blues",SBD,FLAC
"11-16-1999 / Denver, CO / Live Influences",FM,FLAC
"XX-XX-1999 / Atlanta, GA / APC Studios",FM,FLAC
