Smashing Pumpkins,Versions,File Type,
"10-26-1991 / Cleveland, OH / Music Hall - ANA(M) (unk)",AUD,SHN,
"10-30-1991 / Toronto, Ontario / Concert Hall - AUD>CASS(x) (unk)",AUD,FLAC,
"11-2-1991 / Burlington, VT / Memorial Auditorium (Sony PC62) (rcsguy)",AUD,FLAC,
"11-3-1991 / Springfield, MA / Civic Center - DAT(M) (AKG 451s) (tapeworm48 transfer)",AUD,FLAC,
"11-3-1991 / Springfield, MA / Civic Center - ANA(M) (PC-62) (unk)",AUD,FLAC,
"11-8-1991 / Upper Darby, PA / Tower Theater - ANA(3) (unk)",AUD,FLAC,
"11-11-1991 / New York, NY / Roseland Ballroom - ANA(?) (unk)",AUD,SHN,
"11-22-1991 / Detroit, MI / State Theater - DAT(1)>ANA(1) (Aiwa CM-30)",AUD,FLAC,
"11-29-1991 / Chicago, IL / Aragon Ballroom - AUD>ANA(?)",AUD,FLAC,
"12-4-1991 / Kansas City, KS / Memorial Hall - ANA(?) (unk)",AUD,FLAC,
"12-7-1991 / Houston, TX / Unicorn Ballroom - AUD>ANA",AUD,SHN,
"12-12-1991 / Norman, OK / Hollywood Theatre - VHS(x)",AUD,FLAC,
"12-12-1991 / Norman, OK / Hollywood Theatre - VHS(3) (nicholas serra)",AMT #1 (48k),FLAC,
"12-12-1991 / Norman, OK / Hollywood Theatre - VHS(3) (nicholas serra)",AMT #1,MKV,
"12-17-1991 / Los Angeles, CA / Whiskey A Go-Go *Daydream Kisses (HAWK013)",Silver CD,FLAC,
"12-17-1991 / Los Angeles, CA / Whiskey A Go-Go (D3 Cassette Master)",AUD,FLAC,
"12-17-1991 / Los Angeles, CA / Whiskey A Go-Go (D3 Cassette Master) (deadmarsh edit)",AUD,FLAC,
"12-18-1991 / Los Angeles, CA / Whiskey A Go-Go *Daydream Kisses (B Beauchamp remaster)",AUD,FLAC 24,*Could be 12/17
"12-22-1991 / Portland, OR / Portland Underground - VID(2) (unk)",AUD,SHN,
"12-22-1991 / Portland, OR / Portland Underground (unk)",AUD,DVD,
12-XX-1991 / Interview Disc (Carlton Book and Sound and Media Limited),Silver CD,FLAC,
"12-31-1991 / Chicago, IL / The Metro  - ANA(M) (ECM-909)",AUD #1,FLAC,
"12-31-1991 / Chicago, IL / The Metro  - ANA (ECM-909)",AUD,FLAC,
"12-31-1991 / Chicago, IL / The Metro  - VHS(3) (unk) (onkel442003 transfer)",AUD,DVD,
,,,
[1992],,,
"1-15-1992 / Hilversum, Netherlands / VPRO Radio - ANA(?) (unk)",FM,SHN,
"1-15-1992 / Hilversum, Netherlands / VPRO Radio - ANA(?) (traveller03)",FM,FLAC,
"1-17-1992 / Gent, Belgium / Vooruit - AUD>ANA(?)",AUD,FLAC,
"1-18-1992 / Eindhoven, NL /  Effenaar - AUD>ANA-L (unk) (dan elsen transfer)",AUD,FLAC,
"1-19-1992 / Den Haag, NL / Paard van Troje (unk) (ripped by fogelsong)",SBD,FLAC,
"1-20-1992 / Amsterdam, NL / Melkweg (Realistic tie-clip) - AUD>ANA",FM,SHN,
"1-20-1992 / Amsterdam, NL / Melkweg *We Are Here To Fuck You, Again",preFM,FLAC,
"1-20-1992 / Amsterdam, NL / Melkweg (bb 2023 remaster)",preFM,FLAC,
