Smashing Pumpkins,Versions,File Type,
"10-19-1997 / Mountain View, CA / Shoreline Amphitheater - DAT(M) (Schoeps MK4) (unk)",AUD,FLAC,
"10-19-1997 / Mountain View, CA / Shoreline Amphitheater- ANA(1) (Radio Shack SCR-59) (josh provost)",AUD,FLAC,
"10-19-1997 / Mountain View, CA / Shoreline Amphitheater - DAT(3) (Shure SM-57) ",AUD,FLAC,
"11-1-1997 / Fort Worth, TX / Texas Motor Speedway (CSBmod) (jack white)",AUD,FLAC,
"11-1-1997 / Fort Worth, TX / Texas Motor Speedway (Panasonic built-in) (strtj)",AUD,FLAC,
"11-1-1997 / Fort Worth, TX / Texas Motor Speedway - DAT(1) (ECM-717) (bryan freeman)",AUD #4,FLAC,
"11-3-1997 / Chicago, IL / Aragon Ballroom - DAT(1) (CSC) (mz transfer)",AUD #1,FLAC,
"11-3-1997 / Chicago, IL / Aragon Ballroom (AT-822) (unk)",AUD,FLAC,
"11-3-1997 / Chicago, IL / Aragon Ballroom - DAT(3) (CSC) ",AUD,FLAC,
"11-3-1997 / Chicago, IL / Aragon Ballroom - DDC(3) (CSC)",AUD (48k),FLAC,
"12-5-1997 / Miami, FL / Orange Bowl - DDC(3) (CSC)",AUD,FLAC,
"12-5-1997 / Miami, FL / Orange Bowl (CSC)",AUD,SHN,
,,,
[1998],,,
"1-15-1998 / Los Angeles, CA / Viper Room (CSB)",AUD,FLAC,
"1-15-1998 / Los Angeles, CA / Viper Room - ANA(1) (SM57) (ed davis)",AUD,FLAC,
"5-2-1998 / Chicago, IL / The Metro - ANA(1) (jason briggeman)",AUD,FLAC,
"5-12-1998 / London, UK / BBC Studios - Later with Jools Holland (mickyshambles rip)",FM,FLAC,
"5-12-1998 / London, UK / BBC Studios - Later with Jools Holland (Satellite Stream Capture)",PRO,DVD,
"5-14-1998 / Hamburg, DE / Spielbudenplatz - DAT(M) LP (Radio Fritz FM)",FM,FLAC,
"5-14-1998 / Hamburg, DE / Spielbudenplatz (Soundcheck) - ANA(x) (unk)",AUD,FLAC,
"5-14-1998 / Hamburg, DE / Spielbudenplatz - FM>ANA(M)",FM,SHN,
"5-14-1998 / Hamburg, DE / Spielbudenplatz (thir13en remaster)",FM,FLAC,
"5-14-1998 / Hamburg, DE / Spielbudenplatz (cool as ice cream)",PRO #1a,FLAC,
"5-14-1998 / Hamburg, DE / Spielbudenplatz (Viva TV) (Master)",PRO,DVD,
"5-16-1998 / Genova, Italy / Porto Antico - An Evening with TSP 98' Tour",FM,FLAC,
"5-16-1998 / Genova, Italy / Porto Antico - An Evening with TSP 98' Tour",FM #3,FLAC,
"5-16-1998 / Genova, Italy / Porto Antico - An Evening with TSP 98' Tour (complete)",FM,MP3,
"5-18-1998 / London, UK / Later with Jools Holland - BBC - TV>VHS(1) (pierre leroy transfer)",PRO #1a,FLAC,
"5-18-1998 / London, UK / Later with Jools Holland - BBC",PRO,DVD,
"5-18-1998 / London, UK / Nulle Parte Ailleurs (canal +)",TV #1,FLAC,
"5-19-1998 / Lisbon, Portugal / Aula Magna - FM>DAT",FM,FLAC,
"5-19-1998 / Lisbon, Portugal / Aula Magna (thir13en remaster)",FM,FLAC,
"5-19-1998 / Lisbon, Portugal / Aula Magna *Radio Love Transmission",FM #3,FLAC,
"5-20-1998 / Madrid, ES / RTVE Studios (Pro)",PRO #1,FLAC,
"5-20-1998 / Madrid, ES / RTVE Studios (Source 1)",PRO,DVD,
"5-20-1998 / Madrid, ES / RTVE Studios (Source 2) (spaldz transfer)",PRO,DVD,
"5-21-1998 / Bilbao, ES / Guggenheim Art Museum (TV Broadcast)",TV #1,FLAC,
"5-21-1998 / Bilbao, ES / Guggenheim Art Museum - VID(M)>MD(1)",SBD,SHN,
"5-21-1998 / Bilbao, ES / Guggenheim Art Museum - VID(M)>MD(1)",PRO #1a,FLAC,
"5-21-1998 / Bilbao, ES / Guggenheim Art Museum (Swedish TV Channel 1) (trekytt)",PRO,DVD,
"5-22-1998 / London, UK / TFI Friday - Riverside Studios *Transmission Commercial Boot (mickeyshambles rip)",FM,FLAC,
"5-22-1998 / London, UK / TFI Friday - Riverside Studios *Transmission Commercial Boot (mickeyshambles rip)",PRO #1,FLAC,
"5-23-1998 / London, UK / Sheperd's Bush Empire - ANA-L",TV,FLAC,
"5-23-1998 / London, UK / Sheperd's Bush Empire - VHS(M) (unk)",TV,FLAC,
"5-23-1998 / London, UK / Sheperd's Bush Empire (four source) (complete) (rhinowing)",MIX,FLAC,
"5-23-1998 / London, UK / Sheperd's Bush Empire (JVC)",TV,DVD,
"5-25-1998 / Stockholm, Sweden / Skansen Park *Tivoli",AUD,FLAC,
"5-25-1998 / Stockholm, Sweden / Skansen Park - ANA(x) (unk)",AUD #4,FLAC 24,
"5-25-1998 / Stockholm, Sweden / Skansen Park",PRO #1a,DVD,
"5-25-1998 / Stockholm, Sweden / Skansen Park",PRO,DVD,
"5-26-1998 / Copenhagen, DK / Tivoli Gardens (Denmark's Radio P3 Live)",FM,FLAC,
"5-26-1998 / Copenhagen, DK / Tivoli Gardens - VHS(5)",AUD,FLAC,
"5-26-1998 / Copenhagen, DK / Tivoli Gardens (complete) (Danish P3 Live & VHS(5)",FM,FLAC,
"5-28-1998 / Brussels, BE / Botanique Gardens - MD(x) (unk)",AUD #1,FLAC,
"5-28-1998 / Brussels, BE / Botanique Gardens *Transmission",FM,FLAC,
"5-28-1998 / Brussels, BE / Botanique Gardens FM>DAT (unk)",FM,FLAC,
"5-28-1998 / Brussels, BE / Botanique Gardens (Tear)",PRO,DVD,
"5-29-1998 / Nurburg, DE - Nuburgring - ANA(M) (TV Broadcast)",PRO #1a,FLAC,
"5-31-1998 / Dublin, Ireland / Olympia Theater FM>D8",FM,SHN,
"5-31-1998 / Dublin, Ireland / Olympia Theater - VHS(M) (bill mayer)",PRO #1a,FLAC,
"5-31-1998 / Dublin, Ireland / Olympia Theater ",PRO,DVD,
"6-1-1998 / Landgraaf, NL / Megaland - Pinkpop Festival *Perfect Tears",Silver CD,FLAC,
"6-4-1998 / Paris, France / Palais des Sports (DAT)",AUD,FLAC,
"6-4-1998 / Paris, France / Palais des Sports (ECM-717)",AUD,FLAC,
"6-4-1998 / Paris, France / Palais des Sports",PRO,FLAC,
"6-4-1998 / Paris, France / Palais des Sports (ECM-909A)",,SHN,
"6-4-1998 / Paris, France / Palais des Sports - VHS(M) (dreamer & nonocop)",PRO,DVD,
"6-5-1998 / Paris, France / Canal+ Studios (NPA) ",TV #1,FLAC,
"6-5-1998 / Paris, France / Canal+ Studios (NPA) - VHS(2) (josh provost)",PRO #1b,FLAC,
"6-5-1998 / Paris, France / NPA Studios (France 98 Compilation)",PRO,DVD,
"6-7-1998 / Rome, Italy / Gradinata dell'EUR - ANA(1) (unk)",AUD,FLAC,
"6-7-1998 / Rome, Italy / Gradinata dell'EUR - VHS(x) (unk)",AUD,DVD,
"6-9-1998 / Athens, Greece / Lycabettus Theater",SBD,FLAC,
"6-18-1998 / Sydney, Australia / Entertainment Centre (ECM-909) (unk)",AUD,FLAC,
"6-19-1998 / Sydney, Australia / International Shipping Harbor at Circular Quay ""Secret Gig"" FM>DAT",FM,SHN,
"6-19-1998 / Sydney, Australia / International Shipping Harbor at Circular Quay - FM>TV (eclect)",FM #3,FLAC,
"6-19-1998 / Sydney, Australia / International Shipping Harbor at Circular Quay (dazeychain)",TV,DVD,
"6-20-1998 / Melbourne, Australia / Melbourne Park - ANA(x) (Built-in) (unk)",AUD,FLAC,
"6-20-1998 / Melbourne, Australia / Melbourne Park - ANA(1?) (roman79 transfer)",AUD,FLAC,
"6-23-1998 / Tokyo, Japan / Nippon Budokan (Soundcheck) (D8/CSB)",AUD,FLAC,
"6-23-1998 / Tokyo, Japan / Nippon Budokan (CSB)",AUD #2,FLAC,
"6-23-1998 / Tokyo, Japan / Nippon Budokan",AUD,SHN,
"6-23-1998 / Tokyo, Japan / Nippon Budokan (Panasonic NV-SVB1) (unk)",AUD,DVD,
"6-24-1998 / Hachioji, Japan / Koyakuin University (AT-822) (unk)",AUD,FLAC,
"6-24-1998 / Hachioji, Japan / Koyakuin University - VID(x)",AUD,FLAC,
"6-24-1998 / Hachioji, Japan / Koyakuin University",FM,FLAC,
"6-25-1998 / Sydney, Australia / JJJ Studios - ANA(x) (FM>ANA)",FM,FLAC,
"6-30-1998 / San Francisco, CA / Bill Graham Civic Auditorium (Schoeps CCM4)",AUD,FLAC,
"6-30-1998 / San Francisco, CA / Bill Graham Civic Auditorium (CSB)",AUD,FLAC,
"6-30-1998 / San Francisco, CA / Bill Graham Civic Auditorium - DAT(2) (unk)",AUD,FLAC,
"6-30-1998 / San Francisco, CA / Bill Graham Civic Auditorium (MK4)",AUD,FLAC,
"6-30-1998 / San Francisco, CA / Bill Graham Civic Auditorium - VHS(1)",AMT #1,DVD,
"7-1-1998 / Los Angeles, CA / Universal Amphitheater - DAT(M) (CSBmod)",AUD,FLAC,
"7-1-1998 / Los Angeles, CA / Universal Amphitheater - VHS(x) (unk)",AUD,DVD,
"7-2-1998 / Los Angeles, CA / Universal Amphitheater - Hi8(M) - VHS(1) (ben golomb)",AUD,FLAC,
"7-2-1998 / Los Angeles, CA / Universal Amphitheater - ANA(M) (ijwthstd)",AUD,FLAC,
"7-2-1998 / Los Angeles, CA / Universal Amphitheater - Hi8(M) (unk)",AUD,DVD,
"7-2-1998 / Los Angeles, CA / Universal Amphitheater - Hi8(M) (unk) (AUD#1 sync)",AMT #1,MP4,
"7-5-1998 / Milwaukee, WI / Marcus Amphitheater (DSM-6) (unk)",AUD,FLAC,
"7-5-1998 / Milwaukee, WI / Marcus Amphitheater - DAT>ANA(1)",AUD,FLAC,
"7-7-1998 / Tinley Park, IL / New World Music Theater ""Make A Wish"" - DAT(x) (MD)",AUD,FLAC,
"7-8-1998 / Detroit, MI / State Theater - ANA(M) (unk)",AUD,FLAC,
"7-9-1998 / Chicago, IL / Q101 Studios - FM>ANA",FM,FLAC,
"7-10-1998 / Fort Worth, TX / Will Rodgers Auditorium - DAT(M) (DSM-6S) (chris milazzo)",AUD,FLAC,
"7-10-1998 / Fort Worth, TX / Will Rodgers Auditorium (Sennheiser MKE2) (unk)",AUD,FLAC,
"7-12-1998 / Houston, TX / Aerial Theater (fares halteh edit)",preFM,FLAC,
"7-12-1998 / Houston, TX / Aerial Theater - VHS(x)",PRO,DVD,
"7-13-1998 / Chicago, IL / CRC Studios (Rockline interview)",FM,MP3,
"7-14-1998 / Bonner Springs, KS / Sandstone Ampitheatre (MKE2)",AUD,FLAC,
"7-15-1998 / Oklahoma City, OK / All Sports Stadium (MKE2) (bryan freeland)",AUD #1,FLAC,
"7-15-1998 / Oklahoma City, OK / All Sports Stadium - DAT(x) (MKE2)",AUD,FLAC,
"7-17-1998 / Minneapolis, MN / Heenepin Avenue Block Party (DSM-6S)",AUD,SHN,
"7-17-1998 / Minneapolis, MN / Heenepin Avenue Block Party ",,,
"7-17-1998 / Minneapolis, MN / Hennepin Avenue (Block E) (VHS)",AUD,DVD,
"7-19-1998a / Toronto, Ontario / Much Music Studios - Chum City Building (Soundcheck) - DAT(M) (CSB)",AUD,FLAC,
"7-19-1998 / Toronto, Ontario / Much Music Studios *Insincere & Insolent (TB 049)",Silver CD,FLAC,
"7-19-1998 / Toronto, Ontario / Much Music Studios - VHS(x)",PRO,DVD,
"7-20-1998 / Toronto, ON / Street Outreach Servixces (Early) (MuchMusic Broadcast) - VHS(x) (stumpycat)",PRO #1,FLAC,
"7-20-1998a / Toronto, Ontario / Massey Hall (w/ soundchecks) - DAT(M) (CSB)",AUD #1,FLAC,
"7-20-1998 / Toronto, Ontario / Massey Hall - DAT(2) (MKE2)",AUD #1,FLAC,
"7-20-1998 / Toronto, Ontario / Massey Hall (unk)",AMT #1,DVD,
"7-21-1998 / Cuyahoga Falls, OH / Blossom Music Theater - DAT(4) (MKE2)",AUD,SHN,
"7-22-1998 / Cincinnati, OH / Riverbend Music Center - DAT(M) (Sony 737>D8)",AUD,SHN,
"7-28-1998 / Upper Darby, PA / Tower Theater",preFM,SHN,
"7-28-1998 / Upper Darby, PA / Tower Theater (post FM) (andy)",FM #2,FLAC,
"7-29-1998 / Washington, D.C. / D.A.R. Constitution Hall (CSB)",FM,FLAC,
"7-29-1998 / Washington, D.C. / D.A.R. Constitution Hall - FM>DAT (unk)",FM,FLAC,
"7-29-1998 / Washington, D.C. / D.A.R. Constitution Hall (Internal Mic) (lostbrook)",FM,FLAC,
"7-30-1998 / New York, NY / 53rd Street - DAT(M) (FM/TV) (unk)",FM,FLAC,
"7-30-1998 / New York, NY / 53rd Street (inc broadcast)",FM #1,FLAC,
"7-30-1998 / New York, NY / 53rd Street - MD(M) (CSBmod) ",AUD,FLAC,
"7-30-1998 / New York, NY / 53rd Street - In-house Promo VHS - VHS(x) (magikarp99)",TV,FLAC,
"7-30-1998 / New York, NY / 53rd Street - Beta(M) (unk)",PRO #1,FLAC,
"7-30-1998 / New York, NY / 53rd Street (unk transfer) (magikarp99)",PRO #1c,FLAC,
"7-30-1998 / New York, NY / 53rd Street - VHS(x)",PRO,DVD,
"7-31-1998 / Boston, MA / Orpheum Theater - FM>DAT (unk)",FM,FLAC,
"8-1-1998 / New York, NY / Radio City Music Hall (CSB)",AUD,FLAC,
"8-1-1998 / New York, NY / Radio City Music Hall (MZr-55) (spfreak77)",AUD,FLAC,
"8-1-1998 / New York, NY / Radio City Music Hall (handheld Hi8) (2 cam mix)",AUD,DVD,
"8-2-1998 / New York, NY / Radio City Music Hall (CSB)",AUD,FLAC,
"8-2-1998 / New York, NY / Radio City Music Hall (Panasonic Tape Recorder) (xdx)",AUD,FLAC,
"8-2-1998 / New York, NY / Radio City Music Hall - DAT(x) (Schoeps CMC5-MK4) (boris lvovsky)",AUD #5,FLAC,
"8-2-1998 / New York, NY / Radio City Music Hall - Hi8(M)",AMT #1,DVD,
"8-4-1998 / New York City, NY / Unknown Venue - Live with Regis and Kathie Lee - VHS(M)>CDR",PRO #1a,SHN,
"8-4-1998 / Atlanta, GA / Fox Theatre (99X Atlanta)",FM,FLAC,
"8-5-1998 / Nashville, TN / Grand Ole Opry (Acoustic show) (CSBmod)",AUD,SHN,
"8-6-1998 / Charlotte, NC / Ovens Auditorium - FM>DAT",FM,FLAC,
"8-8-1998 / Sunrise, FL / Sunrise Musical Theatre (unk)",AUD,FLAC,
"8-8-1998 / Sunrise, FL / Sunrise Musical Theatre - DAT(M) (ECM-44B) (jon duchin)",AUD #1,FLAC,
"8-11-1998 / Mexico City, MX / Palacio de los Deportes (Promo CD)",AUD,FLAC,
"8-11-1998 / Mexico City, MX / Palacio de los Deportes",AUD,SHN,
"8-17-1998 / Sao Paulo, BR / SBT Studios - VHS(1) (andrew fogelsong)",TV,FLAC,
"8-19-1998 / Santiago, Chile / Centro Cultural Estacion Mapocho (TV Broadcast) - VHS(1)",PRO #1b,FLAC,
"8-19-1998 / Santiago, Chile / Centro Cultural Estacion Mapocho (TV>VHS)",PRO,DVD,
"8-21-1998 / Buenos Aires, Argentina / Parque Sarmiento (Aiwa JS345) (espheni)",AUD,FLAC,
"8-21-1998 / Buenos Aires, Argentina / Parque Sarmiento (Late) ",TV,FLAC,
"8-21-1998 / Buenos Aires, Argentina / Parque Sarmiento - ANA(2) (unk)",AUD,SHN,
"8-21-1998 / Buenos Aires, Argentina / Parque Sarmiento (Much Music Early show) - VHS(1)",PRO,DVD,
"8-21-1998 / Buenos Aires, Argentina / Parque Sarmiento (Much Music)",PRO,DVD,
"9-26-1998 / New York, NY / Rockefeller Center - Studio H - SNL - Beta(M)",PRO #1,FLAC,
"10-23-1998 / New York, NY / VH1 Fashion Awards - TV>VID(M)",PRO #1,FLAC,
"10-25-1998 / New York, NY / Unknown Venue - VH1 Fashion Awards TV>VID(M)",TV,SHN,
"10-31-1998 / Los Angeles, CA / Dodger Stadium - DAT(x) (MKE2)",AUD,FLAC,
"10-31-1998 / Los Angeles, CA / Dodger Stadium - DAT(M) (DAT>CSC)",AUD,SHN,
"10-31-1998 / Los Angeles, CA / Dodger Stadium - WAV(M) *Kiss: The Psycho Circus Concert Special Radio Promo (muldoon)",SBD #1b,FLAC,
"10-31-1998 / Los Angeles, CA / Kiss Ultimate Halloween Party - Beta(M) (unk)",PRO #1b,FLAC,
"12-12-1998 / Los Angeles, CA / Shrine Auditorium - Hi8(M)",AUD,DVD,
,,,
[1999],,,
"4-10-1999a / Detroit, MI / St. Andrews Hall (Soundcheck) (mono webcast) (rhinowing)",AUD,FLAC,
"4-10-1999 / Detroit, MI / St. Andrews Hall - DAT(M) (Sony 959A) (g.m.)",AUD,FLAC,
"4-10-1999 / Detroit, MI / St. Andrews Hall (CSBmod>MS702)",AUD #3,FLAC,
"4-10-1999 / Detroit, MI / St. Andrews Hall - CSBmod>M1",AUD,FLAC,
"4-10-1999 / Detroit, MI / St. Andrews Hall - CSB>D8",AUD #4,SHN,
"4-10-1999 / Detroit, MI / St. Andrews Hall - CSB>D8",AUD #4,FLAC,
"4-12-1999 / Cincinnati, OH / Bogarts - DAT(2) (CSBmod)",AUD,SHN,
"4-12-1999 / Cincinnati, OH / Bogarts - DAT(M) (Countryman Isomax II) (msd)",AUD,FLAC,
"4-12-1999 / Cincinnati, OH / Bogarts (unk)",SBD #1a,MP3,
"4-14-1999 / New York, NY / Tramps - MD(M) (unk)",AUD,FLAC,
"4-14-1999 / New York, NY / Tramps (SBD lossy source + AUD) (beauchamp mix)",MIX,FLAC 24,
"4-15-1999 / Washington, D.C. / 930 Club (inc) - MD(x) (CSB) (spfreak77)",AUD,FLAC,
"4-15-1999 / Washington, D.C. / 930 Club (CSBmod) (unk)",AUD,SHN,
"4-17-1999 / Pittsburgh, PA / Metropol (CSBmod) (unk)",AUD,FLAC,
"4-17-1999 / Pittsburgh, PA / Metropol - DAT(M) (Schoeps CCM4)",AUD #1,FLAC,
"4-17-1999 / Pittsburgh, PA / Metropol - DAT(2) (CSBmod) (mike ziegler)",AUD #2,FLAC,
"4-17-1999 / Pittsburgh, PA / Metropol (CSB) (spfreak77)",AUD,FLAC,
"4-19-1999 / Denver, CO / Ogden Theater - MD(M) (SM58)",AUD,FLAC,
"4-19-1999 / Denver, CO / Ogden Theater - MD(M) SM58>MZ-R30 (projecte)",AUD,FLAC,
"4-19-1999 / Denver, CO / Ogden Theater (unk) (jeff loder)",AUD,FLAC,
"4-21-1999 / Phoenix, AZ / Celebrity Theatre (MKE2s)",AUD,FLAC,
"4-21-1999 / Phoenix, AZ / Celebrity Theatre (CSB>Sony MD)",AUD,FLAC,
"4-21-1999 / Phoenix, AZ / Celebrity Theatre (CSHEB) (unk)",AUD,FLAC,
"4-23-1999 / San Diego, CA / Spreckels Theater - DAT(M) (MK4) (unk)",AUD,FLAC,
"4-23-1999 / San Diego, CA / Spreckels Theater - DAT(2) (CSHEB) (fogelsong transfer)",AUD #3,FLAC,
"4-23-1999 / San Diego, CA / Spreckels Theater - Hi8(M)>VHS(1)",AUD,DVD,
"4-24-1999 / Los Angeles, CA / The Roxy (CSBmod) (unk)",AUD,FLAC,
"4-24-1999 / Los Angeles, CA / The Roxy (2024 remaster) (lordflapjack)",AUD,FLAC,
"10-30-1999 / Mountain View, CA / Shoreline Amphitheater - DAT(1) (SS-DSM6)",AUD,FLAC,
"10-30-1999 / Mountain View, CA / Shoreline Amphitheater (Schoeps MK4)",AUD,SHN,
"10-30-1999 / Mountain View, CA / Shoreline Amphitheater ",PRO,DVD,
"10-31-1999 / Mountain View, CA / Shoreline Amphitheater - DAT(1) (SS-DSM6)",AUD,FLAC,
"10-31-1999 / Mountain View, CA / Shoreline Amphitheater (Schoeps MK4)",AUD,SHN,
"10-31-1999 / Mountain View, CA / Shoreline Amphitheater ",PRO,DVD,
"12-20-1999 / Chicago, IL / Metro - MD(x) (CSB) (spfreak77)",AUD,FLAC,
"12-20-1999 / Chicago, IL / Metro (CSB>MZ-R55)",AUD,FLAC,
"12-20-1999 / Chicago, IL / Metro (CSBmod)",AUD,FLAC,
"12-21-1999 / Chicago, IL / Metro (CSBmod) (jason briggeman)",AUD,FLAC,
"12-21-1999 / Chicago, IL / Metro - MD(x) (CSB) (spfreak77)",AUD,FLAC,
"12-21-1999 / Chicago, IL / Metro (JBTV) - VHS(3?)",PRO,DVD,
"12-29-1999 / Dublin, Ireland / Vicar Street Bar - ANA(2) (unk)",AUD,FLAC,
,,,
[2000],,,
"1-7-2000 / Stockholm, Sweden / Cirkus (bocaj)",FM,FLAC,
"1-7-2000 / Stockholm, Sweden / Cirkus - MD(M)",AUD,FLAC,
"1-7-2000 / Stockholm, Sweden / Cirkus - WAV(M) FM (patch - ECMTS120) (complete)",AUD,FLAC,
"1-7-2000 / Stockholm, Sweden / Cirkus (thir13en)",FM,FLAC,
"1-9-2000 / Copenhagen, Denmark / Cirkusbygningen - ANA(x) (Built-in mic)",AUD,FLAC,
"1-11-2000 / Muenchen, Denmark / Muffathalle (unk)",AUD,SHN,
"1-12-2000 / Milan, Italy / Alcatraz (ECM-909) (unk)",AUD,FLAC,
"1-15-2000 / Lisboa, Portugal / Coliseu dos Recreios - MD(M) (ECM-717) (ziggyswoon)",AUD,FLAC,
"1-15-2000 / Lisboa, Portugal / Coliseu dos Recreios MD>ECM-717",AUD,SHN,
"1-17-2000 / Paris, France / Canal+ (Satellite TV>DAT) (mlois edit)",TV #1,FLAC,
"1-17-2000 / Paris, France / Canal+ (Promo VHS) (unk)",PRO #1,FLAC,
"1-17-2000 / Paris, France / Canal+ (Promo VHS)",PRO,DVD,
"1-18-2000 / Paris, France / Elysee Montmartre (Marantz EM8)",AUD,FLAC,
"1-18-2000 / Paris, France / Elysee Montmartre (ECM-717)",AUD,FLAC,
"1-19-2000 / Brussels, Belgium / Cirque Royale (CSBmod)",AUD,FLAC,
"1-19-2000 / Brussels, Belgium / Cirque Royale (MD)",AUD,FLAC,
"1-22-2000 / London, UK / Dominion Theatre - MD(M) (CSB)",AUD,FLAC,
"1-24-2000 / Utrecht, The Netherlands / Muziekcentrum Vredenburg ""Het Lek"" Radio 3FM Broadcast (magnix)",FM,SHN,
"1-24-2000 / Utrecht, The Netherlands / Muziekcentrum Vredenburg (ECM-TS120)",AUD,FLAC,
"1-24-2000 / Utrecht, The Netherlands / Muziekcentrum Vredenburg - TV>DAT",TV,FLAC,
"1-24-2000 / Utrecht, The Netherlands / Muziekcentrum Vredenburg - VHS(1)",TV,DVD,
"1-30-2000 / Los Angeles, CA / ABC Studios - Politically Incorrect (TV>DAT(x)",TV #1,FLAC,
"1-31-2000 / Lawrence, KS / Granada Theater - ANA(x)",AUD,FLAC,
2-XX-2000 / Interview by Jim Nelson of the Album Network (CDHUTIV 59),Silver CD,FLAC,
"2-5-2000 / Portland, OR / Berbati's Pan (CSBmod) (swinny)",AUD,FLAC,
"2-5-2000 / Portland, OR / Berbati's Pan - ANA(x) (TCM-17) (unk)",AUD,FLAC,
"2-6-2000 / Palo Alto, CA / Edge (Schoeps CCM4) (unk)",AUD,FLAC,
"2-8-2000 / Las Vegas, NV / Huntridge Theatre (ECM-717) (unk)",AUD,FLAC,
"2-10-2000 / Tempe, AZ / Bostone's (CSBmod) (ed davis)",AUD,FLAC,
"2-12-2000 / Dallas, TX / Deep Ellum Live - DAT(M) (SS-DSM-6S)",AUD,FLAC,
"2-12-2000 / Dallas, TX / Deep Ellum Live - DAT(M) (SS-DSM-6S) (chris milazzo)",AUD,FLAC,
"2-12-2000 / Dallas, TX / Deep Ellum Live - DAT(M) (SS-DSM-6S) (complete)",AUD,FLAC,
"2-12-2000 / Dallas, TX / Deep Ellum Live - DAT(M) (CSBmod) (arnold leal)",AUD #3,FLAC,
"2-14-2000 / Birmingham, AL / Five Points Music Hall (ECM-717)",AUD,FLAC,
"2-16-2000 / Miami, FL / Specs Music (ECM-44B)",AUD #1,FLAC,
"2-19-2000 / Carrboro, NC / Cat's Cradle",AUD,FLAC,
"2-19-2000 / Carrboro, NC / Cat's Cradle - DAT(x) (d. weeks)",AUD,FLAC,
"2-19-2000 / Carrboro, NC / Cat's Cradle - MD(M) (AT-?) (unk)",AUD #3,FLAC,
"2-23-2000 / Albany, NY / Colonie Center Mall (CSBmod) (unk)",AUD,FLAC,
"2-23-2000 / Albany, NY / Colonie Center Mall (CSB) (spfreak77)",AUD,FLAC,
"2-27-2000 / Urbana, IL / Canopy Club (Soundcheck) - DAT(M) (CSBmod)																			",AUD,FLAC,
"2-27-2000 / Urbana, IL / Canopy Club - AUD>MD (unk)",AUD,FLAC,
"2-29-2000 / New York, NY / HMV (CSB) (unk)",AUD,FLAC,
"3-2-2000 / Providence, RI / Lupo's (CSB) (spfreak77)",AUD,FLAC,
"3-2-2000 / Providence, RI / Lupo's - DAT(x) (SS-DSM6)",AUD,FLAC,
"3-2-2000 / Providence, RI / Lupo's - DAT(x) (SS-DSM6) - DAT(M) (CSBmod) (dave asselin)",AUD #3,FLAC,
"3-5-2000 / Hollywood, CA / Virgin Megastore (CSBmod) (unk)",AUD,FLAC,
"3-6-2000 / Los Angeles, CA / KROQ Studios - Kevin & Bean Show (BC and JC Interview) - ANA(M) (FM>ANA)",FM,FLAC,
"3-7-2000 / Seattle, WA / KNDD Studios Interview- FM>R300",FM #1,FLAC,
"3-7-2000 / Seattle, WA / KNDD Studios - FM>DAT",FM,SHN,
"3-7-2000 / Seattle, WA / KNDD Studios (thir13en remaster)",FM,FLAC,
"3-9-2000 / New York, NY / TImes Square - MTV Studios (CSB) (spfreak77)",AUD,FLAC,
"3-9-2000 / New York, NY / TImes Square - MTV Studios - DVB>VHS",TV,DVD,
"3-10-2000 / Montreal, Quebec / MusiquePlus Studios (SS-DSM-6S)",AUD #1,FLAC,
"3-10-2000 / Montreal, Quebec / MusiquePlus Studios - VHS(M)>MiniDV(M) (unk)",PRO #2,FLAC,
"3-10-2000 / Montreal, Quebec / MusiquePlus Studios ",PRO,DVD,
"3-11-2000 / Montreal, Quebec / Spectrum (DSM-6S) (f. halteh)",AUD,FLAC,
"3-12-2000 / Toronto, Ontario / Guvernment (SS-DSM6S)",AUD,FLAC,
"4-8-2000 / Kansas City, KS / Memorial Hall (CSB) (unk)",AUD,FLAC,
"4-8-2000 / Kansas City, KS / Memorial Hall (CSBmod) (jason briggeman)",AUD,SHN,
"4-10-2000 / St. Louis, MO / American Theater (SPPB) (34)",AUD,FLAC,
"4-12-2000 / Minneapolis, MN / Northrop Auditorium (CSB) (pjp)",AUD,FLAC,
"4-12-2000 / Minneapolis, MN / Northrop Auditorium (CSBmod) ",AUD,FLAC,
"4-12-2000 / Minneapolis, MN / Northrop Auditorium (STBCM1)",AUD,FLAC,
"4-13-2000 / Milwaukee, WI / Rave Ballroom (CSBmod > D100)",AUD,FLAC,
"4-13-2000 / Milwaukee, WI / Rave Ballroom (CSBmod > M1)",AUD,FLAC,
"4-15-2000 / Chicago, IL / Aragon Ballroom (CSB) (spfreak77)",AUD,FLAC,
"4-15-2000 / Chicago, IL / Aragon Ballroom (unk)",AUD,SHN,
"4-16-2000 / Chicago, IL / Aragon Ballroom - DAT(M) (krw_co)",FM,FLAC,
"4-16-2000 / Chicago, IL / Aragon Ballroom - DAT(1) (fogelsong transfer)",FM #1,FLAC,
"4-16-2000 / Chicago, IL / Aragon Ballroom (j. messer)",FM,FLAC,
"4-16-2000 / Chicago, IL / Aragon Ballroom (thir13en remaster) (Version 1)",FM,FLAC,
"4-16-2000 / Chicago, IL / Aragon Ballroom (thir13en remaster (Version 2)",FM,FLAC,
"4-18-2000 / West Lafayette, IN / Elliot Hall of Music (CSB) (unk)",AUD,FLAC,
"4-19-2000 / Ann Arbor, MI / Hill Auditorium (DPA 4061)",AUD,FLAC,
