"4-28-2004 / Austin, TX / Stubb's BBQ (DSM-6S) (brian graves)",AUD,FLAC
"5-1-2004 / Indio, CA / Coachella Festival (SP-CMC-8) (robin cunningham)",AUD,FLAC
"5-5-2004 / Portland, OR / Crystal Ballroom (Sharp MS722) (kris scheurich)",AUD,FLAC
"5-6-2004 / Seattle, WA / Showbox (AT831) (jarod watson)",AUD,FLAC
"9-28-2004 / Boston, MA / Fleet Center (ATM41a) (nate roth)",AUD,FLAC
"10-2-2004 / Toledo, OH / Toldedo Sports Arena (DPA 4022) (george wang)",AUD,FLAC
"10-5-2004 / St. Louis, MO / Fox Theatre (ATM41a) (nate roth)",AUD,FLAC
"10-6-2004 / Asheville, NC / Asheville Civic Center (DPA 4022) (george wang)",AUD,FLAC
"10-17-2004 / Pontiac, MI / Clutch Cargo's (DAB) (sullen)",AUD,FLAC
"10-26-2004 / Nashville, TN / Rockettown (unk)",SBD,FLAC
"10-30-2004 / Austin, TX / Stubb's BBQ (DSM-6S) (brian graves)",AUD,FLAC
"11-9-2004 / Seattle, WA / Paramount Theater (Marshall MXL 1006BPs)  (jarod watson)",AUD,FLAC
,,
[2005],,
"7-24-2005 / Chicago, IL / Grant Park (Lollapalooza) (DAB) (richard simms)",AUD,FLAC
"7-30-2005 / San Diego, CA / Street Scene - Best Buy Stage (AT831) (b.a. baracus)",AUD,FLAC
"8-6-2005 / Bend, OR / Les Schwab Ampitheatre (Schoeps MK4s) (robertd)",AUD,FLAC
"8-30-2005 / Seattle, WA / KEXP Studios",WEB,FLAC
"9-24-2005 / Austin, TX / Zilker Park - Cingular Stage (Neumann U89) (cqbert)",AUD,FLAC
"9-24-2005 / Austin, TX / Zilker Park - Cingular Stage - ACL Festival (DSM-6S) (cliff robinson)",AUD,FLAC
"11-16-2005 / Portland, OR / Crystal Ballroom (DPA 4061) (ryan olsen)",AUD,FLAC
"11-17-2005 / Portland, OR / Crystal Ballroom (DPA 4061) (ryan olsen)",AUD,FLAC
,,
[2006],,
"2-4-2006 / Malm, Sweden / Kulturbolaget",FM,FLAC
"2-12-2006 / Bielefeld, Germany / Kamp (MBHO) (unk)",AUD,FLAC
"2-15-2006 / Heidelberg, Germany / Karlstorbahnhof (MBHO) (unk)",AUD,FLAC 24
"3-18-2006 / London, England / Maida Vale Studios - BBC Radio 2",FM,FLAC
"4-4-2006 / St. Louis, MO / The Pageant Theatre (CSSC) (shane e. calhoon)",AUD,SHN
"4-17-2006 / Toronto, Ontario / Ricoh Coliseum (SP-CMC-8) (dave caley)",AUD,FLAC
"6-16-2006 / Manchester, TN / Which Stage, Bonnaroo Music Festival (Earthworks SR-77) (scuba jeremy)",AUD,FLAC
"6-25-2006 / Amsterdam, Holland / Paradiso (CSC) (unk)",AUD,FLAC
"7-3-2006 / Malm, Sweden / Folkets Park - Main Stage (DPA 4061) (unk)",AUD,FLAC
"10-27-2006 / Rochester, NY / Rochester Auditorium (Schoeps MK4) (daniel godwin)",AUD,FLAC
"11-27-2006 / St. Louis, MO / The Pageant Theatre (CSSC) (shane e. calhoon)",AUD,SHN
,,
[2008],,
"4-26-2008 / Indio, CA / Empire Polo Field - Coachella (DSM6) (unk)",AUD,FLAC
"6-10-2008 / Brooklyn, NY /  McCarren Park Pool (DPA 4021) (nyctaper)",AUD,FLAC
"6-23-2008 / Santa Monica, CA / KCRW Studios",FM,FLAC
7-5-2008 / Sweden / Arvikafestivalen ,FM,FLAC
"7-27-2008 / Pemberton, BC / Pemberton Music Festival (CA ST-11) (seth)",AUD,FLAC
"9-1-2008 / Seattle, WA / Bumbershoot (KM140s) (mike vernal)",AUD,FLAC
,,
[2011],,
"10-2-2011 / St. Louis, MO / The Pageant Theatre (Tascam DR-07) (shane e. calhoon)",AUD,FLAC
,,
[2012],,
"4-17-2012 / Chicago, IL / Chicago Theatre (Fuse Webcast)",WEB,FLV
