Nine Inch Nails,Versions,File Type
"8-11-1991 / Stanhope, NJ / Waterloo Village (Lollapalooza)",AUD,FLAC
"8-11-1991 / Stanhope, NJ / Waterloo Village (Lollapalooza) (unk)",AUD,MP3
"8-14-1991 / Stanhope, NJ / Waterloo Village (Lollapalooza) (billydee)",AUD,FLAC
"8-16-1991 / Washington, D.C. / Lake Fairfax (Lollapalooza) (unk)",AUD,FLAC
"8-18-1991 / Atlanta, GA / Lakewood Amphitheater (Lollapalooza) (ECM-909) (jl)",AUD,FLAC
"8-20-1991 / Orlando, FL / Central Florida Fairgrounds (Lollapalooza) - 8MM(M) (Sony EVO-520)",AUD,MP4
"8-20-1991 / Orlando, FL / Central Florida Fairgrounds (Lollapalooza) (Sony WM-D3)",AUD,FLAC
"8-24-1991 / Mannheim, Germany / Maimarktgelande (stefan)",AUD,FLAC
"9-1-1991 / Rotterdam, Holland / PRO Radio Show",FM,FLAC
"9-1-1991 / Rotterdam, Holland / PRO Radio Show *A Demon Possessed",Silver CD,FLAC
"9-1-1991 / Rotterdam, Holland / PRO Radio Show *Solid Gold Hell",Silver CD,FLAC
"9-2-1991 / Brussels, Belgium / Beligne (WM-D3)",AUD,FLAC 24
"9-3-1991 / Paris, France / Le Bataclan (unk)",AUD,FLAC
"9-7-1991 / Newcastle, England / Newcastle Riverside (unk)",AUD,FLAC
"9-10-1991 / Birmingham, UK / Goldwyn's (unk)",AUD,FLAC
"9-13-1991 / London, UK / Astoria",AUD,FLAC
"9-13-1991 / London, UK / Astoria (wolfe transfer)",AUD,MP4
,,
[1994],,
"3-14-1994 / Las Vegas, NV / Huntridge Theater (Aiwa) (unk)",AUD,FLAC
"3-18-1994 / Phoenix, AZ / The Roxy (ab)",AUD,FLAC
"4-19-1994 / Seattle, WA / Moore Theatre *Familiar Sting (SS Mics+Sony TCD-D3) (ed phernetton)",Silver CD,FLAC
"4-19-1994 / Seattle, WA / Moore Theatre - DAT(M) (SS Mics+Sony TCD-D3) (ed phernetton)",AUD,FLAC
"4-20-1994 / Seattle, WA / Moore Theatre *Crossing Nails (SS Mics+Sony TCD-D3) (ed phernetton)",Silver CD,FLAC
"4-23-1994 / San Francisco, CA / The Warfield (Sony WM-D3) (sal e.)",AUD,FLAC
"4-23-1994 / San Francisco, CA / The Warfield (unk)",AUD,FLAC
"4-26-1994 / Hollywood, CA / Palace - ANA(M) (PC62) ",AUD,FLAC
"4-26-1994 / Hollywood, CA / Palace (unk)",AUD,FLAC
"4-27-1994 / Hollywood, CA / *March of the Pigs (Teddy Bear 54)",Silver CD,FLAC
"4-30-1994 / San Diego, CA / Montezuma Hall at San Diego State University (Schoeps MK4) (unk)",AUD,FLAC
"5-3-1994 / Dallas, TX / Bomb Factory (ECM-155) (mr fang)",AUD,FLAC
"5-4-1994 / Houston, TX / International Ballroom *Self Destructive Men",Silver CD,FLAC
"5-5-1994 / New Orleans, LA / *Coming Down Fast (SS Mics) (jl)",Silver CD,FLAC
"5-7-1994 / Chicago, IL / The Riviera - DAT(M) (SS-DSM3) (d. merz)",AUD,FLAC
"5-7-1994 / Chicago, IL / The Riviera (ECM-S220) (jb)",AUD (48k),FLAC
"5-7-1994 / Chicago, IL / The Riviera (unk)",AUD,FLAC
"5-11-1994 / Boston, MA / Boston Center for the Arts (inc) (unk)",AUD,FLAC
"5-14-1994 / New York, NY / Roseland Ballroom (unk)",AUD,FLAC
"5-14-1994 / New York, NY / Roseland Ballroom - DAT(M) (unk) (gp)",AUD (48k),FLAC
"5-15-1994 / Philadelphia, PA / Tower Theatre (unk)",AUD,FLAC
"5-15-1994 / Philadelphia, PA / Tower Theatre (unk)",AUD,FLAC
"5-20-1994 / Wolverhampton, UK / Civic Hall (unk)",AUD,FLAC
"5-21-1994 / Glasgow, Scotland / The Barrowlands (unk)",AUD,FLAC
"5-22-1994 / Manchester, England / The Academy (unk)",AUD,FLAC
"5-24-1994 / London, UK / The Forum (unk)",AUD,DVD
"5-26-1994 / London, UK / The Forum",SBD,FLAC
"5-26-1994 / London, UK / The Forum (unk) (master)",SBD,DVD
"5-26-1994 / London, UK / The Forum *Hammering It Home",Silver CD,FLAC
"5-26-1994 / London, UK / The Forum *Shallow Grave",Silver CD,FLAC
"5-30-1994 / Paris, France / Le Bataclan (unk)",AUD,FLAC
"5-31-1994 / Amsterdam, Holland / Paradiso",AUD,FLAC
"6-8-1994 / Dusseldorf, Germany / Tor 3 (Live Snippets and Interview)",PRO,MP4
"6-8-1994 / Dusseldorf, Germany / Tor 3 *Terrible Live Lie (Dead Dog Records SE-451)",Silver CD,FLAC
"8-3-1994 / Poughkeepsie, NY / Mid-Hudson Civic Center (8mm camera) (unk)",AUD,FLAC
"8-3-1994 / Poughkeepsie, NY / Mid-Hudson Civic Center - Hi8(M) (unk)",AUD,DVD
"8-6-1994 / Barrie, Ontario / Molson Park (CSB) (mark weygandt)",AUD,FLAC
"8-6-1994 / Barrie, Ontario / Molson Park (MKE2002s) (ms)",AUD (48k),FLAC
"8-6-1994 / Barrie, Ontario / Molson Park (unk)",AUD,FLAC
"8-11-1994 / Fairfax, VA / Patriot Center (unk)",AUD,FLAC
"8-11-1994 / Fairfax, VA / Patriot Center (unk)",AUD,DVD
"8-13-1994 / Saugerties, NY / Woodstock 94' (SS DSM-6P) (sh)",AUD,FLAC
"8-13-1994 / Saugerties, NY / Woodstock 94' (PPV) (acetboy)",SBD,FLAC 24
