Nine Inch Nails,Versions,File Type
"4-14-2000 / Auburn Hills, MI / The Palace of Auburn Hills (unk)",AUD,MP3
"4-15-2000 / Columbus, OH / Value City Arena @ Schottenstein Center (CSC) (rudy)",AUD,FLAC
"4-17-2000 / Minneapolis, MN / Target Center (SS DSM/6L) (ck)",AUD,FLAC
"4-18-2000 / Milwaukee, WI / U.S. Cellular Arena (CSC) (joe s.)",AUD,FLAC
"4-21-2000 / Chicago, IL / UIC Pavilion (Sony D8) (jb)",AUD (48k),FLAC
"4-21-2000 / Chicago, IL / UIC Pavilion (unk)",AUD,FLAC
"4-21-2000 / Chicago, IL / UIC Pavilion - DAT(M) (Oade) (unk)",AUD,FLAC
"4-21-2000 / Chicago, IL / UIC Pavilion (unk)",AUD,DVD
"4-22-2000 / Madison, WI / Dane County Expo Center (CSC) (joe s.)",AUD,FLAC
"4-22-2000 / Madison, WI / Dane County Expo Center (unk)",AUD,FLAC
"4-25-2000 / Grand Rapids, WI / Van Andel Arena (unk)",AUD,FLAC
"4-26-2000 / Chicago, IL / UIC Pavilion (Sony D8) (jb)",AUD,FLAC
"4-28-2000 / Toronto, Ontario / Maple Leaf Gardens (unk)",AUD,FLAC
"4-29-2000 / Buffalo, NY / HSBC Arena (unk)",AUD,FLAC
"4-30-2000 / Montreal, Quebec / Molson Centre (unk)",AUD,FLAC
"4-30-2000 / Montreal, Quebec / Molson Centre (unk)",AUD,DVD
"5-2-2000 / Worcester, MA / The Centrum Center (Sharp 702 MD) (eric efreitag)",AUD,FLAC
"5-3-2000 / Providence, RI / Providence Civic Center (unk)",AUD,DVD
"5-4-2000 / Hartford, CT / Hartford Civic Center",AUD,FLAC
"5-6-2000 / Philadelphia, PA / First Union Spectrum (AT853) (unk)",AUD (48k),FLAC
"5-6-2000 / Philadelphia, PA / First Union Spectrum - MD(M) (iswiwdead)",AUD,FLAC
"5-6-2000 / Philadelphia, PA / First Union Spectrum (Sharp 702 MD) (eric efreitag)",AUD,FLAC
"5-6-2000 / Philadelphia, PA / First Union Spectrum (multi) (unk)",AUD,DVD
"5-6-2000 / Philadelphia, PA / First Union Spectrum (unk)",AUD,DVD
"5-7-2000 / Burgettstown, PA / Star Lake Amphitheater - DAT(M) (CCM4s) (mw)",AUD,FLAC
"5-7-2000 / Burgettstown, PA / Star Lake Amphitheater (unk)",AUD,FLAC
"5-9-2000 / New York, NY / Madison Square Garden - DAT(M) (SS DSM6s/L) (tapeworm48)",AUD,FLAC
"5-9-2000 / New York, NY / Madison Square Garden (unk)",AUD,FLAC
"5-9-2000 / New York, NY / Madison Square Garden (multi) (unk)",AUD,DVD
"5-12-2000 / Columbia, MD / Merriweather Post Pavilion (unk)",AUD,FLAC
"5-13-2000 / Raleigh, NC / Alltel Pavilion / Walnut Creek (CSC) (doug)",AUD,FLAC
"5-17-2000 / Miami, FL / Miami Arena (AKG 460b) (jon d.)",AUD,FLAC
"5-17-2000 / Miami, FL / Miami Arena (unk)",AUD,DVD
"5-18-2000 / Lakeland, FL / Lakeland Center (AKG 460b+Ck61) (jon d.)",AUD,FLAC
"5-20-2000 / Atlanta, GA / Lakewood Amphitheatre *Complications",Silver CD,FLAC
"5-20-2000 / Atlanta, GA / Lakewood Amphitheatre - DAT(M) (Oade) (wt)",AUD,FLAC
"5-22-2000 / Houston, TX / Compaq Center (unk)",AUD,FLAC
"5-23-2000 / Dallas, TX / Starplex (CSC) (seth)",AUD,FLAC
"5-23-2000 / Dallas, TX / Starplex (unk)",AUD,DVD
"5-25-2000 / New Orleans, LA / New Orleans Arena (unk)",AUD,FLAC
"5-27-2000 / St. Louis, MO / Riverport Amphitheater (CSC) (joe s.)",AUD,FLAC
"5-27-2000 / St. Louis, MO / Riverport Amphitheater (unk)",AUD,DVD
"5-28-2000 / Kansas City, MO / Kemper Arena (unk)",AUD,FLAC
"5-30-2000 / Omaha, NE / Omaha Civic Center (unk)",AUD,FLAC
"6-2-2000 / Las Vegas, NV / Thomas & Mack Center - DAT(M) (DPA 4061) (ed davis)",AUD,FLAC
"6-2-2000 / Las Vegas, NV / Thomas & Mack Center (unk)",AUD,DVD
"6-3-2000 / San Diego, CA / Cox Arena *Sinful Pleasures (CSB) (notorioustimp)",AUD,FLAC
"6-3-2000 / San Diego, CA / Cox Arena - DAT(M) (DPA 4061) (ed davis)",AUD,FLAC
"6-4-2000 / Phoenix, AZ / America West Arena - DAT(M) (CSB + MD-MZR-50) (spaceboy)",AUD,FLAC
"6-4-2000 / Phoenix, AZ / America West Arena (unk)",SBD,FLAC
"6-4-2000 / Phoenix, AZ / America West Arena (unk)",AUD,MP3
"6-4-2000 / Phoenix, AZ / America West Arena (unk)",AUD,DVD
"6-6-2000 / Anaheim, CA / Arrowhead Pond - DAT(M) (DPA 4061s) (ed davis)",AUD,FLAC
"6-6-2000 / Anaheim, CA / Arrowhead Pond (unk)",AUD,FLAC
"6-7-2000 / Daly City, CA / Cow Palace (Schoeps MK4) (alex coluzzi)",AUD,FLAC
"6-7-2000 / Daly City, CA / Cow Palace (unk)",AUD,DVD
"6-9-2000 / George, WA / Gorge Amphitheatre - MD(M) (CSBs + Sharp MD-MT15) (acc123456)",AUD,FLAC
"6-9-2000 / George, WA / Gorge Amphitheatre (unk)",AUD,DVD
"6-10-2000 / Portland, OR / Rose Garden Arena - MD(M) (CSBs + Sharp MD-MT15) (acc123456)",AUD,FLAC
"6-10-2000 / Portland, OR / Rose Garden Arena (CSC) (unk)",AUD,FLAC
"6-12-2000 / Spokane, WA / Spokane Arena - MD(M) (CSBs + Sharp MD-MT15) (acc123456)",AUD,FLAC
"6-13-2000 / Vancouver, BC / General Motors Place - MD(M) (CSBs + Sharp MD-MT15) (acc123456)",AUD,FLAC
"6-13-2000 / Vancouver, BC / General Motors Place (unk)",AUD,DVD
"6-15-2000 / Sacramento, CA / Sacramento Valley Amphitheater (CSB) (electrik)",AUD,FLAC
"6-17-2000 / Salt Lake City, UT / E Center (Sony ECM-717) (fullmetal)",AUD,FLAC
"6-18-2000 / Denver, CO / Pepsi Center (unk)",AUD,FLAC
"6-23-2000 / Somerset, England / Glastonbury Festival (Digital Freeview) (jadg2)",FM,FLAC
"6-24-2000 / Scheeflel, Germany / Hurricane Open Air Festival (OKM I) (rackhir)",AUD,FLAC
"6-24-2000 / Scheeflel, Germany / Hurricane Open Air Festival (unk)",AUD,MP3
"6-29-2000 / Roskilde, Denmark / Denmark Festival - MD(M) (oresund44)",AUD,FLAC
"6-30-2000 / Werchter, Belgium / Werchter Festival (unk)",AUD,FLAC
"6-30-2000 / Werchter, Belgium / Werchter Festival (PRO) (sterf en bederf transfer)",AUD,FLAC
"6-30-2000 / Werchter, Belgium / Werchter Festival (Sony Handycam CCD-TRV23E) (piggystardust)",AUD,MP4
"7-7-2000 / Belfort, France / Eurockennes Festival (unk)",AUD,FLAC
"7-7-2000 / Belfort, France / Eurockennes Festival (unk) (y.e.)",AUD,FLAC
"7-7-2000 / Belfort, France / Eurockennes Festival (MCM TV Broadcast) (inc)",AUD,MOV
"7-8-2000 / Wiesen, Austria / Forestglade Festival *Fragiliglade (TSE-CD-2002-1)",Silver CD,FLAC
"7-8-2000 / Wiesen, Austria / Forestglade Festival - DAT(M) ",FM,FLAC
"7-8-2000 / Wiesen, Austria / Forestglade Festival ",preFM,FLAC
"7-8-2000 / Wiesen, Austria / Forestglade Festival *The Great Dictator (T.Rex Records-2000)",Silver CD,FLAC
"7-9-2000 / Monza, Italy / Monza Festival (unk)",AUD,FLAC
,,
[2005],,
"XX-XX-2005 / Los Angeles, CA / Tour Rehearsals (NIN crew member)",SBD,MP3
"3-23-2005 / Fresno, CA / William Saroyan Theatre - MD(M) (CSBs + BB) (notorioustimp)",AUD,FLAC
"3-23-2005 / Fresno, CA / William Saroyan Theatre (MK41) (alex)",AUD,FLAC
"3-23-2005 / Fresno, CA / William Saroyan Theatre (slickmode)",IEM,MP3
"3-23-2005 / Fresno, CA / William Saroyan Theatre - MiniDV(M) (Sony DCR-HC1000) (filthprveyor)",AUD,DVD
"3-24-2005 / Reno, NV / Reno Hilton Showroom - MD(M) (CSBs + BB) (notorioustimp)",AUD,FLAC
"3-25-2005 / Davis, CA / Freeborn Hall at UC Davis (DPA 4060s) (unk)",AUD,FLAC
"3-30-2005 / London, England / Astoria (ECM-717) (rob)",AUD,FLAC
"3-31-2005 / London, England / Astoria (ECM-717) (rob)",AUD,FLAC
"3-31-2005 / London, England / Astoria (EM-8) (unk)",AUD,FLAC
"3-31-2005 / London, England / Astoria (unk)",AUD,DVD
4-20-2005 / BBC Maida Vale Session (Zane Lowe show),FM,FLAC
"4-27-2005 / San Francisco, CA / The Warfield - DAT(M) (CCM4) (anonymous)",AUD,FLAC
"4-27-2005 / San Francisco, CA / The Warfield - MD(M) (CSBs + BB) (notorioustimp)",AUD,FLAC
"4-27-2005 / San Francisco, CA / The Warfield (ECM-DS70P) (soulflyer)",AUD,FLAC
"4-28-2005 / San Francisco, CA / The Warfield - DAT(M) (CCM4s) (anonymous)",AUD,FLAC
"4-28-2005 / San Francisco, CA / The Warfield - MD(M) (CSBs + BB) (notorioustimp)",AUD,FLAC
"4-30-2005 / Las Vegas, NV / The Joint (unk)",AUD,FLAC
"4-30-2005 / Las Vegas, NV / The Joint (unk)",AUD,FLAC
"4-30-2005 / Las Vegas, NV / The Joint - MiniDV(M) (Sony DCR-PC1000 (jam007)",AUD,DVD
"5-1-2005 / Indio, CA / Empire Polo Fields - Coachella Festival - DAT(M) (CCMs) (anonymous)",AUD,FLAC
"5-1-2005 / Indio, CA / Empire Polo Fields - Coachella Festival - DAT(M) (CSBs) (boldcaptain)",AUD,FLAC
"5-1-2005 / Indio, CA / Empire Polo Fields - Coachella Festival - DAT(M) (CSBs) (boldcaptain)",AUD,FLAC
"5-3-2005 / Denver, CO / Fillmore Auditorium - DAT(M) (Schoeps MK41s) (bt)",AUD,FLAC
"5-4-2005 / Denver, CO / Fillmore Auditorium (AT Pro 24) (unk)",AUD,FLAC
"5-4-2005 / Denver, CO / Fillmore Auditorium (SP-CMC-2) (greenfairy)",AUD,FLAC
"5-4-2005 / Denver, CO / Fillmore Auditorium - DAT(M) (Schoeps MK41s) (bt)",AUD,FLAC
"5-4-2005 / Denver, CO / Fillmore Auditorium (Canon ZR40) (loudpuppy)",AUD,DVD
"5-6-2005 / Chicago, IL / Congress Theatre - DAT(M) (DPA 4061s) (tapeworm48)",AUD,FLAC
"5-7-2005 / Chicago, IL / Congress Theatre - DAT(M) (DPA 4061s) (tapeworm48)",AUD,FLAC
"5-9-2005 / Toronto, Ontario / Koolhaus - DAT(M) (SS DSM 6S/L) (mike p.)",AUD,FLAC
"5-10-2005 / Toronto, Ontario / Koolhaus (AM 1) (bobcat)",AUD,FLAC
"5-10-2005 / Toronto, Ontario / Koolhaus (SP-SPSB-2) (steve stroud)",AUD,FLAC
"5-10-2005 / Toronto, Ontario / Koolhaus (Sony MZ-NH700) (mr. sinister)",AUD,FLAC
"5-12-2006 / Boston, MA / The Orpheum - DAT(M) (MK4s) (crimson)",AUD,FLAC
"5-12-2006 / Boston, MA / The Orpheum (unk)",AUD,FLAC
"5-13-2006 / Boston, MA / The Orpheum (SP-CMC-8) (88budcar)",AUD,FLAC
"5-13-2006 / Boston, MA / The Orpheum - DAT(M) (CSBs) (rl)",AUD (48k),FLAC
"5-13-2006 / Boston, MA / The Orpheum (SS DS6) (babybreese)",AUD,FLAC
"5-16-2005 / New York, NY / Hammestein Ballroom - MD(M) (ECM-719) (irnbruise)",AUD,FLAC
"5-16-2005 / New York, NY / Hammestein Ballroom - DAT(M) (MK4s) (crimson)",AUD,FLAC
"5-16-2005 / New York, NY / Hammestein Ballroom (unk)",AUD,FLAC
"5-16-2005 / New York, NY / Hammestein Ballroom (unk)",AUD,DVD
"5-18-2005 / Philadelphia, PA / Electric Factory (MK4s) (crimson)",AUD,FLAC
"5-18-2005 / Philadelphia, PA / Electric Factory (Realistic) (jb)",AUD,FLAC
"5-18-2005 / Philadelphia, PA / Electric Factory (Canon ZR-50) (joe burns)",AUD,DVD
"5-19-2005 / Philadelphia, PA / Electric Factory (MK4s) (crimson)",AUD,FLAC
"5-19-2005 / Philadelphia, PA / Electric Factory (Canon ZR-50) (joe burns)",AUD,DVD
"5-21-2005 / Atlanta, GA / The Tabernacle (CTR-122) (deadlie13)",AUD,FLAC
"5-21-2005 / Atlanta, GA / The Tabernacle (Giant Squid Omnis) (bobsmith)",AUD,FLAC
"5-22-2005 / Atlanta, GA / The Tabernacle (unk)",AUD,FLAC
"5-24-2005 / Houston, TX / Verizon Wireless Theatre (CSB) (adam l.)",AUD,FLAC
"5-25-2005 / Austin, TX / Stubb's BBQ - MD(M) (unk)",AUD,MP3
"5-27-2005 / Tempe, AZ / Marquee Theater (Sanken COS 11s) (desertrat)",AUD,FLAC
"5-27-2005 / Tempe, AZ / Marquee Theater - MD(M) (CSBs + BB) (notorioustimp)",AUD,FLAC
"5-28-2005 / Tempe, AZ / Marquee Theater - MD(M) (CSBs + BB) (notorioustimp)",AUD,FLAC
"5-30-2005 / San Diego, CA / SOMA - MD(M) (CSBs + BB) (notorioustimp)",AUD,FLAC
"5-30-2005 / San Diego, CA / SOMA (CSC) (jfaninord & kyks17)",AUD,FLAC
"5-30-2005 / San Diego, CA / SOMA (slickmode)",IEM,FLAC
"5-30-2005 / San Diego, CA / SOMA (unk) (randy reed)",AUD,FLAC
"5-31-2005 / San Diego, CA / SOMA (AT831s) (unk)",AUD,FLAC
"5-31-2005 / San Diego, CA / SOMA - MD(M) (CSBs + BB) (notorioustimp)",AUD,FLAC
"5-31-2005 / San Diego, CA / SOMA (unk) (randy reed)",AUD,FLAC
"6-2-2005 / Mexico City, MX / Palacio de los Deportes (SP-CMC-2) (migmanson)",AUD,FLAC
"6-12-2005 / Neuhausen ob Eck, Germany / Southside Festival- DAT(M) (OKM-IIr) (sebastian)",AUD,FLAC
"6-14-2005 / Vienna, Austria / Arena (OKM3r) (martinick)",AUD,FLAC
"6-15-2005 / Berlin, Germany / Columbiahalle - MD(M) (unk)",AUD,FLAC
"6-22-2005 / Paris, France / Le Zenith (ECM-719) (fritzti)",AUD,FLAC
"6-22-2005 / Paris, France / Le Zenith (ECM-717) (teething)",AUD,FLAC
"6-26-2005 / Nijmegen, The Netherlands / Goffert Park - Rockin' Park (SP-CMC-2) (skttrwave)",AUD,FLAC
"6-26-2005 / Nijmegen, The Netherlands / Goffert Park - Rockin' Park (unk)",AUD,DVD
"6-29-2005 / Barcelona, Spain / Razzmatazz (unk)",AUD,MPG
"7-1-2005 / Belfort, France / Les Eurockeenes (ECM 959) (modolek)",AUD,FLAC
"7-2-2005 / Werchter, Belgium / Rock Werchter Festival (La Deux TV Broadcast) (florent)",PRO,DVD
"7-5-2005 / London, UK / Brixton Academy - DAT(M) (ECM909a) (mr. fang)",AUD,FLAC
"7-8-2005 / Birmingham, England / Academy (ECM-717) (rob)",AUD,FLAC
"7-10-2005 / Manchester, UK / Apollo - MD(M) (Sony ECM-717) (polewka)",AUD,FLAC
"7-10-2005 / Manchester, UK / Apollo (unk)",AUD,DVD
"7-11-2005 / Manchester, UK / Apollo - MiniDV(M) (Sony Handycam DCR-HC42E) (unk)",AUD (48k),FLAC
"7-11-2005 / Manchester, UK / Apollo - MD(M) (Sony ECM-717) (polewka)",AUD,FLAC
"7-14-2005 / London, UK / Brixton Academy (MZ-N707) (maggot_king)",AUD,FLAC
"8-13-2005 / Tokyo, Japan / Summer Sonic 05 *Live at Chiba Marine Stadium (the bang)",Silver CD,FLAC
"8-13-2005 / Tokyo, Japan / Summer Sonic 05 (MTV)",PRO,DVD
"8-13-2005 / Tokyo, Japan / Summer Sonic 05 (rozy project)",AUD,DVD
"8-14-2005 / Osaka, Japan / WTC Open Air Stadium - Summersonic Festival *Drifting Into The Abstract (the bang)",Silver CD,FLAC
"8-17-2005 / Melbourne, Australia / Rod Laver Arena (SP-CMC-8) (stian gansmoe)",AUD,FLAC
"8-17-2005 / Melbourne, Australia / Rod Laver Arena (unk) (eatyourblud)",AUD,DVD
"8-19-2005 / Sydney, Australia / The Hordern (unk)",AUD,FLAC
"8-20-2005 / Sydney, Australia / The Hordern (ECM-717 (manyon)",AUD,FLAC
"8-22-2005 / Brisbane, Australia / Entertainment Centre (SP-CMC-8) (zac)",AUD,FLAC
"9-9-2005 / Hollywood, CA / Paramount Studios - ReAct Now Music & Relief (Trent Reznor) (Viacom)",PRO,MKV
"9-9-2005 / Hollywood, CA / Paramount Studios - ReAct Now Music & Relief (Trent Reznor) (Sony)",SBD,FLAC
"9-16-2005 / San Diego, CA / Cox Arena (DPA 4061) (ed davis)",AUD,FLAC
"9-16-2005 / San Diego, CA / Cox Arena (slickmode)",IEM,FLAC
"9-16-2005 / San Diego, CA / Cox Arena (Soundcheck) (slickmode)",AUD,FLAC
"9-16-2005 / San Diego, CA / Cox Arena (Soundcheck)(IEM + AUD) (slickmode + eddavis)",MTX,
"9-19-2005 / Phoenix, AZ / America West Arena (unk)",AUD,FLAC
"9-19-2005 / Phoenix, AZ / America West Arena (unk)",AUD,DVD
"9-20-2005 / Fresno, CA / Selland Arena - MD(M) (CSBs + BB) (notorioustimp)",AUD,FLAC
"9-20-2005 / Fresno, CA / Selland Arena (DSM6) (filthprveyor)",AUD,FLAC
"9-23-2005 / Seattle, WA / Key Arena (CSBs + Sharp MD-MT15) (acc123456)",AUD,FLAC
"9-23-2005 / Seattle, WA / Key Arena (CSC) (jfb)",AUD,FLAC
"9-24-2005 / Portland, OR / Rose Garden Arena (CSBs + Sharp MD-MT15) (acc123456)",AUD,FLAC
"9-24-2005 / Portland, OR / Rose Garden Arena (MK4) (robert d.)",AUD,FLAC
"9-26-2005 / Vancouver, BC / Pacific Coliseum - MD(M) (CSBs + Sharp MD-MT15) (acc123456)",AUD,FLAC
"9-26-2005 / Vancouver, BC / Pacific Coliseum *Lollypop Shoved Up My Ass (highfilter)",Silver CD,FLAC
"9-28-2005 / Sacramento, CA / Arco Arena - JB3(M) (SP-CMC-4) (james)",AUD,FLAC
"9-28-2005 / Sacramento, CA / Arco Arena - MD(M) (CSBs + BB) (notorioustimp)",AUD,FLAC
"10-1-2005 / Hollywood, CA / Hollywood Bowl (DPA 4061) (distortion)",AUD,FLAC
"10-7-2005 / Rosemont, IL / Allstate Arean (SP-CMC-8) (unk)",AUD,FLAC
"10-7-2005 / Rosemont, IL / Allstate Arean - DAT(M) (MK4) (tapeworm48)",AUD,FLAC
"10-7-2005 / Rosemont, IL / Allstate Arean (unk) (hazekiah)",AUD,FLAC
"10-8-2005 / Detroit, MI / Joe Louis Arena (SP-CMC-2) (richard simms)",AUD,FLAC
"10-11-2005 / St. Paul, MN / Excel Energy Center (AT Pro-24) (tom michaels)",AUD,FLAC
"10-11-2005 / St. Paul, MN / Excel Energy Center (unk)",AUD,DVD
"10-13-2005 / Madison, WI / Veterans Memorial Coliseum (JVC GR550) (ween4me)",AUD,DVD
"10-14-2005 / St. Louis, MO / Savvis Center (SKM140) (sparkey)",AUD,FLAC
"10-16-2005 / San Antonio, TX / SBC Center (SP-CMC-8) (toriphilemaria)",AUD,FLAC
"10-19-2005 / Houston, TX / Toyota Center (SP-CMC-8) (toriphilemaria)",AUD,FLAC
"10-21-2005 / Jacksonville, FL / Memorial Arena (DPA 4061) (pjdavep)",AUD,FLAC
"10-22-2005 / St. Petersburg, FL / St. Pete Times Forum - HiMD(M) (CSBs) (adam)",AUD,FLAC
"10-27-2005 / Atlanta, GA / Philips Arena (GSO) (bob smith)",AUD,FLAC
"10-29-2005 / New Orleans, LA / Voodoo Music Experience (CSBs + SPSB-3)",MTX,FLAC
"10-29-2005 / New Orleans, LA / Voodoo Music Experience (VH1 Webcast)",PRO,DVD
"10-30-2005 / Memphis, TN / Autozone Park - DAT(M) (MK4) (donswank)",AUD,FLAC
"10-31-2005 / Nashville, TN / Gaylord Entertainment Center (Halloween Show) (SP-BMC-3) (garret)",AUD,FLAC
"10-31-2005 / Nashville, TN / Gaylord Entertainment Center (Halloween Show) (CSBs + Sony MZ-R55) (mike white)",AUD,FLAC
"11-2-2005 / Washington, D.C. / MCI Arena (iamgod)",AUD,FLAC
"11-3-2005 / New York, NY / Madison Square Garden (unk)",AUD,DVD
"11-5-2005 / Philadelphia, PA / Wachovia Spectrum (Schoeps MK4) (crimson)",AUD,FLAC
"11-5-2005 / Philadelphia, PA / Wachovia Spectrum (MK4) (flying_gonz)",AUD,FLAC
"11-5-2005 / Philadelphia, PA / Wachovia Spectrum (unk)",AUD,DVD
"11-6-2005 / Wilkes-Barre, PA / Wachovia Arena (Schoeps MK4) (crimson)",AUD,FLAC
"11-6-2005 / Wilkes-Barre, PA / Wachovia Arena (unk)",AUD,DVD
"11-8-2005 / Boston, MA / TD Banknorth Garden (SP-CMC-8) (pg)",AUD,FLAC
"11-10-2005 / Toronto, Ontario / Air Canada Centre (SP-SPSB-2) (steve stroud)",AUD,FLAC
"11-10-2005 / Toronto, Ontario / Air Canada Centre (Soundcheck) (SP-SPSB-2) (steve stroud)",AUD,FLAC
"11-10-2005 / Toronto, Ontario / Air Canada Centre - JB3(M) (SP-CMC-4) (nevernamed)",AUD,FLAC
"11-10-2005 / Toronto, Ontario / Air Canada Centre (Sony MZ-N1) (bobcat)",AUD,FLAC
"11-11-2005 / Montreal, Quebec / Bell Centre - MD(M) (Custom) (unk)",AUD,FLAC
"11-11-2005 / Montreal, Quebec / Bell Centre (christelle)",AUD,MP3
"11-19-2005 / Oakland, CA / Oakland Arena (DPA 4061) (james)",AUD,FLAC
"11-19-2005 / Oakland, CA / Oakland Arena - DAT(M) (SS DSM6) (filthprveyor)",AUD,FLAC
"11-19-2005 / Oakland, CA / Oakland Arena (MK4) (alex coluzzi)",AUD,FLAC
"11-20-2005 / San Diego, CA / Cox Arena - DAT(M) (DPA 4061) (ed davis)",AUD,FLAC
"11-20-2005 / San Diego, CA / Cox Arena (slickmode)",IEM,FLAC
"11-20-2005 / San Diego, CA / Cox Arena - MD(M) (CSBs + BB) (notorioustimp)",AUD,FLAC
"11-20-2005 / San Diego, CA / Cox Arena (unk)",AUD,DVD
"11-26-2005 / Sao Paulo, Brazil / Claro Festival (MTV) (unk)",PRO,MP4
"11-27-2005 / Rio De Janeiro, Brazil / Claro Festival (cultura da acao)",TV,MP4
"12-6-2005 / Santa Cruz, CA / Santa Cruz Civic Auditorium - MT(M) (DPA 4061s) (james)",AUD,FLAC
"12-6-2005 / Santa Cruz, CA / Santa Cruz Civic Auditorium - DAT(M) (KM140s) (wilson66)",AUD,FLAC
"12-6-2005 / Santa Cruz, CA / Santa Cruz Civic Auditorium - DAT(M) (MK4s) (alex coluzzi)",AUD,FLAC
"12-7-2005 / San Luis Obispo, CA / Cal State Polytechnic University - Recreational Center (Sony MD + BB+ CSBs) (karl)",AUD,FLAC
"12-8-2005 / Reno, NV / Reno Hilton Theatre (DPA 4061s) (fuzn)",AUD,FLAC
"12-10-2005 / Universal City, CA / Gibson Amphitheater - KROQ Almost Acoustic Christmas - DAT(M) (MK4s) (alex coluzzi)",AUD,FLAC
"12-10-2005 / Universal City, CA / Gibson Amphitheater - KROQ Almost Acoustic Christmas (WW1) (Master ADAT)",preFM,FLAC
"12-10-2005 / Universal City, CA / Gibson Amphitheater - KROQ Almost Acoustic Christmas (KROQ MMS Stream)",Webcast,M4V
,,
[2006],,
"2-10-2006 / Champaign, IL / Assembly Hall (MK4) (dd)",AUD,FLAC
"2-10-2006 / Champaign, IL / Assembly Hall (Hi-MD) (hazekiah)",AUD,FLAC
"2-11-2006 / Milwaukee, WI / Eagles Ballroom - The Rave (DPA 4061) (evil taper)",AUD,FLAC
"2-11-2006 / Milwaukee, WI / Eagles Ballroom - The Rave (MK4s) (tapeworm48)",AUD,FLAC
"2-12-2006 / Moline, IL / Theatre at the Mark (MK4s) (tapeworm48)",AUD,FLAC
"2-17-2006 / Lincoln, ME / Pershing Auditorium (unk)",AUD,FLAC
"2-17-2006 / Lincoln, ME / Pershing Auditorium (Realistic 33-1065) (unk)",AUD,DVD
"2-20-2006 / Grand Rapids, MI / The Deltaplex (Sony Cybershot DSC-P100) (berlamont)",AUD,DVD
"2-21-2006 / Toledo, OH / Toledo Sports Arena (CSC) (z-man)",AUD,FLAC
"2-21-2006 / Toledo, OH / Toledo Sports Arena (DPA 4060) (live2cd)",AUD,FLAC
"2-21-2006 / Toledo, OH / Toledo Sports Arena (DPA 4061) (ryan j)",AUD,FLAC
"2-25-2006 / Cincinnati, OH / US Bank Arena (ECM717) (bootmonkey)",AUD,FLAC
"3-2-2006 / Quebec City, Canada / Colisee Pepsi (christelle) (unk)",AUD,MP3
"3-6-2006 / London, Ontario / John Labatt Center (ECM-719) (krewechief)",AUD,FLAC
"3-6-2006 / London, Ontario / John Labatt Center (GSB) (broadbent)",AUD,FLAC
"3-9-2006 / Rochester, NY / Blue Cross Arena (MK4) (crimson)",AUD,FLAC
"3-10-2006 / Amherst, MA / Mullins Center (Sony ECM-DS70P) (screamingslave)",AUD,FLAC
"3-11-2006 / Atlantic City, NJ / House of Blues (Sony Cybershot DSC-P100) (acs_tool462)",AUD,MPG
"3-13-2006 / Knoxville, TN / Civic Coliseum (CSB/120) (geordy) ",AUD,FLAC 24
"3-13-2006 / Knoxville, TN / Civic Coliseum (CSB) (xjsb125 remaster)",AUD,FLAC
"3-14-2006 / Richmond, VA / Richmond Coliseum (MiniDV Camera) (unk)",AUD,DVD
"3-18-2006 / Miami, FL / Bicentennial Park (CSB) (boldcaptain)",AUD,FLAC
"3-18-2006 / Miami, FL / Bicentennial Park (HDV Camera) (chris nicholas)",AUD,M4V
"3-23-2006 / Corpus Christi, TX / Concrete Street Amphitheater (SS DSM6P) (aleal5687)",AUD,FLAC
"3-24-2006 / Austin, TX / Frank Erwin Center - DAT(M) (ECM-909a) (mr. fang)",AUD,FLAC
"3-28-2006 / Oklahoma CIty, OK / Ford Center - MD(M) (Sony MZ-R90) (ian roegels)",AUD,FLAC
"3-30-2006 / El Paso, TX / El Paso County Coliseum (unk) (omarandre)",AUD,MPG
"3-31-2006 / Cabazon, CA / The Key Club at Morongo (Soundcheck) (slickmode)",IEM,FLAC
"3-31-2006 / Cabazon, CA / The Key Club at Morongo (ECM-DS70P) (innerturmoil)",AUD,FLAC
"3-31-2006 / Cabazon, CA / The Key Club at Morongo - MT(M) (DPA 4061) (fuzn37)",AUD,FLAC
"4-1-2006 / Las Vegas, NV / Aladdin Theater - DAT(M) (DPA 4061s) (ed davis)",AUD (48k),FLAC
"4-1-2006 / Las Vegas, NV / Aladdin Theater - MT(M) (DPA 4061s) (fuzn37)",AUD,FLAC
"5-22-2006 / Los Angeles, CA / KROQ Breakfast with NIN (KROQ)",FM,FLAC
"5-26-2006 / George, WA / Gorge Amphitheater - Sasquatch Festival (CSBs + Sharp MD-MT15) (acc123456)",AUD,FLAC
"5-27-2006 / Ridgefield, WA / Clark County Amphitheater (CSBs + Sharp MD-MT15) (acc123456)",AUD,FLAC
"5-27-2006 / Ridgefield, WA / Clark County Amphitheater (unk) (Dynamic Audio Cards)",AUD,FLAC
"5-28-2006 / Boise, ID / Idaho Center Arena (CSBs + Sharp MD-MT15) (acc123456)",AUD,FLAC
"5-30-2006 / Morrison, CO / Red Rocks Amphitheatre (SP-CMC-4) (eric a.)",AUD,FLAC
"5-30-2006 / Morrison, CO / Red Rocks Amphitheatre (CSB) (ben parsons)",AUD,FLAC
"5-30-2006 / Morrison, CO / Red Rocks Amphitheatre (DPA 4061) (tractor)",AUD,FLAC
"6-3-2006 / Dallas, TX / Smirnoff Center (CSC) (seth)",AUD,FLAC
